gene_name,9mo.2mo.log_ratio.mean,18mo.9mo.log_ratio.mean,18mo.2mo.log_ratio.mean,log2_distance.mean,9mo.2mo.log_ratio.std,18mo.9mo.log_ratio.std,18mo.2mo.log_ratio.std,log2_distance.std,count
C330013E15Rik,0.08517500566975948,0.0040236559273784485,0.08919866159713792,10.86600272500086,0.0535271109998322,0.07616318388649994,0.08474296549704512,0.4386377603930099,3
C330018A13Rik,0.5685234738065501,-0.108931952526512,0.4595915212800381,10.716819461330035,,,,,1
C330018D20Rik,0.07042664904921941,-0.2957370246709365,-0.22531037562171707,11.279988652159762,0.06696344576707745,0.14425926653009166,0.2112227122971691,0.2113090884286843,2
C330019F10Rik,0.14391239036035464,0.0148922614439779,0.1588046518043325,9.983409016754774,0.363858179861874,0.3047482039063535,0.6686063837682275,0.6586552993300948,2
C330022C24Rik,0.3337652339595719,0.10749305960830564,0.4412582935678776,8.572239252525382,0.19709597774903456,0.28124342166513083,0.10918904758951614,3.0741048020867643,5
C330027C09Rik,-0.2566009268538749,0.27491359738843424,0.018312670534559317,11.512917354540594,0.20211539197192233,0.22845794744634962,0.4305733394182719,1.1576179002915021,2
C430002N11Rik,-0.15514988794866083,0.02048856221858142,-0.1346613257300794,12.310113753127311,0.5929230963155082,0.37603165166112557,0.8240059055989326,0.7542943709279621,6
C430014B12Rik,-0.1501444480261792,0.49623340458160425,0.34608895655542504,12.176174379651643,0.037565998553178444,0.5530352112025827,0.5573927717611887,1.190466041317131,4
C430039J16Rik,0.6449779813231473,-0.4120744638073757,0.23290351751577154,9.920940319834418,0.10725244265796921,0.33954968048567663,0.23229723782770742,0.5317101985842738,2
C430042M11Rik,0.26106683301350114,0.10298255999346721,0.36404939300696837,10.550410550699366,0.10634200701895072,0.1584577553020702,0.059371756657261125,0.9416687214009167,3
C4a,1.267203832391804,-0.41668125101750575,0.8505225813742983,12.686281655144455,,,,,1
C530005A16Rik,0.21993430372814685,-0.16744094530397222,0.05249335842417465,11.074518048733077,0.13646626715548502,0.09140714972027739,0.15829329048078702,0.48593663573964774,3
C530008M17Rik,-0.04702888843193254,-0.047292834503615544,-0.0943217229355481,15.08516673262128,0.3190755431546317,0.26977735820580284,0.35193206380067166,1.393175071109819,37
C530025M09Rik,0.1505020423485352,-0.11807483253522372,0.032427209813311486,10.730864713844245,0.21487477742595162,0.08421390400395326,0.13915584900454317,0.33192824963547873,4
C530050E15Rik,-0.0703042391881723,-0.03148070086581978,-0.10178494005399208,11.485454302753897,0.10797730001940668,0.1435711385950383,0.10752319777131673,0.790684977146435,4
C630016N16Rik,0.6368319321648663,-0.12315982122746938,0.513672110937397,11.665483341308379,0.25834746815113585,0.1335810489310554,0.18521321378682123,1.3843466500371566,5
C630028M04Rik,-0.25941344129908206,0.013531850168347681,-0.24588159113073438,13.644419632484842,,,,,1
C630043F03Rik,-0.2956623779826194,0.04680211989582406,-0.24886025808679535,9.756173917311717,0.08601519160551907,0.0931497029232662,0.056760755079152916,1.1146935742532995,4
