cell_type,gene,DEG,pred,hic_loop,hic_abc_dmr,hic_abc_peak
L6_CT_CTX_Glut,Gm14330,0,-1,0.37765414,0.29619774,0.32614812
L6_CT_CTX_Glut,Trap1,0,-1,0.7266248,0.01961769,0.2537575
L6_CT_CTX_Glut,Zfp961,0,-1,0.0625336,0.21118256,0.7262839
L6_CT_CTX_Glut,Paics,0,0,0.017606651,0.9120119,0.070381455
L6_CT_CTX_Glut,Ccdc174,0,-1,0.76512355,0.11284955,0.12202695
L6_CT_CTX_Glut,Rnf187,0,-1,0.087048806,0.69082284,0.22212835
L6_CT_CTX_Glut,Dhrs1,0,-1,0.24699838,0.71055084,0.042450752
L6_CT_CTX_Glut,Cenpv,0,-1,0.23094682,0.6653279,0.103725225
L6_CT_CTX_Glut,Cfap61,0,1,0.91247904,0.006752783,0.080768146
L6_CT_CTX_Glut,Cacna1d,0,-1,0.9291385,0.0074969158,0.063364595
L6_CT_CTX_Glut,Snx24,0,0,0.4974545,0.051717807,0.45082766
L6_CT_CTX_Glut,1700010K24Rik,0,-1,0.23532593,0.47051787,0.29415625
L6_CT_CTX_Glut,Proser1,0,-1,0.018185856,0.40289745,0.57891667
L6_CT_CTX_Glut,C2cd3,0,-1,0.7210747,0.022699362,0.25622594
L6_CT_CTX_Glut,Dusp6,0,-1,0.28997213,0.021014048,0.6890138
L6_CT_CTX_Glut,Pou6f2,0,1,0.80647314,0.0024876099,0.19103928
L6_CT_CTX_Glut,Rras2,0,-1,0.87455577,0.077906504,0.047537662
L6_CT_CTX_Glut,Klhl24,0,0,0.004098368,0.91048884,0.085412726
L6_CT_CTX_Glut,2700062C07Rik,0,0,0.13848135,0.7221227,0.13939595
L6_CT_CTX_Glut,Adam4,0,0,0.06651631,0.62352175,0.30996192
L6_CT_CTX_Glut,Tmem14c,0,0,0.04518013,0.7910513,0.1637686
L6_CT_CTX_Glut,Hpgds,0,0,0.0049760547,0.5217622,0.47326168
L6_CT_CTX_Glut,Kpnb1,0,-1,0.6237239,0.13421659,0.24205951
L6_CT_CTX_Glut,Lpcat3,0,-1,0.39093077,0.26215333,0.346916
L6_CT_CTX_Glut,Ppm1g,0,-1,0.69717294,0.16704643,0.13578065
L6_CT_CTX_Glut,Ube2i,0,-1,0.5505484,0.11931448,0.33013713
L6_CT_CTX_Glut,Gatad1,0,0,0.0015834455,0.67095697,0.3274596
L6_CT_CTX_Glut,Clvs1,0,0,0.82305914,0.005248178,0.1716927
L6_CT_CTX_Glut,Gm7854,0,0,0.5847132,0.10090738,0.31437945
L6_CT_CTX_Glut,Rdh11,0,0,0.31457913,0.6380482,0.047372706
L6_CT_CTX_Glut,Comtd1,0,0,0.0047748745,0.9046283,0.09059693
L6_CT_CTX_Glut,Gltp,0,-1,0.6243912,0.15529025,0.2203186
L6_CT_CTX_Glut,Smim1,0,-1,0.34456602,0.5358098,0.11962414
L6_CT_CTX_Glut,Riok2,0,0,0.13739301,0.703804,0.1588029
L6_CT_CTX_Glut,Ypel5,0,0,0.12196906,0.7274364,0.15059449
L6_CT_CTX_Glut,Trnt1,0,0,0.048217785,0.06997401,0.8818082
L6_CT_CTX_Glut,Zfp563,0,0,0.020048253,0.18262549,0.79732627
L6_CT_CTX_Glut,Ubb,0,0,0.011804818,0.83068484,0.15751031
L6_CT_CTX_Glut,Dusp8,0,-1,0.40784898,0.47929293,0.11285806
L6_CT_CTX_Glut,Cdk8,0,-1,0.035207562,0.30238855,0.66240394
L6_CT_CTX_Glut,Lsg1,0,-1,0.7021031,0.0729101,0.22498682
L6_CT_CTX_Glut,Pced1a,0,-1,0.38360518,0.5252458,0.091148995
L6_CT_CTX_Glut,4930473D10Rik,0,-1,0.012890065,0.280992,0.706118
L6_CT_CTX_Glut,Mettl21a,0,-1,0.2255006,0.26530236,0.509197
L6_CT_CTX_Glut,Rps2,0,-1,0.715463,0.25266078,0.031876184
L6_CT_CTX_Glut,Wdr77,0,0,0.11422441,0.44305512,0.4427205
L6_CT_CTX_Glut,Idnk,0,-1,0.3827468,0.4436255,0.1736277
L6_CT_CTX_Glut,Fam160b2,0,-1,0.5123134,0.40460837,0.08307823
L6_CT_CTX_Glut,Grb2,-1,-1,0.038798165,0.073478885,0.8877229
L6_CT_CTX_Glut,Slc24a5,1,0,0.15742534,0.5769724,0.26560217
L6_CT_CTX_Glut,Rasal2,1,1,0.9779384,0.0032734284,0.018788215
L6_CT_CTX_Glut,Ints10,-1,-1,0.4061569,0.40557492,0.18826815
L6_CT_CTX_Glut,Tpr,-1,0,0.16988686,0.041002356,0.78911084
L6_CT_CTX_Glut,Atf6b,-1,-1,0.8033667,0.13527624,0.061357044
L6_CT_CTX_Glut,Kidins220,-1,0,0.76930726,0.09934145,0.13135129
L6_CT_CTX_Glut,Las1l,-1,0,0.008218192,0.5902841,0.40149772
L6_CT_CTX_Glut,Zc3h7a,-1,-1,0.036932364,0.22710747,0.7359602
L6_CT_CTX_Glut,Kcnt1,-1,-1,0.77269405,0.13992631,0.08737959
L6_CT_CTX_Glut,Rbm5,-1,-1,0.91150415,0.035185177,0.053310655
L6_CT_CTX_Glut,Snx32,-1,-1,0.9482899,0.035658684,0.016051508
L6_CT_CTX_Glut,Rpl13a,-1,-1,0.904197,0.058486905,0.037316095
L6_CT_CTX_Glut,Gm21954,1,-1,0.69235224,0.1690618,0.13858604
L6_CT_CTX_Glut,Canx,-1,-1,0.447645,0.2863474,0.26600763
L6_CT_CTX_Glut,Rrp1,-1,-1,0.8358441,0.09527091,0.068885036
L6_CT_CTX_Glut,Epha10,-1,-1,0.8715338,0.056875207,0.07159094
L6_CT_CTX_Glut,Pgm2l1,-1,-1,0.9237144,0.040433865,0.035851672
L6_CT_CTX_Glut,Nfic,-1,-1,0.9496197,0.033987768,0.016392581
L6_CT_CTX_Glut,Lars2,-1,0,0.024483055,0.80402505,0.17149192
L6_CT_CTX_Glut,Slc38a2,-1,-1,0.084823094,0.23883952,0.6763374
L6_CT_CTX_Glut,Ppp4r4,1,0,0.009331205,0.09742975,0.893239
L6_CT_CTX_Glut,Ksr1,-1,-1,0.96841353,0.01674116,0.014845268
L6_CT_CTX_Glut,Camkk1,-1,-1,0.42899215,0.4185352,0.15247265
L6_CT_CTX_Glut,Rsf1os2,1,0,0.39681685,0.060580555,0.54260266
L6_CT_CTX_Glut,Dzip1,-1,-1,0.56998247,0.29055527,0.13946225
L6_CT_CTX_Glut,Myo9b,-1,0,0.8470681,0.027156956,0.12577507
L6_CT_CTX_Glut,March5,-1,-1,0.4300865,0.36595675,0.20395677
L6_CT_CTX_Glut,Map7d1,-1,-1,0.75586206,0.12344447,0.12069342
L6_CT_CTX_Glut,Ndst3,-1,0,0.3538813,0.112061515,0.53405726
L6_CT_CTX_Glut,Sugp2,-1,-1,0.8899731,0.08161303,0.028413894
L6_CT_CTX_Glut,Zdhhc8,-1,-1,0.9483389,0.024576554,0.027084447
L6_CT_CTX_Glut,Man1b1,-1,-1,0.92118984,0.054186024,0.024624158
L6_CT_CTX_Glut,Cabp1,-1,-1,0.9501928,0.027498402,0.022308746
L6_CT_CTX_Glut,Rab6b,-1,-1,0.92194796,0.017205818,0.060846284
L6_CT_CTX_Glut,Ndrg4,-1,-1,0.62342215,0.13835868,0.23821919
L6_CT_CTX_Glut,Ogt,-1,0,0.0035080763,0.011288153,0.98520374
L6_CT_CTX_Glut,Fau,-1,-1,0.8141481,0.10911334,0.07673847
L6_CT_CTX_Glut,Ttbk1,-1,-1,0.95254,0.017633421,0.029826656
L6_CT_CTX_Glut,Coro1a,-1,-1,0.6069778,0.28946304,0.10355919
L6_CT_CTX_Glut,Lgi1,-1,-1,0.88056064,0.057530142,0.061909225
L6_CT_CTX_Glut,Wdr18,-1,-1,0.8944407,0.055840094,0.04971919
L6_CT_CTX_Glut,Syngr3,-1,-1,0.92564994,0.03323989,0.041110177
