gene,stats,fdr,log2(old/young),DEG,-log10(fdr)
Ftsj3,0.4419488587856494,0.8420851754790145,-0.05114035,0,0.0746439781325762
Psmc5,24.787922432986484,3.161693256623232e-05,-0.83881706,0,4.500080267047058
Smarcd2,4.979811845470509,0.1319378289093637,-0.44169408,0,0.8796306666891028
Ern1,19.55907125868678,0.000268477617301,0.10971446,0,3.5710919151333345
Tex2,33.916152883333154,8.513246587399851e-07,-0.015679423,0,6.069904787023923
Pecam1,3.853135475932117,0.2114321234521887,-0.5121104,0,0.6748290284847789
Polg2,0.4293043155522842,0.8467769776213131,0.035661124,0,0.0722309581962528
Ddx5,20.35699530216309,0.0001932947433723,-0.22630107,0,3.713779956397852
Cep95,8.525407720692955,0.0293126104200632,-0.28348392,0,1.5329455039584503
Smurf2,23.3890137938546,5.588894525473052e-05,-0.060638517,0,4.252674086382891
Kpna2,3.383768266904356,0.2571437191573777,-0.6287281,0,0.5898240790372535
1810010H24Rik,7.2726002289158,0.0503247495750217,-1.041722,0,1.298218377561152
Bptf,15.057496007379706,0.0018081538275706,-0.08258968,0,2.742764624953982
Gm11715,1.7120866294276205,0.5083980212749629,-1.4107517,0,0.2937961484229805
Nol11,26.034002599655174,1.9296052666125204e-05,0.05213567,0,4.714531524186691
Pitpnc1,9.178516298880284,0.0221644547624264,-0.008532389,0,1.6543429477204792
Gm11716,0.5908059032224835,0.7927223778245398,0.6015464,0,0.1008788818992708
Gm11713,0.106917808496254,0.9600875582780548,0.10251896,0,0.0176891582698105
Gm11714,0.972712590396571,0.6840773841666489,0.14620693,0,0.1648947672629002
Psmd12,18.608887859492377,0.0004000385629996,-0.19205368,0,3.3978981414453164
Helz,28.19445122400723,8.152641401353756e-06,0.092073984,0,5.088701659949774
Cacng4,9.108115029569689,0.0228434107921729,-1.1431506,0,1.6412390502673813
Cacng5,3.257971529631082,0.2710089833385991,-1.1535292,0,0.5670163130011648
Prkca,12.82548017427763,0.0046718690758474,0.08159363,0,2.330509336365205
Gm11655,12.26806169925823,0.0059569009850297,1.0737954,0,2.2249796186375272
Apoh,2.2727136119546496,0.4055420486833027,0.5957814,0,0.3919641092348885
Cep112,8.044587373180546,0.0360657977965943,-0.08959469,0,1.4429044565190716
Axin2,1.244475992509897,0.6138565181125242,0.28929356,0,0.211933128327782
Gm11670,0.0764160751646198,0.9698121949406536,-0.8471526,0,0.0133123591335339
Rgs9,10.128819444123764,0.0147837066624009,-0.6047322,0,1.830216663288772
Gm11696,2.3172675914977727,0.3980755754918147,0.5191964,0,0.4000344683705329
Gna13,12.659064579867604,0.0050241668788029,0.22633766,0,2.298935943844976
Amz2,21.65565667783754,0.000114084896886,0.3595607,0,3.9427718457939767
Slc16a6,5.695788511582557,0.0978057886935225,-0.17998712,0,1.0096354404756234
Arsg,14.045462751218922,0.002776591274934,-0.24804085,0,2.5564880453865757
Wipi1,12.080090026415496,0.0064689286148817,-0.78688097,0,2.189167641305641
Gm11685,0.6483005523041769,0.774925793298041,0.21326119,0,0.1107398834345715
Prkar1a,28.56931855109643,7.022212409931487e-06,-0.13212706,0,5.153526038005679
Fam20a,2.1303170398032485,0.4291388946099757,0.92685425,0,0.3674021218015565
Abca8b,30.954663924137463,2.721303638353701e-06,-0.08732625,0,5.565222997689406
Abca8a,0.6004466395060478,0.7897799355310259,-0.008730232,0,0.1024939037709681
Abca9,1.0965237438806636,0.6502273347631281,0.29201263,0,0.1869347772464456
Abca6,4.621340325037563,0.1533374285629826,0.47536793,0,0.81435182404751
Abca5,5.046892757068132,0.1283392856990368,0.10876946,0,0.8916403822010541
Map2k6,21.714225244439287,0.0001112202163251,0.15911604,0,3.953816264548471
BC006965,2.7681489950475995,0.3308419997582311,1.2530942,0,0.4803793627669855
Sox9,1.6088155477559174,0.5303087010645918,-0.23011082,0,0.2754712471161382
2610035D17Rik,2.447606895418644,0.3779141581346885,0.059652414,0,0.4226068374172304
Slc39a11,15.381245058454356,0.0015782826325805,-0.21210232,0,2.801815222432642
Sstr2,1.1564136843414126,0.6351728227881481,-0.14192687,0,0.1971080923908522
Cog1,2.3437658510946022,0.3937470246432572,0.31410372,0,0.4047827149443044
Fam104a,11.267785337752048,0.0091031929382688,0.052549478,0,2.040806252486042
D11Wsu47e,3.482422628939864,0.246651897918753,0.3040123,0,0.6079155384119744
Cpsf4l,8.275454196630442,0.0326934592931996,1.1411765,0,1.4855391243121605
Cdc42ep4,0.6334699983202501,0.7795251940984338,-0.28595397,0,0.1081698439374765
Sdk2,3.82283712714395,0.2140172328300634,-0.6442803,0,0.6695512555214522
Rpl38,14.07557903827037,0.0027412378789995,-0.5402496,0,2.562053275640998
Ttyh2,1.2625664851244305,0.6093036177713004,0.923413,0,0.2151662432222433
Dnaic2,0.8465079030047963,0.7175340941876026,-1.098128,0,0.1441574582653928
Btbd17,0.9706480144681574,0.6846912751086438,-0.32714674,0,0.1645052062298237
Rab37,8.111660321509774,0.035090259553413,0.41154462,0,1.4548134194107507
Slc9a3r1,0.1664717125462755,0.9372886618270038,0.49192855,0,0.0281266365059543
Nat9,7.00293087791744,0.0563841870863063,-0.20828325,0,1.2488426765850578
Tmem104,5.423570914504548,0.1096148825092997,-0.13709311,0,0.9601304773035136
Grin2c,2.1337612149176235,0.4284653905839831,-0.29424602,0,0.3680842525866065
Fdxr,0.2351707504875059,0.9127633737401796,-0.19574891,0,0.0396417950815908
Fads6,7.68821987115705,0.0420238693530074,-0.18260369,0,1.3765039623704756
Hid1,13.983906726321749,0.0028502962877367,0.20285289,0,2.545109992819226
Cdr2l,12.6610559188409,0.0050210719715746,0.07689436,0,2.2992035534446686
Atp5h,12.049961378341576,0.0065523765432718,-0.12613614,0,2.183601153072076
Kctd2,20.168163914104134,0.0002080104708352,-0.4089266,0,3.681914802962604
Armc7,2.111759236045652,0.4323211314461745,-0.1646213,0,0.3641935360458614
Nt5c,5.132915261020178,0.1239981374301365,-0.3548051,0,0.9065848383046125
Sumo2,2.523965125521951,0.3663336751717355,-0.14596058,0,0.4361231570410421
Nup85,8.672713962696518,0.0275908739437839,-0.030491393,0,1.559234542980341
Gga3,11.222373324809796,0.0092935466161692,0.18775105,0,2.031818518310637
Mrps7,4.435607182145242,0.1656285074876742,-0.21670237,0,0.7808649116388875
Mif4gd,10.881617999954685,0.0107508005110232,-0.58643997,0,1.9685591967180165
Slc25a19,10.83794742766129,0.0109402003672223,-0.514744,0,1.9609747239274364
Grb2,16.74160116519517,0.0008773604521485,-0.035976395,0,3.056821945724025
Caskin2,0.0804097323044477,0.96866186329472,0.003452888,0,0.0138277983190188
Tsen54,1.6004076446530475,0.5320197392395601,0.18074568,0,0.2740722540136305
Recql5,7.022559831201335,0.0559034315269297,-0.36959487,0,1.2525615329459605
Recql5os1,2.1865716417887926,0.419491368565409,0.10613031,0,0.3772769707661006
Sap30bp,8.061777020831615,0.035822031080298,-0.0036540092,0,1.4458497936416923
Sap30bpos,0.5561480118090272,0.8038251971709077,-0.12493098,0,0.0948383842838566
Galk1,3.0385330686326952,0.2965856404518855,-0.101646334,0,0.527849879684827
H3f3b,6.121419321993132,0.081862105540356,0.0018787185,0,1.0869170892436666
Unk,19.07877059456668,0.0003274692656211,-0.1328524,0,3.484829454137869
Wbp2,9.844415166069606,0.016682161384898,-0.22197272,0,1.777747681712484
Trim47,2.206075075269609,0.4161490188797138,-0.08432035,0,0.3807511249301765
Trim65,0.4877551897836746,0.8267138150196934,0.39713496,0,0.0826448049188723
Mrpl38,3.799452329852064,0.2160968896006659,0.11564506,0,0.6653514841069894
Fbf1,13.73713045064268,0.003160841917018,-0.18919276,0,2.5001972239590637
Acox1,11.500941675626038,0.0082483640611568,-0.21040367,0,2.0836321786820853
Ten1,20.8854130513726,0.0001553006144471,0.027765136,0,3.808826825981195
Evpl,1.4238916885814537,0.5713581484125524,0.45361766,0,0.2430915745573319
Srp68,15.51385433123743,0.0014854496222161,-0.042955894,0,2.828142072345361
Exoc7,23.35656985968488,5.668746732313087e-05,-0.2036087,0,4.246512945940051
Rnf157,25.175684382586933,2.6987741908003048e-05,-0.058826003,0,4.56883345178731
Ubald2,0.1071348173929889,0.9600425133581064,0.25322816,0,0.017709534764574
Gm11739,1.0311956872648205,0.6683877919749016,0.417084,0,0.1749714910442865
Prpsap1,10.98865428071142,0.0102569659194862,0.27147472,0,1.988981087498626
Ube2o,31.76022886857446,2.012034664525235e-06,0.031443767,0,5.696364541269022
Aanat,2.5369347970120644,0.3645394188556232,0.56878465,0,0.4382555031049682
Cygb,5.333121767591203,0.1138859716909079,-0.026258674,0,0.9435297683918504
St6galnac2,0.0298999681111321,0.9879847121679848,0.30469725,0,0.0052497755261903
BC018473,6.934744717699967,0.0580952390911205,0.6014211,0,1.2358594566143914
Mxra7,3.2558136192075118,0.2712541699533328,-0.20789872,0,0.5666235767423001
Jmjd6,12.585662677482794,0.005190638025272,-0.27961367,0,2.28477925605819
Mettl23,2.583610623770824,0.3580207445826068,0.378892,0,0.4460918085607585
Srsf2,19.712666999244725,0.0002519005002895,-0.010139962,0,3.598770969966098
Mfsd11,44.40244992837763,1.3863182459947582e-08,-0.0016294235,0,7.85813706076748
Mgat5b,19.780227191194523,0.0002448931158203,-0.2454251,0,3.611023423136887
Sec14l1,24.71277432684386,3.254542781880305e-05,-0.03886573,0,4.487510015161452
Sept9,6.429431784572157,0.0718883741347521,0.0452614,0,1.1433413385096256
