features,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9
9mo.2mo.Q.median.loops,True,True,True,True,True,False,False,False,False,False
9mo.2mo.Q.std.loops,True,True,True,True,True,True,True,True,True,True
9mo.2mo.Q.max.loops,True,True,True,True,True,False,False,False,False,False
9mo.2mo.Q.min.loops,True,True,True,True,False,False,False,False,False,False
18mo.9mo.Q.mean.loops,True,True,True,False,False,False,False,False,False,False
18mo.9mo.Q.median.loops,True,True,True,True,False,False,False,False,False,False
18mo.9mo.Q.std.loops,True,True,True,True,True,True,False,False,False,False
18mo.9mo.Q.max.loops,True,True,True,True,False,False,False,False,False,False
18mo.9mo.Q.min.loops,True,True,True,True,False,False,False,False,False,False
18mo.2mo.Q.mean.loops,True,True,True,False,False,False,False,False,False,False
18mo.2mo.Q.median.loops,True,True,True,True,True,True,True,False,False,False
18mo.2mo.Q.std.loops,True,True,True,False,False,False,False,False,False,False
18mo.2mo.Q.max.loops,True,True,True,False,False,False,False,False,False,False
18mo.2mo.Q.min.loops,True,True,True,True,True,True,True,True,False,False
9mo.2mo.T.mean.loops,True,True,True,True,True,False,False,False,False,False
9mo.2mo.T.median.loops,True,True,True,True,True,True,True,True,False,False
9mo.2mo.T.std.loops,True,True,True,True,True,False,False,False,False,False
9mo.2mo.T.max.loops,True,True,True,True,True,True,False,False,False,False
9mo.2mo.T.min.loops,True,True,True,True,True,False,False,False,False,False
18mo.9mo.T.mean.loops,True,True,True,True,False,False,False,False,False,False
18mo.9mo.T.median.loops,True,True,True,True,True,False,False,False,False,False
18mo.9mo.T.std.loops,True,False,False,False,False,False,False,False,False,False
18mo.9mo.T.max.loops,True,True,True,True,True,True,False,False,False,False
18mo.9mo.T.min.loops,True,True,True,True,False,False,False,False,False,False
18mo.2mo.T.mean.loops,True,False,False,False,False,False,False,False,False,False
18mo.2mo.T.median.loops,True,True,True,True,True,True,True,True,True,True
18mo.2mo.T.std.loops,True,True,True,False,False,False,False,False,False,False
18mo.2mo.T.max.loops,True,True,True,True,False,False,False,False,False,False
18mo.2mo.T.min.loops,True,True,True,True,True,True,True,True,True,True
loop_size.log.mean.loops,True,True,False,False,False,False,False,False,False,False
loop_size.log.median.loops,True,True,False,False,False,False,False,False,False,False
loop_size.log.std.loops,True,True,True,False,False,False,False,False,False,False
loop_size.log.max.loops,True,True,True,True,True,True,True,False,False,False
loop_size.log.min.loops,True,True,False,False,False,False,False,False,False,False
min_distance.log.mean.loops,True,True,True,True,True,False,False,False,False,False
min_distance.log.median.loops,True,True,True,True,True,True,True,True,True,False
min_distance.log.std.loops,True,True,True,True,True,True,False,False,False,False
min_distance.log.max.loops,True,True,False,False,False,False,False,False,False,False
min_distance.log.min.loops,True,True,True,True,True,False,False,False,False,False
count.loops,True,True,True,True,True,False,False,False,False,False
