gene,DEG,pred,dmr,mcg_genebody,mch_genebody,atac,hic_loop,hic_abc_dmr,hic_abc_peak
Slc25a53,0,-1,7.469689e-14,6.941623e-20,1.0,6.9066606e-25,1.05322856e-16,3.9402363e-11,2.6441414e-13
Socs7,0,-1,1.4527523e-13,6.0881196e-15,1.0,8.687081e-18,1.049095e-15,6.748817e-10,6.510358e-14
Ide,0,0,1.4400986e-23,1.30851e-25,1.9674589e-22,0.0,1.0,2.4937633e-20,5.397167e-24
Zfand6,0,0,0.000109333436,0.93477726,0.0006094347,2.5339373e-18,2.5241786e-07,0.064487465,1.6253522e-05
Alkbh2,0,0,1.4912394e-17,2.4662857e-31,1.1561539e-24,4.163346e-15,1.0,1.3567662e-21,1.3440198e-24
Ckmt1,0,1,1.5964064e-36,0.0,3.8734627e-30,1.0,6e-45,1.293927e-39,1.539e-42
Ddx4,0,0,6.988001e-05,0.69122165,0.011686445,1.1113739e-30,1.2720938e-07,0.29696125,6.052579e-05
St18,0,0,0.9929751,8.9408825e-10,0.00052322214,2.6522242e-38,9.0892016e-10,0.006501562,1.2590654e-07
Abcb4,0,0,1.4400986e-23,6.1927784e-29,1.05843317e-22,0.0,1.0,1.2641339e-21,1.0076621e-23
Magi2,0,0,2.5660536e-06,1.4045975e-12,0.99700886,8.614124e-15,4.735949e-08,0.0029863818,2.0801613e-06
Cys1,0,1,8.549138e-18,1.1207512e-21,3.679109e-13,1.0,1.734418e-20,3.6110272e-16,1.1739209e-18
Cyfip1,0,0,1.4400986e-23,1.0414506e-16,4.455923e-11,6.3207843e-19,1.0,6.043884e-20,2.9370652e-24
Sin3a,0,1,4.479901e-27,2.3189497e-22,5.7418187e-15,1.0,3.9158808e-29,4.641744e-25,1.3965555e-27
Acp2,0,0,6.1602273e-06,0.9914324,0.008352317,2.8575485e-27,1.2465123e-08,0.000208748,3.5325567e-07
Sema7a,0,0,0.00011247567,6.1126118e-09,0.0031588427,1.6317876e-34,1.8779868e-07,0.9967026,2.5858992e-05
Trmt112,0,-1,1.0698962e-16,1.0,7.05038e-18,4e-45,1.7249635e-19,5.134456e-13,3.4537838e-17
Pcdh1,0,-1,1.19185595e-20,1.0,6.2285166e-18,1.2479077e-33,3.0288548e-23,2.9865716e-18,1.0617538e-21
Raph1,0,-1,1.9804938e-07,0.9998838,0.00011600314,1.9954353e-16,1.8828199e-19,1.4563056e-14,6.9340747e-18
Tomm20,0,1,1.1334463e-12,7.9686745e-14,3.857292e-20,1.0,4.1259397e-22,3.0104006e-16,1.2549765e-20
Zdhhc18,0,1,5.7142635e-23,2.6020713e-35,2.7088696e-17,1.0,9.0488615e-33,2.4922886e-28,2.6808798e-30
