cell_type,gene,DEG,pred,dmr,mcg_genebody,mch_genebody,atac,hic_loop,hic_abc_dmr,hic_abc_peak
L6_CT_CTX_Glut,Snx2,0,0,0.120258525,0.1201081,0.10695646,0.097408086,0.23286265,0.1931439,0.12926222
L6_CT_CTX_Glut,Ost4,0,0,0.18384705,0.1315804,0.18244652,0.14085038,0.1843308,0.119678475,0.05726635
L6_CT_CTX_Glut,Cep78,0,-1,0.13342683,0.18626955,0.14526613,0.16909121,0.020068487,0.18179867,0.16407911
L6_CT_CTX_Glut,Rps27l,0,0,0.15858638,0.11856531,0.17295127,0.14466643,0.07415747,0.21861109,0.11246199
L6_CT_CTX_Glut,Gnpnat1,0,0,0.13182622,0.09250842,0.17419206,0.16181901,0.070131846,0.22084653,0.14867593
L6_CT_CTX_Glut,Cds2,0,-1,0.10834462,0.10650748,0.14167935,0.2089422,0.17666973,0.13865104,0.11920564
L6_CT_CTX_Glut,Gm17106,0,-1,0.10378424,0.06365166,0.24443716,0.1478541,0.2839352,0.08218426,0.07415336
L6_CT_CTX_Glut,Ube2s,0,-1,0.15941516,0.122796655,0.13723971,0.16222192,0.09710246,0.1252389,0.19598518
L6_CT_CTX_Glut,Sub1,0,-1,0.17194262,0.107655436,0.15724795,0.15341362,0.019933186,0.2273738,0.16243345
L6_CT_CTX_Glut,Ankzf1,0,-1,0.15870923,0.15549551,0.12907209,0.15625142,0.092399515,0.082394,0.22567819
L6_CT_CTX_Glut,Hinfp,0,-1,0.17285001,0.16887054,0.16337252,0.13818157,0.020038376,0.18240774,0.15427917
L6_CT_CTX_Glut,St3gal4,0,0,0.114868365,0.113274015,0.5735159,0.07909086,0.013316607,0.053449173,0.052485026
L6_CT_CTX_Glut,Cutc,0,0,0.106188215,0.09931941,0.39299893,0.14271373,0.06853945,0.11559371,0.07464648
L6_CT_CTX_Glut,Ndufaf7,0,0,0.14320292,0.13304253,0.11714123,0.12985078,0.14398123,0.1671592,0.16562216
