cell_type,gene,DEG,pred,dmr,mcg_genebody,mch_genebody
CA1-ProS_Glut,Fam120b,1,0,0.31352863,0.3228898,0.36358154
CA1-ProS_Glut,Rpl22l1,-1,-1,0.07491316,0.101812735,0.8232741
CA1-ProS_Glut,Bdnf,-1,-1,0.2735385,0.2842988,0.44216263
CA1-ProS_Glut,Negr1,1,1,0.06604947,0.08080318,0.8531473
CA1-ProS_Glut,Lpcat4,1,0,0.27328196,0.12630993,0.60040814
CA1-ProS_Glut,Fhl1,1,1,0.13553974,0.13050131,0.7339589
CA1-ProS_Glut,Slc24a2,-1,-1,0.24639751,0.5312664,0.2223361
CA1-ProS_Glut,5330417C22Rik,1,1,0.23560135,0.18291926,0.5814794
CA1-ProS_Glut,4930419G24Rik,-1,-1,0.1942461,0.58693033,0.21882354
CA1-ProS_Glut,Sorl1,-1,-1,0.36421227,0.36593872,0.269849
CA1-ProS_Glut,Mccc1,1,1,0.26806036,0.19352508,0.53841454
CA1-ProS_Glut,Rpl36a,-1,-1,0.091697544,0.16979128,0.73851115
CA1-ProS_Glut,Rttn,1,1,0.14231248,0.113829225,0.7438583
CA1-ProS_Glut,Clasp1,1,1,0.4160402,0.22185653,0.36210325
CA1-ProS_Glut,Fxr2,1,1,0.309077,0.120225474,0.57069755
CA1-ProS_Glut,Meg3,1,0,0.18884394,0.15343454,0.6577215
CA1-ProS_Glut,Usp50,-1,1,0.15537792,0.26425886,0.5803632
CA1-ProS_Glut,Spata7,1,1,0.35951328,0.31645402,0.3240327
CA1-ProS_Glut,Chn1,-1,-1,0.3408787,0.2180919,0.44102937
CA1-ProS_Glut,Plekhg1,-1,-1,0.27009255,0.098307885,0.63159955
CA1-ProS_Glut,Clk1,1,0,0.24420154,0.26783696,0.48796147
CA1-ProS_Glut,Plcxd3,1,1,0.14934507,0.11266779,0.7379871
CA1-ProS_Glut,Rps3,-1,0,0.23174231,0.2174144,0.5508433
CA1-ProS_Glut,Sgsm2,1,1,0.26671985,0.10958032,0.6236999
CA1-ProS_Glut,1700111E14Rik,-1,0,0.22369313,0.27371126,0.5025956
CA1-ProS_Glut,Sfswap,1,1,0.24881354,0.15828863,0.59289783
CA1-ProS_Glut,Tnpo2,1,1,0.32592312,0.15739256,0.5166843
CA1-ProS_Glut,Sptbn2,-1,-1,0.19598062,0.62433344,0.17968589
CA1-ProS_Glut,Atp1b1,-1,1,0.21366405,0.3493003,0.43703568
CA1-ProS_Glut,N4bp1,1,1,0.3027832,0.24520625,0.4520106
CA1-ProS_Glut,Slc25a4,-1,0,0.16761896,0.27724698,0.555134
CA1-ProS_Glut,Olfm3,-1,0,0.2357917,0.19777513,0.5664332
CA1-ProS_Glut,Cep85,1,1,0.15296775,0.15466204,0.69237024
CA1-ProS_Glut,Chrm3,-1,-1,0.20855758,0.26627254,0.52516985
CA1-ProS_Glut,Adamts9,1,1,0.09067773,0.116433665,0.79288864
CA1-ProS_Glut,Clmp,-1,-1,0.33027068,0.16705552,0.50267386
CA1-ProS_Glut,Timm8b,-1,-1,0.09984021,0.099031225,0.8011285
CA1-ProS_Glut,Arl3,1,1,0.22520098,0.15584424,0.6189548
CA1-ProS_Glut,Foxn3,1,1,0.06788731,0.08518067,0.84693205
CA1-ProS_Glut,Rps25,-1,-1,0.12468251,0.11553777,0.75977975
CA1-ProS_Glut,Cntnap5b,1,1,0.17623925,0.12632844,0.6974323
CA1-ProS_Glut,Mgat4c,1,1,0.304744,0.2235951,0.4716609
CA1-ProS_Glut,Gm1992,-1,0,0.3592771,0.14622918,0.49449363
CA1-ProS_Glut,Eftud2,1,1,0.40336528,0.1629761,0.43365857
CA1-ProS_Glut,Hist3h2ba,-1,-1,0.032777015,0.42849305,0.5387299
CA1-ProS_Glut,Grid2,1,1,0.10648883,0.11074694,0.78276414
CA1-ProS_Glut,Igsf11,-1,-1,0.19777691,0.15520665,0.6470164
CA1-ProS_Glut,Slc24a3,-1,1,0.49403346,0.22744216,0.27852443
CA1-ProS_Glut,Atxn2l,1,0,0.2486126,0.26097113,0.4904163
CA1-ProS_Glut,Ankhd1,1,1,0.34709972,0.42805564,0.22484472
CA1-ProS_Glut,Gm16070,1,0,0.26652277,0.2502759,0.48320132
CA1-ProS_Glut,Zfp612,1,0,0.2415758,0.3285476,0.42987657
CA1-ProS_Glut,Zswim8,1,0,0.17373265,0.2683793,0.55788803
CA1-ProS_Glut,Nsg2,-1,1,0.4357431,0.2895619,0.27469504
CA1-ProS_Glut,Sf3b5,-1,-1,0.14508796,0.204348,0.650564
CA1-ProS_Glut,Shisa9,1,1,0.08231455,0.09075884,0.8269266
CA1-ProS_Glut,Zmym3,1,0,0.20038195,0.15503328,0.6445848
CA1-ProS_Glut,Efr3b,1,1,0.13886045,0.11455311,0.74658644
CA1-ProS_Glut,4933434E20Rik,1,1,0.34716734,0.2966317,0.35620102
CA1-ProS_Glut,Srrm3,1,1,0.2593146,0.19955929,0.5411261
CA1-ProS_Glut,Ift140,1,1,0.109433986,0.124803334,0.7657627
CA1-ProS_Glut,Htr2c,1,1,0.29203537,0.1998634,0.5081013
CA1-ProS_Glut,Cep120,1,1,0.18858586,0.32181814,0.48959595
CA1-ProS_Glut,Mctp1,1,1,0.09838592,0.12089768,0.7807163
CA1-ProS_Glut,Tuba1a,-1,-1,0.11599398,0.27605954,0.60794646
CA1-ProS_Glut,Dennd4a,1,1,0.28525493,0.113288425,0.60145664
CA1-ProS_Glut,Fndc3a,1,0,0.33097917,0.2904362,0.3785846
CA1-ProS_Glut,Flt3,1,0,0.22581497,0.16435613,0.60982895
CA1-ProS_Glut,Exd2,1,0,0.22823612,0.100731745,0.6710322
CA1-ProS_Glut,Actr3b,-1,-1,0.13525406,0.6810625,0.18368347
CA1-ProS_Glut,Fance,1,1,0.38950115,0.19286934,0.41762954
CA1-ProS_Glut,Arhgef28,1,1,0.14181925,0.09394783,0.76423293
CA1-ProS_Glut,Fmnl2,1,1,0.072796136,0.11570984,0.811494
CA1-ProS_Glut,Fbxo21,1,1,0.41823992,0.16989757,0.41186246
CA1-ProS_Glut,Dcaf10,1,1,0.24744228,0.18142955,0.57112825
CA1-ProS_Glut,Ap3b2,1,1,0.44336343,0.2631691,0.2934675
CA1-ProS_Glut,Mif,-1,-1,0.032777015,0.42849305,0.5387299
CA1-ProS_Glut,Nell1,-1,-1,0.4635735,0.16154447,0.374882
CA1-ProS_Glut,Gm15283,-1,1,0.24879578,0.25957623,0.491628
CA1-ProS_Glut,Gm26936,-1,-1,0.18036649,0.23497209,0.58466136
CA1-ProS_Glut,A330076H08Rik,1,1,0.17118563,0.14250405,0.68631035
CA1-ProS_Glut,Gm13944,-1,0,0.29059106,0.24326386,0.46614513
CA1-ProS_Glut,Rsrp1,1,-1,0.16639255,0.27253094,0.56107646
CA1-ProS_Glut,Dpy19l1,1,1,0.062266823,0.10689218,0.830841
CA1-ProS_Glut,Brip1os,-1,1,0.28277895,0.1860943,0.5311268
CA1-ProS_Glut,Usp54,1,1,0.2916797,0.25370204,0.45461822
CA1-ProS_Glut,Rbm3,1,0,0.14550526,0.1410989,0.7133959
CA1-ProS_Glut,Osbpl3,-1,-1,0.17255326,0.068326734,0.75912005
CA1-ProS_Glut,Ncam1,1,1,0.15611158,0.13032755,0.71356094
CA1-ProS_Glut,Cry2,1,1,0.39086396,0.19616218,0.4129738
CA1-ProS_Glut,Hist3h2a,-1,-1,0.07093086,0.18053126,0.7485379
CA1-ProS_Glut,Wasl,-1,-1,0.31149355,0.26373944,0.42476702
CA1-ProS_Glut,Ptprn,1,1,0.33200285,0.17241994,0.49557716
CA1-ProS_Glut,Ints3,1,1,0.26192653,0.11209346,0.62597996
CA1-ProS_Glut,A730090N16Rik,-1,-1,0.16300598,0.075804636,0.76118934
CA1-ProS_Glut,Adk,1,1,0.12164589,0.16302831,0.71532583
CA1-ProS_Glut,Zdhhc20,1,1,0.2429055,0.29784855,0.45924598
CA1-ProS_Glut,Rbm33,1,1,0.09855868,0.10994972,0.7914916
