,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,DEG
Tlk1,0.049362120198871,-0.191604862208658,0.217,0.24,1.0,0
Arid4a,0.0493789409988789,-0.146557079665093,0.213,0.227,1.0,0
Aim2,0.0496006118897744,-0.589645268969858,0.016,0.025,1.0,0
Foxred1,0.0496189746400753,-0.386111874884726,0.033,0.043,1.0,0
Mbd3,0.0496891017775569,-0.926680256247428,0.007,0.014,1.0,0
Trmt10b,0.0496965669968252,-0.51925594107846,0.028,0.041,1.0,0
Zfp626,0.0497359352756208,-0.687492592368002,0.016,0.026,1.0,0
Apoo,0.0497846568133209,-0.296770349472297,0.11,0.132,1.0,0
Srp14,0.0497883456889764,-0.569986743199389,0.023,0.036,1.0,0
Uba5,0.0498400725124848,-0.256828857939759,0.093,0.112,1.0,0
Ppa2,0.0498681826355384,-0.383058550907172,0.057,0.074,1.0,0
Lactb2,0.0499970804424601,-0.204835949105886,0.081,0.09,1.0,0
Tpd52l1,0.0501244177407855,-0.454192484784685,0.051,0.069,1.0,0
Emb,0.0502353167788243,-0.170032296219523,0.137,0.15,1.0,0
Ccnyl1,0.0502983825631014,-0.295914065913147,0.063,0.079,1.0,0
Fpgt,0.0504571450294523,-0.891914838086752,0.009,0.017,1.0,0
Cyth1,0.0505226860038492,-0.102671705884102,0.222,0.23,1.0,0
Xrcc4,0.0506240989189377,-0.275316529803762,0.18,0.217,1.0,0
Tmco1,0.0508516099670616,-0.489816394515406,0.025,0.035,1.0,0
A830031A19Rik,0.0508701403123896,-0.388410990974314,0.051,0.068,1.0,0
Tubg1,0.0508888858866559,-1.01978966063891,0.006,0.014,1.0,0
Mtg1,0.0508926236001224,-0.811203038827493,0.008,0.016,1.0,0
Max,0.0509230319847705,-0.259255595334299,0.085,0.1,1.0,0
Ier5,0.0509287349484826,-1.11932533418983,0.004,0.01,1.0,0
Traip,0.0509913751057626,-0.246140095544041,0.145,0.172,1.0,0
Noxred1,0.0509948191411968,-0.687492592368002,0.016,0.026,1.0,0
Dbt,0.0510147508848778,-0.413271016551307,0.041,0.053,1.0,0
Fads3,0.0511606787912759,-0.80884376595357,0.011,0.021,1.0,0
Ccsap,0.0512410566013292,-0.382359740023618,0.047,0.063,1.0,0
Lacc1,0.0513076451933693,-0.677320787310712,0.014,0.023,1.0,0
Hmgcl,0.0513182247527599,-0.401838747963843,0.03,0.043,1.0,0
Herc3,0.0513732759563747,0.174841688898865,0.382,0.333,1.0,0
4933439C10Rik,0.0515266880433087,-0.844218096055456,0.012,0.022,1.0,0
Pdcd6ip,0.0515290284345636,-0.156304246814952,0.136,0.147,1.0,0
Vac14,0.0515529666131393,-0.394185175420408,0.037,0.049,1.0,0
Mrpl21,0.0515798334906187,-0.450652127079437,0.034,0.048,1.0,0
Hkdc1,0.0517284540063978,-0.819765052330917,0.009,0.017,1.0,0
Acvr1c,0.0518710075919357,-0.507727706965202,0.08,0.111,1.0,0
Rsph3b,0.051885019745634,-0.274603559667735,0.03,0.037,1.0,0
Lpcat3,0.0519110776651849,-0.232370359337912,0.093,0.109,1.0,0
Atp6v0e2,0.0519219788563167,-0.267717174082495,0.042,0.05,1.0,0
Rnf6,0.05198317421285,-0.377341665256994,0.027,0.036,1.0,0
Ppp2r1b,0.0519917478926922,-1.09660525768974,0.005,0.012,1.0,0
Sox12,0.0521027600829158,-0.45955424582013,0.033,0.044,1.0,0
Aktip,0.0521038461749201,-0.261864447837057,0.042,0.053,1.0,0
Med14,0.0521762133002219,0.16843428403443,0.321,0.279,1.0,0
Rbbp8,0.0523374749857672,-0.537637965501529,0.038,0.052,1.0,0
Srek1ip1,0.0523842161163573,-0.330222116688443,0.042,0.054,1.0,0
Fam171a1,0.0524214377815195,-0.119887021968338,0.272,0.284,1.0,0
Wdsub1,0.0524273563592182,-0.582725855030067,0.022,0.034,1.0,0
Rbbp5,0.0524786585468059,-0.156977875669222,0.069,0.08,1.0,0
Crkl,0.052489150569488,-0.35156554148262,0.051,0.065,1.0,0
Lifr,0.0524994293377264,0.249746311136839,0.176,0.157,1.0,0
Mex3b,0.0525121886854114,-0.72874087863552,0.008,0.015,1.0,0
Mdc1,0.0525404002724208,-1.01156915383394,0.007,0.015,1.0,0
Heatr5a,0.0525513602054178,-0.292329728564109,0.07,0.084,1.0,0
Fam163a,0.0526235466072291,0.765197448390239,0.018,0.01,1.0,0
Rnmt,0.0527310725832064,-0.278707958000472,0.078,0.096,1.0,0
Tab1,0.0528720802579426,-0.546832185430884,0.025,0.036,1.0,0
Arhgap5,0.0528880963863762,-0.143979655178092,0.321,0.342,1.0,0
Cndp2,0.0528954980958094,-0.57119960164904,0.02,0.029,1.0,0
Tex10,0.0529066170693301,-0.276947500136035,0.134,0.163,1.0,0
Mri1,0.0529282648599178,-0.10176696280552,0.127,0.134,1.0,0
Fndc1,0.0529635341387385,-0.187805072072591,0.05,0.063,1.0,0
