,DEG,pred
Sptan1,0,0
Csnk1g2,0,0
Zmynd8,0,0
Lrrfip1,0,0
Ptprs,0,0
Gm1043,0,1
Psap,0,0
Stk25,0,1
Me3,0,0
Akap8l,0,0
Supt5,0,0
Spred2,0,1
Rogdi,0,0
Lrp1,0,0
Slc8a2,0,0
Lrrc4b,0,0
Nckap1,1,0
Usp7,0,0
Nrxn2,0,0
Pabpc4,0,0
Ephb2,0,0
Ankrd13d,0,0
Setx,0,0
Bptf,0,0
Prkce,1,0
Tcf25,0,0
Stxbp1,0,0
Ckb,0,0
Ptk7,0,0
Dtx3,0,0
Zswim8,0,0
Celf1,0,0
Fus,0,0
Bcl11b,0,0
Stmn3,0,0
Ngef,0,0
Cabp1,0,0
Arpp21,1,1
Mmp17,0,0
Nrgn,0,0
Stag1,2,2
Smarcc2,0,0
Abca3,0,0
Ntrk2,1,0
Icam5,0,1
Sema6d,1,2
Clstn3,0,0
Col5a1,0,0
Sh3glb2,0,1
Dync1h1,0,0
Ttc14,0,1
Agap2,0,0
Hnrnpl,0,0
4930402H24Rik,0,0
Pou2f2,0,0
Cul9,0,0
Gm15738,2,2
Fam171a2,0,0
Gabbr1,0,0
Cnot1,1,2
Atp6v0c,0,0
Adam15,0,0
Tmem132b,0,0
Gtpbp2,0,1
Cacna2d3,2,2
Atcay,0,0
Iqsec1,0,1
Msl1,0,0
Smg5,0,0
Pi4ka,0,0
Ppp1r37,0,0
Asap2,0,0
Clstn1,0,0
Fnip1,2,2
Chst1,0,0
Atp2b3,0,0
Crocc,0,0
Mical2,0,0
Ptpru,0,0
Strada,0,1
Lmna,0,0
Grik4,0,0
Rab11fip4,0,0
Rapgefl1,0,0
Bin1,0,0
Prrt1,0,0
Ddx17,0,0
Ppp1r9a,1,2
Slc24a5,2,2
Elfn2,0,0
Gigyf1,0,0
Fbxl17,2,2
Nr3c2,2,2
R3hdm4,0,1
Pafah1b1,0,1
Faf1,2,2
Cnot3,0,0
Xist,2,2
Dnm3,1,0
Rfng,0,0
Cmip,0,0
Rsrp1,0,0
Ccl27a,0,1
Tbc1d24,0,0
Rabgap1l,2,2
Neurod2,0,0
Sel1l3,0,0
Immp2l,2,2
Vps13b,1,2
Ndrg4,0,0
Ube2b,0,0
Sept3,0,0
Ccser1,2,2
Speg,0,0
Chd5,0,0
Arhgap21,1,1
Ccnl2,0,0
Odf2,0,0
Syngr1,0,0
Cwh43,0,1
Actr1b,0,0
Rbm5,0,0
Banf2,0,1
Strn4,0,0
Spock2,0,0
Atp2a2,0,0
Myo9b,0,0
Ephb1,0,0
Clk3,0,0
Ppp1r12c,0,1
Arf3,0,0
Celsr2,0,0
Sema5b,0,0
Csnk1e,0,0
Rpl41,0,0
Zcchc7,1,1
Atp6v0a1,0,0
Sbf1,0,0
Ep400,1,0
Polr1a,0,0
Safb2,0,0
Anks3,0,0
Gramd1a,0,0
Trmt1,0,0
Ash1l,1,0
Chka,0,0
Calm2,0,0
R3hdm2,0,0
Mapk8ip3,0,0
Tnrc6c,1,0
Rps6kl1,0,0
Kif1a,0,0
Stx1b,0,0
Hsp90b1,0,0
Klc2,0,0
Kidins220,0,1
Dapk1,0,0
Plekha7,0,0
Klc1,0,0
Lix1,0,0
Tcf12,2,2
Rgl2,0,0
Rnpep,0,1
Trerf1,0,0
Dmtn,0,0
Atg9a,0,0
Chuk,0,1
Cdh12,2,2
Tnk2,0,0
Phyhd1,0,1
Slc25a51,0,0
Atp9a,0,0
Dagla,0,0
Sfswap,0,0
Gm28376,2,2
Trim46,0,0
Ubr2,1,0
Robo1,1,2
Mast2,0,0
Gripap1,0,0
Reep2,0,0
Eno2,0,0
Arglu1,2,2
Slc27a1,0,0
Sfpq,0,1
Rtn1,1,1
Dlgap1,1,2
Zmiz2,0,0
Kcnip3,0,0
Prrc2a,0,0
Arhgef25,0,0
Kcnc3,0,0
Myl6,0,0
Kif5a,0,0
Rfx3,2,2
Srcap,0,0
Sept11,0,0
Ttbk1,0,0
A330102I10Rik,0,1
Meis2,1,0
Akt3,2,2
Dazap1,0,0
Tmem191c,0,0
Usp4,0,0
Asap1,1,0
Mafg,0,0
Fmnl1,0,0
Clk1,0,0
Ptpn9,0,0
Ctxn1,0,0
Gtdc1,2,2
Ggt7,0,0
Wipf2,0,0
Tnfrsf25,0,1
Tmem63c,0,0
Sema4a,0,0
Cnot6l,1,1
Pcyt2,0,0
Ptbp2,1,1
Dnm1,0,0
5330438D12Rik,2,2
Pitpna,0,0
Pcsk2os2,2,2
Ubn2,1,0
Gpi1,0,0
Taok2,0,0
Gnb2,0,0
L1cam,0,0
Lsm7,0,1
Svop,0,0
Ankrd28,2,2
Rap1gap,0,0
Rmnd5b,0,0
Rabac1,0,0
Sept8,0,0
Necab3,0,0
Ogt,0,0
Plec,0,0
Setdb1,0,0
Kcnj9,0,0
Casc3,0,0
Fam81a,0,0
Srrm2,0,0
Psmd13,0,1
Gm26749,2,2
Fbxw5,0,0
Tbc1d9b,0,0
Brip1os,2,2
Cadm4,0,0
Map3k10,0,0
Dkk3,0,0
St8sia5,0,0
Zfc3h1,1,1
Nfasc,0,0
Chpf2,0,0
Pcca,2,2
Adora1,0,0
Ppfia3,0,0
Ahdc1,0,0
Bsn,0,0
Armc9,0,0
Rpl37a,0,1
Picalm,2,2
Rab40c,0,0
Edc4,0,0
Far1os,2,2
Nfix,0,0
Mef2a,1,2
Cacnb4,1,1
Mbd5,2,2
Arhgef2,0,0
Ckmt1,0,1
Nxf1,0,0
Calm1,0,0
Dmwd,0,1
Otud7a,1,0
Faah,0,0
Kcnt1,0,0
Wnk1,1,2
Marf1,0,0
Nalcn,1,1
Zranb2,0,1
Wac,2,2
Bcl11a,1,1
Smyd3,2,2
Dlg1,1,0
Tia1,0,1
Rb1cc1,0,1
Map7d1,0,0
Arf5,0,1
Acap3,0,0
Tmeff2,2,2
Zcchc18,0,1
Zfp740,0,0
Pitpnc1,0,0
Pip5k1a,0,0
Socs7,0,0
Slc27a4,0,0
Rbm26,1,1
Ilf3,0,0
Mmp16,1,2
Grip2,0,0
Ylpm1,1,0
Caskin1,0,0
9330159F19Rik,0,1
Aldoa,0,0
Hnrnph1,0,1
Ncs1,0,0
Izumo4,0,0
Ccnt2,1,1
2900026A02Rik,0,0
Irak1,0,1
Atp6v1g2,0,0
Ino80,1,0
Gle1,0,0
Lrba,2,2
Zmym4,1,1
Tacc1,0,0
Wwc1,0,0
Rbm6,1,0
Spns1,0,0
Slc45a1,0,0
Rhot2,0,0
Gm26549,0,0
Dvl1,0,0
Sorbs1,1,1
Oprm1,2,2
Dbndd2,0,1
Pcdh15,0,2
Ankrd13b,0,0
Nrp1,0,2
Sez6l2,0,0
Gls,1,1
Vwa5b2,0,0
Kif17,0,0
Camkk2,0,0
Prkag2,0,0
Usp32,0,1
Dgkb,2,2
Nrxn1,2,2
Mapk8ip1,0,0
Gon4l,0,0
Ndrg3,0,0
Zdhhc8,0,0
Zfp280d,1,1
Dot1l,0,0
Dync1li1,0,0
Ksr2,1,0
Igf1r,1,0
Dmxl2,1,0
Klf12,2,2
Ranbp3,0,0
Cltb,0,0
Srrm1,1,0
Mdn1,0,1
Med24,0,0
Pfkm,0,0
Rbfox2,1,0
Brd4,0,0
Nfrkb,0,1
Cspp1,0,1
Tpm3,0,0
Rps16,0,0
Nt5c3b,0,0
Dnm2,0,0
Ppp6r3,1,1
Lzts3,0,0
Gm20642,2,2
Dhdds,0,0
Vps13d,0,0
Tuba4a,0,0
Pias4,0,0
Slc6a7,0,0
Senp5,1,0
Csnk1a1,1,1
Pip4k2b,0,0
Sntg1,2,2
Nsd1,1,0
Tnpo1,1,0
Creld1,0,0
Clip3,0,0
Mgat4c,1,2
Pip5k1c,0,0
Sox5,1,2
Mef2d,0,0
Slc25a3,0,1
Hps4,0,0
Slitrk5,0,1
Nop56,0,0
Eml2,0,0
Sf3b1,1,1
Gas7,0,0
Cherp,0,0
Usp9x,1,0
Baz1b,1,0
Cdk16,0,1
Sirpa,0,0
Zfp668,0,0
Fxyd6,0,0
Birc6,1,0
Nfs1,0,1
Eif4g3,0,0
Ppip5k1,0,0
Iqce,0,0
Tra2a,0,1
Alcam,2,2
Tmem214,0,1
Xylt1,1,0
Glt1d1,0,1
Xndc1,0,0
Ddx6,1,0
Ube4b,0,0
Dlc1,1,2
Elmod1,0,0
Kif21b,0,0
Dab2ip,0,0
Ric1,1,1
Tbce,0,0
Tusc3,1,1
Prkg1,1,2
Crebbp,1,0
Gpm6a,1,1
Megf8,0,0
Tango2,0,0
Sympk,0,0
Rusc1,0,0
Ap2a2,0,0
Lysmd4,2,2
Unc13b,0,0
Slc25a23,0,0
Hace1,1,1
Supt6,0,0
Cramp1l,0,0
Trappc8,0,1
Syt6,0,0
5530401A14Rik,2,2
Ece1,0,0
Dip2b,0,0
Plxna2,1,0
Prpf38b,1,1
Zfr2,0,0
Plekha1,0,0
Col12a1,0,0
Krit1,1,1
Dock4,2,2
Rasgrp1,0,0
Shprh,1,1
Dbn1,0,0
Osbpl10,0,0
Tyro3,0,0
Ptprj,1,1
Nlgn2,0,0
Clk4,1,1
Sh3gl2,1,2
Micu3,1,1
Son,0,0
Prrc2b,0,0
2610507B11Rik,0,0
Zer1,0,0
Cox8a,0,0
Pld3,0,0
Mbd6,0,0
Pcgf6,0,1
Limk1,0,0
Hectd1,1,1
Abca2,0,0
B3galt1,2,2
Abi2,1,1
Mllt10,1,2
Xpo1,1,1
Rfc2,0,0
Cobl,2,2
Cpe,0,1
Chfr,0,0
Rims2,1,1
Cdipt,0,0
B4galnt4,0,0
Man1b1,0,0
Khdrbs1,0,0
Rpl35a,0,0
Capn15,0,0
Qk,2,2
Ergic3,0,1
Ank,1,0
Zdhhc1,0,1
Zc3h7a,0,0
Sult4a1,0,0
Exoc6b,1,2
4932438A13Rik,1,1
Dync1i2,1,0
Tnr,1,2
Camk1,0,0
Srsf5,0,1
Lin28b,2,2
Pde1a,1,1
Cdc25b,0,0
Hdac3,0,0
Lgi1,0,0
Gabrb3,2,2
Mapk14,0,0
Cers4,0,0
Taf15,1,1
Numbl,0,0
Frmpd4,2,2
Brsk1,0,0
Dnajc7,0,0
Pfkp,0,0
Usp8,1,0
Kcnh3,0,0
Skap2,2,2
Zfhx2,0,0
Leng8,1,0
Etv5,0,0
Rsf1,1,2
Cmss1,1,2
Eml6,1,2
Psd,0,0
Gapvd1,0,0
Adamts10,0,1
Hecw1,1,1
Adcy2,1,0
Agtpbp1,1,1
Lingo1,0,0
Baz2a,0,0
Tubb5,0,0
Cntnap2,2,2
Fxr2,0,0
Lrrc45,0,0
Atp11b,0,1
Hs6st3,2,2
Nbeal1,2,2
Cep89,0,1
Fxyd5,0,0
Clptm1,0,0
Ttc5,0,1
Sugp2,0,1
Gm1992,2,2
Ide,1,0
Map1b,1,1
Ythdf3,1,1
Lrfn1,0,0
Rab6b,0,0
Efr3b,0,0
Sulf2,0,0
Uba6,0,0
Tom1l2,0,0
Sec16a,0,0
Slc20a1,0,0
Ttyh1,0,0
Kdm5c,0,0
Cdk13,1,1
Car7,0,0
Fam131a,0,0
4930419G24Rik,2,2
Rangap1,0,0
Csnk2a1,1,0
Pcsk1n,0,1
Plekhm2,0,0
Sv2b,1,0
Gm28379,2,2
Rnf157,0,0
Sorl1,1,0
Jazf1,1,2
Chd9,1,0
Nudt3,0,0
Rabep1,1,0
Tmem120b,0,0
Ranbp10,0,0
Pcm1,1,2
Kctd8,0,1
Aplp1,0,0
Kcnf1,0,0
Dnajc16,0,0
Fcho2,1,1
6530409C15Rik,2,2
Galnt13,2,2
Smarcc1,0,0
Map4k2,0,0
Fam57b,0,1
Emc1,0,0
Cyfip2,1,1
Nr1d1,0,0
Farsa,0,0
Tbc1d5,1,2
Cdc73,2,2
Gtf2i,1,0
Slc38a7,0,1
Ube2v1,0,0
Ggnbp2,0,0
Gm4258,1,1
Grid1,2,2
Khdrbs2,1,2
Cep295,0,1
Gphn,1,1
Zfp384,0,0
Vipas39,0,0
Actr1a,0,0
Rev3l,1,1
Taf1,0,0
A830082K12Rik,1,1
Shisa7,0,0
Tmsb10,0,1
Psma1,0,1
Sec61a1,0,1
Gabra1,0,0
Rufy3,0,0
Apbb1,0,0
Cul3,2,2
Taok1,0,0
Lrch3,1,1
Kmt2a,1,0
Kif21a,1,0
Grina,0,0
Riok1,0,0
Tctn2,0,0
Klf9,0,0
Arpc1a,0,0
Igsf9b,0,0
Pde4b,2,2
Ivns1abp,1,1
Ddi2,0,0
Rps19,0,0
Ubr4,0,0
Tmem38a,0,0
Cacnb1,0,0
Itpr1,1,2
Fubp1,1,1
Zmym3,0,1
Reep1,1,0
Rhbdl1,0,0
Zfp365,0,0
Ttc9b,0,0
Yeats2,1,0
Peg3,1,0
Mapk8ip2,0,0
Map6,0,0
Nlgn3,0,0
Vps41,1,1
Zc3h7b,0,0
Scai,1,1
Atp5k,0,1
Rit2,2,2
Klhdc3,0,0
Tet3,0,0
Sidt2,0,0
Slc24a3,0,1
Slmap,1,0
Brd9,0,0
Tle4,1,1
Filip1l,2,2
Pcbp4,0,0
Traip,0,0
Gdpd5,0,0
Psmd2,0,0
Slc17a5,0,1
Mkln1,1,1
Ildr2,0,0
Nfe2l1,0,0
Zfpm2,1,0
Rap1gap2,0,0
Cacul1,1,1
Txlna,0,0
Adam11,0,0
Herc2,1,0
Neurl4,0,0
Nktr,1,0
Spag9,1,0
Atp2b1,1,0
Hnrnph2,0,1
Gba2,0,0
Cacng8,0,0
Rsrc2,1,1
Cbx6,0,0
Tnks2,0,0
Maged1,0,1
Ccar1,0,0
Vamp2,0,0
Hnrnpu,1,1
Trpm7,1,1
Iqgap1,0,0
Ascc3,1,1
Kirrel3,2,2
Pcp4,0,1
Gpatch1,0,0
Ubtf,0,0
Anapc4,1,1
Gga3,0,0
Gramd1b,0,1
Hdac7,0,0
Pdzd4,0,1
Rbm25,0,0
Tmem30a,0,0
Rps29,0,1
Faim2,0,0
Haghl,0,0
Gtf3c2,0,0
Prrt3,0,0
Suz12,1,1
Tbc1d30,0,0
Chd4,0,0
Mphosph9,0,0
Ankhd1,1,1
Abr,0,0
Gm17167,0,1
Wdfy3,1,0
Dpp9,0,0
Pde4dip,1,1
Psmd4,0,0
Gm15810,2,2
Otud5,0,0
Abtb1,0,1
Rasgef1a,1,1
Acbd6,2,2
Slc2a3,0,1
Kif5b,0,1
Tnfrsf21,0,0
Atxn2,0,0
Ogfrl1,0,1
Stx5a,0,0
Ptk2b,0,0
Syn2,2,2
Ralgds,0,0
Thoc2,1,2
Prrc2c,1,1
Camk2g,0,0
Rpl13a,0,0
Oxr1,1,2
Cacng2,0,0
Slc25a14,1,1
Lmo7,0,1
Gmeb2,0,0
Phc2,0,0
Fam76a,0,0
Rnps1,0,0
Ap3d1,0,0
Gtf3c1,0,0
Gas2l1,0,0
Kcnk3,0,0
Extl1,0,1
Smurf1,0,0
Leng9,2,2
Tecpr1,0,1
Hivep3,1,2
Pet100,0,0
Myt1l,1,2
Bicd1,1,1
Adap1,0,0
Otub1,0,0
Rab11fip3,0,0
Ywhah,0,0
Cstf2,0,0
Itm2c,0,0
Elp2,0,1
Map3k12,0,0
Ubap2l,0,0
Brpf3,0,0
Ip6k1,0,0
Rai14,0,0
Ammecr1l,0,0
Actl6b,0,0
Traf3,0,0
Usp2,0,0
Map2k2,0,1
Scaf11,2,2
Lrfn2,1,0
Spg7,0,0
Coro7,0,0
Tenm2,2,2
Irf2bp2,0,0
Rab3a,0,0
Fnbp1l,1,1
Helz,1,1
Sppl2a,1,1
8030462N17Rik,1,1
Phf12,0,0
Tada2a,0,1
Lpgat1,1,0
Sox11,0,1
Gdap1l1,0,0
Senp2,0,0
Osbpl3,0,1
Astn1,1,2
Ldb1,0,0
Kmt2b,0,0
Sdk1,1,0
Mapk11,0,0
Sema6b,0,0
Ilf2,0,0
Dennd1a,1,2
Flrt2,1,1
Nf1,1,2
Zbtb4,0,0
Calr,0,0
Arhgef1,0,0
Pard3,2,2
Atp6ap2,0,1
Zfp827,0,0
Abcc5,0,0
Gde1,0,0
Ttc19,1,0
Gpr137,0,0
Mgrn1,0,0
Orc4,1,1
Fbrs,0,0
Ctnnd1,0,1
Aifm3,0,0
Calm3,0,0
Eif4enif1,0,0
Dennd6b,0,0
Klf13,0,0
Tjap1,0,0
Lypla2,0,0
Apba2,1,1
Wdr7,1,2
Strip1,0,1
Snx13,1,1
Zc3h14,1,1
Iqgap2,0,0
Slc43a2,0,1
Etnk1,1,1
Ascc2,0,0
Alas1,0,0
Osbp,0,0
4732471J01Rik,1,1
Nr4a1,0,0
Fbrsl1,0,0
Numa1,0,0
Zeb1,2,2
Ablim1,1,0
Pianp,0,0
9630028H03Rik,2,2
4930480K15Rik,2,2
Rplp1,0,1
Tef,0,0
Trim37,0,0
Zfyve28,0,0
Lmbrd1,1,1
Adar,0,0
Sin3b,0,0
Ppp2r2a,2,2
Setbp1,1,2
Arhgap25,0,0
Nab2,0,0
Dync2h1,1,1
Smarcd2,0,1
Dzip1,0,0
Epn2,0,0
Vcp,0,1
Sept9,0,0
Luc7l,0,0
Ap2m1,0,0
Hook2,0,0
Appl1,1,1
Npepps,1,0
Pkm,0,0
Rasa1,2,2
Gng3,0,0
Tfrc,0,0
Kcnab2,0,0
Smg9,0,0
Abcf1,0,0
Agbl4,1,2
Dst,1,2
Stx3,0,0
Slit1,0,0
Ncor1,1,0
Ahcyl2,1,2
Usp48,1,0
Dennd5b,1,1
Mapk1,1,0
Pik3r2,0,0
Nup214,1,0
Abhd16a,0,0
Zfr,1,0
Arid1a,0,0
Pcsk7,0,0
Tlk1,1,1
Srpk1,0,0
Bsg,0,0
Fut9,1,2
Ankrd40,0,1
Gtf2h1,0,0
Mid1,0,0
Trim41,0,1
Usf2,0,0
Cep350,1,1
Zfyve9,1,0
Dync1li2,0,0
BC005537,0,1
Kdm6a,1,1
Akap9,1,1
Tomm40,0,0
Lman2l,0,0
Dus2,0,1
Atp6v0e2,0,0
Ctdspl2,1,0
Nphp4,0,0
Kctd17,0,0
Pde3b,2,2
Uchl1,0,1
Extl3,0,0
Flrt1,0,0
Stk3,2,2
A330023F24Rik,1,0
Setd1b,0,0
Gpm6b,1,2
Slc38a1,0,0
Cntrob,0,1
Kansl3,0,0
Wipi2,0,0
Synj1,1,1
Gatad2b,0,0
Dhx30,0,0
Coro1a,0,0
Lpcat4,0,0
Rap1b,0,0
Kcnb2,2,2
Mpdz,1,1
Noc2l,0,0
Usp19,0,0
Ago3,1,1
Pfkl,0,1
Klf10,0,0
Kansl1l,2,2
Cry2,0,0
Mdm2,0,0
Pex1,0,1
Rrp1,0,1
Tmem59l,0,0
B830012L14Rik,0,1
Eef2,0,0
Erp44,2,2
Atraid,0,0
Bex2,0,1
Rictor,1,1
Sema7a,0,0
Gm3764,0,0
St3gal5,0,0
Gm20721,2,2
Nbr1,0,0
Copa,1,1
Pclo,1,2
Tbr1,0,0
Fezf2,0,0
Ptprf,0,0
Serinc2,0,0
Samd12,1,2
Tub,0,0
Gnb1,0,0
Rnf130,1,0
Ubr1,1,0
Far1,1,1
Wdr13,0,0
Hnrnpk,1,0
U2surp,1,0
Cpeb4,1,0
Basp1,1,0
Kcnq5,2,2
Pcbp2,0,0
Asphd2,0,0
Fndc3a,2,2
Islr2,0,0
Tpr,0,1
Dyrk2,0,1
Vps11,0,0
Caprin1,1,1
Hmgb1,0,1
Pprc1,0,0
Trim23,1,1
Glg1,1,0
Ndst3,0,1
Chdh,2,2
Pspc1,2,2
Smg1,1,1
Atrx,1,1
Apc,1,0
Galnt16,0,0
Sart1,0,0
Thrb,2,2
Nob1,0,1
Dnajc6,1,1
Slc7a4,0,1
Cyld,1,1
Pacs1,1,1
Vangl2,0,0
Syngap1,0,0
Reps2,2,2
Cc2d1b,0,0
Atad2b,0,1
Atp6ap1,0,0
Smc3,1,1
Cic,0,0
Gm21954,2,2
Helq,1,1
Ppt1,0,1
Adamts16,0,0
Atf1,0,1
Sppl2b,0,0
Slc25a22,0,0
Pdgfb,0,0
Usp21,0,0
Actn4,0,0
Nyap1,0,0
Pik3r3,0,0
Arhgdia,0,0
Unc80,1,1
Eif4g2,1,1
Atg2a,0,0
Grm1,2,2
Fsd1l,0,1
Sorcs1,1,2
Inpp5k,0,0
Snx32,0,0
Hk1,0,0
Rpl27a,0,1
Ccnl1,0,1
Porcn,0,0
Grcc10,0,1
Arpc2,0,0
Gm15564,0,1
Ncoa2,1,1
Klhdc2,0,0
Cdk10,0,1
Eif4a2,1,1
Mark3,1,0
Ypel3,0,1
Lmbr1l,0,0
Chd8,0,0
Neto2,0,1
Pnpla6,0,0
Pigt,0,0
Ccdc88a,1,1
Clk2,0,0
Usp5,0,0
Atf6b,0,0
Zcchc14,0,0
Abcb9,0,0
Agfg1,1,1
Zfp641,0,1
Tro,0,0
Carm1,0,0
Slc35f3,1,0
Slc38a2,0,0
Firre,0,1
Babam1,0,0
Klhl28,0,1
Atp6v0a2,0,0
Atp1b1,0,0
Gfod1,1,0
Mpped1,0,0
Eno1,0,0
Usp33,0,0
Tbata,0,1
Smarca4,0,0
Arhgdig,0,0
Ppip5k2,1,1
Ksr1,0,0
Pcdh11x,0,1
Slc25a36,1,1
Mecp2,1,1
Fbf1,0,0
Ncdn,0,1
Egr1,0,0
5730522E02Rik,2,2
Pisd,0,0
Xpo7,1,1
Ddx55,0,1
Dag1,0,1
Ehbp1,1,1
Dpf1,0,0
Cnot6,1,1
Myo18a,0,0
Lrrfip2,1,1
Susd4,0,1
Cx3cl1,0,0
Slc44a1,1,1
Kif1b,1,0
Ptp4a3,0,0
Abca7,0,1
Pigq,0,0
Gga1,0,0
Fam169a,1,1
Mon2,1,1
Hsp90ab1,0,0
Ywhae,1,1
Hexdc,0,0
Gm11867,0,2
Fbxl19,0,0
Srebf2,0,0
Ehmt2,0,0
Aatk,0,0
Tenm4,1,2
Mcf2l,0,0
Gpcpd1,1,1
Ppp2r5c,1,0
Depdc5,1,0
Zbtb7a,0,0
Sec62,0,0
Cdc37l1,1,1
Aqr,0,0
Rtn3,1,0
Arih1,1,0
Rnf152,0,0
March6,1,1
Ints10,0,0
Eef1a2,0,0
Snapc4,0,0
Igsf8,0,0
Per1,0,0
Setd4,0,0
Tmco3,0,0
Sgta,0,0
Syt14,2,2
Dtna,1,2
Zfyve26,0,0
Nckipsd,0,0
Scaper,2,2
Ppp1r16a,0,0
Capns1,0,0
Vps37b,0,0
Arhgap10,0,2
Flot1,0,0
Ints3,0,0
Ccr9,2,2
Nup210,0,1
Ube2o,0,0
Mtmr3,1,1
Ppp2r5d,0,0
Drp2,0,1
Ankrd27,0,0
Adra1a,0,1
Gprasp1,1,0
1700016P03Rik,0,0
Fscn1,0,0
Bdp1,1,1
Nr3c1,2,2
Serinc1,1,1
Scarb1,0,0
Asb7,1,1
Ppp1r12b,1,1
Gnaz,0,0
Plxnc1,1,1
Sparcl1,0,0
Ptma,0,0
Pbx4,0,0
Efr3a,0,0
Eif3b,0,0
Coro2b,0,0
Pik3c2a,1,1
Slc22a17,0,0
Hdac1,0,0
Klhl3,0,0
Tsc1,0,0
Nkain2,1,2
Cpeb3,0,0
Iffo1,0,0
Mbtd1,1,1
Ap1ar,0,1
Ap1s1,0,0
2900093K20Rik,0,1
Kcnk9,0,1
Uimc1,1,1
Rbbp5,0,0
Fnbp4,0,0
Mef2c,1,1
Sufu,0,0
Txlng,1,0
Chn2,0,0
Rps6kb2,0,0
Ssbp2,1,2
Htr1f,1,1
Dnajc18,0,0
Inf2,0,0
Lars2,0,1
Rufy2,0,0
Gtf2ird1,0,0
Sirt2,0,1
Gm15336,2,2
Arpc3,0,0
Arfgef2,0,0
Aak1,1,0
Txnl1,1,1
Unkl,0,0
Ociad2,0,0
Rbm33,1,0
Tbc1d13,0,0
Gsk3b,1,2
Mprip,0,0
Rgs11,0,0
Golga2,0,0
Ipo5,0,1
Tpp1,0,0
Gapdh,0,0
Lhfpl4,0,0
Josd2,0,0
Wdr43,1,1
Trp53bp1,1,0
Atg16l1,0,1
Sarm1,0,1
Syt4,0,1
Csnk1g3,1,1
Mcts1,0,1
Gria2,1,1
Trrap,0,0
Arc,0,0
Ewsr1,1,0
Nova2,0,0
Nup153,1,0
Hook1,1,1
H2afy2,0,0
Fam172a,1,2
Asb3,2,2
Map3k5,0,0
Palm,0,0
Ncor2,0,0
Lztfl1,1,1
Dnajc5,0,0
Dlgap3,0,0
Srgap2,1,1
Tuba1a,0,0
E4f1,0,0
Gsk3a,0,0
Polb,0,0
Gfm2,0,1
Clip2,0,0
Rmdn1,1,1
Drap1,0,1
Rad52,0,0
Slc25a28,0,0
Scrib,0,0
Sars,0,0
Vdac2,0,1
Gnl1,0,0
Gnas,0,0
Gbf1,0,0
Hspbp1,0,0
Ica1,1,1
Tmx2,0,0
Csmd3,1,2
Tmem151a,0,0
Sept6,1,1
Ccdc134,0,1
Ccdc30,0,0
Nrd1,1,1
Bcor,0,1
Mn1,0,1
Khsrp,0,0
Mtor,1,0
Snx5,1,1
