gene_name,gene_length.meta,18mo.9mo.activity.log_ratio.max.5kb-20kb.enhancer_DMR,9mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,count.enhancer_peak,18mo.9mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.count.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,distance.log2.DMR,18mo.9mo.Q.std.loops,Qanova.mean.loops,9mo.2mo.Q.min.loops,loop_size.log.median.loops,18mo.2mo.T.max.loops,loop_size.log.mean.loops,18mo.9mo.log_ratio.mcg_genebody,18mo.9mo.log_ratio.mch_genebody,9mo.2mo.log_ratio.mch_genebody,18mo.2mo.log_ratio.std.atac,log2_distance.std.atac,18mo.2mo.log_ratio.mean.atac,log2_distance.max.atac,count.atac,log2_distance.mean.atac,9mo.2mo.log_ratio.max.atac,DEG,pred
Gnb2,-0.2883959268464854,0.0,0.0,0.0,0.0,0.003870160269894098,-0.004548058698051854,0.0,0.0,-0.0861247819113104,0.0,0.0,0.0,-0.03638446958441483,0.0,0.009016386355812612,-0.007593370091758277,-0.008893646593940886,-0.08099082994617914,-0.0585582699920786,0.0,0.0,-0.03468381633099757,-0.002662832603642815,-0.034304065433771985,0.002794427110960609,-0.07874049609036822,-0.09715129199780916,0.0,1.0
Nisch,-0.3780005752648178,0.0,0.0,0.0,0.0,-0.013223047294702969,-0.004548058698051854,0.0,0.0,-0.10422438736024656,0.0,0.0,0.0,-0.03638446958441483,0.0,0.013705727105077944,-0.007593370091758277,-0.008893646593940886,0.06478891051129292,0.024959830126087917,0.0,0.0,-0.03468381633099757,-0.002662832603642815,-0.034304065433771985,0.004191640568406959,-0.07874049609036822,-0.09715129199780916,0.0,0.0
Gria1,1.3469307827518175,0.0,0.0,0.0,0.0,-0.057568632948555444,-0.002274029349025927,0.0,0.0,0.14886867833372794,0.0,0.0,0.0,-0.018192234792207416,0.0,0.0549449922614976,-0.006682917475700378,-0.003811562825974665,0.09532320670979588,0.21612474337024123,0.0017738234570347949,0.0,-0.0441093393846562,-0.0013314163018214075,-0.016516772245890217,0.010479101421017396,-0.051637797175269375,-0.045539668123973046,0.0,2.0
Nr3c2,1.2633022752247358,0.0,0.0,0.0,0.0,-0.013223047294702969,-0.002274029349025927,0.0,0.0,-0.10422438736024656,0.0,0.0,0.0,-0.018192234792207416,0.0,0.0549449922614976,-0.006682917475700378,-0.003811562825974665,0.06478891051129292,0.06863446239578097,0.0,0.0,-0.04949329460137769,-0.0013314163018214075,-0.016516772245890217,0.010479101421017396,-0.051637797175269375,-0.045539668123973046,2.0,2.0
Sptbn4,0.2568711770796462,0.0,0.0,0.0,0.0,0.008062833748561772,-0.002274029349025927,0.0,0.0,-0.1297029400930593,0.0,0.0,0.0,0.2775965871191339,0.0,-0.06645717020881803,-0.007593370091758277,-0.008893646593940886,0.06865907107528887,0.10524878557771444,0.00032251335582450817,0.0,-0.03468381633099757,-0.0013314163018214075,-0.034304065433771985,0.004191640568406959,-0.07874049609036822,-0.045539668123973046,0.0,0.0
Kif5a,-0.40083185563746254,0.0,0.0,0.0,0.0012341231891983434,0.004837700337367623,-0.004548058698051854,0.0,0.0,-0.10712700744012468,0.0,0.0,0.0,-0.03638446958441483,0.0,0.013705727105077944,-0.0036950015806053813,-0.008893646593940886,0.0657564506522919,0.024959830126087917,-0.016125667497123543,0.0,0.1642664133718139,-0.002662832603642815,-0.034304065433771985,0.004191640568406959,-0.06165390434723936,-0.09715129199780916,0.0,0.0
Dctn1,-0.3780005752648178,0.0,0.0,0.0,0.0,0.0070952936810882465,-0.004548058698051854,0.0,0.0,0.11648290859241235,0.0,0.0,0.0,-0.03638446958441483,0.0,0.013705727105077944,-0.007593370091758277,-0.008893646593940886,-0.13738591978816608,0.024959830126087917,0.0012900534232980327,0.0,-0.02929986111427608,-0.002662832603642815,-0.034304065433771985,0.004191640568406959,-0.07874049609036822,-0.09715129199780916,0.0,1.0
Cwh43,-0.3142450438616307,0.0,0.0,0.0,0.0,0.023220961080177835,-0.004548058698051854,0.0,0.0,0.18289383530224623,0.0,0.0,0.0,-0.03638446958441483,0.0,0.013705727105077944,-0.007593370091758277,-0.008893646593940886,0.1222530705364127,0.024959830126087917,0.0070952937301052245,0.0,-0.02929986111427608,-0.002662832603642815,-0.034304065433771985,0.004191640568406959,-0.07874049609036822,0.3005618096182221,0.0,1.0
Srsf5,-0.21440316979332188,0.0,0.0,0.0,0.0,0.023220961080177835,-0.004548058698051854,0.0,0.0,0.18289383530224623,0.0,0.0,0.0,-0.03638446958441483,0.0,-0.008894302820982901,-0.007593370091758277,-0.008893646593940886,0.1222530705364127,-0.05088480307083381,0.0070952937301052245,0.0,-0.02929986111427608,-0.002662832603642815,-0.034304065433771985,0.002794427110960609,-0.07874049609036822,0.3005618096182221,0.0,0.0
Stx1a,-0.28986175809251635,0.0,0.0,0.0,0.0,0.004837700337367623,-0.002274029349025927,0.0,0.0,-0.10712700744012468,0.0,0.0,0.0,0.2775965871191339,0.0,-0.013157339815638568,-0.007593370091758277,-0.008893646593940886,0.0657564506522919,-0.00824996662375174,-0.016125667497123543,0.0,-0.03468381633099757,-0.0013314163018214075,-0.034304065433771985,0.004191640568406959,-0.07874049609036822,-0.09715129199780916,0.0,0.0
