gene_name,gene_length.meta,18mo.9mo.activity.log_ratio.mean.20kb-5Mb.enhancer_DMR,18mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_DMR,18mo.2mo.activity.log_ratio.std.20kb-5Mb.enhancer_DMR,count.enhancer_DMR,18mo.9mo.activity.log_ratio.max.5kb-20kb.enhancer_DMR,18mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.min.0-5kb.enhancer_peak,9mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.median.0-5kb.enhancer_peak,18mo.9mo.activity.log_ratio.median.0-5kb.enhancer_peak,18mo.9mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.log_ratio.DAR,18mo.2mo.log_ratio.DAR,rel_pos.DAR,count.DAR,18mo.9mo.log_ratio.DAR,18mo.9mo.log_ratio.DMR,distance.log2.DMR,18mo.2mo.Q.mean.loops,18mo.9mo.Q.min.loops,9mo.2mo.Q.mean.loops,9mo.2mo.Q.min.loops,9mo.2mo.Q.std.loops,18mo.9mo.T.mean.loops,18mo.2mo.T.mean.loops,18mo.2mo.T.median.loops,18mo.2mo.Q.min.loops,9mo.2mo.log_ratio.mcg_genebody,18mo.9mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mean.atac,18mo.2mo.log_ratio.max.atac,log2_distance.max.atac,9mo.2mo.log_ratio.mean.atac,count.atac,18mo.9mo.log_ratio.max.atac,18mo.9mo.log_ratio.mean.atac,9mo.2mo.log_ratio.std.atac,18mo.9mo.log_ratio.std.atac,9mo.2mo.log_ratio.max.atac
Taf11,8722.0,0.0,-0.1051569113978043,0.0,5,0.1177352986671663,0.2000918003500729,-0.0204061835015876,-0.05915580042373,0.0,0.2204979838516605,0.0,0.0,-0.1583168976077906,0.2204979838516605,0.0,-0.05915580042373,0.2000918003500729,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.00010511206,-0.000548144,-0.0004537850999999,-0.002613359,0.000720993319844,-0.0062359333,-0.02400588095,-0.02262015,-0.00142978,0.0927291472616507,0.0323968371700853,0.1251259844317361,0.1129322613809522,0.1697561943701071,11.873828574887014,0.2046313430024335,3,-0.0398299965102237,-0.0916990816214813,0.0859726267508805,0.0468435266206395,0.3006756942635338
Nfib,415577.0,0.0943088241899518,-0.0576930845211627,0.0,6,0.0,0.1238637572540088,0.1688780343947762,0.0792389943507192,0.0,0.0493595818782628,0.0,0.0,0.4734056960612604,-0.3984436426012041,0.2471262248589806,0.0889861033474552,0.0089871727946516,-0.2823813639855996,-0.2916512944829281,0.3779222883999838,2,-0.0092699304973284,0.0767246061241554,16.458173303782782,0.0002258641112587,-0.0005187996,-6.825117475524476e-05,-0.0009850864,0.0003040336847043,0.004123985041958,0.0053280706888111,0.002811303,-0.0006025982,0.0058268922610976,-0.0016719507313502,0.0041549415297473,-0.1806574959039508,0.5166821180408931,17.662202439282947,-0.1903754055110956,74,0.4615070361331552,0.0097179096071447,0.2889503699671555,0.1549584557721561,0.3099015961022297
Ehbp1,336464.0,-0.0082740322602117,0.0994372619824233,0.0135704153957583,4,0.0,-0.0706194580834864,0.0567381781662401,0.0370521403132291,0.0,-0.1123532621686811,0.0,0.0,-0.2899678341917477,-0.2636367396428198,0.871795824931062,0.03485770717363,-0.1408714668404599,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0001609664346153,-0.0004681339,1.6091970512820484e-05,-0.0005901984,0.0002506038536109,0.0175921992820512,0.0389777161666666,0.0386754124999999,-0.0004726617999999,0.0001367044248951,-0.0062910337572416,-0.0061543293323465,-0.2323887744426179,0.2313081837813314,17.204456518797322,-0.2386583451992835,20,0.3047283837817454,0.0062695707566656,0.2503235232629939,0.1467624331053867,0.5000283126610708
Snrk,52436.0,0.1088788028189181,0.071929488589755,0.0,6,0.0177260613037829,0.1662181409501517,0.1864989620457726,0.0980733542831233,0.2337240993061131,0.1565703944296776,0.2337240993061131,0.020888808809838,-0.6779377133945099,-0.3634211713984325,0.6291956928655165,0.0980733542831233,-0.005352034201254,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002016770029343,0.0154524421816492,0.0134356721523062,-0.0811531599902357,0.2337240993061131,14.3112516291382,0.0249726236754651,7,0.1811559076415869,-0.1061257836657008,0.1401931222209289,0.164696224637493,0.2128352904962751
Eif6,7093.0,-0.0534216549491753,0.0002194564069366,0.045556622032169,8,0.1831647859949796,0.2213981499107191,0.1313348879236242,0.0878058174145928,0.2087770969031783,0.1378793100010602,0.2087770969031783,0.0789440697970889,-0.1004860794288821,-0.0753754481639221,0.1841207239267051,0.0893515595718219,0.1376699766898017,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.0001546235034482,-0.0006694224,-0.0003117158620689,-0.0009783982,0.0003669443296372,-0.0475829243448275,-0.0229803042068965,-0.026257242,-0.0009808652,0.0132262908187002,0.0602429053584946,0.0734691961771948,0.1337349033590325,0.2414564549101912,11.547858506058464,0.1242185889943161,5,0.0789440697970889,0.0095163143647162,0.1126513462553948,0.0671247886904708,0.2416052572698197
Zfp120,22302.0,-0.1360141006644142,-0.1667487065725895,0.1885834317442645,3,0.0,0.1914534640740148,0.1652222688077715,0.0895379306751253,-0.140004995969674,5.702412899744047e-05,-0.140004995969674,0.092242992323861,0.0,-0.4783479151568661,0.5958268871632092,0.1093894337033924,0.0707823635816651,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0314344908764603,0.006435038882435,-0.0249994519940252,-0.1659548395694269,-0.140004995969674,11.42153890684833,-0.2846856320651299,2,0.1452185926675449,0.1187307924957029,0.0741580270006784,0.0374594062404472,-0.2322479882935351
Gne,50102.0,0.0570135137258399,0.0105830054598899,0.0650339192013885,7,0.0,0.2110994316852448,0.1190522483010481,0.0738376141571239,0.0,0.1384881106302629,0.0,0.0,-0.1978818890259928,0.0379161413594113,0.5585933986564494,0.0802068638589581,0.140578302553024,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0002437999916666,0.0001867613,-0.0005856492999999,-0.001211573,0.0004356937767061,0.0221448375,0.0310026116666666,0.03341046,-0.0002907366999999,-0.0040916583879726,0.0093228155510302,0.0052311571630576,-0.2163584808382646,0.2402274456693209,14.394596668240998,-0.0873161161430708,6,0.1959148965952177,-0.1290423646951938,0.3117549927206759,0.2877091460591641,0.1772642121034007
Scfd2,326943.0,0.1199514031415813,0.1301510750192839,0.0150643641011185,5,0.0428539728039604,0.1205644010315074,0.0923423967743826,0.0845875005780405,0.0061784694623572,0.0606707567754005,0.1218717125762225,0.058702209524009,-0.0547793223228415,-0.3598262291083998,0.3803486696605345,0.0803527605466426,-0.0770564753259666,-0.0324492413562627,0.0288677975720257,0.5886211929375006,2,0.0613170389282884,-0.2639657777909797,16.54770515643574,4.957863286259542e-05,-0.0005004775,-0.0002387715565267,-0.0012048441,0.0003097919621931,0.0138272629828244,0.0070640991488549,0.00718302,-0.0007759118,-0.0147121392442905,-0.0081871998997311,-0.0228993391440217,0.0509655124949677,0.585368899566698,17.315724501506285,0.124762911331845,42,0.543468799093863,-0.0737973988368773,0.3113675992988683,0.2085187050215291,0.813669236325087
Gm29237,1726.0,0.0520303296378281,0.0333006289975624,0.0286872577419126,8,-0.0054641382199955,0.021640015645759,0.0697195246437543,0.0406161332779886,0.0,-0.0480795089979952,0.0,0.0,0.2084902312295617,-0.2858539045424813,0.1931013065563179,0.0383483763141027,-0.1205107753251146,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0001508103175438,-0.000487505,-0.0001592635807017,-0.0009720229999999,0.0003247127749052,0.0285302976842105,-0.0004153357017543,0.0080244299999999,-0.0004188786,-0.0170282681498473,-0.0202020673913895,-0.0372303355412369,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
Sin3b,34916.0,-0.0489824735724593,0.0129909713690481,0.0,2,0.0,0.0301188232577107,0.0964303366544587,0.0695743046401426,0.2315462001978625,0.0731554939660403,0.2315462001978625,0.1589256970697308,-0.0474078394606748,-0.0204559203443688,0.6321390953217553,0.0636322863376269,-0.0820092649110737,-0.1180971130475803,-0.3859640686407881,0.0596685082872928,1,-0.2678669555932078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0119865076914939,-0.0095941407826933,0.0023923669088006,-0.1267268605296702,0.2315462001978625,13.796546653800691,-0.1491197289202507,3,0.1761198636952183,0.0223928683905804,0.2387678689581315,0.2515193509569613,0.0726205031281317
