gene_name,gene_length.meta,9mo.2mo.activity.log_ratio.count.20kb-5Mb.enhancer_DMR,18mo.9mo.activity.log_ratio.min.20kb-5Mb.enhancer_DMR,18mo.9mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,9mo.2mo.log_ratio.DAR,9mo.2mo.log_ratio.mean.atac,18mo.2mo.log_ratio.mean.atac,18mo.2mo.log_ratio.max.atac,log2_distance.max.atac,DEG,pred
Ankrd44,0.6306195531095213,0.0,0.0,-0.07383782076923286,-0.19120308986919768,0.02064357402131838,-0.04749223754248198,0.09335365223095697,-0.3861856736681041,1.0,0.0
Wdr18,-1.2831887186997954,0.0,0.0,-0.02546174084658132,-0.06811540584792108,0.01356859614743906,0.017195465317105547,0.009400676168939647,0.04253084196106476,1.0,1.0
Guf1,-1.1894737495766843,0.0,0.0,-0.02546174084658132,-0.07348157991381253,0.01222705257618252,-0.018833128680639407,-0.2502255782704143,-0.008447812157956994,1.0,1.0
Fndc3b,0.8759072042782517,0.0,0.0,-0.030045984805945086,0.8685895867426606,0.019616730785106912,0.04421691081541426,0.2113820173065452,-0.14225295449004455,1.0,2.0
Per1,-1.2471601222915685,0.0,0.0,-0.02546174084658132,-0.06811540584792108,0.01356859614743906,-0.018833128680639407,-0.2502255782704143,0.04253084196106476,1.0,1.0
Osbpl11,-0.02813257123617565,0.0,0.0,-0.06825883587931886,-0.11949978012810736,0.019861820646945166,0.04421691081541426,0.1614664441303295,0.047809719327179825,1.0,1.0
Snx29,0.7616194735335953,0.0,0.0,-0.07383782076923286,0.2897755076341769,0.024692802196916414,0.04421691081541426,0.09335365223095697,-0.2093411691432052,1.0,2.0
Brd7,-0.8004395633607226,0.0,0.0,-0.02546174084658132,-0.07773348305593519,0.01356859614743906,-0.018833128680639407,-0.2502255782704143,0.04253084196106476,1.0,1.0
Crtc3,0.9335073370705632,0.0,0.0,-0.028956993455615115,0.6691516570966033,0.023154904353706277,0.04421691081541426,0.04900113657555159,0.039310198359410554,1.0,2.0
Tango6,0.888564653475495,0.0,0.0,-0.05159829020061914,-0.1338986395036473,0.03422163810361834,0.04421691081541426,0.04900113657555159,0.10880193727857926,1.0,2.0
