gene_name,gene_length.meta,18mo.9mo.activity.log_ratio.max.5kb-20kb.enhancer_DMR,9mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,count.enhancer_peak,18mo.9mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.count.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,distance.log2.DMR,18mo.9mo.Q.std.loops,Qanova.mean.loops,9mo.2mo.Q.min.loops,loop_size.log.median.loops,18mo.2mo.T.max.loops,loop_size.log.mean.loops,18mo.9mo.log_ratio.mcg_genebody,18mo.9mo.log_ratio.mch_genebody,9mo.2mo.log_ratio.mch_genebody,18mo.2mo.log_ratio.std.atac,log2_distance.std.atac,18mo.2mo.log_ratio.mean.atac,log2_distance.max.atac,count.atac,log2_distance.mean.atac,9mo.2mo.log_ratio.max.atac,DEG,pred
Miat,0.005623611278439823,0.0,0.0,0.0,0.0,0.0,0.0,-0.03524043234555345,0.0,0.0,0.0,-0.14770647942235596,0.0,0.0,0.0,0.0,0.0,0.0,0.04513872924603914,0.0,-0.07923872165970113,0.0,0.023518699956567662,0.0,0.03393700973767983,-0.04935434342999207,-0.1838984544339933,0.0,0.0,0.0
Syt7,0.005623611278439823,0.0,0.0,0.0,0.0,0.0,0.0,-0.03524043234555345,0.0,0.0,0.0,0.03773938972306879,0.0,0.0,0.0,0.0,0.0,0.0,-0.037137219682335854,0.0,-0.06897130956579196,0.0,-0.07643577485884491,0.0,0.034389292429152285,-0.04935434342999207,-0.11324677155598213,0.0,0.0,0.0
Gm28379,0.005623611278439823,0.0,0.0,0.0,0.0,0.0,0.0,-0.03524043234555345,0.0,0.0,0.0,0.04384520605794693,0.0,0.0,0.0,0.0,0.0,0.0,-0.21059370986921222,0.0,-0.07752748613098734,0.0,0.028267668217028443,0.0,0.035972281604220994,0.015668045533330816,0.05481910636942638,0.0,2.0,1.0
Sgsm1,0.005623611278439823,0.0,0.0,0.0,0.0,0.0,0.0,-0.03524043234555345,0.0,0.0,0.0,-0.07353211802087332,0.0,0.0,0.0,0.0,0.0,0.0,-0.06698787731951789,0.0,-0.06897130956579196,0.0,-0.018995873041843112,0.0,0.03348472704620738,-0.04935434342999207,-0.11324677155598213,0.0,0.0,0.0
Camk2a,0.008622796911942331,0.0,0.0,0.0,0.0,0.0,0.0,0.07572943972129571,0.0,0.0,0.0,-0.08664831607357452,0.0,0.0,0.0,0.0,0.0,0.0,-0.10181972257008678,0.0,-0.07752748613098734,0.0,-0.03211207109454431,0.0,0.03348472704620738,0.015668045533330816,0.05481910636942638,0.0,0.0,1.0
Pitpnm2,0.005623611278439823,0.00026489318789620146,0.0,0.0,0.0,0.0,0.0,-0.03524043234555345,0.0,0.0,0.0,-0.06878314976041254,0.0,0.0,0.0,0.0,0.0,0.0,-0.07764002773910761,0.0,0.04553717732625572,0.0,-0.014246904781382335,0.0,-0.26486116147747163,-0.04935434342999207,-0.12864789180457592,0.0,0.0,0.0
Col4a2,0.005623611278439823,0.00026489318789620146,0.0,0.0,0.0,0.0,0.0,-0.03524043234555345,0.0,0.0,0.0,-0.07534124878676314,0.0,0.0,0.0,0.0,0.0,0.0,-0.057965730660055816,0.0,0.04553717732625572,0.0,-0.020805003807732935,0.0,-0.271419261141043,-0.04935434342999207,-0.12864789180457592,0.0,0.0,0.0
Rnf5,0.03324294521620399,0.0008569859997614434,-0.0021899773396159474,0.0,0.0,0.0,0.0,0.0,-0.0062976015339556496,0.0,0.0,0.0324730597632496,0.0017139719995228869,0.0,0.0,0.07549091604979415,0.0,0.0,-0.12755696024549634,0.04602789601899291,0.044922753678340664,0.007998535948756495,-0.17056878234602904,0.0,0.0,0.06943130282391059,0.035634550020882956,0.0,1.0,1.0
Cep57l1,0.03324294521620399,0.0005713239998409623,-0.007299924465386491,0.0,0.0,0.0,0.0,0.0,0.015558780563112936,0.0,0.0,0.028504912202295504,0.0017139719995228869,0.0,0.0,0.07549091604979415,0.0,0.0,0.011283659719322858,0.029336226613898026,0.044922753678340664,0.0028566199501878337,-0.11331407676794027,0.0,0.0,-0.2918261845449084,0.035634550020882956,0.0,1.0,1.0
Ammecr1,0.03324294521620399,0.0008569859997614434,-0.0021899773396159474,0.0,0.0,0.0,0.0,0.0,-0.027042641892637078,0.0,0.0,-0.1933307569277914,0.0017139719995228869,0.0,0.0,-0.028795504060230757,0.0,0.0,0.010364202022748558,-0.07945676167544566,0.044922753678340664,0.00457059194971072,0.02236207133453143,0.0,0.0,0.06713588035812504,0.021625926424013942,0.0,1.0,2.0
Fam118a,0.03324294521620399,0.0005713239998409623,-0.0021899773396159474,0.0,0.0,0.0,0.0,0.0,-0.0062976015339556496,0.0,0.0,-0.09156267592487366,0.002285295999363849,0.0,0.0,-0.028795504060230757,0.0,0.0,0.009766088014370516,0.042885614019867624,0.044922753678340664,-0.12397730477938526,-0.07512096629330986,0.0,0.0,0.06428938697239286,0.021625926424013942,0.0,1.0,0.0
Phkg2,0.023567274310871175,0.0008569859997614434,-0.0021899773396159474,0.0,0.0,0.0,0.0,0.0,-0.027042641892637078,0.0,0.0,0.11209751361686933,0.0017139719995228869,0.0,0.0,-0.028795504060230757,0.0,0.0,0.026022190938850765,-0.07945676167544566,-0.05045170797721336,0.00457059194971072,0.10830679212353732,0.0,0.0,0.09434603987947891,0.021625926424013942,0.0,1.0,1.0
Ccdc12,0.03324294521620399,0.0028566199501878337,-0.0021899773396159474,0.0,0.0,0.0,0.0,0.0,0.028153983361430858,0.0,0.0,-0.1933307569277914,0.0068558878020236365,0.0,0.0,-0.028795504060230757,0.0,0.0,0.020933695725704495,0.0634376622834488,0.044922753678340664,0.026280903600548442,0.02236207133453143,0.0,0.0,0.10581283232099131,0.021625926424013942,0.0,1.0,1.0
1110017D15Rik,0.023567274310871175,0.0008569859997614434,-0.0021899773396159474,0.0,0.0,0.0,0.0,0.0,-0.027042641892637078,0.0,0.0,0.11209751361686933,0.0017139719995228869,0.0,0.0,-0.028795504060230757,0.0,0.0,0.026022190938850765,-0.07945676167544566,-0.05045170797721336,0.00457059194971072,0.10830679212353732,0.0,0.0,0.09434603987947891,0.021625926424013942,0.0,1.0,1.0
Slc18b1,0.03324294521620399,0.0008569859997614434,-0.0021899773396159474,0.0,0.0,0.0,0.0,0.0,0.0826097141069017,0.0,0.0,-0.09869980231221569,0.0017139719995228869,0.0,0.0,0.07549091604979415,0.0,0.0,-0.07454521863378193,-0.044264282443021476,0.044922753678340664,0.00457059194971072,0.014341169576111593,0.0,0.0,0.08951430993252679,0.035634550020882956,0.0,1.0,1.0
Spata17,0.03324294521620399,0.0005713239998409623,-0.007299924465386491,0.0,0.0,0.0,0.0,0.0,0.015558780563112936,0.0,0.0,-0.07540664691968184,0.0017139719995228869,0.0,0.0,0.033465045259187094,0.0,0.0,0.009482648811842265,0.029336226613898026,0.044922753678340664,0.0028566199501878337,-0.05896493728811804,0.0,0.0,-0.27170200734154176,-0.10894227596490007,0.0,1.0,1.0
