gene_name,gene_length.meta,18mo.2mo.contact.log_ratio.min.20kb-5Mb.enhancer_DMR,count.enhancer_DMR,18mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_DMR,9mo.2mo.activity.log_ratio.max.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.max.5kb-20kb.enhancer_peak,18mo.2mo.activity.log_ratio.mean.5kb-20kb.enhancer_peak,18mo.9mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.count.5kb-20kb.enhancer_peak,18mo.2mo.activity.log_ratio.min.5kb-20kb.enhancer_peak,18mo.2mo.contact.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.median.0-5kb.enhancer_peak,18mo.9mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.max.5kb-20kb.enhancer_peak,9mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.count.0-5kb.enhancer_peak,18mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,count.DAR,18mo.2mo.log_ratio.DAR,18mo.9mo.log_ratio.DAR,18mo.2mo.log_ratio.DMR,count.DMR,rel_pos.DMR,18mo.9mo.Q.std.loops,loop_size.log.max.loops,18mo.9mo.Q.min.loops,18mo.9mo.Q.mean.loops,9mo.2mo.Q.mean.loops,9mo.2mo.Q.min.loops,loop_size.log.median.loops,18mo.2mo.T.min.loops,min_distance.log.std.loops,min_distance.log.mean.loops,min_distance.log.median.loops,18mo.2mo.T.max.loops,18mo.9mo.T.mean.loops,loop_size.log.mean.loops,18mo.2mo.Q.std.loops,18mo.2mo.T.median.loops,min_distance.log.min.loops,loop_size.log.min.loops,Tanova.median.loops,18mo.2mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mch_genebody,9mo.2mo.log_ratio.mch_genebody,log2_distance.std.atac,log2_distance.min.atac,18mo.2mo.log_ratio.mean.atac,18mo.2mo.log_ratio.max.atac,log2_distance.max.atac,9mo.2mo.log_ratio.mean.atac,count.atac,18mo.9mo.log_ratio.max.atac,9mo.2mo.log_ratio.min.atac,9mo.2mo.log_ratio.std.atac,9mo.2mo.log_ratio.max.atac
Akt1s1,6430.0,-0.1699250014416442,10,-0.1699250014416442,0.4875454622763182,0.2118278637411395,0.3897419848993171,-0.0538242791467373,0.2566783926718303,0.8845227825749773,2.0,0.1001101879008001,-0.1699250014416442,0.0495953125361183,-0.1587098245037649,0.0486103866667866,1.0124726642727488,0.4132465974428605,0.1912177941588853,1.5849625007051262,2.0,0.2167015488196408,0.3313851781780681,0.36354179172007,4,0.3853113947677481,0.1219595122342971,0.8413022537153294,1,0.7297219558964525,0.0007096394071484,18.04259988171292,-0.0016564578,-0.0004804924363636,0.0005411161,-0.000450403,17.68002980232821,-0.0938783899999999,0.1943736455264198,13.91238834472416,14.052483143936524,0.05689886,-0.0638235846363636,17.466520455165956,0.0005870553843718,-0.0203955959999999,13.667222446102516,16.60342350968682,0.87837094,0.1586109453904135,0.230198299761555,0.0873826085220393,1.1784302686669526,8.700439718141439,0.3938850344358003,0.428179593108009,11.425740424316263,0.2377570205051957,5,0.2928020207158344,0.1353775723921746,0.1265709334981648,0.4423550646160246
Atad2,41038.0,0.2410080995017773,8,0.2410080995017773,0.0679309988844624,-0.0411701622943665,0.1776816096354916,-0.0667318146636768,0.0645865940516015,0.1154772174190115,1.0,-0.0853083397348477,-0.0110131531648058,0.0320547833966369,-0.0110131531648058,-0.0700125827132116,0.1788843975892333,0.2144815278380507,-0.0325720356760679,0.1255308820827658,1.0,-0.0149847209241142,0.0813484443556886,0.0813484443556886,1,0.2762194908261079,0.0320547833966369,0.0,0,0.0,0.0001005963889831,19.508498909209944,5.942750000000009e-05,0.0001749893,0.0007041159666666,0.0006587015999999,19.489024734807185,0.08462244,0.0,14.06018927846342,14.060189278463422,0.1384023999999999,0.0612798866666666,19.488935910602223,5.471927152990392e-05,0.09266154,14.060189278463422,19.46928408778956,1.3063568,0.0225231299398568,-0.0006315955686896,-0.010519617286457,0.3783483767384035,11.08148343809374,-0.1065812402269176,0.2762194908261079,11.616548843779036,0.078212494404191,2,0.0320547833966369,-0.0877397186210888,0.2346918703661799,0.244164707429471
Rfwd3,29278.0,0.0,4,0.0,0.0,0.0858336217394999,0.2503855173970404,-0.0834955874355549,-0.0440706143631834,0.4150374992668215,2.0,-0.0602387047132437,0.4150374992668215,0.0,0.2075187496334107,0.0858336217394999,0.2934758301782763,-0.0279025240131232,0.0858336217394999,0.4150374992668215,0.0,0.0220400644035771,0.1283598748602346,0.1126540427800861,0,0.0,0.0,0.0,0,0.0,0.0016485489304027,17.649171957960707,-0.0024497845999999,0.0008690891,0.0007136037718749,-0.0013968686999999,16.847057346091336,-0.12490298,0.4253948998759622,13.86925353326212,13.577192765687045,0.1846297865,0.022669734921875,16.86212593915569,0.0015164913110255,0.0768139649999999,13.43254190038826,16.00044020841915,1.9517796,-0.0225943955284458,0.123478050241253,0.0356848830066184,0.2789413074949875,11.074141462752571,0.1653600725293399,0.1789965376002216,11.46862404291807,0.1238593818957495,2,0.0748365645301847,0.1041599730700368,0.027859171132055,0.1435587907214621
P4htm,18805.0,0.0703893278910543,9,0.0703893278910543,0.2369869154126909,0.143688043943132,0.3285536761944589,-0.002814879501138,0.0928252975647818,0.0,3.0,-0.0117259491997274,0.1111962106673654,-0.036769056315254,0.0,0.1042299179689276,0.0,0.1926705420351488,0.143688043943132,0.2223924213347308,2.0,0.2768602964499429,0.3027069863222009,0.3027069863222009,1,0.4549077807494521,0.6790338908670424,-0.3852901558157853,1,0.445297083972813,0.0015284480703785,17.747143998186747,-0.0026218599999999,0.0002906738285714,0.0004551897571428,-0.0011684905999999,16.293692738808097,-0.140068866,0.1443255169098966,14.063343310406184,14.041488043881468,0.09152487,-0.0772613044285714,16.44790671554622,0.0016467522689583,-0.038332602,13.681458050210274,15.526346403176795,1.27157472,0.0512728841470625,0.1110619349686981,0.1056221767274151,1.3116066813366665,9.864186144654434,0.2369818764970439,0.5337840132553149,13.4459201271752,0.1722509138507924,11,0.6790338908670424,-0.2241261101175902,0.2971858752607738,0.7140688308825348
Adamtsl1,914213.0,0.0,1,0.0,0.0,-0.1674764625771752,-0.2006844059772272,0.0,0.0,-0.1375035237486233,0.0,0.0,-0.1961587113882636,0.0,-0.1375035237486233,-0.2584959171656411,0.0,0.0,-0.1674764625771752,-0.4474589769677237,0.0,-0.2882294630911675,-0.2444569345341973,-0.2444569345341973,7,-0.1725540589025824,-0.1270621765715512,-0.7148155210955105,3,0.371458768198272,0.0008172003723731,19.842301231227086,-0.0014669712999999,0.0002505218685924,0.0001431257972478,-0.0024354585,16.872674880270605,-0.1711362579999999,1.2877593215853,15.649272027119576,15.881902599411108,0.158842,0.0146579373289915,17.202743719755183,0.0008222557307152,0.025317515,13.34221359573201,13.39473062943157,0.851197005,0.0002079683016911,0.0217856014887732,-0.0272200554439706,2.423898736979523,10.78217919383129,-0.1326361200566145,0.762512389313553,17.42599442064391,-0.050745411824674,18,0.5730657698645001,-0.4669967281106668,0.3495408544702156,0.8831270884168462
Armcx3,4860.0,-0.3923174227766131,13,0.1675335103862781,0.1656962901046341,-0.2256863985831527,-0.1406300883334315,0.4495075946345503,-0.0504470266731865,1.5849625007019204,2.0,-0.1299791709799533,0.4474589769677237,0.1726276700701937,0.2115767791655092,-0.4264941108753772,1.1584169022016448,0.0290851176335802,-0.2354716400715596,0.999999999981966,2.0,-0.3263310509509347,-0.2230914278995991,-0.1878216741025542,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0216778285022481,0.0102471769410444,-0.0476453864442854,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Ndufb5,14576.0,-0.628031222608413,7,-0.1688744903608815,0.0893380997598096,-0.0804261690979324,-0.0343364998562356,0.0,0.0,0.8073549220421463,0.0,0.0,0.0437314206249044,0.0147206440698113,0.5425639859025282,-0.1791468277826453,0.3316988487495115,0.0,-0.0679340748877748,-0.0931094043908804,3.0,-0.2518786347152959,-0.1529690247927235,-0.1628304822996813,1,-0.3574248200512295,0.0147206440698113,0.0,0,0.0,0.0012230743727175,17.37517522079979,0.000811249,0.002455195,-0.0009345044444444,-0.00236136,16.15299777329531,0.0117131299999999,0.0726479351534107,13.824566031568969,13.87171276283522,0.09479186,0.0575274404444444,16.343156438932954,0.0006296788616116,0.0376146999999999,13.727707777472686,15.650154213675094,1.1936381,0.0535450825521692,0.1606735610316225,0.1949113011321518,0.5110590936925816,10.11504365016184,-0.1696804062770424,-0.0641846058002677,11.12541347048338,-0.1747263273884582,3,0.0409835011790526,-0.3721454641210409,0.1734374173841897,-0.0468654110650135
Ppme1,45570.0,0.0,3,0.0,0.1317748574703957,0.188268402672,0.1359678963368082,0.0,0.0,0.0,0.0,0.0,-0.3219280948801484,0.000570956803461,0.0,0.0955001305897242,0.0,0.0,0.1609267028336313,0.9999999999639329,1.0,0.1359678963368082,0.1359678963368082,0.1359678963368082,3,0.3019310573813507,-0.1809844805409632,-0.6288135423187085,2,0.0115645151447344,0.0012710674322798,16.457637380991763,0.000182371,0.0018462142375,-0.00040096805,-0.0023786349999999,15.988470894253684,-0.0536184299999999,0.507425367560416,14.403216930419466,14.624738349954836,0.205754264,0.03567951875,15.897128390486367,0.0016168304712171,0.054143155,13.847155245527528,14.912561924038824,0.87560317,-0.0016519739238953,0.1031924599581363,0.0480882408656675,1.6234988326991449,9.36850646150791,0.3136707994881034,0.4934087386558146,13.458791075608143,0.3326585626045469,6,0.272889294726284,0.07794828992987,0.22290137770192,0.6186005269591026
Taf11,8722.0,-0.4474589769700561,9,-0.1992746882446376,0.0646636610628301,0.2181276771632859,0.4668363366660459,0.0,0.0,0.3479233034174966,0.0,0.0,-0.222392421333013,0.0,0.3054788546232407,0.1074835185026568,0.060025515132287,0.0,0.2181276771632859,0.3870231231079417,0.0,0.0299518614520177,0.2859714508424873,0.3611261544093982,2,0.4884062161759503,0.1597059462146874,0.0,0,0.0,0.0013663800694875,18.03122734759952,-0.001739766,0.0010165672377777,-8.777535555555561e-05,-0.0017604593,17.17051191615725,-0.06152239,0.3841365390166097,13.71220196742007,13.456611099574918,0.1553355,0.0180896105555555,16.93646162026963,0.0015461208948269,0.03941623,13.409125710465316,15.27452375500668,0.46466687,0.0160133009938958,0.1235957248719658,0.0288944427604815,0.601090159747596,10.68299458368177,0.4140182405702051,0.545106405081369,11.873828574887014,0.3796976203108929,3,0.2672023919417006,0.2779040131396684,0.1018943027609203,0.4816923210101529
4931414P19Rik,22330.0,0.0,14,0.2075187496379191,0.0581085993137757,-0.1907360658486132,-0.0005023422237311,0.1901382777865752,0.074889123994652,0.9999999999909832,2.0,-0.1147848078974238,0.2075187496379191,0.0845030123565129,0.4476434776948876,-0.276491473186228,0.5117534637122723,0.2905881493680819,-0.1817940718683518,0.9175378398004832,0.0,-0.1945400565505108,-0.0976210930151647,-0.0977209866432085,1,-0.4795756547823977,-1.118606995513492,0.0,0,0.0,0.0010020444290267,19.06907209307411,-0.0013894926,9.635863846153836e-05,-0.0001091703615384,-0.0012929998,18.47090508469585,-0.1375153,0.2451554910747211,13.610084956785094,13.509651311178072,-0.01212758,-0.0752030566153846,17.747614078203732,0.0014203125695651,-0.05877472,13.509651311178072,15.30310289894231,1.2594002,0.0496599917539689,-0.0249284156197732,-0.0348885706850351,1.0199629553287206,11.078817949962046,-0.1696627844484189,0.1240089377468423,13.66943873817506,0.0793198140473255,6,0.2088635291161966,-0.4489301128459684,0.3634991284997227,0.6390313407310941
