gene_name,gene_length.meta,9mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.count.0-5kb.enhancer_peak,18mo.9mo.activity.log_ratio.median.5kb-20kb.enhancer_peak,18mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.9mo.Q.std.loops,9mo.2mo.Q.median.loops,loop_size.log.max.loops,9mo.2mo.Q.mean.loops,9mo.2mo.Q.std.loops,loop_size.log.mean.loops,18mo.2mo.Q.std.loops,18mo.2mo.T.median.loops,18mo.9mo.T.std.loops,min_distance.log.max.loops,9mo.2mo.log_ratio.mcg_genebody,18mo.9mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mch_genebody,9mo.2mo.log_ratio.mch_genebody,log2_distance.std.atac,log2_distance.min.atac,18mo.2mo.log_ratio.mean.atac,18mo.2mo.log_ratio.max.atac,log2_distance.max.atac,9mo.2mo.log_ratio.mean.atac,count.atac,18mo.2mo.log_ratio.min.atac,9mo.2mo.log_ratio.min.atac,log2_distance.mean.atac,18mo.9mo.log_ratio.mean.atac,18mo.9mo.log_ratio.min.atac,9mo.2mo.log_ratio.max.atac,DEG,pred
Iqgap2,-0.0019356927135959268,-0.020613846965134144,-0.0005259555112570525,0.0,0.004965527197346092,0.0,0.005727714220993221,0.0,-0.011883225440979004,0.07806113044731319,0.0,-0.014074854701757431,0.0,0.0,0.0,-0.010635246634483337,0.0024185520596802235,-0.13736905662342905,-0.002745153489522636,-0.0032839599344879388,0.0,0.011803100015968085,0.013234033025801182,0.0,0.0,0.0,-0.13606128690298647,-0.11584699228405952,0.0,-0.06741184926591813,0.003059919364750385,-0.015868767108768226,0.0031034699641168118,1.0,0.0
Prpf40b,0.16712905420688912,0.06017803585156798,0.01013933951035142,0.0,0.0072900831419974565,0.0,0.014091655379161239,0.0,0.008430279418826103,0.0019550633104518057,0.0,-0.035579227935522796,0.0,0.0,0.0,0.031227362817153336,-0.004747528117150068,0.05908168770372867,0.024363236613571645,0.008046373277902603,0.0,-0.024622694607824087,0.013234033025801182,0.0,0.0,0.0,0.10191628888249397,0.03363875616341829,0.0,0.032010385559406135,-0.05367765426635742,-0.0032338972575962546,0.005248515512794256,1.0,2.0
Elof1,-0.2847917310986668,-0.023363208326045423,-0.03107638571411371,0.0,-0.049564598873257634,0.0,0.009680051961913705,0.0,8.262552320957183e-05,-0.0043758402066305276,0.0,0.02041377845220268,0.0,0.0,0.0,-0.090920251281932,0.019527567476034166,0.07312345528509467,-0.004765891321003437,-0.004195678401738405,0.0,0.0174088566750288,0.013234033025801182,0.0,0.0,0.0,0.03822261369321495,0.023020353354513644,0.0,0.0383772000670433,0.008503985591232777,0.02146374821662903,0.008215067144483328,1.0,0.0
Cox17,-0.25295087303034963,0.12323581587523222,0.006945213377475739,0.0,0.026927037108689548,0.0,0.011165007445961238,0.0,0.0076621991023421284,0.03530121376970783,0.0,-0.00756966520100832,0.0,0.0,0.0,0.04907863479107619,0.003941343910992145,0.03906102842651307,-0.0019063565880060196,0.0032580305449664594,0.0,0.03862314238213003,0.013234033025801182,0.0,0.0,0.0,0.019451239593327046,0.04614725101739168,0.0,0.03686600791290402,-0.0018769222684204578,0.05328596414998174,-0.010268834363669157,1.0,1.0
Dtwd2,-0.0028916617715731264,0.015560679583577439,0.02481309201568365,0.0,0.0050209193024784325,0.0,0.011750385677441955,0.0,-0.004014462605118752,0.006074097137898206,0.0,0.017882414823397995,0.0,0.0,0.0,0.04079641668125987,0.003941343910992145,-0.007650937102735043,-0.0032408060505986214,-0.09158336319029331,0.0,0.030247146557085217,-0.03578090410679579,0.0,0.0,0.0,0.013480149134993553,-0.17010217681527137,0.0,0.05508441172540188,0.0070890170522034165,0.03324364442843944,0.023276023529469968,1.0,2.0
Vstm5,0.13437789160758257,0.07191212134319358,0.011833376795984805,0.0,0.026927037108689548,0.0,0.05084680490195751,0.0,0.011501420363783836,0.006074097137898206,0.0,0.04815473186783493,0.0,0.0,0.0,0.07879704928025603,0.003941343910992145,0.08187899705022574,-0.0032408060505986214,0.059087098464369776,0.0,0.049346654545515775,0.013234033025801182,0.0,0.0,0.0,0.032872282341122626,0.04204169083386659,0.0,0.06146897364407778,-0.0009317887760698795,0.08635265693068504,0.023276023529469968,1.0,1.0
Bend4,0.017151485718786715,-0.009829231036128476,0.02006211407482624,0.0,0.026927037108689548,0.0,0.028726090528070927,0.0,0.0007482952252030373,-0.0035763143468648196,0.0,0.03501512303948402,0.0,0.0,0.0,0.073972452795133,0.003941343910992145,0.021285145813599228,-0.0015250852704048158,-0.011267268974334001,0.0,0.04157740391790867,-0.03578090410679579,0.0,0.0,0.0,0.04328433189541101,0.04167149808257818,0.0,0.05465955708175898,-0.037491574846208096,0.0681654118001461,-0.0468258835375309,1.0,1.0
Pcdhb19,-0.08380923301912845,-0.039800496568204835,-0.02496639607474208,0.0,0.02383808808401227,0.0,0.010908980648964643,0.0,0.0007482952252030373,-0.005370300863869488,0.0,0.05294337133178487,0.0,0.0,0.0,0.0007968246261589229,-0.008330567758530378,-0.052195810358971355,0.005337798446416855,0.004380941670387983,0.0,0.015234243869781495,0.013234033025801182,0.0,0.0,0.0,0.04780883882660419,0.026595693193376065,0.0,0.05756632212549448,-0.10893601384013891,0.050169156689662486,0.023276023529469968,1.0,1.0
Tmem106c,-0.009965114472433924,-0.00919071008451283,0.02481309201568365,0.0,0.008162289327010512,0.0,-0.011310482090339065,0.0,-0.012001839019358158,0.007920402607414872,0.0,-0.0572708220500499,0.0,0.0,0.0,-0.03218070249073207,0.003941343910992145,-0.014085421701893211,-0.0032408060505986214,0.0028091341629624365,0.0,0.020241437908262015,0.013234033025801182,0.0,0.0,0.0,0.0901622911170125,0.026814049389213324,0.0,0.03131924589164555,0.013901830753311514,0.02086770232068375,0.0095842451043427,1.0,1.0
Ptprq,-0.01428953154478222,-0.011233182086143642,-0.010638298448175192,0.0,0.0037778847105801104,0.0,0.008268421394750475,0.0,-0.011371171809732914,-0.054867010968737306,0.0,0.015709607999306173,0.0,0.0,0.0,-0.042888836555648596,0.0024185520596802235,0.02774455999955535,-0.0011438138782978058,0.0026147465594112875,0.0,-0.018101359754800796,-0.03578090410679579,0.0,0.0,0.0,-0.09841410838533193,-0.24698621522635222,0.0,-0.3049514768272638,-0.008543484713882207,-0.025443823747336863,0.006298218620941043,1.0,0.0
Spon1,-0.03543208109214902,-0.010498677967116237,-0.03107638571411371,0.0,-0.010662373164668679,0.0,0.01295719487592578,0.0,0.0012504561990499498,-0.05049138489179313,0.0,-0.005595536497421563,0.0,0.0,0.0,0.03267532798461616,0.006986927986145019,0.07163166644517333,-0.0011438138782978058,0.005318196602165699,0.0,0.007284879880025983,0.013234033025801182,0.0,0.0,0.0,-0.11089420043397695,0.04138797651976347,0.0,-0.23395951295271517,0.007103580720722675,-0.014316249722614884,0.004381369147449732,1.0,2.0
Znrf1,-0.032212244234979155,-0.014435218758881091,0.049845176804810765,0.0,-0.016115513602271675,0.0,0.01003848945721984,0.0,-2.9677748680114748e-05,-0.01896465362980962,0.0,-0.03600663140416145,0.0,0.0,0.0,0.046063002478331325,0.019527567476034166,0.0744953167811036,-0.0015250852704048158,-0.0032839599344879388,0.0,0.019224294405430557,0.013234033025801182,0.0,0.0,0.0,-0.10354889335110784,0.04084194179624319,0.0,0.023719437615945936,0.016750702504068612,-0.015970678143203257,0.006047202656045556,1.0,2.0
Gas5,-0.22216697706840932,-0.011504833935759962,0.06957773115485906,0.0,0.011300628185272216,0.0,0.0011768051283434033,0.0,0.00018503624014556407,-0.007690708418376744,0.0,-0.01616031251847744,0.0,0.0,0.0,0.041946913306601344,-0.004747528117150068,-0.02976606847718358,0.005337798446416855,0.0026360502000898124,0.0,-0.052898794189095495,-0.03578090410679579,0.0,0.0,0.0,0.027793111209757627,0.0023018450662493704,0.0,0.03657898049801588,0.016632741894572974,0.02012250836007297,-0.010268834363669157,1.0,0.0
Tars2,0.17887332722428254,0.12050318935886026,-0.010263399356044828,0.0,0.002872897759079933,0.0,-0.048134451713413,0.0,0.0015163755416870118,0.03149053883273154,0.0,-0.023908012565225362,0.0,0.0,0.0,0.029148713080212475,0.001791520044207573,0.06173446829430759,-0.0032408060505986214,0.008046373277902603,0.0,-0.023080279524438082,0.013234033025801182,0.0,0.0,0.0,0.10537324145436287,0.035550386793911454,0.0,0.045986302788369356,0.013314355621114373,0.007465610979124904,0.0095842451043427,1.0,1.0
