gene_name,gene_length.meta,9mo.2mo.contact.log_ratio.min.5kb-20kb.enhancer_DMR,count.enhancer_DMR,9mo.2mo.activity.log_ratio.count.5kb-20kb.enhancer_DMR,18mo.9mo.activity.log_ratio.count.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.max.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.max.5kb-20kb.enhancer_peak,9mo.2mo.activity.log_ratio.count.5kb-20kb.enhancer_peak,18mo.9mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.median.5kb-20kb.enhancer_peak,18mo.2mo.contact.log_ratio.min.5kb-20kb.enhancer_peak,9mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.count.0-5kb.enhancer_peak,18mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,count.DAR,9mo.2mo.log_ratio.DMR,18mo.2mo.log_ratio.DMR,count.DMR,18mo.9mo.Q.std.loops,18mo.9mo.T.min.loops,9mo.2mo.Q.median.loops,loop_size.log.max.loops,18mo.2mo.Q.mean.loops,9mo.2mo.Q.min.loops,9mo.2mo.Q.mean.loops,9mo.2mo.Q.std.loops,Qanova.min.loops,18mo.9mo.T.mean.loops,18mo.2mo.T.mean.loops,loop_size.log.mean.loops,loop_size.log.min.loops,min_distance.log.max.loops,18mo.2mo.Q.min.loops,9mo.2mo.log_ratio.mcg_genebody,18mo.9mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mch_genebody,9mo.2mo.log_ratio.mch_genebody,18mo.2mo.log_ratio.std.atac,log2_distance.min.atac,log2_distance.std.atac,log2_distance.max.atac,9mo.2mo.log_ratio.mean.atac,count.atac,18mo.2mo.log_ratio.min.atac,18mo.9mo.log_ratio.mean.atac,9mo.2mo.log_ratio.std.atac,18mo.9mo.log_ratio.std.atac,9mo.2mo.log_ratio.max.atac,DEG,pred
Tiparp,-0.28240935715846716,0.015900712832808493,0.0,0.07609213969670237,0.0,0.0025772057846188546,0.3305447966046631,0.008200399428606033,0.0,-0.06635577081236989,0.3782277958886698,-0.033760675229132175,0.0,0.019767063753679395,-0.0006586866080760956,0.009178681429475546,0.09535482630133629,0.0,-0.16103719265200198,-0.002637710925191641,-0.055227364115417,0.1163252308126539,0.0,0.0,0.0027695851400494575,0.005410560462623834,0.005654661245644093,0.0,0.018050410766154528,-0.05589804768562317,-0.07760031152516604,0.0966695818118751,0.0,0.0019177471846342088,0.0006259848922491074,-0.02824910529423505,-0.15459883706178515,0.1354218151792884,0.0,0.004458822999149561,0.013071023728698491,-0.00798072112724185,-0.0011685506254434585,-0.012542284042574466,0.0,-0.03539607787504792,0.0,-0.006483818842098117,8.792697452008724e-05,-0.011645369827747346,0.049683936759829524,0.0,0.11337353955022991,-0.0032982290163636207,-0.0036239738576114176,-0.03708037675358355,-0.009648150000721216,-0.005292175617069006,0.07738699736073613,1.0,1.0
Akr1e1,-0.5948513925261796,0.015900712832808493,0.0,0.1179433754645288,0.0,0.0025772057846188546,0.4408702485449612,0.008200399428606033,0.0,0.019145111576654016,0.4977139906585217,-0.04810287772677839,0.0,0.02718193084001541,-0.0006586866080760956,0.009178681429475546,0.10770064605399966,0.0,-0.17070669433102012,-0.004343497771769762,0.09495538061484694,0.10459486140869557,0.0,0.0,0.011686301622539759,0.005410560462623834,0.007036120109260083,0.0,0.03323851104825735,0.10648273228667676,0.032702405322343114,0.1521924453228712,0.0,-0.002191711068153381,0.0004173232614994049,-0.06664307225961238,-0.15040485992096364,0.0948505717329681,0.0,0.004458822999149561,0.011923384759575129,-0.006967897154390812,-0.0035056518763303757,0.010684062554500997,0.0,0.1099917065538466,0.0,-0.006483818842098117,8.792697452008724e-05,-0.013062770590186118,0.03724331835284829,0.0,0.11337353955022991,-0.0032982290163636207,-0.000388282909989357,-0.04737705955281854,-0.011662060003727675,-0.005292175617069006,0.09612870670855045,1.0,1.0
Farsb,0.372548073111102,0.012899136617779732,0.0,0.2258029729872942,0.0,0.02356302447617054,0.2446084002405405,0.008200399428606033,0.0,0.018269025376066565,-0.0490716508962214,-0.021524727419018744,0.0,0.028607193399220705,-0.0026347464323043823,0.00859068103134632,0.15232276262715458,0.0,0.17385832199826837,-0.0037918148748576643,0.08732432003132999,-0.06894737367518246,0.0,0.0,0.024151832144707442,-0.0059654897451400755,0.005123330913484096,0.0,0.022987358253449202,-0.09784403774887324,-0.010116199133917689,-0.02716206608340144,0.0,0.005068331845104694,0.0006259848922491074,0.06539221029728651,-0.14025418845005333,0.11434574518352747,0.0,0.005033084079623222,0.028368101995438336,-0.014980423413217068,-0.013048815317451954,0.004162541944533586,0.0,-0.0039037129282951354,0.0,-0.0015786689426749946,0.12069462887011469,-0.008912207782268524,-0.038671916164457795,0.0,0.1767692312784493,-0.0016491145640611649,0.007247947659343481,0.008832087949849665,-0.012532658725976944,-0.00870846612378955,0.09950424134731292,1.0,2.0
Sema3e,1.0710212115291506,0.022640398479998113,0.0,-0.12734528650529683,0.0,-0.09867016434669494,0.05253966929391027,0.0016270633786916733,0.0,0.01028417599387467,-0.03725800026208162,0.11612458834424615,0.0,0.034832518501207235,-0.0026347464323043823,0.00859068103134632,0.03441383762750774,0.0,0.12235186854377389,-0.003785381820052862,-0.03258624461479485,0.21167311342433096,0.0,0.0,0.024934906978160143,0.005410560462623834,0.0007756166905164718,0.0,0.11211662666872144,-0.05978779217228294,0.006412783218547702,0.05272913798689842,0.0,0.023012966215610504,0.0004173232614994049,0.04664982572197914,-0.10989913897588849,-0.03453761667944491,0.0,0.01919819165021181,0.02783933558035642,0.10434530299156904,-0.0017528259381651879,0.02361671356484294,0.0,0.024814550951123237,0.0,-0.0015222879080101848,0.12979542179964482,-0.003443400301039219,-0.038671916164457795,0.0,0.09773512006737292,-0.0016491145640611649,-0.00025885527953505515,-0.02189632226713002,0.0029862955212593078,0.02126255938783288,0.04388093769550323,1.0,2.0
Smad4,0.43845147007144986,-0.051635052151978014,0.0,-0.10178303647786378,0.0,0.02356302447617054,-0.030465919263660907,0.002017558589577675,0.0,-0.0821806290280074,-0.0847960952296853,-0.021795535897836088,0.0,0.020171239441260695,-0.0006586866080760956,0.00859068103134632,0.1407619212195277,0.0,-0.13053614172153175,-0.0037918148748576643,-0.03592985360883176,0.2051792246894911,0.0,0.0,0.011686301622539759,-0.0059654897451400755,0.0019176629185676574,0.0,0.026646122708916663,0.08638661954551935,0.006412783218547702,0.18670640839263797,0.0,-0.021506164856255054,0.0006259848922491074,-0.03889341276139021,-0.19232713186182082,0.06282581888139248,0.0,0.004458822999149561,-0.05027736557647586,-0.014980423413217068,-0.0011685506254434585,-0.010531623698771,0.0,-0.0013331650383770466,0.0,-0.0015222879080101848,-0.027476714914664625,-0.007307439371943474,-0.026712092626839875,0.0,0.20915734608657657,-0.0028185410797595977,-0.0036239738576114176,-0.02546600271947682,-0.018354137036949394,-0.012370980065315961,0.10997466238215566,1.0,1.0
Tet2,0.6743018401553854,0.028042248897254467,0.0,0.13558045764453708,0.0,0.02356302447617054,0.0572443863376975,0.008200399428606033,0.0,-0.03754426087718457,-0.051813451945781706,0.11612458834424615,0.0,0.02726027789525688,-0.0006586866080760956,0.00859068103134632,0.01726603311020881,0.0,0.09858865173067898,-0.0037918148748576643,-0.05207336359657347,0.16569346003234386,0.0,0.0,-0.0680150532349944,0.005410560462623834,0.005229596979916096,0.0,0.053729286706075075,0.07803127020597458,0.006412783218547702,0.05272913798689842,0.0,0.005068331845104694,0.0006259848922491074,0.04664982572197914,-0.15144159218296407,0.115926641728729,0.0,0.005033084079623222,0.028986974549479783,-0.010392062626779079,-0.0017528259381651879,-0.00959601141512394,0.0,-0.000855636652559042,0.0,-0.006483818842098117,0.12558139848522842,-0.005622687190771103,-0.02702634836314246,0.0,0.1875345595367253,-0.0016491145640611649,0.041287416126579046,-0.19525360946543516,-0.010518748722970485,0.02126255938783288,0.09711714999750257,1.0,2.0
Agpat4,0.7230625754920765,0.009053165279328822,0.0,0.21640604285523296,0.0,0.0055225839093327525,-0.025121460007503628,-0.013602249845862389,0.0,0.017958239777944984,-0.06873039559461176,0.12357563097029925,0.0,-0.16081601655110717,-0.0006586866080760956,-0.002558845952153206,-0.013823372200131417,0.0,-0.15771887943148613,-0.0037918148748576643,0.14193389335647225,-0.049082933850586416,0.0,0.0,-0.043334419392049316,-0.003607040457427502,0.005229596979916096,0.0,-0.16813793314620853,0.05128671014681459,0.004872342757880688,0.15841110307723283,0.0,-0.006301169320940971,0.0006259848922491074,-0.06543842095881701,-0.11703383232466877,0.10230547618120908,0.0,0.001970358230173588,-0.06382379851303994,-0.019832149147987366,-0.0035056518763303757,-0.0396711452677846,0.0,0.007981886304914951,0.0,0.01144595188088715,-0.0760327726509422,-0.00687043531332165,-0.04797130512073636,0.0,-0.16895346397534014,-0.0032982290163636207,-0.000388282909989357,-0.052266696952283385,-0.026883638501167297,0.00751891378313303,-0.1453458038903773,1.0,0.0
Msl3l2,-0.6040613007266075,0.01640703871846199,0.0,0.07336769863031804,0.0,0.0025772057846188546,0.3061195205710828,0.0016270633786916733,0.0,-0.06692433457355947,-0.06880563786253333,-0.04810287772677839,0.0,0.024600505931302905,-0.0006586866080760956,0.029081642776727677,0.10770064605399966,0.0,-0.09712428192142397,0.10949505869299174,0.08520816206932068,0.09739517956972123,0.0,0.0,0.01026428908109665,-0.026497873067855834,-0.009984689466655254,0.0,0.0537537806853652,0.04446595734916627,0.005668920753523707,0.23720707004889846,0.0,0.0019177471846342088,-0.006990164630115032,-0.012037600465118885,0.3617391011258587,-0.028665560381487012,0.0,0.04922765271738171,0.0051402287557721135,-0.008125410294160246,-0.0035056518763303757,-0.012542284042574466,0.0,-0.03539607787504792,0.0,-0.006483818842098117,-0.09009143722243607,-0.010196038633584975,0.027755963392555715,0.0,0.07528088689781726,-0.0032982290163636207,-0.0036239738576114176,-0.03664782030507922,-0.018354137036949394,-0.00870846612378955,0.06348500225692988,1.0,1.0
Nol8,-0.43388018891215324,0.00873734312132001,0.0,0.18920467650517822,0.0,0.0025772057846188546,-0.06547226347029209,0.008200399428606033,0.0,0.028210941562429072,-0.0906172539293766,-0.033760675229132175,0.0,0.017254428816959263,-0.0006586866080760956,-0.004191356962546706,-0.022786909872666003,0.0,-0.2637122185155749,-0.0009521015733480454,0.08791573151946068,-0.0549650320969522,0.0,0.0,0.011686301622539759,0.005410560462623834,0.005229596979916096,0.0,0.019578313250094653,0.08638661954551935,0.006412783218547702,-0.08623665610328317,0.0,-0.002191711068153381,-0.0007303157076239586,-0.04817719550803304,-0.12973978499881922,0.09094804037362338,0.0,0.001970358230173588,0.015513494834303856,-0.011453260909765959,-0.0035056518763303757,0.02820128624327481,0.0,-0.004624397829174996,0.0,0.0029318137420341374,-0.0429596905130893,-0.009617267530411483,0.05474722713232041,0.0,0.024694066075608135,-0.009894686937332153,-0.000388282909989357,0.028677761484868825,-0.020368047039955855,0.11320092650130391,0.10469966193661094,1.0,1.0
Dusp8,-0.5334383838251233,-0.03962478456087411,0.0,-0.11214263608679176,0.0,-0.013990546092391015,-0.08109044747427106,-0.001822310984134674,0.0,0.010222298637963832,-0.03522847185842693,-0.051172651425004004,0.0,-0.10358443154022097,-0.0026347464323043823,-0.018817649986594916,-0.03749502186663449,0.0,-0.07226025296375155,-0.004431517664343119,-0.019025609418749808,-0.059458143701776864,0.0,0.0,-0.019824739005416633,0.008046474643051624,0.0007756166905164718,0.0,-0.038857488175854084,-0.04073450231924653,0.005464307963848114,0.18168420653790235,0.0,0.0056162596121430396,-0.0007303157076239586,0.00176936786621809,0.335107146804221,-0.020138230929151176,0.0,0.004267982449382543,0.027123240469954908,-0.00974265237338841,-0.0011685506254434585,0.000792722306214273,0.0,-0.004624397829174996,0.0,0.0009590797033160925,0.12271353353746235,-0.00986651111394167,-0.008501208298839628,0.0,-0.05511676695197821,-0.009894686937332153,-0.000388282909989357,0.03103251335211098,-0.019048250187188386,-0.012370980065315961,-0.06887016098946333,1.0,0.0
Tmed3,-0.4901007620897144,-0.05421578465029597,0.0,-0.09388922513462603,0.0,0.0025772057846188546,0.4802266490459442,0.002017558589577675,0.0,-0.08432924546301365,0.42101563037838785,0.35301883896812797,0.0,0.017751775877550245,-0.0006586866080760956,0.00870930602774024,0.12841509042773397,0.0,-0.22249110795091837,0.11143766596913338,-0.021672990433871747,0.16266204111278057,0.0,0.0,0.01026428908109665,0.005410560462623834,0.0023427271842956544,0.0,0.02813802970573306,0.10648273228667676,-0.07760031152516604,-0.08196566660888494,0.0,0.0056162596121430396,0.01105906642973423,-0.033726862301118675,-0.1552044439036399,0.03287639276124537,0.0,0.004458822999149561,0.014740316774696111,-0.006967897154390812,-0.0011685506254434585,-0.005980087989009917,0.0,-0.032267018891870974,0.0,-0.0006765724159777164,8.792697452008724e-05,-0.008658947926014661,0.027755963392555715,0.0,0.11099831132218242,-0.0032982290163636207,-0.0036239738576114176,0.015490726395510137,-0.009648150000721216,-0.005292175617069006,0.05569058833643794,1.0,1.0
Dusp15,-0.6706909656710923,-0.023976116487756372,0.0,-0.10278323350474239,0.0,-0.013990546092391015,-0.08109044747427106,0.0007809904217720031,0.0,0.009578755963593722,-0.06130352545529604,-0.050052657015621664,0.0,-0.12915585801005364,-0.0026347464323043823,-0.004191356962546706,-0.03054203593172133,0.0,0.11279124508611858,-0.007049665953963995,-0.05059903859160841,-0.07683478723280132,0.0,0.0,0.01864153305068612,-0.003607040457427502,0.0007756166905164718,0.0,0.03580523008480668,-0.04073450231924653,0.004872342757880688,0.04098391665145755,0.0,0.0056162596121430396,0.0006259848922491074,-0.003672902267426252,-0.13332960782106965,-0.029526261454448102,0.0,0.0023800204508006573,0.0124433858320117,-0.00974265237338841,-0.0017528259381651879,-0.02317733407020569,0.0,-0.004624397829174996,0.0,-0.0020291151059791445,-0.11005456084851176,-0.0091317886300385,0.05527040469460189,0.0,-0.04092672588303685,-0.009894686937332153,-0.000388282909989357,-0.04636628184467554,-0.026883638501167297,-0.009011627733707428,-0.07008109046146274,1.0,0.0
