gene_name,gene_length.meta,18mo.9mo.activity.log_ratio.min.20kb-5Mb.enhancer_DMR,9mo.2mo.activity.log_ratio.count.20kb-5Mb.enhancer_DMR,count.enhancer_DMR,18mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,9mo.2mo.log_ratio.DAR,18mo.2mo.log_ratio.DAR,count.DAR,size.log2.DMR,distance.log2.DMR,18mo.9mo.Q.std.loops,Tanova.max.loops,Qanova.mean.loops,loop_size.log.std.loops,18mo.2mo.Q.mean.loops,18mo.9mo.Q.mean.loops,9mo.2mo.Q.mean.loops,9mo.2mo.Q.max.loops,18mo.9mo.Q.median.loops,min_distance.log.std.loops,9mo.2mo.T.mean.loops,count.loops,Qanova.min.loops,18mo.2mo.T.mean.loops,18mo.2mo.Q.std.loops,Qanova.std.loops,9mo.2mo.T.median.loops,18mo.2mo.Q.max.loops,Tanova.median.loops,18mo.9mo.Q.max.loops,9mo.2mo.log_ratio.max.atac,18mo.2mo.log_ratio.mean.atac,18mo.2mo.log_ratio.max.atac,log2_distance.max.atac,9mo.2mo.log_ratio.mean.atac,18mo.2mo.log_ratio.min.atac,18mo.9mo.log_ratio.mean.atac,DEG,pred
Mgat4c,0.3660053023520638,0.0,0.0,-0.009752710295074126,0.0,-0.12573753910906174,0.03790877677281113,0.01943629454163944,0.042276242967037594,-0.056408356656046474,0.0,0.0,0.0,0.0,-0.002281539689968614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015604637563228607,0.0,0.01072553260361447,0.1219237813835635,0.24298405789715402,0.013343757018446922,0.05222116432645742,0.009509991197025074,0.0,0.0011978151057572925,2.0,0.0
Syt14,-0.19235960635192254,0.0,-0.002546794931678211,-0.035527728497982025,0.0,-0.02982540921691586,0.012441901928361724,0.005300807602265302,-0.006021230645916041,-0.008937943836345393,0.0,0.0,0.0,0.0,-0.009126158759874456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010284875190871604,0.0,-0.008937943836345393,-0.03187327941550928,-0.2133040686740595,0.0,-0.018592162386459464,0.009509991197025074,0.0,0.0,2.0,2.0
Arl6ip1,0.15635009855031967,0.0,0.0,-0.035527728497982025,0.0,-0.12573753910906174,0.03790877677281113,0.005300807602265302,0.020484109628288186,-0.056408356656046474,0.0,0.0,0.0,0.0,-0.002281539689968614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015604637563228607,0.0,0.01072553260361447,-0.029614940504817402,0.24298405789715402,0.0,-0.018592162386459464,0.03180696278372232,0.0,0.0011978151057572925,0.0,1.0
Cdh18,0.287347870577565,0.0,-0.000848931643892737,-0.016718931167441255,0.0,-0.0247594771139762,-0.06594680770135977,0.005300807602265302,-0.10559029449873111,-0.009931048707050435,0.0,0.0,0.0,0.0,0.22502349766300006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006383715307011324,0.0,0.003575177534538157,-0.018070555018151507,-0.09372802081463091,0.00759405768750345,0.11962359146598507,0.0071959311471265905,0.0,0.0,2.0,2.0
Tjp2,-0.20960870407083454,0.0,-0.002546794931678211,-0.035527728497982025,0.0,-0.020149015438030746,-0.057959789465017175,0.005300807602265302,0.011227867072995971,-0.006554492146653288,0.0,0.0,0.0,0.0,-0.009126158759874456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007447667858179878,0.0,-0.006554492146653288,-0.03187327941550928,-0.16018288199077635,0.0,-0.018592162386459464,0.009509991197025074,0.0,0.0,2.0,2.0
6030407O03Rik,-0.18194649982101777,0.0,-0.002546794931678211,-0.035527728497982025,0.0,0.03875513804857345,0.025254083359066176,0.005300807602265302,0.010360094389932998,0.011917258448460522,0.0,0.0,0.0,0.0,-0.009126158759874456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015604637563228607,0.0,0.0091365648104864,-0.03187327941550928,-0.3613127436050597,0.0,-0.018592162386459464,-0.0172844370279242,0.0,0.001796722658635939,2.0,2.0
Mpped1,-0.1581338383257389,0.0,-0.002546794931678211,-0.035527728497982025,0.0,0.028966774725738692,0.02030305813669282,0.005300807602265302,0.0074852451353388675,0.006753113120794296,0.0,0.0,0.0,0.0,-0.009126158759874456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.022555794470998293,0.0,-0.017081403776126748,-0.03187327941550928,-0.2764633672640604,-0.020937814705950374,-0.018592162386459464,-0.0172844370279242,0.0,0.001229281263316379,2.0,2.0
Tnc,-0.20960870407083454,0.0,-0.002546794931678211,-0.035527728497982025,0.0,-0.03940098190351444,0.013193794827470007,0.005300807602265302,0.011227867072995971,-0.016088298905421707,0.0,0.0,0.0,0.0,-0.009126158759874456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008511620847617878,0.0,0.004965524353525218,-0.03187327941550928,-0.23002999988110626,0.0,-0.018592162386459464,0.009509991197025074,0.0,0.0,2.0,2.0
Tuba1a,0.15635009855031967,0.0,0.04371997966047596,0.0874260770266547,0.0,0.09024636014638578,0.06957740306525546,0.005300807602265302,0.020484109628288186,0.012513121370883548,0.0,0.0,0.0,0.0,-0.0018570738680222455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08405225241885465,0.0,-0.058195945423315555,-0.018468986539279714,0.24469685146365971,0.0,-0.010581007117734235,0.03180696278372232,0.0,0.00665838791824439,0.0,1.0
Ppp2r3a,-0.18579604257555568,0.0,-0.002546794931678211,-0.035527728497982025,0.0,0.03875513804857345,0.025254083359066176,0.005300807602265302,0.008353017818401842,0.011917258448460522,0.0,0.0,0.0,0.0,-0.009126158759874456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015604637563228607,0.0,0.0091365648104864,-0.03187327941550928,-0.3613127436050597,-0.020937814705950374,-0.018592162386459464,0.009509991197025074,0.0,0.001796722658635939,2.0,2.0
Tmem117,0.3660053023520638,0.0,-0.002546794931678211,-0.016718931167441255,0.0,0.028966774725738692,0.02030305813669282,0.005300807602265302,0.042276242967037594,0.006753113120794296,0.0,0.0,0.0,0.0,-0.009126158759874456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.022555794470998293,0.0,-0.017081403776126748,-0.018070555018151507,-0.2764633672640604,0.013343757018446922,0.11962359146598507,0.009509991197025074,0.0,0.001229281263316379,2.0,0.0
9930021J03Rik,-0.19235960635192254,0.0,-0.002546794931678211,-0.035527728497982025,0.0,-0.0247594771139762,-0.039124566459042186,0.005300807602265302,-0.006021230645916041,0.011917258448460522,0.0,0.0,0.0,0.0,-0.009126158759874456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006383715307011324,0.0,0.0091365648104864,-0.03187327941550928,-0.22240183612003045,0.0,-0.018592162386459464,0.009509991197025074,0.0,0.0,2.0,2.0
Hs6st3,0.287347870577565,0.0,0.0,-0.016718931167441255,0.0,-0.12573753910906174,0.03790877677281113,0.005300807602265302,-0.10559029449873111,-0.056408356656046474,0.0,0.0,0.0,0.0,0.07757234945893288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015604637563228607,0.0,0.01072553260361447,-0.018070555018151507,0.16313016603646033,0.00759405768750345,0.11962359146598507,0.0071959311471265905,0.0,0.0011978151057572925,0.0,0.0
Zbtb16,-0.20960870407083454,0.0,-0.002546794931678211,-0.035527728497982025,0.0,-0.02982540921691586,0.013037764905568431,0.005300807602265302,0.011227867072995971,0.006753113120794296,0.0,0.0,0.0,0.0,-0.009126158759874456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010284875190871604,0.0,-0.017081403776126748,-0.03187327941550928,-0.2214475310243228,0.0,-0.018592162386459464,0.009509991197025074,0.0,0.0,0.0,2.0
Rpsa,0.10635920186691425,0.0,-0.002546794931678211,0.0874260770266547,0.0,0.03875513804857345,0.025254083359066176,0.005300807602265302,0.013252670191885793,0.011917258448460522,0.0,0.0,0.0,0.0,-0.009126158759874456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015604637563228607,0.0,0.0091365648104864,-0.018468986539279714,-0.3613127436050597,0.0,-0.010581007117734235,-0.07264055804732968,0.0,0.001796722658635939,0.0,1.0
Rreb1,-0.18194649982101777,0.0,-0.002546794931678211,-0.035527728497982025,0.0,-0.0247594771139762,-0.07548061478883028,0.005300807602265302,0.010360094389932998,0.007150355069076314,0.0,0.0,0.0,0.0,-0.009126158759874456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006383715307011324,0.0,0.005561387275948244,-0.03187327941550928,-0.1777037083006957,0.0,-0.018592162386459464,-0.0172844370279242,0.0,0.0,2.0,2.0
Gm15398,-0.20960870407083454,0.0,0.0,-0.014629064675639658,0.0,0.15089165638474858,0.09411916079218774,0.01943629454163944,0.011227867072995971,-0.056408356656046474,0.0,0.0,0.0,0.0,-0.002281539689968614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06029064536971204,0.0,0.01072553260361447,0.18543930285993745,0.3437413337695248,0.0,-0.008676342447014415,0.009509991197025074,0.0,0.011623499805436414,0.0,0.0
Schip1,0.26883538511088667,0.0,0.0,-0.016718931167441255,0.0,-0.05055943703936303,-0.16694903001189232,-0.004417339668554419,-0.08939186998588197,0.007150355069076314,0.0,0.0,0.0,0.0,-0.002281539689968614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009930224322220859,0.0,-0.02145106520722894,-0.008352407733635867,0.17833246641299305,0.00759405768750345,0.11962359146598507,0.009509991197025074,0.0,0.0005989075528786463,0.0,0.0
Kctd8,-0.18579604257555568,0.0,-0.002546794931678211,-0.035527728497982025,0.0,0.018967721638653207,-0.0992395957274472,0.005300807602265302,0.008353017818401842,0.007150355069076314,0.0,0.0,0.0,0.0,-0.009126158759874456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009575573453570114,0.0,0.005561387275948244,-0.03187327941550928,-0.20146268551402233,-0.020937814705950374,-0.018592162386459464,0.009509991197025074,0.0,0.0005989075528786463,2.0,2.0
