gene_name,gene_length.meta,18mo.9mo.activity.log_ratio.mean.20kb-5Mb.enhancer_DMR,18mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_DMR,18mo.2mo.activity.log_ratio.std.20kb-5Mb.enhancer_DMR,count.enhancer_DMR,18mo.9mo.activity.log_ratio.max.5kb-20kb.enhancer_DMR,18mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.min.0-5kb.enhancer_peak,9mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.median.0-5kb.enhancer_peak,18mo.9mo.activity.log_ratio.median.0-5kb.enhancer_peak,18mo.9mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.log_ratio.DAR,18mo.2mo.log_ratio.DAR,rel_pos.DAR,count.DAR,18mo.9mo.log_ratio.DAR,18mo.9mo.log_ratio.DMR,distance.log2.DMR,18mo.2mo.Q.mean.loops,18mo.9mo.Q.min.loops,9mo.2mo.Q.mean.loops,9mo.2mo.Q.min.loops,9mo.2mo.Q.std.loops,18mo.9mo.T.mean.loops,18mo.2mo.T.mean.loops,18mo.2mo.T.median.loops,18mo.2mo.Q.min.loops,9mo.2mo.log_ratio.mcg_genebody,18mo.9mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mean.atac,18mo.2mo.log_ratio.max.atac,log2_distance.max.atac,9mo.2mo.log_ratio.mean.atac,count.atac,18mo.9mo.log_ratio.max.atac,18mo.9mo.log_ratio.mean.atac,9mo.2mo.log_ratio.std.atac,18mo.9mo.log_ratio.std.atac,9mo.2mo.log_ratio.max.atac,DEG,pred
Rhno1,-1.5767723568994552,0.0,-0.006138356048613787,0.12390902794897557,0.0,0.0,-0.016418160763569178,0.0,0.013549879733473063,0.019763494385406376,0.0043937845155596735,-0.04295620235265232,0.03905797920189798,0.0,-0.004567274791188538,0.037535267034545544,0.055111394464038316,0.008046738337725401,-0.0033348021004348995,-0.0035538366064429283,0.025418173498474063,-0.0010609401343390345,0.0,-0.00010497842915356159,-0.0018083495553582907,0.07351043188013136,0.02766691049095243,0.005808681752532721,0.0011984711699187757,-0.0031952048651874066,0.001069705927511677,0.0,0.002454199567437172,0.006076984871178866,-0.0100421345513314,9.510491043329238e-05,-0.017647758470848204,0.09765844535082578,-0.051366427079774436,-0.013102443390525877,-0.010406213053502143,0.021506768269464373,-0.06016094701364636,0.08611162710934878,-0.02887812382541597,-0.0066434805188328025,-0.015104532591067255,1.0,0.0
Mettl7a1,0.26039573141373695,0.0,-0.006345766577869654,0.09475394384469837,0.0,0.0,0.032493241485208275,0.0,-0.022368419095873834,0.007648823745548725,0.0046800138230901215,0.236093692057766,-0.020678883492946623,0.0,-5.347829777747393e-05,-0.017189299557358026,-0.06303627640940249,0.0019773089326918123,0.21833956632763146,-0.0040947492048144345,-0.03833711159881204,0.11106867263559252,0.0,-0.0005248921550810337,-0.0016114133596420287,-0.006423066731076688,0.009536535795778036,0.0054693111777305604,0.019594373535364865,0.0015467435866594315,-0.0001366071542724967,0.0,0.0014278979320079088,0.010946413744240999,0.015027232323773206,-0.0008876458369195461,0.06400481548160314,0.4661173237301409,0.02083465810166672,0.038270734748803076,0.22591467757709324,0.07404479818418622,-0.0983834851719439,-0.031390762217342855,-0.06956524535082281,-0.010228709001094103,0.041495948757510635,1.0,2.0
Rhou,-1.2009288935922087,0.0,0.007521420484408736,-0.05247733587864786,0.0,0.0,-0.026676711747422813,0.0,-0.01361243423074484,0.004249106450006365,-0.008373028315836563,-0.04931018813862465,-0.05867413294268772,0.0,0.0039774994133040305,-0.008607334140688181,-0.04607827583793551,0.004144672262482345,-0.005409520193934441,-0.005783236883580685,0.036367248957976696,-0.0004372055735439062,0.0,-0.00024494966957718135,-0.004151307307183743,-0.0100963732926175,0.007447705797385424,0.004677446633577347,-0.0079149722866714,-0.0033486763201653956,-0.00033976025879383086,0.0,0.0014278979320079088,0.007711293203756213,-0.010122616880107672,0.0,-0.01599298127926886,0.0907133854739368,-0.055427091177552935,-0.02417178759817034,-0.016715844059363008,0.021758812023326756,-0.03622030944563449,-0.08572400335920975,-0.02427433116361499,-0.006537093184888363,-0.014334110595518723,1.0,0.0
Phc1,-0.5155646126903594,0.0,-0.004545439728535712,-0.06884074560366571,0.0,0.0,0.017736072763800622,0.0,0.0023809510655701163,-0.002525790948420763,8.021285757422448e-06,-0.03302119919564575,-0.06012432776391506,0.0,0.008814777811057866,0.02029585768468678,-0.049870084673166275,0.0028018742520362137,-0.006954040434211492,-0.03388956838287413,-0.11734892952721566,0.004505933728069067,0.0,0.0,-0.0016372837126255035,-0.01239239752292633,0.01578802033793181,0.004677446633577347,0.004355452191084623,-0.004170715883374214,-9.366712532937526e-05,0.0,0.0008924362063407898,0.009306658068671822,-0.05029481043340638,0.00012680654879659414,-0.017261643768288194,-0.22662850679829716,-0.08935900338925422,-0.006682669399306178,-0.035709783267229796,-0.05101415237877518,0.04779115973040462,-0.08217272792942822,0.013860738207586109,0.004260981264524162,-0.026727411202155053,1.0,1.0
Adam1a,-0.012165076429955662,0.0,-0.008045506505295634,-0.04443398560513742,0.0,0.0,-0.06791922994889318,0.0,-0.006746000209823251,0.0013786301482468844,-0.001900577968917787,0.006299542706692592,-0.0279912593588233,0.0,0.00033156706020236014,0.003641288224607706,-0.016766233923844992,0.02106695900671184,-0.0158192393835634,-0.012142219990491867,0.08488215887919068,-0.00044635530561208724,0.0,-0.0005248921550810337,-0.003043398465961218,-0.006917845038697123,-0.03609478892758489,-0.0062873889878392215,-0.028778766244649888,-0.03486070442944765,-0.000148974274052307,0.0,-0.004417559206485748,-0.01692349577322602,-0.017582473662914707,9.510491043329238e-05,-0.016636880084406586,-0.14293067364022136,-0.056748561919666825,-0.030237178658135234,-0.025995635143481195,0.0621804895112291,-0.047202817853540184,-0.22610524732153864,-0.026562193334102632,-0.009611364165320992,-0.01147280890145339,1.0,1.0
Pi4ka,0.6162523838039488,0.0,-0.007250896841287613,-0.048486350453458726,0.0,0.0,-0.009052093760110437,0.0,0.018972175139933826,-0.006976346150040626,0.00521690767724067,-0.09015415876172483,-0.041717209406197074,0.0,0.010912861321121453,0.019458151520229876,0.03208040713798255,-0.03313997574150562,-0.007596012400463223,-0.09728306464850903,-0.13462103263475,-0.01706530355848372,0.0,-0.0005248921550810337,0.02628168985247612,-0.005709200876299292,-0.16393220496334834,0.007390211373567581,-0.002221450163051486,0.008267782554030418,-0.0008548405021429062,0.0,0.0026773086190223696,-0.023711516913026573,0.021020584346260876,0.0008242425974458456,0.030312601290643216,-0.4937203843705356,-0.11392733659595251,0.045307559724897147,-0.02580680138198659,-0.07064678403083235,-0.0012460591271519661,-0.17508053103461862,0.037681853715330366,-0.003112528147175908,-0.045376207211520525,1.0,1.0
Arid4b,0.9138766190968454,0.0,-0.0033100967854261397,0.10382118766661734,0.0,0.0,0.026363212345167995,0.0,0.013943361546844245,-0.06865261621773243,0.018737269407138227,-0.0009757112478837371,0.07092705168295652,0.0,0.025787979243323208,0.041723797703161834,0.14791338094044476,-0.013081526905298234,-0.0002744543179869652,-0.001565566584467888,0.06579887545201928,0.0043532301113009455,0.0,0.0,-0.0030558791570365427,0.029807616691105068,0.03601536460861098,-0.011246740333735943,-0.0027102555613964796,0.006033786982297898,0.0020533348387107254,0.0,0.0026773086190223696,0.011426061298698187,-0.025797940427437424,0.006847553700208664,-0.06163410350680351,-0.3702521623019129,0.04922003418207169,0.09132690949365496,-0.010018049823120236,-0.028196988496929407,0.04483759632334113,0.04319373022764921,-0.00629281597211957,0.02680374801158905,-0.024566236769314857,1.0,2.0
Ubr5,0.599154950864613,0.0,-0.007250896841287613,0.011533812303096056,0.0,0.0,-0.022235925886780025,0.0,0.01427429100498557,0.0014591026399284601,-0.003650714117102325,0.01157979644020088,-0.02797514327801764,0.0,-0.020190661987289787,-0.015966701172292232,0.07920830033021048,0.020529035730287432,-0.001460007457062602,-0.011058144979178905,0.03573720722459257,0.0018047396466135978,0.0,-0.0001749640516936779,-0.0017473259568214416,0.022205388953443615,-0.04294797333655879,0.046829154137521985,0.013585527017712594,0.006932100728154183,0.000936026070266962,0.0,0.0014725197479128838,-0.054847412658855316,-0.0017302555963397026,0.0003170163882896304,-0.0055686876643449065,-0.5894997863657773,0.16816928753629326,0.06161485655233264,-0.02183221133425832,-0.034994278182275594,0.02733453649096191,-0.2711803829530254,0.06712806204333902,0.04037265997845679,0.1710572070837952,1.0,1.0
Prkcz,0.9118705207668245,0.0,-0.01774888874962926,-0.0405071887280792,0.0,0.0,-0.01737405292224139,0.0,-0.025755195897072553,0.012215315131470561,-0.0228150867507793,0.009090511864051222,-0.014465273818932473,0.0,0.0010135917691513896,-0.012116643320769071,-0.14350438957102596,0.06441693671047688,0.023051147479563952,0.17378573485650123,-0.12926423478405924,-0.0006015962734818458,0.0,0.013997124014422298,-0.0016114133596420287,0.006166361637879163,-0.04062570028938353,0.0387272360175848,-0.03850438674911857,0.01366421915590763,-0.00047692363732494415,0.0,0.0016510069835931063,0.006867690738290549,0.04779779413016513,0.00015850819647312165,0.02683868557214737,0.244933163151145,0.5011707624932751,0.009411498801782728,-0.06139716788195074,-0.04780013237614185,-0.02129469065926969,0.054054464879445735,-0.15301016941666604,-0.019040446830913424,0.0821013972943183,1.0,2.0
R3hdm1,0.8690419259667397,0.0,-0.004243444167077542,0.0028238140139728784,0.0,0.0,-0.010398228876292706,0.0,0.017664130269549785,-0.005093672769144178,0.005618424448184669,-0.027019400633871555,0.0634438744187355,0.0,-0.0022476779576390982,-0.016306311767548324,0.1292253800528124,0.020529035730287432,-0.01730031634680927,-0.03643456710502505,-0.05442608982790262,0.006728970604017377,0.0,0.0,-0.0016372837126255035,-0.07602219702675939,0.018693623483995905,-0.00853177547454834,-0.03771759020164609,0.007485493645071983,-0.00020840379409492015,0.0,-0.021239981707185506,-0.07864319299347698,-0.01418213503435254,0.0008242425974458456,-0.0028895117342472077,-0.2817223068326712,-0.11171065745642408,0.05785518053919077,-0.017188553251326084,-0.022057707249186934,0.013306410368531942,-0.18149245443753897,-0.02468494150787592,0.008945147925987839,-0.02735538763459772,1.0,1.0
