gene_name,gene_length.meta,18mo.9mo.activity.log_ratio.min.20kb-5Mb.enhancer_DMR,9mo.2mo.activity.log_ratio.count.20kb-5Mb.enhancer_DMR,count.enhancer_DMR,18mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,9mo.2mo.log_ratio.DAR,18mo.2mo.log_ratio.DAR,count.DAR,size.log2.DMR,distance.log2.DMR,18mo.9mo.Q.std.loops,Tanova.max.loops,Qanova.mean.loops,loop_size.log.std.loops,18mo.2mo.Q.mean.loops,18mo.9mo.Q.mean.loops,9mo.2mo.Q.mean.loops,9mo.2mo.Q.max.loops,18mo.9mo.Q.median.loops,min_distance.log.std.loops,9mo.2mo.T.mean.loops,count.loops,Qanova.min.loops,18mo.2mo.T.mean.loops,18mo.2mo.Q.std.loops,Qanova.std.loops,9mo.2mo.T.median.loops,18mo.2mo.Q.max.loops,Tanova.median.loops,18mo.9mo.Q.max.loops,9mo.2mo.log_ratio.max.atac,18mo.2mo.log_ratio.mean.atac,18mo.2mo.log_ratio.max.atac,log2_distance.max.atac,9mo.2mo.log_ratio.mean.atac,18mo.2mo.log_ratio.min.atac,18mo.9mo.log_ratio.mean.atac,DEG,pred
Plce1,0.03332764564958565,-0.0059471871046458975,0.0,-0.004981100559234619,0.0,0.008020907804808197,-0.02603240857612999,-0.015088786412140025,0.014112703570657793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002133826122564428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0795709602534771,-0.6092455556944889,-0.015149945694514933,0.08081235057290863,-0.0008230779100866878,0.0,-0.15605371111236951,2.0,2.0
St18,0.13216269438100212,-0.021800546769929284,0.0,-0.009339563548564911,0.0,0.02364057017599835,0.08505154362715342,0.03963967505842447,0.061257360229159105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0204491670079091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058631233870983124,0.351734678096631,0.09437871351838112,-0.031256561770158654,0.18591797357315526,0.0,-0.11790197841165696,2.0,0.0
St5,-0.058334758450441504,-0.019546478658038026,0.0,0.05541474372148514,0.0,-0.0075987547033411615,0.021201947498518753,0.009490214616936795,0.0335524754379602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007290572585428462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0795709602534771,-0.07405507712460616,-0.019569411928601125,-0.01594423984780031,-0.1266556568991612,0.0,0.08481576425187728,2.0,2.0
Btaf1,-0.09123506966759176,-0.0291973609915551,0.0,-0.025528140366077423,0.0,0.0037993773379746605,-0.057041555204812217,0.009311088169103159,0.03277626094024848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007290572585428462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13401424884796143,-0.021765052176573697,-0.019569411928601125,-0.01594423984780031,-0.00966219901216819,0.0,-0.12818580257761128,2.0,2.0
Gm16759,-0.041369325974408316,-0.013671392958392115,0.0,0.019768742844462395,0.0,0.0025329182801001214,0.021201947498518753,0.009490214616936795,0.016501055893433446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028451014967525706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0795709602534771,-0.4540177531649961,-0.025437432669979686,-0.01558860216070624,-0.12279569516506265,0.0,0.08481576425187728,2.0,2.0
Ar,-0.041369325974408316,-0.013671392958392115,0.0,0.019768742844462395,0.0,0.0025329182801001214,0.017006778281510752,0.009490214616936795,0.016501055893433446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028451014967525706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0795709602534771,-0.44967358805896607,-0.034125762334203016,-0.011244437273810892,-0.09578608743408147,0.0,-0.11718855299712981,2.0,2.0
C1ql1,0.10307399375254617,-0.022273992489585104,0.0,-0.009339563548564911,0.0,0.0037993773379746605,0.022807953495751408,-0.029527803430991137,0.0325971345335026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004267652245128856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012563835829496384,0.2683936484596309,-0.056216255816466665,-0.04517862419871723,-0.16569928546874402,0.0,0.08481576425187728,0.0,1.0
Etv5,-0.04344018055673908,-0.01725101566818707,0.0,-0.008716925978660583,0.0,-0.004221530466833536,0.021201947498518753,0.009490214616936795,0.016501055893433446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007290572585428462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0795709602534771,-0.40850387004149313,-0.019569411928601125,-0.01594423984780031,-0.12279569516506265,0.0,0.08481576425187728,2.0,1.0
2610316D01Rik,-0.04393649572396979,0.09345227544305518,0.0,-0.01089615747332573,0.0,-0.0075987547033411615,0.04755441517130855,-0.10577634713776848,-0.1207228365682942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00721944504253128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058631233870983124,0.26700346171855927,0.03357906790231081,-0.03149031606667182,0.13739353712812505,0.0,-0.11790197841165696,2.0,1.0
Rbfox3,0.025389017071574926,-0.007585354039774221,0.0,0.01011786051094532,0.0,0.008020907804808197,0.021201947498518753,0.00828198266818243,0.016501055893433446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002133826122564428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0795709602534771,-0.5616269080406603,-0.0533785959431792,0.05319973169004216,-0.12279569516506265,0.0,0.08481576425187728,0.0,2.0
