gene_name,gene_length.meta,18mo.9mo.activity.log_ratio.min.20kb-5Mb.enhancer_DMR,9mo.2mo.activity.log_ratio.count.20kb-5Mb.enhancer_DMR,count.enhancer_DMR,18mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,9mo.2mo.log_ratio.DAR,18mo.2mo.log_ratio.DAR,count.DAR,size.log2.DMR,distance.log2.DMR,18mo.9mo.Q.std.loops,Tanova.max.loops,Qanova.mean.loops,loop_size.log.std.loops,18mo.2mo.Q.mean.loops,18mo.9mo.Q.mean.loops,9mo.2mo.Q.mean.loops,9mo.2mo.Q.max.loops,18mo.9mo.Q.median.loops,min_distance.log.std.loops,9mo.2mo.T.mean.loops,count.loops,Qanova.min.loops,18mo.2mo.T.mean.loops,18mo.2mo.Q.std.loops,Qanova.std.loops,9mo.2mo.T.median.loops,18mo.2mo.Q.max.loops,Tanova.median.loops,18mo.9mo.Q.max.loops,9mo.2mo.log_ratio.max.atac,18mo.2mo.log_ratio.mean.atac,18mo.2mo.log_ratio.max.atac,log2_distance.max.atac,9mo.2mo.log_ratio.mean.atac,18mo.2mo.log_ratio.min.atac,18mo.9mo.log_ratio.mean.atac
Fgd4,183632.0,0.0,0.0,0,-0.1946401425105799,-0.5849625006971113,0.0366027681922842,0.1518629850114976,0.0,1.1375035237341966,0.0,0.0,0,7.378674912928986,14.35843826848272,0.000248187787154,0.7818255,0.3677011933333333,0.3478787009880329,0.0006876471,0.0007976144666666,-0.0001099673666666,0.0001764358,0.0008441814,0.4598883294508799,-0.0312203166666666,3,0.15272573,0.0178300833333333,0.0004482415022625,0.2591170621692347,-0.0454536999999999,0.0011956561999999,0.2727519,0.0010192203999999,0.1421635769030023,-0.0445632071454566,0.2269819208062453,16.35478312995999,-0.1027635600663335,-0.4638219504504258,0.0582003529208769
Utrn,487177.0,0.1065278860439956,0.0,2,0.1122146344965968,0.4150374992758383,0.0694359413175027,0.4254872841725751,0.0210882243547121,0.9999999999944512,-0.4502647096688137,-0.6889923120439994,1,6.815784152087814,15.97115497574226,0.0010930811531421,5.350603,1.2369595583453947,0.8786853487416662,0.0004526118815789,0.0005213734276315,-6.876154605263154e-05,0.0019016568,0.0002513354,1.4133752755264672,-0.0043699553026315,152,0.0069307215,0.0077732345197368,0.0009412030994599,1.2876582922587838,-0.00263395,0.0030914977,0.862328055,0.0036363614,0.8290152223575545,-0.0459104177987791,1.0610462029439045,17.84013863818088,-0.0784599378288648,-0.8587518762355745,0.0325495200300857
Cdh18,925396.0,0.0,0.0,2,0.2489965559733917,0.9999999999278651,0.1050461175229933,0.49000771729375,0.7474637467025216,0.9999999999639329,0.3459608742964992,0.929267173286648,1,7.062860722158515,17.015784603504695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3459608742964992,0.0796905649075774,0.929267173286648,18.75165519630198,-0.1563977917086669,-0.307811786437286,0.2360883566162444
Abca8a,70344.0,0.0,0.0,0,-0.1017587569920159,0.0,-0.0966066623537686,0.0,0.0,0.9999999999639329,0.0,0.0,0,5.599836172422261,13.845037248960807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cspg4,34837.0,-0.0144420480454836,4.0,6,-0.046987673603418,0.1926450779419664,-0.0957013846307157,0.3638581799216471,0.2133441111603347,0.8231222379110954,-0.1566297756590539,-0.4963340244632337,4,7.1581855565223815,12.939280146558762,0.001101074076005,1.6377739,0.8143552423333333,1.5327607966172911,0.0006683316166666,-0.0001089959333333,0.0007773275499999,0.001715377,6.781365000000077e-05,0.3599252815831146,0.05472481,6,0.036323894,-0.0028916233333333,0.0014074643859721,0.8104198462100488,0.050105925,0.0030660599999999,0.89225665,0.0013506829999999,0.317269614327401,-0.1586069896183501,0.2610708113807445,14.167182904636416,-0.0249537500263696,-0.9011642216892652,-0.1336532395919805
Klhl29,298210.0,0.0,1.0,4,-0.0402224376944575,-0.1699250014403088,0.0144521322358768,0.2572821866188423,0.0,-0.5305147166938475,-0.3101991588607032,-0.5161794678587502,3,0.0,0.0,0.0011004589477066,7.466791,1.090745890280303,1.082792542314836,0.0002871878886363,0.0005674348219696,-0.0002802469333333,0.0016721779999999,0.0006208356999999,1.043881620171391,0.0028150511719696,132,0.005689136,0.0034663477249999,0.0009370331512577,0.9126543143001852,-0.0075062749999999,0.002365382,1.1004478,0.0024675214999999,0.8192398822050917,-0.0449715138991077,0.8338585981093438,17.146260391631547,-0.002321345576622,-0.672816516572698,-0.0426501683224856
Clstn2,588786.0,0.0,0.0,1,-0.1396170163758663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6.192380510669634,16.942635955067715,0.00074033233834,7.031533,1.2991372851972698,1.339087820557882,-0.0001938800631249,-0.0001165879126315,-7.729215049342103e-05,0.002182281,-0.0002278543999999,1.4096893989783306,-0.0207878998163157,304,0.00086399197,-0.0345532228551315,0.0007932105953617,1.1429187471792512,-0.0218607899999999,0.002413846,1.76133075,0.002449112,0.1597613371032773,-0.2093034435916222,0.3967259107176128,18.03419714109205,-0.3052472728654427,-0.7389291885179694,0.0959438292738205
Rasgef1b,511639.0,0.0,0.0,3,0.0126519167953818,0.5849625006971113,0.0658965084742266,1.7056060350157838,1.1846472731784767,0.1699250014403088,0.0,0.0,0,5.9720060790640686,11.688209910491215,0.0009029193142986,5.571432,1.4437948252014925,1.122392762696929,0.0002924416294029,0.0004716608911194,-0.0001792192617164,0.001826813,0.0003832335499999,0.348459851714251,-0.0170882812686567,134,0.011951099,0.0131810269179104,0.0011723315176378,1.3378222234926254,-0.0188798229999999,0.0026331054,1.19749525,0.0028157932999999,0.42027007879941,-0.0848293138488685,0.0607046963766846,12.666002032644922,-0.0244429770030012,-0.3598709863562703,-0.0603863368458672
Rin2,212401.0,0.0,0.0,3,0.0249697646111064,0.4854268271619979,-0.0286052584350473,0.4738621395338034,0.2149806998987644,0.2995602818568268,-0.3538285829001941,-0.4703222505666899,2,7.37109692622916,13.749153355355954,0.0005984913626676,3.061308,1.137016284,0.5762522316138647,-0.00075701658,-0.0008051437599999,4.8127179999999696e-05,0.0024058907999999,-0.0004976662999999,0.578141727833158,0.0578794726,10,0.13709815,-0.0567632286,0.0012147038520572,0.8298854527046576,0.0532911299999999,0.0013484439999999,1.7034047,-0.0002035277,0.4053007424146093,-0.1184443743197889,0.4225933718090917,15.627875822860544,-0.0655956042350726,-0.5538290402885604,-0.0528487700847162
Kansl1l,98314.0,0.0,0.0,0,0.0834810312987826,0.7776075786549645,0.0423880558145304,0.7056975607526287,0.549851591968977,0.415037499274836,-0.6472732686224458,-1.269612875301867,1,7.303318271790699,13.73758325557652,0.0009485949636298,2.7327528,1.0231831636153843,0.6110275583285135,0.0004738785192307,0.0008653818884615,-0.0003915033692307,0.0006583537,0.0006694572499999,0.3998340181669504,-0.0072591009,26,0.021310002,0.0178935286153846,0.0011084443525787,0.9044080764335252,-0.007286487,0.0022186839999999,0.992419125,0.002333794,-0.0213239347716158,-0.3703023189960345,0.2313234679766511,15.6156296369681,-0.3143859489811133,-1.269612875301867,-0.0559163700149211
Tmsb4x,2222.0,-0.3754919139276934,3.0,17,-0.0327839725031768,1.5849625006249766,0.0035880202655897,0.6709037394862668,0.6157714633490129,0.5849625006971113,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gpc5,1432964.0,0.0,0.0,2,-0.1128967061249826,1.5849625006249766,0.0244612399986721,0.5773502691479787,0.0,1.5849625006249766,-0.2976314543278096,-0.3360429075784756,3,6.403424011376951,17.063344901672682,0.0005158095998529,8.408628,0.9828648202655051,1.4996316159369951,0.0001652965639372,6.131753665505226e-05,0.0001039790272822,0.0014022003999999,2.328149999999995e-05,1.4361834687100656,0.0296252731463414,287,0.0013594936,0.0390058826564459,0.0004429319148268,0.8840595050862632,0.03938022,0.0014232924999999,1.1481473,0.0016665057,0.5071704023849345,-0.097506754398395,0.6947239887860613,19.448031588478667,-0.1738790637287413,-0.8788594496179594,0.0763723093303462
Kdm6a,117361.0,0.0,0.0,5,-0.2462833784804461,0.0,0.118536210235824,0.0,0.0,0.9999999999278651,0.0,0.0,0,2.321928094916216,13.827541190172512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
