gene_name,gene_length.meta,18mo.9mo.activity.log_ratio.max.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.mean.5kb-20kb.enhancer_DMR,9mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,count.enhancer_peak,18mo.9mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.count.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.min.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,distance.log2.DMR,18mo.9mo.Q.std.loops,Qanova.mean.loops,9mo.2mo.Q.min.loops,loop_size.log.median.loops,9mo.2mo.Q.std.loops,min_distance.log.median.loops,18mo.2mo.T.max.loops,loop_size.log.mean.loops,18mo.9mo.log_ratio.mcg_genebody,18mo.9mo.log_ratio.mch_genebody,9mo.2mo.log_ratio.mch_genebody,18mo.2mo.log_ratio.std.atac,log2_distance.std.atac,18mo.2mo.log_ratio.mean.atac,log2_distance.max.atac,9mo.2mo.log_ratio.mean.atac,count.atac,log2_distance.mean.atac,9mo.2mo.log_ratio.max.atac,DEG,pred
G630016G05Rik,-0.24838504437847356,-0.2933925928817572,0.0,-0.03599565652640242,0.0,0.002606808747115888,-0.006511559758923556,0.0,0.0,0.0,0.0,0.0025441774020069524,0.04230699962691257,0.05109757040382216,0.001516748893711912,0.0,-0.026027427398060497,0.1322239180046477,0.0,0.0,0.0,0.0,0.0,-0.09449658077210188,0.01577308832814819,-0.010328396517587336,0.0,0.0,-0.0012352125425087778,0.09288472574400275,0.1486429013311863,0.3460465193677105,0.05446872463155734,0.011408804842319927,1.0,1.0
Gpr89,-0.39707184296199366,0.12824363217345977,0.0,0.04579210715172322,0.0,0.002606808747115888,0.012046385580967916,0.0,0.0,0.0,0.0,0.0025441774020069524,0.04230699962691257,-0.11101967858542737,-0.006847271671224581,0.0,-0.0068334900332908885,0.12087520653087842,0.0,0.0,0.0,0.0,0.0,0.050715793420462625,0.018703290114277286,-0.05065166190462677,0.0,0.0,-0.0024704250850175555,-0.02391091949845615,-0.24326302287609955,-0.04279073553257867,-0.04828769816575866,-0.02924802600357093,1.0,1.0
Prss12,0.28699410942039993,0.2161178456031178,0.0,0.1052078778218282,0.0,0.002606808747115888,0.012046385580967916,0.0,0.0,0.0,0.0,0.0025441774020069524,0.04230699962691257,0.07046993466486272,0.04012310906852547,0.0,-0.061808403581380844,0.3163953030383901,0.0,0.0,0.0,0.0,0.0,-0.41359092456925856,0.018703290114277286,0.023415446526517992,0.0,0.0,-0.0012352125425087778,-0.02391091949845615,0.3353754288369888,-0.017788244264298363,0.05446872463155734,0.010579073581060297,1.0,1.0
Ano6,0.34767704390871684,0.18677292077949173,0.0,0.05522797058189386,0.0,0.002606808747115888,-0.01204638567900187,0.0,0.0,0.0,0.0,-0.0025441774020069524,0.04230699962691257,0.017295706294182884,-0.005209146765992045,0.0,-0.0068334900332908885,0.29759872126344006,0.0,0.0,0.0,0.0,0.0,0.13062466989810528,-0.0751810822831957,0.10075909369870235,0.0,0.0,-0.0024704250850175555,-0.011035808999287454,-0.2930211359144826,-0.03341756062582135,-0.04828769816575866,-0.00933447649310294,1.0,0.0
Vcpip1,-0.41285282804777745,0.14480063753312847,0.0,-0.06810950176594288,0.0,0.002606808747115888,0.012046385580967916,0.0,0.0,0.0,0.0,0.0025441774020069524,0.04230699962691257,0.11365272644539609,0.0022109569920423,0.0,-0.03064856384145586,0.13362825904531697,0.0,0.0,0.0,0.0,0.0,-0.17427281624833613,0.018703290114277286,-0.05412249320407251,0.0,0.0,-0.0012352125425087778,-0.02391091949845615,0.1906637956241244,-0.042287270144841294,-0.023861861101498728,0.021573012253563655,1.0,1.0
Prim1,-0.36472550021043343,0.1404177946479697,0.0,-0.03856723098770568,0.0,0.002606808747115888,0.012046385580967916,0.0,0.0,0.0,0.0,0.0025441774020069524,-0.08135961466713955,0.029447811239055897,0.0010807779862692481,0.0,-0.0069435548625494305,0.08385273642641933,0.0,0.0,0.0,0.0,0.0,0.06932022515684366,0.018703290114277286,-0.05249948253070837,0.0,0.0,-0.0024704250850175555,0.09288472574400275,0.5740249898578775,-0.04248427834949995,0.10398055715976577,-0.02924802600357093,1.0,1.0
Hcn1,1.703538118273412,0.2086262781736686,0.0,0.07147999426448032,0.0,0.01303404373557944,0.045580918263447914,0.0,0.0,0.0,0.0,0.03307430622609038,0.04230699962691257,0.10697784553600573,0.01634842375489442,0.0,-0.0140098527465996,0.25154973794461083,0.0,0.0,0.0,0.0,0.0,0.14470565039664507,0.14292863462316363,-0.019599320085131024,0.0,0.0,-0.0008234750283391852,-0.011035808999287454,0.19621865360654497,-0.017823267948666687,-0.014664888185890098,0.07446837822269452,1.0,2.0
Vat1l,0.36943500057647105,0.23386896222731784,0.0,-0.3516820988764888,0.0,0.002606808747115888,-0.01204638567900187,0.0,0.0,0.0,0.0,-0.0025441774020069524,0.04230699962691257,0.0328385702665209,0.014533452652884941,0.0,0.09384101330253639,0.31279467568291647,0.0,0.0,0.0,0.0,0.0,0.14025296669722975,-0.0751810822831957,0.10629459635942783,0.0,0.0,-0.0012352125425087778,-0.011035808999287454,0.3952301375960049,-0.017394227882553088,-0.04828769816575866,-0.00933447649310294,1.0,1.0
Sccpdh,-0.22004701391989856,-0.6713247812402091,0.0,0.0633322423029887,0.0,0.002606808747115888,0.006511559905974488,0.0,0.0,0.0,0.0,0.0025441774020069524,0.04230699962691257,0.02411454080260898,0.010434313297369763,0.0,-0.02303507531944074,0.15377753183833862,0.0,0.0,0.0,0.0,0.0,0.09717643819749355,-0.029360645107532803,-0.010921187245434052,0.0,0.0,-0.0012352125425087778,0.09288472574400275,0.23439270135407386,0.34745622240006924,0.10398055715976577,0.02302504196076801,1.0,1.0
Zfp951,-0.24025493020829009,0.21351698320358992,0.0,-0.19383146395710737,0.0,0.002606808747115888,0.012046385580967916,0.0,0.0,0.0,0.0,0.0025441774020069524,-0.08135961466713955,-0.10152852820771698,0.010645820900160623,0.0,-0.014538733141594812,0.1976704974903872,0.0,0.0,0.0,0.0,0.0,0.1448492016459472,0.018703290114277286,-0.01572424438353138,0.0,0.0,-0.0012352125425087778,0.09288472574400275,0.3073516860359201,0.3462916851337803,0.10398055715976577,0.07446837822269452,1.0,1.0
