gene_name,gene_length.meta,9mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.count.0-5kb.enhancer_peak,18mo.9mo.activity.log_ratio.median.5kb-20kb.enhancer_peak,18mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.9mo.Q.std.loops,9mo.2mo.Q.median.loops,loop_size.log.max.loops,9mo.2mo.Q.mean.loops,9mo.2mo.Q.std.loops,loop_size.log.mean.loops,18mo.2mo.Q.std.loops,18mo.2mo.T.median.loops,18mo.9mo.T.std.loops,min_distance.log.max.loops,9mo.2mo.log_ratio.mcg_genebody,18mo.9mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mch_genebody,9mo.2mo.log_ratio.mch_genebody,log2_distance.std.atac,log2_distance.min.atac,18mo.2mo.log_ratio.mean.atac,18mo.2mo.log_ratio.max.atac,log2_distance.max.atac,9mo.2mo.log_ratio.mean.atac,count.atac,18mo.2mo.log_ratio.min.atac,9mo.2mo.log_ratio.min.atac,log2_distance.mean.atac,18mo.9mo.log_ratio.mean.atac,18mo.9mo.log_ratio.min.atac,9mo.2mo.log_ratio.max.atac
Ksr2,361003.0,0.0,0.0,0.0,0.0,0.0013416081444085,-0.0001334724999999,18.28771237954945,-0.0001451087102127,0.0009646038746457,16.10461590377208,0.0012722186297639,0.062284,0.0526860780530029,17.433414286996182,0.0047882562099784,0.0008766326639711,0.0056648888739495,0.008501421691035,-0.017116501988122,1.3472938668572203,10.742309436084083,0.2458854918040501,0.6443855566762684,17.467303046555667,0.3281347753973279,77,-0.4470450670964594,-0.1644682163452979,16.208997378081484,-0.0822492835932778,-0.622088115818992,1.015996100982894
Eif3g,4274.0,-0.1881832275039867,1.0,-0.0617912376376537,-0.0851471169459872,0.001517256399368,-0.0009584375,18.236313227042807,-0.0011477960714285,0.0013061338400138,17.249192799643353,0.0011034020161651,0.0324557749999999,0.0472921594895896,13.59245703726808,0.0700242670968936,-0.0204522061030528,0.0495720609938407,-0.0188177303512369,-0.0422251133731925,1.2047795347161576,9.211888294546249,0.2704300747372513,0.4394645787088845,11.45121111183238,0.3254581842434279,3,0.1365571747883169,0.2075064483167739,10.588358359109307,-0.0550281095061766,-0.0811935257345279,0.4524061079644296
Nek7,137266.0,0.0,0.0,0.0,-0.6172739417036714,0.0007355715625223,0.0001280570999999,19.414383817136915,0.000141658790625,0.0006891054483542,17.627676934314486,0.0007815336421591,0.010144542,0.069208092131422,16.27184597409043,0.0107357196115109,-0.0020376196808915,0.0086980999306193,-0.0215679234793297,-0.0127389742847441,1.5154109189122278,11.090774054640816,-0.2890800726448985,0.0991327658349574,15.908181492953345,-0.3863881223245318,14,-0.7019725768956077,-0.7625768138764101,14.044339673196085,0.0973080496796333,-0.3403127907086063,0.114767230278865
Gm16183,5982.0,-0.12928301694458,0.0,0.0,-0.0250560432109914,0.0007496068758784,-0.000234204,19.218449717112332,-0.0002552923793103,0.0008491245374148,18.048814723190397,0.0009148637683555,-0.06674229,0.0579857663738022,14.228968963402728,0.0023706031448852,-0.0074807411388577,-0.0051101379939724,-0.0500558675053773,-0.0610030731656521,0.533929210092233,11.138271800172284,0.2602192704757777,0.4483526148752068,12.195679785496012,0.1529691560696052,3,0.0879922082296957,0.0650117781252135,11.7099970648327,0.1072501144061725,0.0229804301044822,0.2725576623334882
Fam192a,27859.0,0.4210114686036503,2.0,0.0,-0.2893856993998698,0.0016925122177199,-0.0002442495499999,18.125080446539044,-0.0003018069632352,0.0014163191085703,17.03832773343322,0.0013287571864793,0.0341200875,0.0710286443940275,14.534181274578224,0.0297408387372608,-0.0200996695845545,0.0096411691527062,-0.0663685016573614,-0.0565591706831411,1.4201369760804428,9.269126679149652,-0.015288731329708,0.1263050198634721,13.483185971936727,0.2218843498684937,10,-0.2350215721731716,-0.1519153084293183,11.4849990284355,-0.2371730811982018,-0.6185451498235756,0.5101931377431749
Mars,15565.0,-0.4957631903925317,0.0,-0.0024200844994077,0.0379638337905761,0.000843000668219,-0.00056121375,18.15772193048485,-0.0004962493672413,0.0008241854453236,17.284181046596903,0.0008965216270054,0.009041115,0.0626380601291431,13.94571815646257,-0.0079535958505278,-0.016321682401379,-0.0242752782519069,-0.054289641224347,-0.0430629252251366,0.4647594993925668,10.627533884472882,0.1935289072394949,0.343647083651805,11.838022058304585,0.3069899474939449,5,0.0130780201868057,0.0767794339413034,11.332502068022809,-0.1134610402544499,-0.356847191558693,0.700494275210498
Wdr43,43136.0,0.3128022426069035,0.0,0.05417483011553,0.0,0.0011801218789216,-0.0001540914,20.14312657784377,-6.625744213836475e-06,0.0008180889668866,18.609480295292578,0.0012917249828169,0.08648334,0.0629888029249147,14.92142256922287,0.044771621064372,-0.0208566300713967,0.0239149909929753,0.0159245558989729,0.0154057381632235,1.7147401809389378,10.743151394112584,0.1233195193095217,0.2606942943355463,14.312244829933352,0.1508651056441417,4,-0.1110698685079558,-0.0441986808824284,12.432874952679995,-0.0275455863346199,-0.2932981417665177,0.4420443810549305
Dbn1,14682.0,-0.2048332622250904,5.0,-0.1097123221482205,-0.1610907522168636,0.0012459266471014,-0.0001646485999999,17.28771237954945,-0.0002094376999999,0.0010229022183272,16.481206533532397,0.0008646250335815,0.03176117,0.0298569456982462,13.480411557541508,0.0572616411431881,-0.0105222297736367,0.0467394113695514,0.0129765163052104,0.022116603108429,1.8592598086575045,6.84549005094563,0.1340178022039407,0.208469194590811,12.678820179524047,0.1741849359276611,8,0.0091699365415847,0.0972874584365532,10.67262597918944,-0.0401671337237203,-0.177337754563045,0.3153525699208668
Zfp85,7428.0,0.2227387473064036,1.0,0.1733290728530376,-0.1558763274552466,0.0011689906775606,-0.0008476549999999,16.83580370257403,-0.0009965405090909,0.0013424383554528,16.349887518431185,0.002331027073458,-0.07472061,0.0712748528674446,13.947636937951827,-0.0338367188209942,0.0095245254711532,-0.024312193349841,-0.0577890025051617,-0.0819948484607591,0.2055659185507803,11.154818109052169,-0.0608151565248917,0.0707417630799724,11.445532219028363,-0.0387531244345521,2,-0.192372076129756,-0.0608405242599137,11.300175164040263,-0.0220620320903396,-0.1315315518698423,-0.0166657246091905
Usp6nl,123723.0,0.0,0.0,0.2186838947777616,-0.067933304343299,0.0014161131794187,-0.0002920257,21.07118213021046,-0.0004018353442622,0.0008195980826935,16.83754730364687,0.0009636580569572,0.05786161,0.0751630359312447,16.0812545660315,0.002384318188957,0.0115871686365192,0.0139714868254763,-0.0301353302033056,-0.0586153786776049,2.048168673679208,10.324180546618852,-0.0102865722462617,0.2374259420624747,15.866337166682598,0.0995799278989394,15,-0.4969702923939858,-0.3381123995471216,13.493156730307833,-0.1098665001452012,-0.5917679610957017,0.5353702600089228
