gene_name,gene_length.meta,count.enhancer_DMR,9mo.2mo.activity.log_ratio.count.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,count.enhancer_peak,18mo.9mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.count.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.count.0-5kb.enhancer_peak,9mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,rel_pos.DMR,distance.log2.DMR,18mo.9mo.Q.std.loops,loop_size.log.max.loops,9mo.2mo.Q.max.loops,loop_size.log.median.loops,9mo.2mo.Q.std.loops,loop_size.log.mean.loops,18mo.2mo.Q.std.loops,loop_size.log.min.loops,18mo.2mo.Q.min.loops,18mo.2mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mch_genebody,9mo.2mo.log_ratio.mch_genebody,log2_distance.std.atac,18mo.2mo.log_ratio.mean.atac,18mo.2mo.log_ratio.max.atac,log2_distance.max.atac,9mo.2mo.log_ratio.mean.atac,count.atac,18mo.9mo.log_ratio.max.atac,log2_distance.mean.atac,9mo.2mo.log_ratio.max.atac,DEG,pred
Eif4g2,0.0,-0.005222957767546177,0.0,0.0,0.0033655917644500734,0.0,0.0,0.0,0.0,0.0,0.014594670347869397,0.0,0.10951547987759114,0.03191931657493115,0.0,0.0,-0.11396245464682579,0.0,0.0,0.0,-0.07955020636320115,0.01997835699468851,-0.03131758034229279,0.04047792248427868,0.0,0.02012839827686548,0.0,0.0,0.03558069145306945,-0.3401157606765628,0.0,-0.031314568035304545,0.0,0.0,0.02804978145286441,0.0,0.0,0.0,0.014303764998912812,1.0,1.0
Il11ra1,0.0,-0.005222957767546177,0.0,0.0,0.002944892793893814,0.0,0.0,0.0,0.0,0.0,-0.011640987023711205,0.0,-0.20270236238837241,-0.010994431264698505,0.0,0.0,0.04497175175696611,0.0,0.0,0.0,0.24370376188308002,-0.07370236489921808,0.07849311850965023,-0.012404524646699428,0.0,-0.10705315880477428,0.0,0.0,-0.0779158364981413,0.17125398689880966,0.0,0.07810098968446255,0.0,0.0,0.07216803289949894,0.0,0.0,0.0,0.011569221690297126,1.0,0.0
Gm16105,0.0,0.014798380360007286,0.0,0.0,0.0023138443380594253,0.0,0.0,0.0,0.0,0.0,0.043610264658927915,0.0,0.21119871143251656,-0.027308748625218867,0.0,0.0,0.12066502429544926,0.0,0.0,0.0,-0.09568638652563095,0.012758446373045445,-0.011353797987103462,0.014798380360007286,0.0,-0.06306066386401653,0.0,0.0,0.015308819264173507,0.15808761829510332,0.0,-0.030056915059685708,0.0,0.0,0.044226825162768366,0.0,0.0,0.0,-0.1251579437404871,1.0,0.0
Cbr4,0.0,0.014145510625094176,0.0,0.0,0.0008413979411125183,0.0,0.0,0.0,0.0,0.0,-0.031448039561510086,0.0,-0.0845378545857966,-0.010994431264698505,0.0,0.0,-0.03590006373822689,0.0,0.0,0.0,0.2843487115576863,-0.02366452004760504,-0.02386351503431797,-0.007399190329015255,0.0,-0.07969268802553416,0.0,0.0,0.008980267643928529,0.13383799830451606,0.0,0.05288578843697905,0.0,0.0,-0.117391097988002,0.0,0.0,0.0,-0.04648723624646664,1.0,1.0
Adamts9,0.0,-0.005222957767546177,0.0,0.0,0.0016827958822250367,0.0,0.0,0.0,0.0,0.0,-0.012857209630310536,0.0,-0.1860522473230958,-0.010994431264698505,0.0,0.0,0.04497175175696611,0.0,0.0,0.0,0.24370376188308002,-0.07370236489921808,-0.034792501330375675,-0.012404524646699428,0.0,0.027089235819876194,0.0,0.0,-0.08793252635747194,-0.3140484823659062,0.0,0.07259833894670009,0.0,0.0,0.040245730150491,0.0,0.0,0.0,0.006731183528900147,1.0,1.0
Stx1b,0.0,0.014798380360007286,0.0,0.0,0.0023138443380594253,0.0,0.0,0.0,0.0,0.0,-0.011640987023711205,0.0,0.09316691588610411,0.03191931657493115,0.0,0.0,0.12066502429544926,0.0,0.0,0.0,0.0008139453083276749,0.03048816926777363,0.07849311850965023,0.014798380360007286,0.0,0.04460969422012567,0.0,0.0,0.03081431396305561,0.15235168900340795,0.0,-0.07015134006738663,0.0,0.0,0.057387557625770566,0.0,0.0,0.0,-0.1251579437404871,1.0,0.0
Chmp7,0.0,-0.005222957767546177,0.0,0.0,-0.14240660153329374,0.0,0.0,0.0,0.0,0.0,0.043610264658927915,0.0,0.07126588962972163,-0.027308748625218867,0.0,0.0,-0.08429399751126766,0.0,0.0,0.0,-0.10248480878770351,0.043325288034975526,-0.011353797987103462,0.04047792248427868,0.0,0.026600270345807076,0.0,0.0,0.02144252145662904,0.10466525640338659,0.0,-0.09169881545007229,0.0,0.0,-0.11277984790503978,0.0,0.0,0.0,0.01451411448419094,1.0,1.0
Psmb7,0.0,-0.005222957767546177,0.0,0.0,0.0010517474263906478,0.0,0.0,0.0,0.0,0.0,-0.012857209630310536,0.0,0.08452828682959079,-0.027308748625218867,0.0,0.0,0.04893314141780138,0.0,0.0,0.0,-0.08828009065240622,0.04731060322374105,-0.034792501330375675,0.04047792248427868,0.0,0.015626042783260345,0.0,0.0,-0.009549810271710157,-0.2782527776807547,0.0,-0.0317352670058608,0.0,0.0,-0.1194298774562776,0.0,0.0,0.0,-0.046066537275910376,1.0,1.0
Syp,0.0,0.006963943839073181,0.0,0.0,0.0007572581525892019,0.0,0.0,0.0,0.0,0.0,0.014594670347869397,0.0,0.15630517825484275,0.03191931657493115,0.0,0.0,0.09077516101300716,0.0,0.0,0.0,-0.07955020636320115,0.021085389032959936,-0.03131758034229279,0.006963943839073181,0.0,0.022586880326271055,0.0,0.0,0.01435484880581498,-0.26282610395923256,0.0,-6.457647774368524e-05,0.0,0.0,-0.1194298774562776,0.0,0.0,0.0,-0.029533067736774683,0.0,1.0
Syt11,0.0,-0.005222957767546177,0.0,0.0,0.0023138443380594253,0.0,0.0,0.0,0.0,0.0,0.043610264658927915,0.0,0.04407631229609251,-0.027308748625218867,0.0,0.0,-0.11396245464682579,0.0,0.0,0.0,-0.11858442924916744,0.046203571185469625,-0.011353797987103462,0.04047792248427868,0.0,0.04460969422012567,0.0,0.0,0.022396491914987562,0.14916290391236545,0.0,-0.07580954417586326,0.0,0.0,0.040339266136288646,0.0,0.0,0.0,-0.1251579437404871,0.0,0.0
