gene_name,gene_length.meta,9mo.2mo.contact.log_ratio.median.5kb-20kb.enhancer_DMR,18mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_DMR,18mo.2mo.contact.log_ratio.median.20kb-5Mb.enhancer_DMR,18mo.2mo.contact.log_ratio.min.5kb-20kb.enhancer_DMR,18mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_DMR,18mo.9mo.activity.log_ratio.max.20kb-5Mb.enhancer_DMR,9mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.count.0-5kb.enhancer_peak,9mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.9mo.log_ratio.DAR,18mo.2mo.log_ratio.DAR,rel_pos.DAR,count.DAR,Tanova.std.loops,18mo.2mo.Q.mean.loops,loop_size.log.std.loops,18mo.2mo.T.min.loops,9mo.2mo.Q.std.loops,min_distance.log.mean.loops,min_distance.log.median.loops,18mo.2mo.T.mean.loops,min_distance.log.max.loops,18mo.2mo.Q.min.loops,Qanova.max.loops,9mo.2mo.log_ratio.mcg_genebody,18mo.9mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mcg_genebody,9mo.2mo.log_ratio.mch_genebody,18mo.2mo.log_ratio.std.atac,log2_distance.std.atac,log2_distance.min.atac,18mo.2mo.log_ratio.mean.atac,18mo.2mo.log_ratio.max.atac,9mo.2mo.log_ratio.mean.atac,count.atac,18mo.2mo.log_ratio.min.atac,9mo.2mo.log_ratio.min.atac,18mo.9mo.log_ratio.mean.atac,9mo.2mo.log_ratio.std.atac,9mo.2mo.log_ratio.max.atac,DEG,pred
Srd5a1,0.06498389030108229,0.0,0.0,0.0035182296112179754,0.0,0.0,0.0028057070448994637,0.0,0.01119534194469452,-0.026483889482915402,0.06055029552895576,0.004302206970751285,-0.018498874325305222,0.0,0.0019682194106280804,0.007683039531111717,0.010462035788223148,0.0,0.00915453016757965,0.0,-0.10142327951267362,0.0,0.010131255032029003,0.0032185644353739918,0.0,0.002095117941498756,0.0,0.0,0.0,0.01570581507869065,0.034984070360660556,0.009363728798925877,4.614561330527067e-05,0.004529583603143692,0.0,0.0022240377590060233,0.0,0.0,0.0,0.022466488690115513,0.0,0.0068948264047503476,0.0,-0.0049223024398088455,0.0,1.0,0.0
Ankrd6,-0.16382253147661685,0.0,0.0,0.0009321049507707357,0.0,0.0,0.0008417121414095164,0.0,0.002872387245297432,0.005019901117775589,0.03570610336028039,0.002581951832398772,0.00683338194154203,0.0,0.0013154934160411358,0.0028305935114622117,-0.03732719834893942,0.0,0.0034772536158561708,0.0,0.0011197352455928921,0.0,-0.0015327423810958863,-0.0015905695967376233,0.0,0.0018611813406459988,0.0,0.0,0.0,0.010051238506566734,0.011242685720790178,-0.012183004494290798,0.0001485517853870988,0.012833820208907127,0.0,0.0009098336286842823,0.0,0.0,0.0,-0.04919021732639521,0.0,0.0012763588596135377,0.0,0.028496078327298165,0.0,1.0,0.0
Supv3l1,0.04373908928595483,0.0,0.0,-0.09780360982753336,0.0,0.0,0.0007481885701417923,0.0,0.003566246018745005,0.025039313770830633,-0.11005087788216769,0.004161259005777538,0.020605354607105254,0.0,0.004580497345887125,0.0031338713876903055,0.027303847745060922,0.0,0.0034772536158561708,0.0,0.002527330731973052,0.0,-0.0007195897400379181,0.002713324669748545,0.0,0.005066153556108475,0.0,0.0,0.0,0.019319147327914832,0.01472414767369628,0.010693956464529038,0.000782079678028822,0.004770346246659756,0.0,0.0008087410032749176,0.0,0.0,0.0,0.01419212725944817,0.0,0.0020850998628884555,0.0,0.008199587017297744,0.0,1.0,0.0
Lss,0.07834628713317215,0.0,0.0,0.0035182296112179754,0.0,0.0,0.0028057070448994637,0.0,0.013116500303149224,-0.011376034365966917,0.09227958340197802,0.01460647189989686,0.021313002984970807,0.0,0.004173174165189266,0.007683039531111717,0.021157764252275228,0.0,0.00915453016757965,0.0,0.011462609227746725,0.0,-0.0007195897400379181,0.002713324669748545,0.0,0.005813270695507526,0.0,0.0,0.0,0.03868614098057151,0.03456273577176035,-0.004299550587311387,0.0011801241524517535,0.004529583603143692,0.0,0.0022240377590060233,0.0,0.0,0.0,0.04871858632192016,0.0,0.0068948264047503476,0.0,0.008199587017297744,0.0,1.0,1.0
Rnf165,-0.15159781148307958,0.0,0.0,0.0008385813748463988,0.0,0.0,-0.009539404287934303,0.0,0.002142903320491314,0.005056015513837338,0.032693192209117115,0.002182023171335459,0.00683338194154203,0.0,-0.021358902170322835,0.0028305935114622117,-0.03732719834893942,0.0,0.0031405687285587193,0.0,0.0009966802701819688,0.0,-0.0015327423810958863,-0.0015905695967376233,0.0,0.0018611813406459988,0.0,0.0,0.0,0.009497491092188283,0.009483147384598852,0.0030813465639948846,0.0001485517853870988,0.012833820208907127,0.0,0.0009098336286842823,0.0,0.0,0.0,-0.03652008657809347,0.0,0.0011454258486628531,0.0,0.028496078327298165,0.0,1.0,0.0
Zfp956,0.08791660191491246,0.0,0.0,0.0035182296112179754,0.0,0.0,0.0028057070448994637,0.0,0.013116500303149224,0.025039313770830633,0.09227958340197802,0.01460647189989686,0.021313002984970807,0.0,0.007303088381886483,0.007683039531111717,0.021157764252275228,0.0,0.00915453016757965,0.0,0.011462609227746725,0.0,-0.0007195897400379181,0.002713324669748545,0.0,0.005813270695507526,0.0,0.0,0.0,0.03868614098057151,0.03799360327422619,0.015142031982541083,0.0011801241524517535,0.004770346246659756,0.0,0.0022240377590060233,0.0,0.0,0.0,0.04871858632192016,0.0,0.0068948264047503476,0.0,0.008199587017297744,0.0,1.0,1.0
Lrrc61,0.07912876574322582,0.0,0.0,0.0035182296112179754,0.0,0.0,0.0028057070448994637,0.0,0.013116500303149224,-0.026483889482915402,0.09227958340197802,0.01460647189989686,0.021313002984970807,0.0,0.0044139367714524265,0.007683039531111717,0.021157764252275228,0.0,0.00915453016757965,0.0,0.011462609227746725,0.0,-0.0007195897400379181,0.002713324669748545,0.0,0.005813270695507526,0.0,0.0,0.0,0.03868614098057151,0.034984070360660556,0.009363728798925877,0.0011801241524517535,0.004529583603143692,0.0,0.0022240377590060233,0.0,0.0,0.0,0.04871858632192016,0.0,0.0068948264047503476,0.0,0.008199587017297744,0.0,1.0,1.0
Tmem167,0.07599664302542805,0.0,0.0,0.00239594679325819,0.0,0.0,0.0013093299604952336,0.0,-0.0714493491081521,-0.026483889482915402,0.039260231335647405,-0.0632806322677061,-0.018498874325305222,0.0,0.0015375270275399088,0.007683039531111717,0.010462035788223148,0.0,0.006722917389124632,0.0,0.0012873103702440859,0.0,-0.002439457979053259,-0.0007485033199191093,0.0,0.0019883869215846063,0.0,0.0,0.0,0.01224333475343883,0.021236105831339957,0.009363728798925877,0.0,0.004529583603143692,0.0,0.0022240377590060233,0.0,0.0,0.0,0.01359170934651047,0.0,0.005585496462881565,0.0,-0.009790156446397304,0.0,1.0,0.0
Fabp3,0.030414382629096508,0.0,0.0,0.0035182296112179754,0.0,0.0,0.0028057070448994637,0.0,0.013116500303149224,-0.026483889482915402,0.07840513637289405,0.010422603171318769,-0.018498874325305222,0.0,0.001875928184017539,0.007683039531111717,0.010462035788223148,0.0,0.00915453016757965,0.0,0.008355471389368176,0.0,-0.0007195897400379181,0.002713324669748545,0.0,0.0028422350808978082,0.0,0.0,0.0,0.02551564815454185,0.034984070360660556,0.009363728798925877,0.00025615444406867026,0.004529583603143692,0.0,0.0022240377590060233,0.0,0.0,0.0,0.03699760113842785,0.0,0.0068948264047503476,0.0,0.008199587017297744,0.0,1.0,1.0
Bag2,0.054203199509065596,0.0,0.0,0.000988219091668725,0.0,0.0,0.0011222828179597855,0.0,0.004817463106010109,0.009750886708498002,-0.09007588571403176,-0.024970685918815433,0.007136659817770123,0.0,-0.04605111703276634,-0.07966098882257938,-0.03590759851038456,0.0,0.003783662198111415,0.0,0.0009112954582087695,0.0,-0.0007195897400379181,0.002713324669748545,0.0,0.0018398351361975074,0.0,0.0,0.0,0.009413990429602564,0.01580614959821105,0.005919605819508433,0.0001485517853870988,-0.010508837746456265,0.0,0.0009098336286842823,0.0,0.0,0.0,0.008662768516223877,0.0,0.0020623926818370817,0.0,0.008199587017297744,0.0,1.0,0.0
