gene_name,gene_length.meta,9mo.2mo.contact.log_ratio.min.5kb-20kb.enhancer_DMR,count.enhancer_DMR,9mo.2mo.activity.log_ratio.count.5kb-20kb.enhancer_DMR,18mo.9mo.activity.log_ratio.count.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.max.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.max.5kb-20kb.enhancer_peak,9mo.2mo.activity.log_ratio.count.5kb-20kb.enhancer_peak,18mo.9mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.median.5kb-20kb.enhancer_peak,18mo.2mo.contact.log_ratio.min.5kb-20kb.enhancer_peak,9mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.count.0-5kb.enhancer_peak,18mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,count.DAR,9mo.2mo.log_ratio.DMR,18mo.2mo.log_ratio.DMR,count.DMR,18mo.9mo.Q.std.loops,18mo.9mo.T.min.loops,9mo.2mo.Q.median.loops,loop_size.log.max.loops,18mo.2mo.Q.mean.loops,9mo.2mo.Q.min.loops,9mo.2mo.Q.mean.loops,9mo.2mo.Q.std.loops,Qanova.min.loops,18mo.9mo.T.mean.loops,18mo.2mo.T.mean.loops,loop_size.log.mean.loops,loop_size.log.min.loops,min_distance.log.max.loops,18mo.2mo.Q.min.loops,9mo.2mo.log_ratio.mcg_genebody,18mo.9mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mch_genebody,9mo.2mo.log_ratio.mch_genebody,18mo.2mo.log_ratio.std.atac,log2_distance.min.atac,log2_distance.std.atac,log2_distance.max.atac,9mo.2mo.log_ratio.mean.atac,count.atac,18mo.2mo.log_ratio.min.atac,18mo.9mo.log_ratio.mean.atac,9mo.2mo.log_ratio.std.atac,18mo.9mo.log_ratio.std.atac,9mo.2mo.log_ratio.max.atac
Shkbp1,13886.0,-0.7369655941638023,17,5.0,5.0,0.2139375594370121,0.2246309099105361,0.1765968879951214,3.0,-0.0015305453049814,0.1413767769516472,-0.3849395086185644,0.3630523595054331,-0.0365258760250215,0.2734961298233584,0.1356951811995763,0.2146132827110017,-0.584962500716347,1.0,-0.2064508774659463,0.0699362251022019,0.251216643353179,0.33603691027865,0.3390290454932076,2,0.0,0.0,0,0.0008386743934651,-0.06721677,-0.000640987,17.113986283770107,0.0010994812857142,-0.0025112493,-0.0007744557142857,0.0014055416554438,0.066112794,0.0463492945714285,0.0138631225714285,16.486183680306837,15.66200071871848,13.30677374464288,-0.0002192182999999,0.0182335882581318,-0.0274632719055419,-0.0092296836474101,0.0860084075113256,0.0639733475801427,0.4119609128586904,11.127349541059184,0.3939002168785621,11.97548975694579,0.3281139159304823,5,0.1610002931904319,0.4391910484175206,0.154044671101584,0.4580475119586957,0.5968781147946034
Cntnap5b,713177.0,-0.8845227825749773,6,1.0,1.0,0.1053701389502728,-0.3530778091474018,0.0,0.0,0.1690184765307947,0.1690184765307947,0.0,-1.2570626934058695,0.7369655941638023,-0.2813696193095083,-0.5120772538226319,-0.374900622856736,0.9999999999278651,0.0,0.0,0.1690184765307947,-0.1232771883187524,-0.1232771883187524,-0.1232771883187524,8,0.0,0.0,0,0.0006610725369018,-0.1473484349999999,-0.00025188843,21.658963242682063,5.9954086538461546e-05,-0.0021528843,-0.0002748725510839,0.0005070414237623,0.015461205,0.0532158117547902,-0.0184100006735314,19.732141687996435,17.447236620665663,18.48911884151497,-0.0010878346999999,-2.868100675751384e-05,-0.0082097123628038,-0.0082383933695613,0.0489705666120995,-0.0028240797628819,0.4239545634667129,10.393390457444092,2.518399950254616,18.41404929256224,-0.1847099656499088,21,-1.2624332454065117,-0.1069878679011918,0.3340989202146474,0.365949020854689,0.4603610491542382
Kcnj4,21527.0,0.0,9,0.0,1.0,0.0,-0.054905080319644,0.0407728360136765,2.0,0.1049307571057474,0.1937864324351084,-0.1663639151276633,0.2590926371707633,-0.1805722456412555,0.0699562056330833,-0.1797663662723714,-0.054905080319644,-0.415037499274836,1.0,0.2479275134421614,0.1493585947704279,-0.074835609166624,0.1033694816163735,0.1212014159475529,4,-0.4814849238324005,-0.6896442585801726,4,0.0002589053801645,-0.173494558,-4.596300000000043e-05,15.440771860257332,-0.00042296975,-0.001259875,-4.596300000000043e-05,0.0017167308139274,0.43738058,-0.1560810225,-0.136949075,15.382775061855703,15.324778263454077,14.073555834556563,-0.001453808,-0.0634142805407489,0.079319182286053,0.0159049017453041,0.0173122331733944,0.0021790310677913,0.1932343351236202,8.098032082961053,2.021976812624162,13.616548843779,0.2144591773388881,10,-0.0375300176409987,0.0651983073020094,0.1235827153206727,0.1196610939995442,0.3758704386644464
Rabgap1l,574037.0,0.0,6,0.0,0.0,0.0,-0.225360059245856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1866049118224335,-0.2641152066692784,-0.225360059245856,-0.7369655941469699,0.0,0.0,0.0,0.0,0.0,0.0,8,-0.5237219412255313,-0.778094622865587,6,0.0015785976815081,-0.1398152349999999,-3.319550000000036e-05,17.66355115533802,0.0019584027732696,-0.004147653,-4.796311169451078e-05,0.0012529867440911,0.04002673,0.0907080977451074,0.0539971017112171,16.40024773446054,13.34734453943155,18.003748475423023,-0.0020933766,-0.0204002748114645,0.011116757664828,-0.0092835171466365,-0.0711348477583659,-0.0448598164023678,0.4246043038231946,11.32642948712236,1.5009146420564514,17.99018708133783,-0.0523255491536413,63,-0.6165040947620262,0.0848202342588885,0.2512745081043235,0.3329460052392231,0.5715470332058481
Rpl32,3242.0,0.0,9,0.0,0.0,0.0,-0.0191906124517471,0.0,0.0,-0.0574505176516795,0.2293646237499844,0.1295813269203599,0.0,0.0,0.4400132090879878,-0.0467713361258952,0.0887151620146495,0.5849625007131416,2.0,0.9999999999879776,0.0785333812152921,-0.0099055933658478,0.1793158540685747,0.1723031591019193,0,0.0,0.0,0,0.0011028577271741,-0.10065914,0.0004900475,18.04259988171292,0.001504070585,-0.0015365371999999,0.0004551508625,0.0010050271350509,0.046177067,0.0176332991149999,0.0208591277,17.217591256969175,15.937511756137525,13.721206019396329,-0.0014442067999999,0.0590904841244028,0.1362165183471344,0.1953070024715373,0.1936261478268954,0.0839325032352926,0.2086828630240642,6.375039431348663,2.8677019011806606,11.528454110764836,0.1627308998327153,3,-0.2832252391143666,-0.229480123558162,0.1170608413375798,0.3162103112408685,0.2401802715046008
Cbl,91073.0,-0.5849625007177206,4,1.0,1.0,-0.0885869414304744,0.2431267611241256,0.0891358575737717,1.0,0.0562619349707103,0.1809226890751252,-0.4562514072114587,-0.0204959367709669,-0.1926450779415374,0.6035770848650628,0.2005530271504283,0.3490856243798723,0.0,0.0,-0.2515387669948659,0.1258532923841393,0.1271721270914581,0.3879972193458732,0.3824888652281308,2,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0129014518651779,-0.0009862425491595,0.0119152093160183,0.0317016602621468,0.0863578865573457,0.2903649472643637,11.08679968562352,1.797807590820964,15.33793543668419,0.2487494682404886,7,-0.0388463892648505,0.1043184726706058,0.2568535126692033,0.1302002905392663,0.7129486675607104
Dnal1,33132.0,-0.7520724865533301,8,1.0,0.0,0.1267546708761927,0.0174340424469789,0.0,0.0,-0.0616427819446636,0.1561985463159159,0.0420987777334479,0.0,0.0,0.3267778948828663,-0.0858991321471931,0.0649343563042736,-0.3625700793801285,1.0,0.2895066171920701,0.0384131459177891,-0.0783047135057106,0.1203708247687508,0.1430059108118109,0,-0.0573331750583558,-0.51189903845163,1,0.0008172845060571,-0.01730386,0.0003363306999999,18.713977134251547,0.0013961200348837,-0.0017731916,0.0005503003906976,0.0010987586427609,0.04120023,0.0731921812348837,0.0806313686976744,17.23375372805577,15.083977868501655,14.754156785799942,-0.0008876501,0.0147320894211506,-0.012092591976602,0.0026394974445485,0.0253696295691839,0.0518989514488511,0.1147675277876876,10.24317398347307,0.3605434549636884,11.113090983442444,0.1213529128283467,4,-0.0047286209127903,-0.0397119228181145,0.1520147670093789,0.1268914142989488,0.2866933144279793
Cdh22,123346.0,0.0,0,0.0,0.0,0.0,0.1849715255952833,0.0,0.0,-0.1543617939520993,0.2814174984446231,-0.0664219531709959,0.0,0.0,0.3598230489966481,-0.0690742014870728,0.165627399841025,0.1864131242302784,0.0,0.459431618632379,0.0290080603319594,-0.1459266282197759,0.1441535725504517,0.2054612550445487,13,-0.5117999692741895,-0.72356284731748,9,0.0009036297570123,-0.1302643299999999,0.0001910203,17.555652614860723,0.0005034474375,-0.0006909884999999,0.0001408816958333,0.0005066643628911,0.006203584,0.034157075375,0.0419908600833333,16.525562800186524,13.99205319285264,15.79494885832272,-0.0008098469999999,-0.0118040861657325,0.022704612637347,0.0109005264716144,-0.0467885880754919,-0.0897620906979214,0.3290409959590357,7.832890014165375,1.9145539930052895,15.870894458234098,0.4324717147172039,30,-0.4588054765625526,-0.0490809582587496,0.2929944267519716,0.3453944718900619,0.9681098831912904
Vcp,20544.0,0.0,12,0.0,0.0,0.0,0.1110090375318183,-0.1867412895105609,1.0,-0.1113866024816925,0.1332777142347359,-0.0389541235572143,-0.0116491696289862,-0.1699250014420261,0.188703177872525,-0.043804891554962,0.0992171103503559,0.2223924213347308,1.0,0.7369655941613971,0.009558524165452,0.0711663519716285,0.1087756345158079,0.089246762063199,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0049031243655635,0.0154527617396404,0.020355886105204,0.1779764206000942,0.1942499719422805,0.0429812996330423,11.09869009667366,0.2290321248761326,11.422590433892614,-0.028907265725123,2,0.0176325672941972,0.0769322014540554,0.1183725822821748,0.0753912826491324,0.0547947899131653
Sh3glb2,14528.0,0.0,6,0.0,0.0,0.0,0.0955243629080704,0.0,0.0,-0.1669759011368619,0.1534496092514956,-0.2562117970682529,0.0,0.0,0.4753810994472776,-0.0151113732802006,0.1806004240133318,0.0,1.0,0.0,0.0658866011770032,0.0905153787226318,0.2389253638113224,0.215909190220453,2,-0.2226652537684639,-0.951209092635595,2,0.0012020999893686,-0.126530973,0.0001779499999999,18.75196241346085,-0.0001865782608695,-0.0017376089999999,-2.623474347826086e-05,0.000881512573127,0.08805053,-0.0138065242304347,-0.0214775396652173,17.65702407842774,15.48475997004271,14.06936584833746,-0.0020483074,-0.0400838742520947,0.0524877688897409,0.0124038946376462,0.1070694167135288,0.0821986829651255,0.1704319857045,4.906890595613327,2.3969350685145256,12.12863881285263,0.191821826255939,8,-0.0799141468341015,-0.0729561264103628,0.1176697431230957,0.1770126781899947,0.3386296295723461
9530059O14Rik,107097.0,-0.4474589769694725,5,3.0,1.0,-0.0036984982127699,-0.2595266249720935,0.0052759709024874,1.0,-0.0496813521540953,0.3326787805935005,-0.2368311275999715,-0.0120230414113478,-0.32192809488616,-0.1552962533714779,-0.3637569965727092,-0.2595266249720935,0.0,2.0,0.0,0.1340520171053329,-0.2049776055255732,0.0184544960119838,-0.0310782159792086,3,-0.4360991146959807,-0.8231222376746674,1,0.0003050648278873,0.015075176,-0.0005812878999999,19.194602975157967,-0.0005674699999999,-0.0007971887999999,-0.0004283044199999,0.0003864680909268,0.4273296,0.0409357472,-0.0610258,19.104388929053247,19.04259988171292,13.357689449961006,-0.0007481617,0.0061824203331838,0.0264501482451308,0.0326325685783146,0.0805074573722042,0.0568118861074541,0.2178626838761098,9.707359132081056,1.7238807879645168,15.75512229670234,0.1027070253972853,21,-0.3143349927532372,0.024663993129378,0.2041797536672623,0.2853598312897409,0.4165830173921412
Copg2,149240.0,-0.1069152039161158,1,1.0,1.0,0.0597305959569252,0.0072717711195429,0.1891299083993982,1.0,-0.0883056803134874,0.030419733791323,-0.6753317361675227,-0.0128853200793046,0.0995356735505703,0.1416834890767204,-0.1271399468376346,0.0072717711195429,-0.4150374992728327,0.0,-0.5405683813586042,-0.0289429732610821,-0.0967202130463116,0.0070129782683863,0.053377808763233,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037763039641317,0.0093350476286389,0.0131113515927707,-0.011653109564799,0.0004933924116342,0.1450183861090867,11.112439506781618,2.307550120657261,15.866313015702197,0.0322363826485764,6,-0.1468614703230372,0.0752118647273284,0.2194983145350071,0.3127745692036464,0.3771591198640756
1700016P03Rik,5073.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0,0.0015066986071189,-0.06940052,-0.0002002872999999,18.713329453673072,0.0007401422766666,-0.0026686325,-0.0003372495766666,0.0009208939448555,0.029743426,0.0389677863333333,0.046776008,17.715301543297077,16.28422767264343,13.366322214245816,-0.0011101949999999,-0.0162668328534503,0.3738987365347697,0.3576319036813193,0.286683181760473,-0.0144447103497344,0.1801560502407312,8.700439718141439,1.116593411463068,11.506307581100357,0.0948999458861343,5,0.0319936436899395,0.1241082706014762,0.173013788323899,0.0813455764359633,0.2743522594009304
Zfp811,14255.0,0.0824621601917368,9,1.0,1.0,0.4115234672121575,0.1897027333215355,0.1516940679366856,2.0,0.096103189642394,0.143917692261116,-0.4533544079185576,0.3433202430806816,0.0,0.3023264588706671,-0.025716205590152,0.1554376622006835,-0.3219280948801484,0.0,-0.3219280948801484,0.120010440951755,0.1182014866709639,0.2136101678266536,0.2368230938450675,0,0.0,0.0,0,0.0004783361079589,0.097576297962,-0.0012300649999999,19.94828737372164,-0.0012237232,-0.0017551704,-0.001333553,0.0003805767421106,1.8420442,0.126442241554,-0.0391183833333333,19.41800305296782,19.149806648496615,13.911204709977175,-0.0013147385,-0.0025300589179672,0.0260091559571475,0.0234790970391803,0.1599274878785324,0.0755684985713808,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
Fance,13053.0,0.0,9,0.0,3.0,0.0,0.2630051176336279,0.0,1.0,0.089291958675111,0.2716007418215342,-0.1041764656279347,0.0,0.0,0.3851587837373351,0.1279447286446635,0.2587028766718755,0.1520030934434468,3.0,0.6374299206095668,0.1680972349454741,0.3995454704661978,0.4268001116173496,0.4064041219734049,5,-0.3420416142899369,-0.5922992939002791,3,0.0014044740940685,-0.1208936399999999,0.000902955,18.645264384167533,0.0014726740625,-0.0017497333,0.0007368738458333,0.0012190416248678,0.06255705,0.017856404125,0.0495133389999999,16.96154057217329,15.69266998310698,14.1728962458698,-0.0013348236,0.0310824693584166,0.0007193649205041,0.0318018342789207,0.026399702994699,0.036430054760995,0.2930503003885473,8.219168520462645,1.4947930017336633,12.881113960675115,0.3636120714707463,7,0.0792396806437778,0.0907057277245862,0.231910588574713,0.32205190203646,0.6840685672336593
Rorb,180591.0,-0.4594316186348379,1,1.0,1.0,0.1095785343751414,-0.1676043026212541,0.0,0.0,0.0396522640333509,0.0396522640333509,0.0,0.0,0.0,-0.1676043026212541,-0.1676043026212541,-0.1676043026212541,0.0,0.0,0.0,0.0396522640333509,-0.1279520385879031,-0.1279520385879031,-0.1279520385879031,3,-0.2703968360691664,-0.1424030359163997,2,0.0007381426548741,-0.132175382,-3.3362900000000195e-05,21.079141637314805,-6.80785666666667e-05,-0.0011884383,-4.493158333333336e-05,0.0006034077396136,0.028634563,0.0515648286203333,0.0273511352,19.864180598480807,17.770612278690653,16.50798041485815,-0.0014008637,-0.0118274749422155,0.0048315273303547,-0.0069959476118607,-0.0393063873761927,-0.0537037525000798,0.3012406708989233,10.632995197143048,2.3043770662856407,16.222945804499012,-0.1245559518970472,9,-0.5689325614246454,-0.0170005307056926,0.2538380289271278,0.3657187998405405,0.3274778700442347
