gene_name,gene_length.meta,9mo.2mo.activity.log_ratio.count.20kb-5Mb.enhancer_DMR,18mo.9mo.activity.log_ratio.min.20kb-5Mb.enhancer_DMR,18mo.9mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,9mo.2mo.log_ratio.DAR,9mo.2mo.log_ratio.mean.atac,18mo.2mo.log_ratio.mean.atac,18mo.2mo.log_ratio.max.atac,log2_distance.max.atac,DEG,pred
Nova1,-0.12230530819472145,-0.020637766841579887,-0.07071524863953099,-0.26265759601750793,-0.05742526788483648,-0.02627159282565117,0.32473064652260614,-0.013053042266298743,-0.1490344194804921,2.0,2.0
Maf,-0.1478986628627514,-0.013992089559050166,-0.025236411348861808,-0.10428217053413391,-0.05039490395061234,-0.012034895391586949,-0.33359876691418533,-0.004234607769724201,0.04653667922898689,2.0,1.0
Atf6b,-0.14333281504428563,-0.03956809048266972,0.0026333743487210837,0.05180331527748529,-0.02258470972232959,-0.004561477066839442,-0.4476365512236953,0.007585369050502777,0.0797443816657452,1.0,1.0
Ngdn,-0.11360291512135197,0.08925887613612063,0.1050542276352644,-0.07587848735206268,-0.040553058990660834,0.0038314187789664548,0.2163425846134915,0.007585369050502777,-0.045058645951725984,1.0,1.0
Mrps25,-0.12580864013665738,-0.03431333119378371,0.0026333743487210837,0.08261876947739545,-0.02258470972232959,-0.004561477066839442,-0.13183859697378733,0.007585369050502777,0.15348175578915021,1.0,1.0
Chic2,-0.07977640612379593,-0.03040851214352776,0.0007590223103761673,0.1489554387243355,-0.021342594833935007,-0.06759592846912496,0.27533243371940713,0.007585369050502777,0.08045044856365113,1.0,1.0
Dhx16,-0.10302173943423173,-0.025068185346968034,-0.004964520826059229,-0.10460949689149857,-0.021342594833935007,-0.06576292413999052,0.17563675711040988,0.007585369050502777,-0.05044780611334478,1.0,1.0
Acsl1,-0.11890721901812974,-0.028169131070813713,-0.004964520826059229,-0.10460949689149857,-0.040553058990660834,-0.0030184434178997487,0.1856815893038669,0.007585369050502777,-0.28044878192903366,1.0,1.0
Vps26b,-0.09225931577384472,-0.019732285290956497,-0.014324209488490048,-0.010497434064745903,-0.040553058990660834,0.0018003587337101206,0.2455199378378251,0.007585369050502777,0.13677521165022077,1.0,1.0
Tor2a,0.2041756581131588,0.07298033794059473,-0.0367392847478828,0.03645999335190829,-0.010162170154645163,0.011535061632885653,-0.368059875060092,0.006557004416690153,-0.010046371053356458,1.0,1.0
Rpl32,0.4266746978220694,0.09459477619213216,-0.044149911442004586,-0.06267108077950337,-0.01866315129925223,0.0418437707292683,0.19262653874123797,0.006557004416690153,0.11406869363204084,1.0,0.0
4933423P22Rik,-0.08257205422748537,0.3598785605829428,-0.04466989414547296,-0.06267108077950337,-0.040553058990660834,0.0038314187789664548,0.054267918280161476,0.007585369050502777,0.1046892005868037,1.0,0.0
P4htm,-0.08307782461976304,-0.019732285290956497,0.14650034433340325,0.10317269159371362,-0.040553058990660834,0.006032416925710791,0.2943148114444578,0.007585369050502777,0.3132211933022036,1.0,0.0
Pitpnm1,-0.1492615926408154,-0.041346723542493934,-0.022117475458585164,-0.026211538845125365,-0.02258470972232959,-0.004561477066839442,-0.2603211122948457,0.007585369050502777,0.002902065129841075,1.0,1.0
Stoml1,-0.11360291512135197,-0.025068185346968034,-0.04466989414547296,-0.06267108077950337,-0.040553058990660834,0.0018003587337101206,0.18321671742288506,0.007585369050502777,-0.04688448316472418,1.0,1.0
Rnf144a,-0.11890721901812974,-0.028169131070813713,-0.006900359629927313,-0.06089492268202936,-0.040553058990660834,-0.0030184434178997487,0.1596030162592583,0.007585369050502777,-0.3932375066968448,1.0,2.0
Mlh3,-0.09225931577384472,-0.019732285290956497,-0.12223431500880157,0.08212674250278403,-0.040553058990660834,0.0018003587337101206,0.25120285591658426,0.007585369050502777,0.1423033019527793,1.0,1.0
Ccnh,-0.10302173943423173,-0.025068185346968034,-0.04466989414547296,-0.06267108077950337,-0.021342594833935007,-0.06576292413999052,0.16984039101311388,0.007585369050502777,-0.04688448316472418,1.0,1.0
Zfp335os,-0.0929893922772916,-0.025068185346968034,-0.014324209488490048,-0.10460949689149857,0.16278270960730665,-0.1468880303642329,0.19436539041207118,0.007585369050502777,-0.04108811673872611,1.0,1.0
Ccdc57,-0.15319099247126894,-0.0441303845933255,-0.00029025133699178696,0.03754663390710073,-0.02258470972232959,-0.009380279218449313,-0.2726633213734364,0.007585369050502777,-0.28379039460902705,1.0,2.0
Rab43,-0.14333281504428563,-0.03956809048266972,-0.006433188723509803,-0.03507656916318571,-0.02258470972232959,-0.004561477066839442,-0.34329586399390416,0.007585369050502777,0.07135015052250203,1.0,1.0
Mafb,0.321238597142784,-0.025068185346968034,0.01739846882136429,0.1489554387243355,-0.009476959267083336,-0.12242425572784509,0.18219445437631188,0.006557004416690153,0.0014453344868824763,1.0,1.0
Aga,-0.10302173943423173,-0.025068185346968034,0.1050542276352644,-0.07587848735206268,-0.021342594833935007,-0.06576292413999052,0.20296625820372036,0.007585369050502777,-0.02592133221161716,1.0,1.0
Slc27a1,-0.14143108108135707,-0.03956809048266972,-0.022552652531029546,-0.03507656916318571,-0.02258470972232959,-0.0034493153147837695,-0.34329586399390416,0.007585369050502777,0.11130117293556824,1.0,1.0
Grm4,-0.15319099247126894,-0.0441303845933255,-0.004653051605119425,-0.025815622004515985,-0.02258470972232959,-0.009380279218449313,-0.22006166088120901,0.007585369050502777,-0.2686669942101135,1.0,2.0
Jarid2,-0.11890721901812974,-0.028169131070813713,-0.03783381565967027,0.06736284974442028,-0.040553058990660834,-0.0030184434178997487,0.1807619114406407,0.007585369050502777,-0.39845310124185157,1.0,2.0
Cisd1,-0.07977640612379593,-0.019732285290956497,-0.030443673296009794,-0.10460949689149857,-0.021342594833935007,-0.06465076238793485,0.21298805629724965,0.007585369050502777,0.176726234063287,1.0,1.0
Xrcc5,-0.1421457442235859,-0.04275017697364092,-0.00029025133699178696,0.0683620881070109,0.15898129245375886,0.006789051325005644,-0.15455294222406604,0.007585369050502777,-0.33145564197398286,1.0,2.0
Angel2,-0.1140810266849311,0.07475897100041895,0.038898659733069295,-0.029003348235753092,-0.02258470972232959,-0.0030445993384894204,-0.3900129575939739,-0.034520977341076904,0.06089359717717504,1.0,2.0
Fbxl5,-0.1083260433310095,-0.028169131070813713,0.1050542276352644,-0.07587848735206268,-0.021342594833935007,-0.0705817262916004,0.1996347639874062,0.007585369050502777,-0.25592230802730603,1.0,1.0
Cmpk1,-0.08167814008672447,-0.019732285290956497,0.016878486117895913,0.1489554387243355,-0.021342594833935007,-0.06576292413999052,0.27533243371940713,0.007585369050502777,0.17708150072790244,1.0,1.0
Tchp,-0.14333281504428563,-0.03956809048266972,-0.006433188723509803,-0.03507656916318571,-0.02258470972232959,-0.004561477066839442,-0.34329586399390416,0.007585369050502777,0.07135015052250203,1.0,1.0
Rdh11,-0.09225931577384472,-0.019732285290956497,-0.04466989414547296,-0.06267108077950337,-0.040553058990660834,0.0018003587337101206,0.22056801660972483,0.007585369050502777,0.1309788452242227,1.0,1.0
Hat1,-0.11360291512135197,-0.025068185346968034,0.016878486117895913,0.1489554387243355,-0.040553058990660834,0.0018003587337101206,0.2513574609423385,0.007585369050502777,-0.0007818276610444574,1.0,1.0
Ipo4,-0.14333281504428563,0.07475897100041895,-0.006433188723509803,-0.03507656916318571,-0.02258470972232959,-0.002530417021583108,-0.34329586399390416,0.007585369050502777,0.05221283678239321,1.0,1.0
Cwf19l2,-0.11360291512135197,-0.025068185346968034,-0.004964520826059229,-0.10460949689149857,-0.040553058990660834,0.0018003587337101206,0.18901308352018104,0.007585369050502777,-0.05044780611334478,1.0,1.0
Unc5d,0.29580885988167105,-0.01289739426882828,0.0027407516506226626,0.08338809720076182,-0.021342594833935007,-0.06064263325841988,0.1712481426075101,0.0341341607272625,0.400348237633486,0.0,0.0
