gene_name,gene_length.meta,18mo.9mo.activity.log_ratio.max.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.mean.5kb-20kb.enhancer_DMR,9mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,count.enhancer_peak,18mo.9mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.count.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.min.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,distance.log2.DMR,18mo.9mo.Q.std.loops,Qanova.mean.loops,9mo.2mo.Q.min.loops,loop_size.log.median.loops,9mo.2mo.Q.std.loops,min_distance.log.median.loops,18mo.2mo.T.max.loops,loop_size.log.mean.loops,18mo.9mo.log_ratio.mcg_genebody,18mo.9mo.log_ratio.mch_genebody,9mo.2mo.log_ratio.mch_genebody,18mo.2mo.log_ratio.std.atac,log2_distance.std.atac,18mo.2mo.log_ratio.mean.atac,log2_distance.max.atac,9mo.2mo.log_ratio.mean.atac,count.atac,log2_distance.mean.atac,9mo.2mo.log_ratio.max.atac,DEG,pred
Clock,0.0,0.0,-0.007037417571011342,-0.0396177489310503,0.0,0.006931544955525743,0.00818063893453463,0.0,0.0,0.010496120323966207,0.0,0.0,0.0,-0.3588442748265439,0.0,-0.2675483739003539,0.022200449811000573,0.0,0.023232179350758855,0.0,0.0028614770424993416,0.0,-0.040284328321975316,-0.011668833781425891,-0.00824903912450138,-0.06380933654911228,0.0,-0.046217401659018116,-0.07032569321362596,0.018260443362554436,0.0,-0.027097660631529595,0.0,-0.05216976956121231,1.0,1.0
Shank3,0.0,0.0,-0.003753289580345154,-0.010051741509845382,0.0,-0.013539133532168833,-0.007781583656507887,0.0,0.0,0.01987658519493906,0.0,0.0,0.0,0.23840649369613906,0.0,-0.3299936157112059,0.020973326540306994,0.0,0.0988162314813388,0.0,0.004292215563749012,0.0,0.07218765388978154,-0.0023758195242599436,-0.0017676512269597304,-0.03396708608948087,0.0,0.04658013038141163,0.18369415441625997,0.09849085256849464,0.0,0.04566062477074171,0.0,0.018994921916409543,1.0,0.0
Amn1,0.0,0.0,-0.025334703098786503,-0.0396177489310503,0.0,-0.021475281407076278,-0.008779222586829411,0.0,0.0,-0.029773867542022152,0.0,0.0,0.0,-0.22464348348837934,0.0,0.1402512044449778,-0.11657252915105537,0.0,0.04566241820391856,0.0,-0.02003033929749539,0.0,0.01195273831437685,0.029610217867517157,-0.00824903912450138,-0.03160720863869708,0.0,-0.012353761856885333,-0.10177008185143534,0.034649625910740146,0.0,0.01685602504661993,0.0,-0.07644488652677912,1.0,1.0
Col25a1,0.0,0.0,-0.025334703098786503,-0.0396177489310503,0.0,-0.024964916617854646,-0.015164111079157968,0.0,0.0,-0.023939973356104212,0.0,0.0,0.0,-0.34679358727053594,0.0,0.1762023378457678,0.03780891256112801,0.0,0.021619351678772977,0.0,-0.006676779765831797,0.0,0.016617265382879658,-0.05817092254169678,-0.00824903912450138,-0.02937682595496115,0.0,0.04029867204984552,-0.16653657645771378,0.043549846122531516,0.0,0.01685602504661993,0.0,-0.138958088661495,1.0,2.0
1810013L24Rik,0.0,0.0,-0.007975739966097632,0.05414398649315301,0.0,-0.016118517978803107,-0.015164111079157968,0.0,0.0,-0.029773867542022152,0.0,0.0,0.0,0.15783069650397488,0.0,0.20707536861300468,0.04053548586211706,0.0,0.09548159433822882,0.0,0.006676779765831797,0.0,-0.193093745724151,0.09021351904314208,-0.0011784342166624572,0.012835845620812554,0.0,0.04068084418969719,0.052046143106724084,0.06669255953870322,0.0,0.04566062477074171,0.0,0.06408457614873585,1.0,0.0
Rhbdl3,0.0,0.0,-0.007975739966097632,-0.0396177489310503,0.0,-0.021475281407076278,-0.008779222586829411,0.0,0.0,0.044461902721147785,0.0,0.0,0.0,-0.21216067046809353,0.0,0.1945101230797407,-0.12267416311231882,0.0,0.047175921303661245,0.0,0.03076087820686792,0.0,0.031149907674836486,-0.022408300471541128,-0.00824903912450138,-0.20654172396385356,0.0,0.05229251606291846,0.09595243882780012,0.05395775954974325,0.0,0.01685602504661993,0.0,0.05529398961286796,1.0,1.0
Kcnk10,0.0,0.0,-0.007975739966097632,-0.0396177489310503,0.0,-0.054095971937242304,0.0071830000042131074,0.0,0.0,0.010496120323966207,0.0,0.0,0.0,-0.40457766503095627,0.0,0.2399672705091928,0.04173265250497743,0.0,0.024512383694711485,0.0,0.006676779765831797,0.0,0.016617265382879658,-0.04087014354177212,-0.00824903912450138,-0.02937682595496115,0.0,0.04029867204984552,-0.16653657645771378,0.04670401618472839,0.0,0.01685602504661993,0.0,0.06408457614873585,1.0,1.0
Dag1,0.0,0.0,-0.007975739966097632,-0.010051741509845382,0.0,0.007655232421759712,-0.06105549922703128,0.0,0.0,-0.062099007252407704,0.0,0.0,0.0,0.16261026689684704,0.0,0.20870211367544375,0.042166017093940786,0.0,0.08607239864374462,0.0,0.006676779765831797,0.0,0.03036713844018155,-0.03579161143371541,-0.0017676512269597304,0.02295264405639548,0.0,-0.10462168295328554,0.09070196537006843,0.0560380726268417,0.0,0.04566062477074171,0.0,0.06408457614873585,1.0,0.0
Kif13a,0.0,0.0,-0.007975739966097632,-0.010051741509845382,0.0,0.007655232421759712,-0.06105549922703128,0.0,0.0,0.044461902721147785,0.0,0.0,0.0,0.2463666392049115,0.0,0.1962849587986344,-0.07063222921600468,0.0,0.09699509743797152,0.0,-0.07177538248269182,0.0,0.027270487411633917,-0.015455608047839058,-0.0017676512269597304,-0.16992451596122823,0.0,-0.006000492721796036,0.09341507998148077,0.08321961613470003,0.0,0.04566062477074171,0.0,0.030971435045725422,1.0,1.0
Ier3ip1,0.0,0.0,-0.007975739966097632,-0.010051741509845382,0.0,-0.022098833670545565,0.004389611293414706,0.0,0.0,-0.016300504230649063,0.0,0.0,0.0,0.0876701287557616,0.0,0.16999838846784673,-0.13065527408922972,0.0,-0.2888131607323885,0.0,0.03076087820686792,0.0,-0.05797968471520826,-0.0009544916928892857,-0.0017676512269597304,0.05897040520549605,0.0,0.032885650466931496,-0.08802104907992639,-0.004196814923106055,0.0,0.009601532947272062,0.0,0.05529398961286796,1.0,1.0
