gene_name,gene_length.meta,count.enhancer_DMR,9mo.2mo.activity.log_ratio.count.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,count.enhancer_peak,18mo.9mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.count.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.count.0-5kb.enhancer_peak,9mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,rel_pos.DMR,distance.log2.DMR,18mo.9mo.Q.std.loops,loop_size.log.max.loops,9mo.2mo.Q.max.loops,loop_size.log.median.loops,9mo.2mo.Q.std.loops,loop_size.log.mean.loops,18mo.2mo.Q.std.loops,loop_size.log.min.loops,18mo.2mo.Q.min.loops,18mo.2mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mch_genebody,9mo.2mo.log_ratio.mch_genebody,log2_distance.std.atac,18mo.2mo.log_ratio.mean.atac,18mo.2mo.log_ratio.max.atac,log2_distance.max.atac,9mo.2mo.log_ratio.mean.atac,count.atac,18mo.9mo.log_ratio.max.atac,log2_distance.mean.atac,9mo.2mo.log_ratio.max.atac
Ubtd2,61317.0,9,1.0,-0.1636211414088595,19,0.170602961809974,2,-0.2924812503545666,0.0,2.0,-0.2351501949250867,0.8673015325591544,-0.1636211414088595,-0.1404833543018169,-0.1168826562577156,-0.1168826562577156,0.0,0.0,0.0020018634572175,16.675667649207703,0.001532607,15.93447411471993,0.0011737051336012,15.505156640675684,0.001623404750356,13.5575833627799,-0.0013455966,0.088428873390311,0.16189831857918,0.0541419309745492,1.931780390216034,-0.035693542813124,0.222138250820739,14.517177252689548,-0.2012244625891417,5,0.3415636709659582,12.047029921112152,0.2450812011623782
Ccdc6,96079.0,2,0.0,-0.2223782917656072,16,0.2230963969550847,3,-0.1383458330769179,-0.9999999999278651,2.0,-0.4078536358364446,0.0,-0.2469377453157123,0.0007181051894775,0.075978897020531,0.051149983745125,0.7665377684962214,13.873115395305346,0.0020616979300271,19.973652527995423,0.0062546189999999,16.286287014306595,0.0021993578805476,16.402571311100612,0.0021268479721812,14.293399799686451,-0.0019159112,-0.0091809336852082,-0.1559576264287298,-0.0474664920321428,1.1164346980222657,0.2077472760977926,0.391382103267619,13.122989722854587,0.1067702216875097,5,0.4453464742624025,11.35807570869604,0.3266378726152217
Tm2d3,10744.0,6,1.0,0.0279361528228387,26,0.1563064920971397,2,1.084962500661044,0.0,1.0,-0.0296379661130083,1.1864916415378477,0.0279361528228387,0.1266685259841313,0.1670099898872368,0.1670099898872368,0.0,0.0,0.0018921124439287,19.890855025378112,0.0017779891999999,18.43221418380159,0.0009882662641875,18.4219447355727,0.0017840196648589,16.492072239088053,-0.0024742857,0.0241111376733892,0.1134458366443347,0.0900991774487717,0.1365473702184508,0.2899073511140572,0.3927233985108698,11.971184272404711,0.2981750959682751,2,0.0306389725686226,11.874630700970055,0.3620844259422471
Gapdh,4752.0,21,3.0,0.209560021315641,15,0.1900759177834801,5,0.9344850683751572,-0.6780719051018176,1.0,0.0286510514286977,0.5356121245134512,0.1674239655930795,0.0042272465750308,0.1218920496635922,0.1213880566729028,0.0,0.0,0.0031639893153297,16.76341987419209,0.0053996489999999,16.477505317369708,0.0023178448785435,16.422121750343557,0.0010956538780136,16.083271550988012,-0.0006440873999999,0.1495288397865648,0.0248607580024573,-0.0225493632753694,0.1557665301648942,0.1143009321658869,0.2362389530496771,11.7887183326905,-0.115903897400714,2,0.286000337777883,11.678574762929005,-0.0497613847282059
Ndufs4,100463.0,4,0.0,-0.1847060279571735,25,0.2014970968633056,7,-0.5714285713873516,-0.9999999999278651,1.0,-0.3150219594234844,0.4472135954676982,-0.1477315799252014,-0.1883273660865652,0.0418452433469468,0.1445146333508931,0.3330137393455354,14.637821562103053,0.0016573746084351,18.73297889889803,0.0033529986999999,18.51922543043013,0.0014890210484258,18.17035710474425,0.0012717576493412,16.744676191753786,-0.0023344011,0.007584337293269,-0.0113058305122495,-0.0203444424973153,1.796222262830543,-0.0841793767089271,0.1311348977426764,14.732644428491636,-0.0383303041474523,6,0.2668915147662534,12.718115646996104,0.5022506941078124
Vps13d,222383.0,7,0.0,0.1938691629806941,23,0.2681188182183653,6,-0.0974937501161852,0.0,0.0,0.0609538883695428,1.0687314671200394,0.18481102362519,0.1717007690225171,0.3930797817653941,0.3796734454704515,0.4709297959652447,16.403236835148565,0.0019219772242655,16.693568629499172,0.0042532405,15.196554472060573,0.0018102390288846,15.124482013931347,0.0017083887288703,13.456867738380344,-0.002820922,-0.0083200066172088,0.0383964643256232,0.0490762240132128,1.7846331843960332,0.337337143306574,1.3897901437292837,16.788285010560767,0.2816547499903953,15,0.4229630162985356,15.337082450253147,1.1548299262576092
Erlin1,34841.0,8,2.0,-0.1179517388243098,25,0.2703912099593086,6,0.0087445699900846,-1.5849625006249766,0.0,-0.2183110106356736,0.6136851018145477,-0.0412558342422364,0.0170260646113189,0.071665076122,0.0709846720114582,0.0,0.0,0.0020855799846165,17.544413600059052,0.0017915399999999,16.349316212398882,0.00110366189415,16.65937163489115,0.0014075091492387,16.007728114632254,-0.001600824,-0.0051624548562288,0.0597916806947605,0.0332859773993451,0.2233456690382597,0.045900028151981,0.1814180953081297,11.44449728710386,0.0754528461261454,2,0.0184255818890464,11.28656804997826,0.1629925134190832
Efcc1,25039.0,6,1.0,0.0360500991241421,17,0.1769709301581294,4,0.1037593748167053,-0.8479969065421264,0.0,-0.0243131234998177,0.4550098339374558,0.0808076246354651,0.0976296763481574,0.1802696636383934,0.1285774297263373,0.150315093494955,12.091765938516836,0.0033064181809869,19.25980301927017,0.000182874,15.637105967208145,0.001168654710875,16.245924988101088,0.0028852840692688,14.50326673442109,-0.0017859433999999,0.0746886432267693,-0.0901158762215051,-0.0876404495492871,0.3451221361257193,0.1184846280480931,0.2639069007725152,11.160501747555749,0.1220414705575045,2,0.2038817173072802,10.916463544763666,0.1840577576497741
Amdhd2,7933.0,19,3.0,0.3340503732153665,20,0.2272796589348229,6,0.1598930025779935,-1.222392421308968,0.0,0.2650117744472573,0.623738541335911,0.3358303340318226,0.1779313044351889,0.4475850198832929,0.4846784353285513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576823675793641,0.0099500187472981,-0.1146391273463627,0.2107389118018936,0.3132043452960451,0.3224431566174406,11.427312844135017,0.1636866778377532,2,0.1629640721653427,11.278297930540024,0.1863718938661995
Zbtb40,69069.0,4,0.0,0.1499400348549655,17,0.0829611019628497,1,-0.4150374992668215,-0.4150374992668215,0.0,0.1499400348549655,0.7071067811355406,0.1499400348549655,0.1685354846951656,0.1685354846951656,0.1685354846951656,0.0,0.0,0.0017540219225256,19.06907209307411,0.0033516198999999,17.344702690189358,0.0013207243707063,16.800930124020528,0.001561208476457,13.485200381955432,-0.0024631249999999,0.0126761058730855,-0.0135389455847975,0.0023421296853073,1.8294033754238053,-0.0284628686645738,0.3717700718543679,14.516500292222831,-0.0036888838411014,4,0.0843664765973861,12.919981396163282,0.3066035866328946
