gene_name,gene_length.meta,18mo.2mo.contact.log_ratio.median.20kb-5Mb.enhancer_DMR,18mo.9mo.contact.log_ratio.median.20kb-5Mb.enhancer_DMR,18mo.9mo.contact.log_ratio.mean.5kb-20kb.enhancer_DMR,18mo.9mo.contact.log_ratio.max.5kb-20kb.enhancer_DMR,18mo.9mo.activity.log_ratio.count.5kb-20kb.enhancer_DMR,18mo.2mo.contact.log_ratio.max.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.min.5kb-20kb.enhancer_DMR,9mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.median.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.min.5kb-20kb.enhancer_peak,18mo.2mo.activity.log_ratio.mean.0-5kb.enhancer_peak,18mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.mean.0-5kb.enhancer_peak,18mo.9mo.activity.log_ratio.min.5kb-20kb.enhancer_peak,18mo.9mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.min.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.min.0-5kb.enhancer_peak,18mo.9mo.activity.log_ratio.mean.0-5kb.enhancer_peak,18mo.9mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.median.0-5kb.enhancer_peak,9mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,count.DAR,9mo.2mo.log_ratio.DAR,18mo.2mo.log_ratio.DAR,rel_pos.DAR,18mo.9mo.log_ratio.DAR,9mo.2mo.log_ratio.DMR,size.log2.DMR,18mo.2mo.log_ratio.DMR,18mo.9mo.log_ratio.DMR,18mo.9mo.Q.std.loops,9mo.2mo.Q.median.loops,Tanova.max.loops,Tanova.std.loops,18mo.9mo.Q.mean.loops,9mo.2mo.Q.mean.loops,loop_size.log.median.loops,18mo.2mo.T.min.loops,min_distance.log.std.loops,18mo.9mo.T.median.loops,Qanova.min.loops,loop_size.log.min.loops,Tanova.min.loops,9mo.2mo.log_ratio.mcg_genebody,18mo.9mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.std.atac,18mo.2mo.log_ratio.mean.atac,18mo.2mo.log_ratio.max.atac,9mo.2mo.log_ratio.mean.atac,18mo.9mo.log_ratio.mean.atac,9mo.2mo.log_ratio.max.atac
Slc25a40,31947.0,-0.4995710094890562,0.2141248053520508,0.0,0.0,0.0,0.0,0.0,0.0186218808819031,0.3219280948849579,-0.0911488287158537,0.0,-0.0908000736080509,-0.0238737423912303,0.8875252707382737,0.0,0.0808567031212108,0.0553837540058785,-0.0610302221499824,0.0544463213144502,0.1699250014403088,0.054590469611992,0.0292746233725171,0.0292746233725171,0.3844952348817446,-0.1200746969805681,-0.1053075966041147,0.4150374992728327,0.6629650127179998,1.0147010297507708,0.0331577653030967,-0.09514552595971,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0380661082226938,0.0419479659912552,0.080014074213949,0.0750255631936269,-0.1438511581046044,-0.0908000736080509,-0.1293383712374253,-0.0145127868671791,-0.1200746969805681
Zdhhc20,57573.0,0.0259952085328976,0.1069152039163139,0.2090955987228113,0.2090955987228113,1.0,0.438121112391479,-0.0711561965677367,0.0,0.0,-0.0076835129840295,-0.1179524172027202,-0.0287956401021238,-0.0334135809955693,0.3219280948859202,-0.0547198580991272,0.0050505542611443,-0.023455846108241,0.3625700793824178,0.0,-0.2801079191909164,0.0,0.0807165266992262,0.0807165266992262,0.3016841462783003,-0.1095121668013501,-0.0076835129840295,0.0,0.3625700793824178,0.0,-0.0442810897931461,-0.0334135809955693,1,-0.180069764083985,-0.3251501277008275,0.8292397660818713,-0.1450803636168425,0.0,0.0,0.0,0.0,0.0007301193346496,0.0007118174499999,5.856795,1.9724819436823733,0.0007852079230769,0.0005703308076923,15.012977280083945,-0.07459847,0.6301412140282332,0.0023297899999999,0.35981283,13.477252323937952,0.029726567,-0.0342496150675284,0.0388331779180264,0.004583562850498,0.1544277943612985,-0.1518634693900288,-0.0287956401021238,-0.1287382303965552,-0.0231252389934735,-0.0966327603043306
Gm17750,39475.0,-0.0193653248669045,0.2321734421286931,0.0,0.0,0.0,0.0,0.0,-0.0155023915607717,-0.2515387669955977,-0.204813278835414,0.0,0.0,-0.0256596795641295,0.0,0.0,0.1791535992712845,0.0664056333759601,0.2225769036340805,0.1463487485864235,-0.1952562913986693,0.079572108313289,0.0,0.0,0.147350950471205,0.0,-0.2175123682252814,0.4150374992776422,0.7369655941642828,0.3104419816727679,0.0824845973312703,-0.132246277495899,3,-0.1918405725773045,-0.3898220879768702,0.7823423423423423,-0.1979815153995656,0.0,0.0,0.0,0.0,0.0006219239447663,-0.0002253452,4.297904,1.004923694941438,0.0003767277434782,-8.003576521739133e-05,18.128301497546367,-0.06178022,0.3362863474651789,0.0125152499999999,0.10245763,14.695065130689487,0.003917542,0.0100610267819506,0.042158725367544,0.0522197521494946,0.1203072501704285,-0.2445126697761659,-0.0739061147254567,-0.231292997485436,-0.0132196722907298,-0.0846151135082022
Mcrs1,9144.0,0.2847294769326431,0.1118928800707239,0.2670315627728046,0.5773089281769659,3.0,0.2847294769326431,-0.2404933902434076,0.011611807514871,0.0,-0.053264104994871,0.0,-0.0135712387986481,0.0370157839357192,-0.2630344058325917,0.0,0.0560024243367172,0.011378612397408,0.1596893940080477,0.1277701717174261,-0.5305147166938475,0.0393091588134994,0.0166174955821647,0.0166174955821647,0.4272630501384377,-0.0301887343808129,-0.0438308443878762,0.4150374992758383,0.5849625007171486,0.4197072100042988,0.0149605111248258,-0.0270346564563981,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003042413281766,-0.0005730017499999,1.0831206,0.2787447183328872,0.0012340646499999,-0.0004951174749999,17.758904069438334,-0.0059014599999999,0.0,0.0399999579999999,1.0371798,17.65827425335099,0.490245,0.0306134142908333,0.009960694740813,0.0405741090316464,0.1753989393831679,0.110454540652118,0.2344803201028842,0.0518908434929452,0.0585636971591727,0.1339704213667034
Fahd2a,8350.0,0.3907899530314056,-0.4572069535221192,-0.028121161108892,-0.0118741002882822,5.0,0.7489382358314707,-0.1064534815591133,0.273780936814063,0.194521145372347,0.0468113020661644,0.0085880825433561,0.0,0.2605981598628402,0.0,-0.1102690518534137,0.1455586678193743,-0.0415658027297425,0.3006359745654556,0.1521810317115275,-0.4572069535221192,0.1104364105677307,0.0,0.0,0.3416482591582588,0.0,0.019909593892032,0.6520766965721987,0.8845227825775206,0.3145360325843774,-0.0090359454951815,-0.0177712485502361,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000633385414235,0.000857579,9.0934305,2.556883115810651,0.0006409728444444,0.0007594098703703,16.715988793941957,-0.02557042,0.0769568034713713,0.0035368399999999,0.08557788,15.586957037345522,0.008386769,-0.0393045989973346,0.0588928001950454,0.0195882011977107,0.3881190231856214,0.1888850128442738,0.6307666450118381,0.2197918245127576,-0.0309068116684838,0.3744722232051974
Lrp3,15471.0,0.0874628412501632,-0.281770968414877,0.1082027775700995,0.3089502408887368,11.0,0.790076930624501,-0.0417981970905868,0.1805722456406893,0.1805722456406893,-0.0375477236526835,-0.2234888192727409,0.0,-0.0257777309987226,0.0,-0.112596311050122,0.0117699926539609,0.0117699926539609,0.5929332726525589,0.2157695570957978,0.3048545815268042,0.0,0.0,0.0,0.0,0.0,-0.0375477236526835,0.1805722456406893,0.7004397181376243,0.1520370732475032,0.0117699926539609,-0.1783498479947791,1,-0.0050429349457772,0.3866242231743424,0.2096882593186165,0.3916671581201196,0.0,0.0,0.0,0.0,0.0004844964491043,0.001090352,1.2037686,0.3147914689982392,-0.0007692059857142,0.0011671982857142,15.736692597475228,-0.01862885,0.3089918828090364,-0.0239823899999999,0.5810966,15.078609501154215,0.29567835,0.0981960501908205,-0.0578053948987049,0.0403906552921156,0.1729014881952067,0.0718539105309815,0.3866242231743424,0.0213955887869909,0.0504583217439906,0.2564489755718004
Rnpepl1,13601.0,0.0,0.0310268956205579,0.436099114805935,0.436099114805935,2.0,0.2016338611693369,-0.0621734799224129,0.3677317844994405,0.3677317844994405,-0.0250203970560836,-0.0305735043633195,0.0919916590876702,0.0403935485355289,0.0959301683064,0.0117137792100683,0.0654139455916125,0.0375444386834127,0.2552570552413202,0.0,-0.1124747292581203,0.0,-0.0564916304602554,-0.0366490253656863,0.2072155031571522,0.0771410383322066,-0.0250203970560836,0.3677317844994405,0.2552570552413202,0.0,0.0375444386834127,0.0403935485355289,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005656076411783,0.0006709078499999,8.330328,2.6232299314713607,0.0003518557681818,0.0004825560772727,16.870119573017238,-0.03255748,0.3207746181698649,-0.00820585,0.2342759,16.095067301607052,0.090484574,-0.0259274761663188,0.0343895148600319,0.008462038693713,0.0070795858840163,0.1899849281433896,0.1949909513299701,0.1452652163603198,0.0447197117830697,0.1777878658455489
5730480H06Rik,86342.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3081136762572939,0.0,-0.0863717219507269,0.0,0.0,0.0528460361475326,0.0,0.1310442668805818,0.1023971252764424,0.0311247716315437,-0.1470904030558152,0.1209936929560534,-0.9999999999278651,0.0438675793001265,0.0,0.0,0.5664293027065888,0.0,-0.1023285051291209,0.0,0.5849625006971113,0.7088573704051087,0.0125681670417665,-0.0979892783600333,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002879812596236,0.0001240614999999,3.4173896,0.9846797305082824,3.9425969230769214e-05,0.0002314799923076,18.32074767353425,-0.0192175849999999,0.0746893036525332,-0.021435614,0.008079654,18.18210333296106,0.257198,0.0097428668015338,-0.0003055670880315,0.0094372997135023,0.0,0.0,0.0,0.0,0.0,0.0
Jade1,61133.0,0.7004397181376243,0.6129768768878154,0.0,0.0,0.0,0.0,0.0,0.3567964426218403,0.0,-0.0987618650423085,-0.0420585560510531,0.0,-0.0474010412752798,0.0,0.0447939785283342,0.0508019794835536,0.045304223369686,-0.1169925001437503,0.0239671534595456,-1.8073549220060792,0.027085334558207,0.0,0.0,0.9042490779130448,0.0,-0.1141193359359187,1.222392421308968,0.9999999999639329,0.7539470972275514,0.0369135859973832,-0.0841273099033985,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004860894611491,4.453240000000004e-05,6.4860864,1.3939086832260912,0.0005787121646464,0.000111360850505,17.901638833703085,-0.06607296,0.4693682402303992,0.0193099699999999,0.05740584,16.04178746913749,0.015285433,0.0257849161757495,-0.0260415092548048,-0.0002565930790552,0.2862327086617707,0.0510998922119395,0.4621670410101753,-0.0105574735416763,0.0616573657536158,0.5231205649543236
Tnfrsf19,82615.0,0.4722578339537278,0.5907448533145789,0.4921032776124446,0.5907448533145789,3.0,0.6082322800433984,-0.1870606564512955,-0.186700104716621,-0.186700104716621,-0.0863124752681656,0.0,-0.0137946037086822,-0.0517641118512486,0.5849625007187518,0.0,0.0262194101332653,-0.0623954981293515,0.3040857017853756,0.2839005481230452,-0.1520030934446499,0.0117789186941121,-0.0057387532368666,-0.0057387532368666,0.4557106958989012,-0.1133951436149409,-0.0863124752681656,0.243271151011907,0.3833286395500419,0.0993356603063337,-0.0587641102488546,-0.0991779937459691,1,-0.026043923384595,-0.3054417021456723,0.3797244343319428,-0.2793977787610773,0.132926085223189,5.3467434787561965,0.2760781777796639,0.1431520925564749,0.0002567166725446,0.0007542906,3.5358422,0.5902969835752171,0.0010302140999999,0.0007542906,15.800480200853992,0.079101785,0.0,0.0364803979999999,2.3499203,15.674247449734205,2.7010362,0.0746812846218069,0.023838291046579,0.0985195756683859,0.188299349324068,-0.0207598789455908,0.3103353807334283,-0.0286329220828391,0.0078730431372482,0.3817647157773993
