gene_name,gene_length.meta,9mo.2mo.contact.log_ratio.median.5kb-20kb.enhancer_DMR,18mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_DMR,18mo.2mo.contact.log_ratio.median.20kb-5Mb.enhancer_DMR,18mo.2mo.contact.log_ratio.min.5kb-20kb.enhancer_DMR,18mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_DMR,18mo.9mo.activity.log_ratio.max.20kb-5Mb.enhancer_DMR,9mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.count.0-5kb.enhancer_peak,9mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.9mo.log_ratio.DAR,18mo.2mo.log_ratio.DAR,rel_pos.DAR,count.DAR,Tanova.std.loops,18mo.2mo.Q.mean.loops,loop_size.log.std.loops,18mo.2mo.T.min.loops,9mo.2mo.Q.std.loops,min_distance.log.mean.loops,min_distance.log.median.loops,18mo.2mo.T.mean.loops,min_distance.log.max.loops,18mo.2mo.Q.min.loops,Qanova.max.loops,9mo.2mo.log_ratio.mcg_genebody,18mo.9mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mcg_genebody,9mo.2mo.log_ratio.mch_genebody,18mo.2mo.log_ratio.std.atac,log2_distance.std.atac,log2_distance.min.atac,18mo.2mo.log_ratio.mean.atac,18mo.2mo.log_ratio.max.atac,9mo.2mo.log_ratio.mean.atac,count.atac,18mo.2mo.log_ratio.min.atac,9mo.2mo.log_ratio.min.atac,18mo.9mo.log_ratio.mean.atac,9mo.2mo.log_ratio.std.atac,9mo.2mo.log_ratio.max.atac,DEG,pred
Trappc8,0.0,0.0,0.002831858843564987,0.0,0.008367811744101346,0.00031551416963338853,0.0,0.0,0.0,0.0,0.0,-0.005301836505532264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008343284167349339,0.0,0.035269377641379836,0.0,0.0025401989556849,0.0016242864727973939,0.0003048238717019558,0.0,0.007933393297716975,0.05830621661618352,-0.0017351609468460082,0.0,0.005350889288820326,-0.06669691249728203,0.0,0.051915747076272965,0.037519609816372396,0.035560679752379656,0.0,0.0,0.007331088371574879,0.010223964620381594,0.02456770371645689,0.011639822218567132,1.0,0.0
Kdm2b,0.0,0.0,-0.006996357142925263,0.0,0.003651159338187426,0.0,0.0,0.0,0.0,0.0,0.0,0.010443011298775673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13066189281642437,0.0,-0.06343844207003713,0.0,0.0011176875419914723,-0.0009136611409485341,0.0,0.0,0.002230809151660651,0.023113381122238933,-0.005964615754783154,0.0,0.0019775735191069543,0.005090989153832198,0.0,-0.021670450316742064,-0.02535183183848858,-0.040613180361688136,0.0,0.0,0.0031848170794546602,0.007400607890449464,0.015050346422940493,-0.055269461013376715,1.0,1.0
Lrrc1,0.0,0.0,0.002831858843564987,0.0,0.007307243831455708,0.0009465424716472626,0.0,0.0,0.0,0.0,0.0,-0.005301836505532264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00171626347117126,0.0,-0.0016147487796843052,0.0,0.0025401989556849,-0.0013197327591478825,0.0003048238717019558,0.0,0.01304472265765071,-0.09913602067157626,-0.0017351609468460082,0.0,0.008774217888712884,0.00015367409214377402,0.0,0.05047356570139527,0.026155018787831066,0.030730810714885592,0.0,0.0,0.0031848170794546602,0.006460739020258188,0.02653226787224412,0.02093171376734972,1.0,0.0
Sirt6,0.0,0.0,0.001166059523820877,0.0,0.005520039480179548,0.0009465424716472626,0.0,0.0,0.0,0.0,0.0,0.010443011298775673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00171626347117126,0.0,0.027946051955223084,0.0,0.0025401989556849,0.0012182148545980453,0.0003048238717019558,0.0,0.01304472265765071,-0.14437463087961078,-0.0026027414202690123,0.0,0.006941838636994362,0.0034361200034618376,0.0,-0.00921459637582302,0.013861999185755848,0.030730810714885592,0.0,0.0,-0.02097172001376748,0.005202235914766789,0.01496517177671194,0.029824413806200028,1.0,1.0
Acad11,0.0,0.0,0.0007773730158805848,0.0,0.003960645203478635,0.00031551416963338853,0.0,0.0,0.0,0.0,0.0,0.010443011298775673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002355861384421587,0.0,-0.08585174520965666,0.0,0.0006604517623782158,-0.021318759955465793,0.0,0.0,0.0027054091263562442,0.02157241079956293,-0.0026027414202690123,0.0,-0.07025632260367275,-0.03742668522521853,0.0,-0.0043701630923897025,-0.15294460128992796,0.015657957894727587,0.0,0.0,0.0031848170794546602,-0.007339084455743432,-0.17369849079754204,0.020327438302338123,1.0,1.0
Fzd3,0.0,0.0,0.0007773730158805848,0.0,0.00286831040866673,0.0,0.0,0.0,0.0,0.0,0.0,0.010443011298775673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00471871430054307,0.0,-0.05378318080678582,0.0,0.0011176875419914723,-0.0024364297091960907,0.0,0.0,0.0017259864509105683,0.034835055898875,-0.005964615754783154,0.0,-0.024396340269595383,-0.0018874960020184516,0.0,-0.03789732202887535,-0.0902224484924227,-0.027518738135695456,0.0,0.0,-0.007691633701324463,0.0007978397700935603,0.043505766838788984,-0.04559895381331444,1.0,1.0
Akap9,0.0,0.0,0.002831858843564987,0.0,0.003232561834156513,0.00031551416963338853,0.0,0.0,0.0,0.0,0.0,-0.005301836505532264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00171626347117126,0.0,-0.057135917944833636,0.0,0.0006807733559980988,-0.0013197327591478825,0.0,0.0,-0.07627392075024546,-0.14437463087961078,-0.0017351609468460082,0.0,0.004593655280768871,-0.000161840058863163,0.0,0.04208437779918313,0.016772195985540746,0.015378844165243209,0.0,0.0,0.0031848170794546602,0.006993318535387516,0.0137935112696141,0.010993018131703138,1.0,0.0
Sdhaf2,0.0,0.0,0.002831858843564987,0.0,0.010529083721339703,0.0009465424716472626,0.0,0.0,0.0,0.0,0.0,-0.005301836505532264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005372840501368045,0.0,0.029918116498738528,0.0,0.0010160795785486697,0.002639465518295765,0.00010160796344280243,0.0,0.00951892651617527,0.015774864125996827,-0.0017351609468460082,0.0,0.008774217888712884,0.007474321536719799,0.0,0.04986326619982719,0.040170383378863334,0.033061031978577377,0.0,0.0,0.007331088371574879,0.01604498313739896,-0.06637366134673357,0.02093171376734972,1.0,1.0
Ranbp1,0.0,0.0,-0.02137775793671608,0.0,0.010529083721339703,0.0009465424716472626,0.0,0.0,0.0,0.0,0.0,0.001927940547466278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008343284167349339,0.0,0.0291401070356369,0.0,0.0025401989556849,0.0012182148545980453,0.0003048238717019558,0.0,0.01304472265765071,0.05830621661618352,-0.0017351609468460082,0.0,0.007052891924977303,0.0034361200034618376,0.0,0.035678472332656384,0.036132181584835055,0.042643972504884005,0.0,0.0,-0.02097172001376748,0.010223964620381594,0.02318027552217245,0.02093171376734972,1.0,0.0
Zfp386,0.0,0.0,-0.02137775793671608,0.0,0.010529083721339703,0.0009465424716472626,0.0,0.0,0.0,0.0,0.0,-0.005301836505532264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005980431251227856,0.0,0.03914434369187802,0.0,0.0006604517623782158,0.002639465518295765,-0.015769555140286683,0.0,0.008868635590188205,0.04392656886950135,-0.0017351609468460082,0.0,0.007052891924977303,0.007474321536719799,0.0,0.042061629928648474,0.040170383378863334,0.03406801074743271,0.0,0.0,0.007331088371574879,0.008731395769864321,-0.0807589009962976,0.02093171376734972,1.0,1.0
