cell_type,gene,DEG,pred,dmr,mcg_genebody,mch_genebody,atac,hic_loop,hic_abc_dmr,hic_abc_peak
Astro-TE_NN,Csf2ra,0,-1,0.010081425,0.95944214,0.019552745,0.00032228517,0.0062970943,0.003125392,0.0011788982
Astro-TE_NN,Lamtor3,0,-1,0.06896313,0.052644342,0.1333338,0.0214621,0.60104185,0.033482574,0.08907218
Astro-TE_NN,Gpt2,0,0,0.15776572,0.063303806,0.15346329,0.027383525,0.42395878,0.053778645,0.12034624
Astro-TE_NN,Extl2,0,0,0.091282584,0.06675126,0.16668704,0.30186513,0.12846148,0.085830614,0.15912183
Astro-TE_NN,Morn2,0,0,0.08069178,0.23341869,0.14611167,0.026733084,0.34815878,0.042528912,0.12235718
Astro-TE_NN,Mat2b,0,0,0.09253537,0.26726863,0.16979365,0.12411296,0.057799738,0.13574411,0.15274553
Astro-TE_NN,Zzef1,0,0,0.10387969,0.049447604,0.20012586,0.25534883,0.13795662,0.08539633,0.16784512
Astro-TE_NN,Wbp11,0,-1,0.049940675,0.039447773,0.096313424,0.029903574,0.67071146,0.035668872,0.0780141
Astro-TE_NN,Ggps1,0,-1,0.09776903,0.43333432,0.1863803,0.044705316,0.061068818,0.05628197,0.1204603
Astro-TE_NN,Aifm1,0,1,0.16774966,0.035875414,0.24007227,0.017153995,0.0850358,0.15537617,0.29873672
Astro-TE_NN,Phlda1,0,-1,0.014723692,0.90684694,0.024150098,0.0033176253,0.02596579,0.006157259,0.018838525
Astro-TE_NN,Apoe,-1,-1,0.012134826,0.9259874,0.01022642,0.0018058401,0.041470487,0.0022487817,0.006126219
Astro-TE_NN,Pde3a,-1,-1,0.05921446,0.0066739647,0.05575676,0.7082582,0.045848258,0.06001764,0.06423068
Astro-TE_NN,Efna5,1,1,0.12785909,0.016867671,0.07223115,0.02565467,0.046345197,0.5876539,0.12338837
Astro-TE_NN,Wls,1,1,0.095466025,0.04844286,0.17887594,0.009196379,0.0596303,0.41030285,0.19808567
Astro-TE_NN,Zbtb16,-1,1,0.21448444,0.030161092,0.12070023,0.061766677,0.14063148,0.22937703,0.20287912
Astro-TE_NN,Nrxn2,-1,0,0.24030577,0.07167723,0.23296481,0.045238752,0.16750616,0.08791574,0.15439147
Astro-TE_NN,Pbx1,1,1,0.119037524,0.028382573,0.10766506,0.043472365,0.06727085,0.5350036,0.099168085
Astro-TE_NN,Cox7c,-1,0,0.07863684,0.6530944,0.15259488,0.032981277,0.049118403,0.02437858,0.009195608
Astro-TE_NN,Camk2a,-1,0,0.15209246,0.037187565,0.23814245,0.037175827,0.15818101,0.10851964,0.26870102
Astro-TE_NN,Erbb4,1,1,0.109817095,0.011349897,0.105090074,0.0292587,0.095084086,0.522943,0.12645715
Astro-TE_NN,Rgs7bp,-1,1,0.06352615,0.014961811,0.09563659,0.36341622,0.13598484,0.19222145,0.13425292
Astro-TE_NN,Ptprt,1,1,0.15062404,0.01446776,0.12116438,0.090834886,0.080623224,0.41897774,0.12330798
Astro-TE_NN,Pdzd2,1,1,0.1588253,0.02162818,0.12658213,0.0642125,0.17246418,0.26038668,0.19590104
Astro-TE_NN,Pcdh11x,1,1,0.05463935,0.010883449,0.09858117,0.015374397,0.034128997,0.65191525,0.13447735
Astro-TE_NN,Ntsr2,-1,-1,0.07178412,0.24877189,0.13241626,0.023386188,0.39106345,0.03521967,0.09735843
Astro-TE_NN,Rps27,-1,-1,0.071272604,0.4537536,0.13330291,0.019777225,0.29146373,0.022095557,0.008334451
Astro-TE_NN,Immp2l,1,1,0.055188514,0.010398303,0.08398977,0.040146124,0.07364708,0.6279954,0.108634844
