gene_name,9mo.2mo.log_ratio.mean,18mo.9mo.log_ratio.mean,18mo.2mo.log_ratio.mean,log2_distance.mean,9mo.2mo.log_ratio.std,18mo.9mo.log_ratio.std,18mo.2mo.log_ratio.std,log2_distance.std,count
0610043K17Rik,0.3408207616189555,0.0733086604722436,0.41412942209119913,12.901675162197876,0.5151802374590738,0.13664763734865776,0.6409351366476314,0.9094550077186183,4
1010001B22Rik,0.2713560397511933,0.21959167312569303,0.4909477128768863,10.811523450655873,0.30249193801291574,0.25347601720970037,0.5559679552226161,0.3892993848902492,2
1110001J03Rik,-0.11103315430174651,0.04483677268915107,-0.06619638161259545,11.249688338598705,0.19352266533622817,0.162239571465635,0.1494434627379572,0.5137575689802283,5
1110002E22Rik,-0.4145421404793021,0.2878486287726546,-0.12669351170664747,10.838217836896243,0.25472940183386816,0.3778563934400047,0.13570139799648312,1.7126624404348776,4
1110002L01Rik,-0.014008074624979846,0.0015998197161679606,-0.012408254908811886,11.196247354401413,0.03585913870307103,0.11815580369346552,0.11360818484471491,0.4457472330859422,3
1110004E09Rik,0.11637540057450257,-0.030651178456975625,0.08572422211752695,11.302381571770278,0.08419463937568644,0.08408652310366899,0.16828116247935543,0.21047675403757551,2
1110004F10Rik,0.06214141520598604,-0.023663486276454055,0.03847792892953198,10.672915649171339,0.1387859376338132,0.2543597546387352,0.15817004349684216,0.5188977802077347,3
1110007C09Rik,0.22513239618359185,0.04239008933943031,0.26752248552302216,11.632732633532697,0.35397602712420245,0.22429854648590725,0.27916177479362075,0.645630286868977,6
1110008F13Rik,0.14704576049840515,0.04343358466530326,0.19047934516370843,10.665827178778864,0.016021649737305566,0.01863604306862501,0.0062310678938547704,0.4606208112876754,3
1110008L16Rik,-0.10925528272724128,-0.037696809448565016,-0.1469520921758063,12.329908089568836,0.18792465798847838,0.12718206919112826,0.06074258879735012,0.10714823380129555,2
1110008P14Rik,0.08708351331106338,0.0015285289161409328,0.08861204222720431,10.960088498327485,0.12286510522586942,0.1430231905591123,0.10068500673919918,0.5584094236174967,3
1110015O18Rik,-1.0030274329213924,-0.8467126590885811,-1.8497400920099736,10.5504947506249,0.26840971774562344,1.2635350443797086,1.5319447621253321,0.5135612994898929,2
1110017D15Rik,0.0931261545288753,0.14170288438394008,0.23482903891281537,8.130432208714375,0.27994560860804274,0.19939994085768237,0.08054566775036039,2.6892876278538913,2
1110018N20Rik,0.3224220532357636,-0.14729406564951247,0.17512798758625114,11.47869551498465,0.2762450812836204,0.15859951386932922,0.15775445041485403,0.3631580553830386,4
1110019D14Rik,0.036417794521075554,0.1477888107663721,0.18420660528744773,14.805121512367407,0.8155325715207475,0.5782538684068473,1.2095202263976506,1.97220380524355,7
1110020A21Rik,0.016445379275847067,0.04581872746700973,0.062264106742856797,10.968947444952457,0.2176833342535023,0.1789756255677948,0.043190097780413106,0.4878200357667446,3
1110032A03Rik,0.062677857236948,0.009965364091324692,0.0726432213282727,12.106927028353052,0.07953562178141833,0.04972042773396449,0.07575120536242332,0.960966202308474,5
1110032F04Rik,-0.20608095577989807,-0.09963319223176326,-0.30571414801166136,10.916634255758966,0.13831002399451273,0.1065282444954073,0.17129639453752463,0.42084266066563014,3
