,DEG
Gli2,2
Agrn,0
Ssr4,0
Jkamp,0
D5Ertd579e,1
Eif2s3x,1
Hcfc1r1,0
Prdx1,0
Rmdn1,1
Sat1,1
Txndc17,0
Braf,1
Acadm,1
Gm2115,2
Pgrmc2,1
Arf5,0
Il33,2
Atp6v0c,0
Rnasek,0
Ndufv1,0
Scg3,1
Pop5,0
Nol7,1
Lars2,0
Grhpr,0
Nipal4,2
Ciart,1
Rbm18,1
Ppp6r3,1
Mrps7,0
Ywhah,1
Nek1,1
Tusc3,0
Hmbox1,1
Pink1,0
Yif1b,0
Gm10701,2
Atp6v1h,1
Gria4,1
Gm14966,1
Tspyl4,1
Ceacam2,2
Gclm,0
Pgk1,0
Ncor2,0
Prox2,1
Zranb3,1
Uck2,1
Timm10b,0
Dgcr8,1
Uchl5,1
Zfp651,1
Dusp7,0
Atp5c1,1
Pcdh9,1
Zfp719,1
Calu,1
Lima1,0
Tsen2,1
Ndufs3,0
Ndufab1,0
Bicc1,2
Sptlc2,0
Ranbp6,1
Agap3,0
Prkar1a,0
Ttc33,1
Zscan22,1
Catsper2,1
Degs1,0
Tomm20,0
Rapgef4,1
Ogfrl1,1
Gdi1,0
Wdr60,1
Efemp1,2
Rps21,0
Fbxw2,1
G2e3,1
Slc30a9,1
Foxn2,2
Xrcc6,0
Taldo1,0
Ints4,1
Ap1s2,1
Phldb2,2
Fam189a2,2
Ptprj,2
Cadm2,2
St7,2
Vhl,1
Raly,0
Pgp,0
Nedd9,2
Eid1,0
Man2c1,1
Ccdc59,1
Gstm5,0
Ranbp1,1
Sumf2,1
Gstm1,1
Foxo1,2
Rbm42,1
Ubap2,1
Med8,1
Josd2,0
Cdc16,2
Gabpa,1
Pros1,2
Ppp1r37,1
Lhfpl4,1
Mif4gd,1
Dbt,1
Pir,2
Olfm1,1
Maob,2
Golga7,0
Tmed2,0
Gnb2,0
Mrpl36,1
Tpi1,0
A330023F24Rik,2
Grik1,1
Wdr3,1
Mrps34,0
Gaa,1
Arhgap12,2
Aim2,2
Mettl25,1
Zfp771,1
Amn1,1
Rab23,1
Usp15,1
Them4,1
Ogdh,1
Gas5,0
Sel1l3,2
Gsn,0
Gabrb2,1
Aktip,1
Ipo5,1
Rnf113a2,0
Ankrd12,1
Chchd10,0
Cnppd1,1
Fance,1
Rplp0,0
Appl1,1
Cyfip2,1
Map3k12,0
Gca,2
Cd81,0
Tmem189,0
1600020E01Rik,1
Fbn2,2
Rcan3,1
March6,1
Svil,2
Hmgcs1,0
Dctn1,0
Rpl27,0
Fdps,0
Actb,0
Ckb,0
Etfb,0
Pomp,0
Hist3h2a,0
Abca6,2
Adamts2,0
Atad5,1
Tfrc,1
Mgat3,1
Tsc22d1,0
Apopt1,1
Pdik1l,1
Fbxl4,2
Hat1,2
Cd59a,0
Gpatch2l,2
Gpi1,1
Fmnl2,2
Ddx17,1
Ddc,2
Adat1,1
Zfp943,1
Ppp1r12c,1
Nr1d2,1
Gnai2,0
Atp5k,0
Thoc5,1
Bace1,0
Cyth3,1
Zfp169,1
Sema4d,0
Hscb,1
B3galt1,2
Clock,1
Cdc27,2
Nrd1,1
Dnajc7,1
Nox1,1
Rhog,0
Ncoa2,1
Glud1,1
Erf,1
Sec22a,1
4930419G24Rik,1
Cyc1,0
Nup210,1
Zswim8,1
Timmdc1,1
Pskh1,1
St8sia3os,1
Angptl2,1
Cpeb1,2
Hagh,1
Cox7a2,0
Pdia3,0
Slc22a5,2
Pam16,0
Slc16a7,2
Ssbp1,0
Kcna1,0
Mboat1,2
Psma2,0
Gde1,0
Zdhhc20,1
Trap1,1
Hipk1,1
Cmtm5,0
Sh3gl3,0
Tuba1b,0
Timp2,0
Psmd7,0
Pisd,1
Pam,2
Ndufa9,1
Babam1,1
Rps2,0
Ralgps1,0
Ppm1d,1
Col16a1,1
Polr2c,0
Ints10,1
Pdcd5,0
Zfyve1,0
G6pdx,1
Cwf19l2,1
Ncaph2,1
Lman2,1
Cisd1,0
Gbe1,1
Gabarap,0
Lrch3,1
Zadh2,1
Commd3,0
Tmsb4x,0
Lyst,1
Evi2a,0
Slc29a3,1
Fam189a1,2
2610037D02Rik,1
Lcp1,0
Yipf3,0
Atp5a1,0
Dis3l2,1
Tmem214,1
Srgap1,1
Gpr180,1
Cramp1l,1
Sema7a,1
Tomm5,0
Gigyf1,1
Praf2,0
Dennd1a,1
Ndufc2,0
Nav3,2
Cdk5,0
Atp5g1,0
Fbxo33,1
Cdk11b,1
Satb1,1
Creb3l2,1
Gipc1,1
Sept1,1
Ric3,2
Syne2,1
Abca2,0
Adh5,0
Adam15,0
Rrbp1,0
Uchl1,0
Rae1,1
Tbcb,0
Recql,1
Cdk10,1
Atpaf2,1
Rasgrp3,2
Sesn1,1
Nr2c2,1
Myef2,2
Creb3,0
Rdh11,1
Nbas,2
Cpt1c,0
Eci1,1
Trappc2l,0
Rps29,0
Fkbp5,0
Diablo,0
Laptm4a,0
Eif3i,0
Set,0
Cox6b1,0
Maf1,1
Hspe1,0
Pcca,2
Taf3,2
Atxn7,1
Polr1b,1
Prrc2a,1
Gm15283,1
Tulp4,1
Zfp458,1
Arpc5,0
Ptgds,0
0610030E20Rik,1
C2cd5,2
Acer3,2
Coq3,1
Ggt7,1
Rpl29,0
Gm4258,1
Zfhx4,1
BC031181,0
Snx25,2
Taf10,0
Slc43a2,1
Dusp15,2
Gpt2,0
Aven,2
Tmem263,1
Canx,0
Zscan18,1
Rnf150,1
Vps29,0
Timm44,1
Slc15a2,0
Ipo13,0
Eef2,0
Rpl34,0
Cntnap2,1
Ralbp1,1
Gm12689,1
As3mt,2
Csmd3,2
Rnf187,1
Atp5j,0
Fam171a1,2
Rpl38,0
Cldn11,0
Mettl3,1
Sema5a,0
Fdft1,0
Psmd8,0
Rps13,0
Zfp808,1
Klk6,0
Ccdc62,1
Mterf4,1
Ap5m1,1
Tma16,0
Pcf11,1
Usp22,1
Tmem59,0
March1,2
Pou6f1,2
Nsmce2,2
Pnrc1,0
Mphosph9,1
Bcl2l1,0
Polr2g,0
Gbf1,1
Usp45,2
Cdc123,1
Nmd3,2
Mllt11,1
Hnrnpll,2
Elac1,1
Hnrnpl,1
Mboat2,1
Tmem123,1
Atp8b1,2
Gps1,0
Ppp1r21,2
Samm50,0
Mef2a,1
Hivep1,2
Paf1,1
Snx5,1
Pip4k2a,1
Cox19,1
Dner,0
Sar1a,0
Gxylt1,2
Mbnl1,2
Mt1,0
7630403G23Rik,2
Nagk,1
Slc4a4,1
Gins4,1
Mrpl47,1
Sumo2,1
Ralgds,0
Ndufa3,0
Slc16a1,0
Ubap2l,1
Dennd1b,2
Tmem205,0
Wasf3,2
Arl2bp,1
Runx1t1,2
Arl6,1
Ntng2,1
Elmod3,1
Zfp536,1
Zfp365,1
Cdr2l,0
Qdpr,0
Stxbp1,1
Ndufs7,0
Ash1l,1
Nfia,2
Hspa5,0
Dlc1,0
Tln2,2
Gapdh,0
Scand1,0
Ndufb2,0
