,DEG
Terf2,1
Thoc1,1
Wac,2
Timm22,1
Scnm1,1
Vipas39,1
Ctnna3,2
Usp7,0
Prkcg,0
Pdzd2,0
Edc4,0
Sars,0
Serpine2,1
Rbm5,0
Gpr137b,1
Fam107b,1
Cntfr,0
Snapc4,1
Fktn,1
Hypk,1
Gm21954,2
Scn8a,0
Cdh4,1
Bola2,1
Satb2,1
Dnal1,1
Csnk1g2,0
C1ql3,0
Kif1a,0
Gabra4,1
Pcbd2,1
Tcf25,0
Tnk2,0
Cit,0
Socs7,0
Mpc1,1
Zfp777,1
Rapgefl1,0
Ube2d2a,1
Celsr3,0
Map3k14,1
Ctxn1,0
Rims2,2
Wdr1,1
Lrrc4b,0
Egf,1
Crocc,0
Yjefn3,1
Klc2,0
Syt11,0
Nisch,0
Chgb,1
BC051142,1
Frs3,1
Nlgn2,0
Rtn1,0
Nin,0
Tmem97,1
A230072C01Rik,1
Atat1,1
Rims3,1
Gnaz,1
Abr,0
Bcl11b,0
Agfg1,0
Reep2,1
Sept11,1
Taok1,0
Fgfr2,2
Sprn,1
Soga3,0
Cpeb1,1
Kcnk9,1
Slc24a5,2
Rap1gap,0
Atp1a1,0
Jmjd4,1
Rccd1,1
Slc25a19,1
Bloc1s5,1
Dnah7a,1
Ccnl1,0
Dnmt3a,0
Pfdn4,1
Ehd1,1
4930555F03Rik,2
Pdzd4,0
Angptl1,1
Nrbp2,0
Lhfpl4,1
Cdk9,0
Slc37a1,1
Gabbr2,0
Nr6a1,1
Bcap31,1
Ube2o,0
Atp1a3,0
Timm44,0
Nelfb,1
Gm26935,1
Kcng1,0
Tmem132b,0
Tspan14,1
Ranbp3,1
Irf2bp2,0
Tchp,1
Dynlt3,1
Polrmt,1
Rpl22l1,1
Syt17,0
Cpsf1,1
Nck1,1
Adh5,1
Ptger3,1
Stx1b,1
Add1,0
Fus,0
Setd2,1
Iqgap2,0
Cyld,1
Nwd2,0
Ears2,1
Gm10785,1
Zfp462,0
Dusp19,1
Pcsk1n,0
Map6,0
