2mo,9mo,18mo,gene_name,distance
0.65,0.66,0.87,Pkhd1,124067
0.71,0.6,0.87,Pkhd1,156328
0.6,0.7,0.83,Pkhd1,160888
0.73,0.45,0.79,Pkhd1,163370
0.66,0.77,0.88,Pkhd1,168817
0.56,0.79,0.71,Pkhd1,187618
0.55,0.76,0.79,Pkhd1,188319
0.47,0.56,0.68,Pkhd1,196138
0.83,0.78,0.99,Pkhd1,237810
0.23,0.47,0.32,Pkhd1,246243
0.58,0.79,0.7,Pkhd1,257594
0.67,0.82,0.59,Pkhd1,275688
0.76,0.96,0.8,Pkhd1,273455
0.93,0.76,0.98,Pkhd1,201556
0.27,0.34,0.48,Pkhd1,170207
0.79,0.68,0.9,Pkhd1,167400
0.4,0.22,0.17,Pkhd1,111515
0.68,0.88,0.65,Pkhd1,105177
0.51,0.63,0.76,Pkhd1,91027
0.72,0.62,0.51,Pkhd1,66225
0.5,0.66,0.73,Mcm3,4480
0.32,0.1,0.11,Paqr8,17489
0.45,0.28,0.2,Paqr8,19492
0.23,0.16,0.03,Paqr8,8147
0.53,0.78,0.77,Tram2,2579
0.58,0.37,0.41,Tram2,3683
0.54,0.23,0.4,Tram2,3861
0.6,0.82,0.7,Tram2,8312
0.57,0.76,0.84,Tram2,8805
0.52,0.33,0.23,Tram2,14524
0.48,0.68,0.54,Tram2,6759
0.63,0.7,0.86,Gm2693,308
0.69,0.91,0.87,Tmem14a,1850
0.61,0.82,0.8,RP23-278E1.4,1532
0.42,0.69,0.65,Gsta3,13202
0.42,0.69,0.65,Gm28836,3432
0.76,0.92,0.96,Kcnq5,38902
0.73,0.94,0.89,Kcnq5,40595
0.46,0.48,0.24,RP24-496H1.1,1423
0.46,0.48,0.24,Kcnq5,61191
0.4,0.57,0.7,Kcnq5,90756
0.41,0.52,0.26,Kcnq5,105791
0.68,0.78,0.89,Kcnq5,146233
0.68,0.78,0.91,Kcnq5,221075
0.6,0.78,0.82,Kcnq5,276835
0.51,0.66,0.75,Kcnq5,218724
0.52,0.75,0.75,Kcnq5,143848
0.62,0.81,0.86,Kcnq5,107905
0.6,0.74,0.82,Kcnq5,35280
0.26,0.12,0.06,Rims1,22360
0.31,0.52,0.6,Rims1,36861
0.64,0.54,0.38,Rims1,83797
0.27,0.49,0.53,Rims1,93154
0.26,0.48,0.5,Rims1,145270
0.33,0.37,0.56,Rims1,182496
0.76,0.61,0.83,Rims1,221944
0.32,0.38,0.52,Rims1,248746
0.73,0.58,0.51,Rims1,203955
0.59,0.44,0.27,Rims1,203519
0.67,0.49,0.15,Rims1,202984
0.4,0.27,0.16,Rims1,202903
0.68,0.76,0.45,Rims1,201936
0.73,0.84,0.93,Rims1,193811
0.45,0.62,0.7,Rims1,160927
0.72,0.9,0.93,Rims1,155254
0.35,0.39,0.68,Rims1,116992
0.4,0.26,0.17,Rims1,107855
0.78,0.98,0.88,Rims1,83375
0.56,0.39,0.32,Rims1,81593
0.64,0.8,0.91,Rims1,72455
0.69,0.94,0.88,Gm29506,13942
0.53,0.72,0.79,Gm29506,65999
0.66,0.86,0.81,Gm29506,91275
0.16,0.36,0.29,Gm29506,64474
0.8,0.69,0.55,Gm29506,52706
0.38,0.63,0.53,Gm29506,34832
0.44,0.22,0.12,RP23-28L24.5,609
0.58,0.81,0.77,Ogfrl1,6378
0.74,0.66,0.51,Ogfrl1,14630
0.47,0.34,0.23,Ogfrl1,15852
0.4,0.69,0.52,Gm28822,2311
0.66,0.52,0.37,B3gat2,6678
0.33,0.11,0.05,B3gat2,16670
0.34,0.14,0.14,B3gat2,17117
0.67,0.52,0.42,B3gat2,19988
0.45,0.29,0.21,B3gat2,18324
0.57,0.4,0.29,B3gat2,7514
0.57,0.4,0.29,Smap1,798
0.34,0.58,0.58,Smap1,39037
0.68,0.51,0.74,Smap1,5105
0.41,0.21,0.18,Smap1,2910
0.72,0.88,0.64,Smap1,1365
0.51,0.45,0.3,Fam135a,12067
0.26,0.46,0.53,Gm26607,111
0.29,0.15,0.08,Col9a1,11586
0.36,0.68,0.77,Col19a1,2163
0.24,0.39,0.47,Col19a1,7364
0.48,0.32,0.12,Col19a1,113476
0.48,0.68,0.43,Col19a1,128162
0.66,0.82,0.9,Col19a1,105204
0.43,0.54,0.28,Col19a1,100327
0.55,0.33,0.34,Col19a1,72748
0.49,0.57,0.7,Gm26418,692
0.49,0.57,0.7,Col19a1,39187
0.3,0.56,0.42,Col19a1,35717
0.62,0.82,0.73,Col19a1,30348
0.66,0.79,0.87,Col19a1,23512
0.27,0.09,0.03,Lmbrd1,2872
0.41,0.44,0.16,Lmbrd1,3224
0.49,0.67,0.69,Lmbrd1,22872
0.55,0.41,0.29,Lmbrd1,32005
0.4,0.61,0.57,Lmbrd1,6922
0.69,0.96,0.93,Lmbrd1,734
0.56,0.65,0.76,Bai3,17128
0.28,0.41,0.52,Bai3,22728
0.29,0.44,0.53,Bai3,65234
0.68,0.61,0.46,Bai3,101736
0.25,0.48,0.37,Bai3,113483
0.54,0.79,0.74,Bai3,115263
0.34,0.55,0.53,Bai3,115353
0.59,0.77,0.83,Bai3,139166
0.5,0.74,0.64,Bai3,155218
0.66,0.79,0.9,Bai3,367980
0.72,0.45,0.52,Gm29214,622
0.72,0.45,0.52,Bai3,214814
0.69,0.45,0.35,RP23-478K4.2,2268
0.69,0.45,0.35,Bai3,159194
0.52,0.73,0.83,RP23-184I13.4,3854
0.52,0.73,0.83,Bai3,54096
0.76,0.87,0.54,RP23-184I13.6,3312
0.76,0.87,0.54,Bai3,25613
0.66,0.68,0.88,RP23-184I13.7,482
0.66,0.68,0.88,RP23-184I13.6,1968
0.66,0.68,0.88,Bai3,24269
0.6,0.77,0.89,Gm28378,139
0.69,0.88,0.91,Gm5524,10078
0.29,0.59,0.69,Gm9898,242
0.51,0.33,0.19,Gm6473,824
0.76,0.56,0.51,Gm6473,701
0.76,0.72,0.54,Phf3,288
0.77,0.73,0.57,Phf3,2610
0.78,0.88,0.68,Phf3,28238
0.76,0.52,0.5,RP23-471J16.2,2615
0.76,0.52,0.5,Phf3,9802
0.67,0.6,0.37,Ptp4a1,4949
0.37,0.25,0.16,Ptp4a1,3606
0.5,0.27,0.23,Gm29669,2292
0.38,0.13,0.15,Gm29669,32969
0.55,0.44,0.32,Gm29669,32794
0.55,0.37,0.28,Gm29128,7949
0.55,0.37,0.28,4931428L18Rik,8749
0.58,0.72,0.84,Gm29128,1353
0.58,0.72,0.84,4931428L18Rik,17526
0.79,0.94,0.69,Gm7893,2040
0.79,0.94,0.69,4931428L18Rik,31363
0.5,0.55,0.76,4931428L18Rik,41315
0.5,0.55,0.76,Lgsn,140
0.57,0.56,0.79,Gm6489,586
0.4,0.16,0.16,Khdrbs2,4914
0.49,0.73,0.75,Khdrbs2,50264
0.61,0.77,0.83,Khdrbs2,106654
0.69,0.81,0.91,Khdrbs2,133893
0.48,0.74,0.74,Khdrbs2,138862
0.58,0.38,0.38,Khdrbs2,226704
0.51,0.63,0.73,Khdrbs2,35079
0.51,0.57,0.24,Khdrbs2,25153
0.68,0.87,0.91,Prim2,64359
0.42,0.5,0.63,Prim2,81512
0.69,0.8,0.91,Prim2,75960
0.57,0.78,0.73,Prim2,73202
0.48,0.59,0.71,Prim2,61717
0.48,0.68,0.68,Prim2,61400
0.68,0.78,0.88,Prim2,46177
0.28,0.23,0.47,Prim2,24574
0.79,0.82,0.52,Prim2,9221
0.49,0.51,0.23,RP24-423J19.7,1737
0.49,0.51,0.23,RP24-423J19.1,1060
0.49,0.51,0.23,Prim2,143
0.53,0.38,0.26,RP24-423J19.7,2441
0.55,0.71,0.47,Bag2,8004
0.27,0.48,0.39,Bag2,4520
0.74,0.97,0.55,Zfp451,3467
0.87,0.84,0.63,Zfp451,24589
0.38,0.18,0.1,Zfp451,13178
0.72,0.52,0.49,Zfp451,4083
0.06,0.3,0.17,Bend6,26194
0.66,0.52,0.35,Bend6,16678
0.87,0.76,0.67,Bend6,12191
0.63,0.44,0.39,Bend6,463
0.63,0.44,0.39,Dst,3128
0.63,0.44,0.39,AC123072.1,3081
0.57,0.66,0.78,Dst,26835
0.57,0.66,0.78,AC123072.1,26788
0.37,0.62,0.6,Dst,26941
0.37,0.62,0.6,AC123072.1,26894
0.4,0.33,0.19,Dst,32679
0.4,0.33,0.19,AC123072.1,32632
0.56,0.39,0.31,Dst,54823
0.56,0.39,0.31,AC123072.1,54776
0.6,0.4,0.44,Dst,59840
0.6,0.4,0.44,AC123072.1,59793
0.48,0.21,0.27,Dst,62797
0.48,0.21,0.27,AC123072.1,62750
0.29,0.08,0.1,Dst,63549
0.29,0.08,0.1,AC123072.1,63502
0.75,0.59,0.48,Gm23792,102
0.75,0.59,0.48,Dst,73083
0.75,0.59,0.48,AC123072.1,73036
0.28,0.1,0.04,Gm23792,727
0.28,0.1,0.04,Dst,73912
0.28,0.1,0.04,AC123072.1,73865
0.75,0.73,0.52,Dst,98328
0.75,0.73,0.52,AC123072.1,98281
0.43,0.28,0.18,Dst,101119
0.43,0.28,0.18,AC123072.1,101072
0.29,0.13,0.07,Dst,101833
0.29,0.13,0.07,AC123072.1,101786
0.74,0.53,0.57,Dst,106301
0.74,0.53,0.57,AC123072.1,106254
0.31,0.28,0.08,Dst,110677
0.31,0.28,0.08,AC123072.1,110630
0.66,0.53,0.45,Dst,118251
0.66,0.53,0.45,AC123072.1,118204
0.53,0.41,0.28,Dst,119841
0.53,0.41,0.28,AC123072.1,119794
0.58,0.66,0.45,Dst,123228
0.58,0.66,0.45,AC123072.1,123181
0.57,0.34,0.32,RP23-87D8.4,11
0.57,0.34,0.32,Dst,123886
0.57,0.34,0.32,AC123072.1,123839
0.26,0.07,0.04,RP23-87D8.4,466
0.26,0.07,0.04,Dst,129106
0.26,0.07,0.04,AC123072.1,129059
0.31,0.14,0.07,Dst,137286
0.31,0.14,0.07,AC123072.1,137239
0.54,0.43,0.29,Dst,137501
0.54,0.43,0.29,AC123072.1,137454
0.69,0.66,0.44,Dst,142267
0.69,0.66,0.44,AC123072.1,142220
0.56,0.41,0.3,Dst,145725
0.56,0.41,0.3,AC123072.1,145678
0.25,0.08,0.05,Dst,162424
0.25,0.08,0.05,AC123072.1,162377
0.71,0.63,0.47,Dst,162744
