,cv,feature,class,weight
90,0,9mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,down,-0.10779822089379741
91,0,9mo.2mo.contact.log_ratio.median.20kb-5Mb.enhancer_peak,down,-0.023452079595723308
92,0,9mo.2mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,down,0.24399122606598544
93,0,9mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,down,-2.5742061874499015e-07
94,0,9mo.2mo.contact.log_ratio.min.20kb-5Mb.enhancer_peak,down,-0.07543737026185247
95,0,9mo.2mo.contact.log_ratio.count.20kb-5Mb.enhancer_peak,down,0.0
96,0,18mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,down,0.0
97,0,18mo.2mo.contact.log_ratio.median.20kb-5Mb.enhancer_peak,down,0.09256717499330237
98,0,18mo.2mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,down,-0.05385671669753045
99,0,18mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,down,0.0
100,0,18mo.2mo.contact.log_ratio.min.20kb-5Mb.enhancer_peak,down,0.0
101,0,18mo.2mo.contact.log_ratio.count.20kb-5Mb.enhancer_peak,down,-0.028601497841716228
102,0,18mo.9mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,down,-0.07025192913728683
103,0,18mo.9mo.contact.log_ratio.median.20kb-5Mb.enhancer_peak,down,-0.20365473809904908
104,0,18mo.9mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,down,-0.0006833047241784698
105,0,18mo.9mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,down,0.0
106,0,18mo.9mo.contact.log_ratio.min.20kb-5Mb.enhancer_peak,down,0.009032926476367284
107,0,18mo.9mo.contact.log_ratio.count.20kb-5Mb.enhancer_peak,down,0.0
108,0,count.enhancer_peak,down,-0.29844914863897004
109,0,rel_pos.DAR,down,0.08119247199406143
110,0,9mo.2mo.log_ratio.DAR,down,-0.04208085322870314
111,0,18mo.9mo.log_ratio.DAR,down,0.0
112,0,18mo.2mo.log_ratio.DAR,down,-0.022734238669534022
113,0,count.DAR,down,0.2718066884353687
114,0,size.log2.DMR,down,0.10687749664126009
115,0,rel_pos.DMR,down,0.0
116,0,9mo.2mo.log_ratio.DMR,down,0.012669482258290655
117,0,18mo.9mo.log_ratio.DMR,down,0.0
118,0,18mo.2mo.log_ratio.DMR,down,0.0
119,0,distance.log2.DMR,down,0.11980621654209592
120,0,count.DMR,down,0.5171777686196514
121,0,Qanova.mean.loops,down,-0.015678286830517224
122,0,Qanova.median.loops,down,0.017129929151988417
123,0,Qanova.std.loops,down,-0.13219777777495786
124,0,Qanova.max.loops,down,0.0
125,0,Qanova.min.loops,down,0.03522345006519273
126,0,Tanova.mean.loops,down,0.0281201022052406
127,0,Tanova.median.loops,down,0.056358069431548384
128,0,Tanova.std.loops,down,0.20048056539227846
129,0,Tanova.max.loops,down,-0.010871857766313107
130,0,Tanova.min.loops,down,-0.2227082093853197
131,0,9mo.2mo.Q.mean.loops,down,0.0
132,0,9mo.2mo.Q.median.loops,down,-0.07404049708472994
133,0,9mo.2mo.Q.std.loops,down,0.1430223795727556
134,0,9mo.2mo.Q.max.loops,down,0.1539883017921605
135,0,9mo.2mo.Q.min.loops,down,-0.10681238558496554
136,0,18mo.9mo.Q.mean.loops,down,0.0
137,0,18mo.9mo.Q.median.loops,down,0.0
138,0,18mo.9mo.Q.std.loops,down,0.0893552366004373
139,0,18mo.9mo.Q.max.loops,down,0.17548069382393408
140,0,18mo.9mo.Q.min.loops,down,0.009248931022507963
141,0,18mo.2mo.Q.mean.loops,down,0.0
142,0,18mo.2mo.Q.median.loops,down,0.0
143,0,18mo.2mo.Q.std.loops,down,0.09338488441792962
144,0,18mo.2mo.Q.max.loops,down,0.17110352594171357
145,0,18mo.2mo.Q.min.loops,down,-0.10577348014701175
146,0,9mo.2mo.T.mean.loops,down,0.0
147,0,9mo.2mo.T.median.loops,down,0.019519954228561613
148,0,9mo.2mo.T.std.loops,down,-0.11484817198832749
149,0,9mo.2mo.T.max.loops,down,0.08348877549055272
150,0,9mo.2mo.T.min.loops,down,0.11499471009495368
151,0,18mo.9mo.T.mean.loops,down,0.0
152,0,18mo.9mo.T.median.loops,down,-0.12600610954988392
153,0,18mo.9mo.T.std.loops,down,0.005956632185630106
154,0,18mo.9mo.T.max.loops,down,1.0430590764563063e-08
155,0,18mo.9mo.T.min.loops,down,0.05801355433757388
156,0,18mo.2mo.T.mean.loops,down,0.0
157,0,18mo.2mo.T.median.loops,down,-0.09675078245451144
158,0,18mo.2mo.T.std.loops,down,-0.18388126677388147
159,0,18mo.2mo.T.max.loops,down,-0.1016092420208205
160,0,18mo.2mo.T.min.loops,down,0.0
161,0,loop_size.log.mean.loops,down,-0.08733853661435102
162,0,loop_size.log.median.loops,down,-0.0856349461532487
163,0,loop_size.log.std.loops,down,0.0
164,0,loop_size.log.max.loops,down,-0.0365187132247932
165,0,loop_size.log.min.loops,down,-0.11493861764557134
166,0,min_distance.log.mean.loops,down,0.0
167,0,min_distance.log.median.loops,down,0.0029721304566833386
168,0,min_distance.log.std.loops,down,-0.087039214178257
169,0,min_distance.log.max.loops,down,0.0002814239315044909
170,0,min_distance.log.min.loops,down,0.005333513369307246
171,0,count.loops,down,0.0
172,0,9mo.2mo.log_ratio.mcg_genebody,down,0.004375227501774531
173,0,18mo.9mo.log_ratio.mcg_genebody,down,0.0
174,0,18mo.2mo.log_ratio.mcg_genebody,down,3.3742707685550545e-05
175,0,9mo.2mo.log_ratio.mch_genebody,down,0.31148884430962
176,0,18mo.9mo.log_ratio.mch_genebody,down,0.03563324125366964
177,0,18mo.2mo.log_ratio.mch_genebody,down,0.29758356432870137
178,0,9mo.2mo.log_ratio.mean.atac,down,0.1653865868152375
179,0,18mo.9mo.log_ratio.mean.atac,down,-0.11441841416784095
180,0,18mo.2mo.log_ratio.mean.atac,down,0.0
181,0,log2_distance.mean.atac,down,-0.03085668418818228
182,0,9mo.2mo.log_ratio.std.atac,down,0.0
183,0,18mo.9mo.log_ratio.std.atac,down,0.06593822493574578
184,0,18mo.2mo.log_ratio.std.atac,down,0.053174323424247785
