gene,stats,fdr,log2(old/young),DEG,-log10(fdr)
Ntrk2,11.020651799349608,0.010879459980566839,-0.09355599,0,1.9633926610055246
Agtpbp1,14.44201752930233,0.0025305912604762218,0.1618589,0,2.59677799615145
Naa35,18.13753094276756,0.0005185934920825809,-0.352368,0,3.2851729375673573
Golm1,5.909114421399271,0.0940744622861359,-0.7031872,0,1.0265282553554955
Isca1,9.314758421399146,0.02234004719042385,-0.9794842,0,1.6509159138292266
Etohd2,6.955839610383066,0.060758034744482485,0.13258147,0,1.216396282100728
Gas1,19.97232313836281,0.0002360359775043182,-0.94650227,0,3.627021795162354
Dapk1,9.761175367280737,0.018555884457853004,0.10652077,0,1.7315183403714873
Zfp808,15.03718701723961,0.001953608450160784,0.7217125,0,2.709162474892711
Gm3604,17.09061622392744,0.000814190750498434,-7.010339,0,3.0892738356710723
Zfp934,21.258872410485058,0.000137161517677954,0.12808402,0,3.8627677181071505
6720489N17Rik,7.05184124720807,0.05834362020768998,0.3464285,0,1.2340066265093899
Gm5141,14.096600004626062,0.002922260913183352,-0.071826115,0,2.5342810108188782
Fancc,13.770461014339764,0.0033649540976869604,0.07110109,0,2.4730208557363578
Ptch1,38.30844103210191,1.121544860720119e-07,0.19468278,0,6.950183350370313
Ercc6l2,36.72550712065423,2.143532437522814e-07,0.18634838,0,6.668869940037382
Slc35d2,4.254884257381607,0.18474597488361152,-0.2307374,0,0.7334250149351904
Zfp367,2.5536504193423055,0.3666940556870844,-0.14452904,0,0.4356961301354493
Habp4,4.757028276523173,0.15042544798728116,-0.08181034,0,0.8226786864468137
Cdc14b,9.673026191654229,0.019245722067693125,0.17895657,0,1.715665790252325
1810034E14Rik,1.5583158083309891,0.5454609652932785,-0.18420014,0,0.2632363232870115
Ctsl,28.053771911525065,8.122113700605276e-06,-0.84830165,-1,5.090330935161196
Cdk20,2.463802657526444,0.38056312741046244,0.53694177,0,0.4195732926068491
Cntnap3,0.43011814407575155,0.8457858126585398,-0.22324058,0,0.07273960405053435
Zfp369,14.945000273815378,0.002030414025625572,-0.18851545,0,2.6924153952342245
Uqcrb,9.327286681250632,0.022224776244754746,-0.6557851,0,1.6531626027382877
Gm10767,2.5448117406105606,0.3680620105184706,-0.48174354,0,0.4340790058992205
Mterf3,5.777465138929332,0.09940494317165263,0.2567421,0,1.002592018632933
Ptdss1,18.785633053399525,0.0003907682612056826,-0.23133862,0,3.4080807175812002
Zfp712,1.2887444588020027,0.6048455559562547,-0.550342,0,0.21835550594050526
Gm28557,0.6901848299702189,0.7641883017481961,-0.07712419,0,0.1167996148092069
Zfp759,1.4316868782102432,0.5725098654835736,0.24532479,0,0.2422170251659579
Rsl1,15.095226472020201,0.0019064707384075208,0.6076357,0,2.7197698561367942
Zfp455,2.4662543448121554,0.38016253813525475,0.8616814,0,0.4200306814809006
Zfp458,12.543572505184088,0.005692548176570573,0.18939507,0,2.244693285222223
Zfp457,6.461887009312574,0.0745648204626973,-0.82513374,0,1.1274660234990597
Zfp595,8.51938340352987,0.0313508464322416,-0.43044254,0,1.503750729286553
Zfp429,7.22229987958104,0.05425334244716796,-1.5909328,0,1.2655735005827546
Zfp459,1.001338832600175,0.6773518311629563,0.1310333,0,0.16918569077957543
Zfp874a,13.312495455863441,0.004103078759647404,0.099182926,0,2.3868901465592933
Zfp874b,9.858085975865613,0.01783976604038074,0.08104598,0,1.748610845477715
Zfp58,11.465994581196444,0.0089925987953854,-0.09279868,0,2.0461147821939076
Zfp87,1.6243310304520986,0.5314720587851451,0.13240716,0,0.2745195628140697
Zfp748,9.67744235953111,0.01921561025141954,-0.1851029,0,1.716345818609696
9430065F17Rik,0.37942715884591005,0.8633026554717566,0.14556496,0,0.06383692322071188
Zfp738,20.07515834585725,0.00022627944645465706,0.070292294,0,3.645354892340953
Zfp65,4.436018382528181,0.17151259884786843,0.5169473,0,0.7657039723609314
Zfp85os,3.081008177615473,0.2973033232200353,0.7118498,0,0.5268002362775474
