gene_name,9mo.2mo.log_ratio,18mo.9mo.log_ratio,18mo.2mo.log_ratio
1600012P17Rik,-0.0023783512313710203,-0.07177275380698957,-0.07415110503836059
1600014C10Rik,-0.027018582529791946,0.032462064970249865,0.00544348244045792
1600015I10Rik,-0.11969377800551628,0.1047056038475479,-0.014988174157968381
1600019K03Rik,-0.08653856752345002,0.07907880053679606,-0.0074597669866539595
1600020E01Rik,-0.04277323839948581,0.15873174629850367,0.11595850789901786
1600022D10Rik,-0.022882886901636923,-0.08838965483546948,-0.1112725417371064
1600023N17Rik,-0.08148509371264712,-0.01564007811937694,-0.09712517183202406
1600025M17Rik,-0.14696099032688292,0.1270909074123181,-0.01987008291456481
1600027J07Rik,-0.06350640116785627,0.06250559998026728,-0.0010008011875889955
1600029O15Rik,-0.009890754717953143,-0.10573515619507654,-0.11562591091302968
1700001C02Rik,-0.07218706840775849,0.039830712293531495,-0.03235635611422699
1700001C19Rik,-0.004632928135043735,-0.005747587704142854,-0.010380515839186588
1700001D01Rik,-0.08374405751229008,-0.0038877474711078164,-0.0876318049833979
1700001F09Rik,0.06348047782288335,-0.09079656285777343,-0.02731608503489008
1700001G01Rik,0.05085179093737563,-0.029882534090969054,0.020969256846406575
1700001G11Rik,-0.07453694381365042,0.10402441407292917,0.029487470259278753
1700001J03Rik,0.032591352759930386,0.06611398895881426,0.09870534171874465
1700001J04Rik,-0.039678984684242025,-0.08087102708319499,-0.12055001176743702
1700001J11Rik,-0.08956136306136439,0.133019663778678,0.0434583007173136
1700001K19Rik,0.015250003986852806,0.039781652150571556,0.05503165613742436
1700001K23Rik,0.10363265608041565,-0.13524308578165078,-0.03161042970123515
1700001L05Rik,-0.05696567932718022,0.013983783679546967,-0.04298189564763325
1700001L19Rik,-0.07323759576842806,0.12660354239261196,0.053365946624183896
1700001N15Rik,0.0001291211274320192,-0.051486940624046115,-0.051357819496614096
1700001O22Rik,-0.15403316382574062,0.06562214169139097,-0.08841102213434965
1700001P01Rik,-0.08548234755778944,0.030003691900515356,-0.055478655657274084
1700003C15Rik,0.031220735145875395,0.03680906697572518,0.06802980212160058
1700003D09Rik,-0.2287644920690592,0.15499083004111058,-0.07377366202794858
1700003E16Rik,-0.026257770546272624,-0.026809944545221537,-0.05306771509149416
1700003F12Rik,-0.12296129017749069,0.02504090424952854,-0.09792038592796215
1700003G18Rik,0.08878928157864527,-0.10013134920426145,-0.011342067625616174
1700003H04Rik,-0.1759258132328671,0.20450269445359448,0.02857688122072738
1700003I16Rik,0.05360322839708204,-0.05682672558897767,-0.00322349719189563
1700003I22Rik,0.08846970368671161,-0.10519812934779577,-0.01672842566108415
1700003L19Rik,-0.03828370683151246,0.005590129718770098,-0.03269357711274236
1700003M07Rik,-0.05015730472024635,-0.01811446023958845,-0.0682717649598348
1700003P14Rik,0.0713964072611723,-0.0573075937914283,0.014088813469744
1700006A11Rik,-0.13984819990328556,0.10539383280317016,-0.0344543671001154
1700006F04Rik,-0.13342204089376786,0.029774511393698203,-0.10364752950006965
1700006H21Rik,-0.1568371156429738,0.10942774299878555,-0.04740937264418826
1700006J14Rik,-0.09971452191115604,-0.0733012046696323,-0.17301572658078834
1700007E05Rik,0.053968204376171204,-0.12982203524043978,-0.07585383086426858
1700007F19Rik,-0.10849844141105225,-0.018752876434348642,-0.1272513178454009
1700007H22Rik,-0.06780685341077403,0.02084651007420446,-0.046960343336569565
1700007J10Rik,-0.1646774550835658,0.12403340950833702,-0.04064404557522877
1700007K13Rik,-0.06418707941941156,-0.011556739552264387,-0.07574381897167594
1700007M16Rik,-0.06464706256073137,0.006049834228251921,-0.05859722833247945
1700007P06Rik,-0.05169170917161601,-0.018635066337909817,-0.07032677550952582
1700008C04Rik,-0.0859927049684619,0.04661361743911252,-0.03937908752934938
1700008H02Rik,0.025800076317950865,0.06036310435430296,0.08616318067225383
1700008J07Rik,0.005812955127689617,6.442262114061958e-05,0.005877377748830237
1700008K24Rik,-0.061198139166430195,-0.09407513422575174,-0.15527327339218194
1700008O03Rik,0.08787443086569074,-0.06683619384429607,0.02103823702139468
1700008P02Rik,0.04242309108978648,0.0872878292093419,0.1297109202991284
1700009C05Rik,-0.15130588723825067,0.17380806785036768,0.022502180612117006
1700009J07Rik,-0.039808135433223035,-0.08959864809077067,-0.1294067835239937
1700009N14Rik,0.06988538975807573,-0.002876692231366079,0.06700869752670965
