cell_type,gene,DEG,pred,dmr,mcg_genebody,mch_genebody,atac,hic_loop,hic_abc_dmr,hic_abc_peak
L5_ET_CTX_Glut,Wwc1,-1,-1,0.10976628,0.079444446,0.06472236,0.10936862,0.36645123,0.15223591,0.118011065
L5_ET_CTX_Glut,Slc24a5,1,0,0.14057724,0.09231421,0.28297344,0.09226926,0.1446084,0.16739492,0.079862624
L5_ET_CTX_Glut,Gabbr2,-1,-1,0.16222875,0.0651075,0.06009972,0.13854451,0.4528333,0.07663898,0.044547167
L5_ET_CTX_Glut,9630028H03Rik,1,0,0.120553285,0.079109974,0.25255528,0.13524827,0.27913103,0.08233056,0.05107154
L5_ET_CTX_Glut,Pdzd2,-1,-1,0.110428534,0.064403675,0.07795533,0.13708775,0.286935,0.14066663,0.1825231
L5_ET_CTX_Glut,Gm15594,1,0,0.20237735,0.22265583,0.2650097,0.17108963,0.058894098,0.034807745,0.045165613
L5_ET_CTX_Glut,Syt11,-1,-1,0.29990694,0.18241726,0.17224741,0.19684686,0.030067487,0.05158227,0.06693181
L5_ET_CTX_Glut,Pacsin1,-1,-1,0.09878254,0.104957595,0.08498457,0.08768567,0.34213212,0.11531252,0.16614497
L5_ET_CTX_Glut,Klc2,-1,-1,0.117671415,0.10639158,0.104319036,0.13285694,0.18983325,0.111272715,0.23765504
L5_ET_CTX_Glut,Zcchc18,-1,0,0.16771187,0.19464447,0.22497414,0.1367412,0.016814128,0.18866023,0.07045393
L5_ET_CTX_Glut,Agap3,-1,-1,0.11595652,0.09483798,0.10993594,0.09780468,0.34302858,0.11807379,0.12036249
L5_ET_CTX_Glut,Fgfr2,1,-1,0.18727602,0.067792386,0.13370974,0.17586528,0.36808646,0.014849156,0.052421093
L5_ET_CTX_Glut,Kdm2a,-1,-1,0.101324886,0.09139417,0.085582145,0.15692113,0.39859524,0.09222382,0.07395871
L5_ET_CTX_Glut,Gm20721,1,0,0.14044696,0.132268,0.14714213,0.11984629,0.2658073,0.13695404,0.057535373
L5_ET_CTX_Glut,Cacna1b,-1,-1,0.12628731,0.055797525,0.06497617,0.12591915,0.36858624,0.11308748,0.1453461
L5_ET_CTX_Glut,Tmem259,-1,-1,0.114384905,0.083413936,0.092426784,0.12330959,0.21042061,0.13721025,0.23883398
L5_ET_CTX_Glut,Dexi,-1,0,0.0922416,0.060299393,0.23119603,0.07635457,0.33384195,0.1524824,0.05358406
L5_ET_CTX_Glut,Tek,1,1,0.15694639,0.089963235,0.17123057,0.103013255,0.1817746,0.2238622,0.07320979
L5_ET_CTX_Glut,Syt7,-1,-1,0.15881203,0.11338613,0.09761568,0.17116678,0.1828758,0.19525762,0.08088595
L5_ET_CTX_Glut,Trrap,-1,-1,0.120573804,0.051980887,0.06310019,0.12956281,0.42096964,0.1557,0.058112722
