gene_name,gene_length.meta,9mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.min.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.std.20kb-5Mb.enhancer_peak,rel_pos.DAR,9mo.2mo.log_ratio.DAR,18mo.2mo.log_ratio.DMR,18mo.9mo.Q.mean.loops,9mo.2mo.Q.mean.loops,loop_size.log.mean.loops,18mo.2mo.Q.std.loops,18mo.2mo.log_ratio.mcg_genebody,9mo.2mo.log_ratio.mcg_genebody,18mo.9mo.log_ratio.mcg_genebody,9mo.2mo.log_ratio.mch_genebody,18mo.2mo.log_ratio.mch_genebody,18mo.9mo.log_ratio.mean.atac,18mo.2mo.log_ratio.max.atac,18mo.2mo.log_ratio.mean.atac,9mo.2mo.log_ratio.min.atac,18mo.9mo.log_ratio.min.atac,9mo.2mo.log_ratio.mean.atac
Ankrd44,281047.0,-0.06533939370737,0.1443899093344516,0.1968594031013078,0.9345958736629398,-0.2983615721369768,0.3170964693363141,0.0011667502370558,8.519436751269032e-05,15.922389718155824,0.0010022843390509,0.0167816879859543,0.0122867789010977,0.0044949090848566,-0.0080751442334688,-0.0056904959761658,-0.136906164942532,0.2077314524779438,-0.4133284503575623,-0.8773943830842597,-0.9983932204078244,-0.2764222854150303
Wdr43,43136.0,0.2344840679072328,0.0,0.2188273667960454,0.0,0.0,0.0,0.0006322974045911,-6.625744213836475e-06,18.609480295292578,0.0012917249828169,0.0239149909929753,0.044771621064372,-0.0208566300713967,0.0154057381632235,0.0159245558989729,-0.0275455863346199,0.2606942943355463,0.1233195193095217,-0.0441986808824284,-0.2932981417665177,0.1508651056441417
Pygo1,26536.0,0.0564091553551659,0.1520030934434468,0.2053245790184413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.066321530938762,0.0505385076522648,0.0157830232864971,0.1449723131280405,0.1508868907436119,0.108363056390884,0.1656945652170369,-0.0425676113614328,-0.2966953035654847,-0.2430155893702261,-0.1509306677523168
Mcm9,94124.0,-0.2804649421693588,0.5849625007151449,0.0144547741930098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0045885966892213,0.0205891313461784,-0.0160005346569571,-0.0323150551909346,-0.0044691074540252,-0.052370629621814,-0.0681269936739731,-0.3536896623013058,-0.8726261596006275,-0.3628046468402037,-0.3013190326794917
Atpaf1,34016.0,0.0363646909161534,0.222392421333013,0.0,0.7611005892255892,0.1290297663226731,0.0,0.0016157824285714,0.0006322354142857,16.50339294930053,0.001533727731719,-0.0065914712794472,0.0150193959331502,-0.0216108672125974,-0.0523558167418053,-0.030704996592656,0.098756336387488,0.4994184539375936,0.0996447431940156,-0.2308047469070122,-0.1076036797036597,0.0008884068065276
Wdr41,46970.0,-0.0214080212275371,0.0,0.0,0.0,0.0,0.0,0.0010158576863636,0.000300173325,17.794581782149653,0.0010083639928197,0.0309551603906703,0.0280383848758896,0.0029167755147807,-0.0165605664184176,-0.0396823635630028,0.0179528882195359,0.3256837658831621,0.0766905717769798,-0.3990413982374703,-0.1375559683335789,0.0587376835574438
Wdtc1,61022.0,0.0,0.0,0.0,0.1413982959613669,0.3941276175594148,0.0,0.0006990857071428,-0.0002171724964285,16.723195262424117,0.001277427308819,0.0063428221246419,0.0193209162036875,-0.0129780940790456,-0.0387908955018274,-0.030427398592575,-0.0226804629884708,0.5858221171864159,0.247238471788783,-0.0112253677050754,-0.1707087695483087,0.2699189347772538
Ccdc136,30685.0,-0.0873172521888565,-0.5849625007151449,0.0569019227586992,0.3506414876747873,-0.1282961507451138,0.0,0.001751178130303,-0.0005533484181818,16.652321248152244,0.0009527362181694,0.0265847321946436,0.0254690530783087,0.0011156791163349,-0.1486483122101651,-0.1007088623526928,-0.1155239803554783,0.4458048387739907,0.146008274424206,-0.1282961507451138,-0.3697602482636939,0.2615322547796844
Mtss1,140771.0,0.0,-0.4854268271619979,0.0,0.0,0.0,0.2895066171533487,0.0008581512396226,0.0001730990125786,15.97147014128033,0.000983179957133,0.0210312680382868,0.019687766675656,0.0013435013626308,-0.1559971600700027,-0.0888375493118077,-0.0485463319728032,0.519708448577691,-0.0711650958581097,-0.5522730009512173,-0.6235448113942228,-0.0226187638853065
Cd302,32495.0,-0.3851438146337456,0.5849625007151449,0.0,0.0,0.0,0.3841434912758985,0.0008126877571014,-0.000282562033913,18.235121163854267,0.0007701656765726,-0.0095692830220458,0.002216903392038,-0.0117861864140838,-0.0385772658407916,0.0126011391723387,0.2367784180660833,0.1273856465270422,-0.0412149121505545,-0.5629274831361987,-0.1744235847595981,-0.2779933302166378
Wls,98992.0,-0.2276904232038226,0.0,0.1997197394038148,0.0242067615089514,-0.4405449504186627,0.0,0.0,0.0,0.0,0.0,0.0016745779254524,-0.0092549688175998,0.0109295467430523,-0.0014643865045945,0.0232270982109563,-0.071128791934745,-0.1634309072250959,-0.4872831656620793,-0.9136145708166356,-0.3488904677321496,-0.4161543737273342
Efcab14,39583.0,0.0363646909161534,0.0,0.0,0.0,0.0,0.0,0.0009850823666666,8.250117777777785e-05,19.295937695526824,0.00067876683047,0.0070022078215618,0.0242309092985158,-0.017228701476954,-0.0065722454847928,-0.0566013968069697,0.0756446007257061,0.1405906619086514,0.1405906619086514,0.0649460611829453,0.0756446007257061,0.0649460611829453
Tbc1d23,62642.0,-0.068034151702522,-0.5849625007171486,0.0,0.0,0.0,-0.3443115893633603,0.0016955522789473,-0.0001279063157894,18.335598350827677,0.001428636724132,-0.0074625008364993,0.016124920643641,-0.0235874214801404,0.0531795181745042,-0.008637574278632,-0.1350618395506548,0.1303030130797887,-0.0917954593948869,-0.3697392623939506,-0.8894588489514583,0.0432663801557679
Dpm1,21543.0,0.3109822984520805,-0.7369655941613971,0.1159232724459919,0.0,0.0,0.0,0.000722593917647,0.0001470924235294,17.64366555989361,0.0011587682142242,0.0593269335658456,0.0765687842143135,-0.0172418506484679,-0.0200528405015365,-0.0014757719984845,-0.0622981674581805,0.651626199461405,0.2359425997783748,0.094359811494233,-0.3221816575717851,0.2982407672365554
Dnttip2,10883.0,-0.2464175070999088,2.1699250014236107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023035818816942,0.013996498172385,-0.0116929162906907,-0.0170400719157024,-0.0166014477593918,-0.0196978262546432,-0.343550562539054,-0.343550562539054,-0.3238527362844108,-0.0196978262546432,-0.3238527362844108
Sil1,233384.0,-0.0381051892051234,0.8073549220421463,0.0,0.3462171017862805,-0.3406817591972951,0.6520766963298756,0.0002607247191489,-0.0005879189957446,16.32501113955221,0.0008855786708914,0.0084628287323992,0.0170783880144299,-0.0086155592820307,0.0435258632583951,0.0341330273092698,-0.0224194448786472,0.6362962382871655,0.0664421482896742,-0.4400733530125196,-0.9328048788287588,0.0888615931683214
Adamts20,195255.0,0.0,0.0,0.0,0.2080550048932272,0.2550274644645963,-0.0250909809584666,0.0006271182875,3.374759583333323e-05,17.454074378406304,0.0005851664436932,0.010080908115951,0.0177136473471748,-0.0076327392312238,0.0547595691857906,0.0436254104123833,0.099357304079375,0.5651514193903244,0.1060132379745611,-0.4270238107302366,-0.3648207756825786,0.0066559338951861
Gm12743,27424.0,-0.2360436887316712,0.2630344058289848,0.0109180971754995,0.0,0.0,0.0,0.0015924558538461,-0.0004260792384615,17.80387133285602,0.0007356817586078,-0.0053253826596635,0.0120433730646347,-0.0173687557242983,-0.0021893961041699,0.0372083979865842,-0.1548529873969711,0.2852936485715022,-0.0071033361599904,-0.1966236766707503,-0.5280732858567663,0.1477496512369807
Helq,36453.0,0.0046042028240562,-1.5849625006890964,0.0980913916615584,0.0,0.0,-0.0679040644938119,0.0007893945473684,0.0004520365508771,17.21458117391768,0.0008801743421196,-0.0093376520377016,-0.0023360296839879,-0.0070016223537136,0.0497910806957072,0.0061325812018272,-0.0557958336807917,0.2234687628473359,-0.1097611381421801,-0.2070822303691795,-0.2967344952020252,-0.0539653044613884
Fbxo36,60646.0,-0.0012586061054564,1.2223924213227084,0.1791338455531727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0086363646133426,0.050914478617768,-0.0422781140044253,0.0094108793111651,0.0265463758385717,0.1125004784334543,0.436999837113626,0.0275475373006605,-0.5527328417333879,-0.0744291117190845,-0.0849529411327937
Nap1l2,2464.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0403085045610366,-0.0044216502097558,-0.0358868543512808,-0.0747879441364876,-0.0491560867242123,0.0,0.0,0.0,0.0,0.0,0.0
Stradb,22193.0,0.0125319936895809,0.0,0.1685577347608934,0.0667735654564196,-0.2713141770162579,0.0,0.0007188409975308,-2.1556598765432145e-05,17.620497481070068,0.0008081358520428,0.0273054649562663,0.0730927691161806,-0.0457873041599143,0.0485263051183516,-0.0247726327730257,-0.0564101033575286,0.1801104101922727,-0.1320305117804149,-0.2713141770162579,-0.1278653738945143,-0.0756204084228862
Rimbp2,195695.0,0.0,0.0,0.0,0.2442717086123648,0.3256884668643844,0.800059287003438,0.00090700146344,-0.00064739048984,15.859974242545688,0.0011920496480961,0.0858942165955192,0.118797863437025,-0.0329036468415057,0.2130927419095696,0.1789179577298814,0.0652071764190102,0.8119799483521095,0.2071657773471519,-0.372013110497173,-0.2942834546401816,0.1419586009281416
Grik2,693933.0,0.0,0.0,0.0,0.992638171312523,-0.4327328197689546,0.0443941193447914,1.895332536585366e-05,0.0001940919102439,21.289021580097387,0.0004869063724541,-0.0009153348880654,-0.002781645626315,0.0018663107382496,0.1133370205108547,0.0882698633277174,-0.0374770008925854,0.4505622874915709,-0.2941185324647755,-0.6958966817829735,-0.7616929625490408,-0.2566415315721901
Sh2b3,22158.0,0.0,0.3479233034174966,0.0,0.0,0.0,0.0,6.491816470588236e-05,0.0006803600352941,16.50009941865425,0.0007798336166185,0.0226792695096531,0.0655847191288219,-0.0429054496191687,0.0151041293389194,-0.0112018542850172,-0.0931592291175934,0.5798453045449701,0.3347453177397599,0.1650579646376564,-0.2041737008135715,0.4279045468573533
