gene_name,gene_length.meta,18mo.2mo.activity.log_ratio.min.5kb-20kb.enhancer_DMR,18mo.2mo.activity.log_ratio.mean.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.count.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.mean.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.std.20kb-5Mb.enhancer_peak,rel_pos.DAR,count.DAR,18mo.2mo.log_ratio.DAR,9mo.2mo.log_ratio.DAR,18mo.2mo.log_ratio.DMR,18mo.9mo.log_ratio.DMR,18mo.2mo.T.min.loops,18mo.9mo.Q.median.loops,18mo.9mo.Q.max.loops,Qanova.max.loops,9mo.2mo.Q.mean.loops,loop_size.log.mean.loops,min_distance.log.max.loops,18mo.2mo.T.std.loops,loop_size.log.median.loops,9mo.2mo.Q.median.loops,18mo.2mo.T.max.loops,18mo.2mo.log_ratio.mcg_genebody,9mo.2mo.log_ratio.mcg_genebody,18mo.9mo.log_ratio.mcg_genebody,9mo.2mo.log_ratio.mch_genebody,18mo.9mo.log_ratio.mch_genebody,18mo.2mo.log_ratio.mch_genebody,18mo.9mo.log_ratio.mean.atac,log2_distance.min.atac,9mo.2mo.log_ratio.max.atac,18mo.2mo.log_ratio.max.atac,18mo.2mo.log_ratio.min.atac,18mo.9mo.log_ratio.std.atac,count.atac,log2_distance.std.atac,18mo.2mo.log_ratio.mean.atac,18mo.2mo.log_ratio.std.atac,9mo.2mo.log_ratio.mean.atac,log2_distance.mean.atac,9mo.2mo.log_ratio.min.atac,9mo.2mo.log_ratio.std.atac
Ddx52,21026.0,-0.0677146952378024,0.0547599003301811,2.0,0.0735351193259311,0.1372654581155039,0.0738056765625165,0.0,0,0.0,0.0,0.0,0.0,-0.02655219,0.001078247,0.001858233,8.151047,-0.0001586530578947,17.29494011555376,14.283233078413188,0.0317989097065108,17.331879147230858,-9.518900000000072e-05,0.089159964,0.0555003549530769,0.0231224769347705,0.0323778780183063,0.0748949925026575,-0.0916259344508684,-0.0167309419482108,-0.0020220572844871,9.879583249612937,0.0229836691574658,0.0543819991631666,-0.0247453139445412,0.0420445625597771,3,0.6654799456126086,0.0050313720885169,0.0430422733581311,0.0070534293730041,10.616433331582089,-0.0211999511514877,0.0245345251467271
Nudt3,44113.0,-0.1087183771743342,-0.0404357619497128,4.0,0.0116612017505864,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-0.0211408969999999,0.000758246,0.004683896,5.966269,-0.0002438290352941,15.902687270585258,14.993380704255898,0.0306892423484495,15.355247846424824,-2.621120000000001e-05,0.082336545,0.0978342888753268,0.0410475355365325,0.0567867533387943,0.0269443052172388,0.0188254735314478,0.0457697787486867,-0.0246192996729429,9.87036471958356,0.2666663076509077,0.2644936716129806,-0.2906235202045983,0.180886850398955,15,1.4894878501465174,-0.0172816340705348,0.1415874725723069,0.007337665602408,12.9324463652748,-0.4187510996361507,0.1823928011865516
Hells,40136.0,-0.0153242805288136,-0.0153242805288136,1.0,0.0264277315587317,-0.1734159413745257,0.1620037902851188,0.0,0,0.0,0.0,0.0,0.0,0.0525107,0.00094803025,0.0014415221,9.958811,0.0006846077499999,20.26444468105476,14.923930958424808,0.0418183390367698,20.264848708919693,0.0005881464999999,0.1556458,0.0567448133286519,7.239272207651068e-05,0.0566724206065754,0.0510049645687609,-0.0420033201113883,0.0090016444573726,-0.0598716841168816,10.195987298028632,-0.0362021144902153,-0.2113893828589708,-0.5536579260014808,0.1035254981519098,3,0.4881040039069417,-0.3304089712986625,0.1934806437345446,-0.2705372871817809,10.707973583158234,-0.5787252691198161,0.2786996975285585
Zfp521,285774.0,0.0,0.0,0.0,0.0,0.0452407830973156,0.0821264311370753,0.1347853099544387,1,0.2802072115311813,0.1567361643508866,0.0,0.0,-0.102541715,0.0003374495,0.0024386881999999,7.141512,8.0991e-05,16.701556543174725,17.23942138847777,0.0390210368358095,16.605971367291737,4.624800000000004e-05,0.0996847704,-0.0219555659694542,-0.0130400821004573,-0.0089154838689969,-0.1116882491011821,0.0639322468239109,-0.0477560022772711,0.0242035557954455,10.722807531169632,0.4584212542554444,0.5710191819144304,-0.7963518833902756,0.2598643602883141,39,1.6798587066856263,0.0069692998962829,0.2832622378940669,-0.0172342558991626,15.60789209158012,-0.6559450901875703,0.2017711917471377
Ralgapa1,218271.0,-0.1142043321642581,-0.1142043321642581,1.0,-0.3431748169849744,-0.0686343896542647,0.0,0.0,0,0.0,0.0,0.1292830169256446,-0.3301486016501742,-0.03563986,0.0006630909999999,0.0015487888999999,7.2328773,0.0005501486272727,16.904143820806055,15.85016241478465,0.0239995046784859,16.487117752031743,0.0003691415,0.0419744,-0.0003326013973977,-0.0045035123451743,0.0041709109477766,-0.0143169445619541,-0.0219911012928187,-0.0363080458547729,-0.0151808061873674,7.546894459888408,0.6548328086100232,0.5433038037704473,-0.5486745184001159,0.2573558181257619,10,2.64256696792683,0.0316114676562156,0.3289173905795405,0.046792273843583,13.42285312598354,-0.6721455655444716,0.3549033444293186
Gtf2ird2,40336.0,-0.0751183442262166,0.0315584132429642,2.0,0.0340400474311823,0.121249623623461,0.0622993825959737,0.0,0,0.0,0.0,0.0,0.0,-0.0351251699999999,7.229289999999972e-05,0.002543274,7.6610374,0.0005399175892473,17.500907485042745,14.772159902783375,0.0351466638842711,17.906326932760603,0.0004393879999999,0.13869663,-0.0006393163490192,0.0024349661532298,-0.0030742825022491,-0.0669412108732495,0.043813991966068,-0.0231272189071815,-0.2160814919900925,10.747353829478143,0.5822826374441774,0.3533242140121518,0.0027354224767545,0.2550947803498167,5,1.2709166062733748,0.1122536396277917,0.140681065854268,0.3283351316178843,12.066034463744275,-0.020991333549154,0.2630887157169659
Optn,43409.0,-0.0875953809347422,-0.082639320514969,2.0,-0.0969699311656064,0.046621072665804,0.1041197832345715,0.0,0,0.0,0.0,0.0,0.0,0.0003743499999999,0.00028542645,0.0011746227999999,5.7794056,-0.00018308637,19.429003137152066,13.970375561638395,0.011649616626919,19.44330066334792,-3.860370000000014e-05,0.04359481,0.003024674369237,-0.0076615253073223,0.0106861996765593,0.0936337624269725,-0.1351159206898824,-0.0414821582629098,-0.0135401401220497,10.674192268145772,0.724936228834375,0.9652607167536896,-0.3451878808959446,0.3178043710740058,8,1.606879410953817,0.1669627596733627,0.4168196523938636,0.1805028997954124,13.00101235156706,-0.2519801579659453,0.3368474422886107
Ankrd46,19152.0,-0.0377771493070848,-0.0377771493070848,1.0,0.0043596513951614,0.1528166530420573,0.0546154873522712,0.0,0,0.0,0.0,0.157541276967346,0.5122061582151617,-0.06801642,0.0007734554999999,0.0018584779999999,7.043855,0.0005019412871794,17.341471314705,14.197754224202695,0.0407664087930942,17.638829682738614,0.0004467462999999,0.1268866599999999,0.0111490880957262,0.0135936000034314,-0.0024445119077051,-0.0153345675655078,-0.0245949873134719,-0.0399295548789798,-0.0477556613835817,11.129283016945031,0.1174241124804446,0.1562806807273999,-0.5602007718545507,0.4590191490642932,4,1.2296546458502615,-0.0960614324507213,0.318647963534709,-0.0483057710671395,12.34532068450426,-0.2624886214493398,0.1577212839228669
Atic,22481.0,0.0,0.0,0.0,0.0,0.0111760508009819,0.0578545075482635,0.0,0,0.0,0.0,0.7454271727431844,0.1324502959993123,0.008505066,0.00020431835,0.0005294964,1.6502802,-9.84216666666672e-06,19.04233026408341,14.400812742107432,0.0217296644322443,19.033858506149144,-3.984700000000301e-06,0.06513021,0.010075834105272,0.0448479275764445,-0.0347720934711724,-0.091825740578715,0.1089720058885775,0.0171462653098624,-0.0155428951193916,10.765700487651184,0.0205103007302163,-0.0288114295192736,-0.3493708210644564,0.0385601175778521,4,0.2919369959051355,-0.1302226011403706,0.1487391930995109,-0.1146797060209789,11.129648682382191,-0.3709622542263424,0.1779620357552138
Spata17,170817.0,-0.0546509888128714,-0.0546509888128714,1.0,-0.0411083066526233,-0.0713736978224695,0.0648852450831239,0.0,0,0.0,0.0,0.0,0.0,-0.0273281759999999,-2.418000000000125e-06,0.0001853186,3.783828,0.00042115786,19.390107654881657,16.57092299753398,0.0256546001840482,19.38612983175489,0.0003440516,0.0372605419999999,-0.0170381926231827,-0.0051915805604155,-0.0118466120627671,-0.0088711357956003,-0.062759097901851,-0.0716302336974513,-0.321249700769468,10.609178738142072,0.3219742930416727,-0.2242134232318919,-0.9108498255727828,0.2818951059049921,4,3.0602359036105087,-0.4324816344603004,0.325574775301954,-0.1112319336908323,13.495409654470766,-0.5298482899595052,0.3521961002549666
Flnb,133631.0,0.0,0.0,0.0,0.0,0.0724994401760721,0.086402158943768,0.0,0,0.0,0.0,0.3275746579710441,0.607682577103162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0104940272279718,-0.0111840661957629,0.0006900389677911,-0.1076259845695483,-0.0147844141194715,-0.1224103986890198,0.0052783321450981,9.55458885167783,0.2943018745525617,0.3913007103422952,-0.5822270781596965,0.3142946843683113,18,1.973355453067769,-0.0376750784852035,0.2505173027329275,-0.0429534106303016,13.507858660443128,-0.5713970335696368,0.2198047904669217
Trim33,79482.0,0.0,0.0,0.0,0.0,0.0831788047170727,0.0834426373699155,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0252444125213771,0.0176027888829537,0.0076416236384233,-0.0942137730390108,0.096360269656152,0.0021464966171412,0.0088759196948797,10.66444728454806,0.0543872709144928,0.1975747138278496,-0.2196569988233577,0.2545872179441914,5,1.910040456577326,-0.0637047261221886,0.1632264379282618,-0.0725806458170684,12.48250068292088,-0.251666494523926,0.1144231076211463
Aftph,56505.0,0.0,0.0,0.0,0.0,0.0666272033592925,0.0948418499088592,0.0,0,0.0,0.0,0.0,0.0,-0.05789359,0.0010757773999999,0.0021538879999999,9.855152,0.00043329894,17.27714681407432,14.716176405807428,0.0400898957145807,17.17593547587882,0.0003643664,0.05970135,0.001721711959636,0.0183081134061661,-0.01658640144653,0.0286224948894066,-0.0476669910802074,-0.0190444961908007,0.0175112821130061,11.111787735801077,0.0654428577346839,0.085484315260542,-0.471945023184866,0.0627521823226375,5,1.1840570801958676,-0.0893342601567265,0.2254335502219958,-0.1068455422697327,12.534666656853084,-0.4359378563634057,0.200583467194719
Hnrnpc,30651.0,-0.0290380394182159,-0.002452770390946,2.0,-0.1771506907018913,-0.0181712629193784,0.0677957462176626,0.0,0,0.0,0.0,0.0,0.0,0.0414544499999999,0.0007948599999999,0.0007948599999999,3.179719,0.0012434766,15.687156944138907,14.184565452446156,0.0,15.687156944138907,0.0012434766,0.0414544499999999,0.0940078289826452,0.0504084261056348,0.0435994028770103,-0.12169662689983,0.277801168812227,0.156104541912397,0.0249612181086813,10.926295994781183,-0.2022460416393521,-0.1634968796234437,-0.2263820782344066,0.0194990972708399,2,0.2531086991188873,-0.1949394789289251,0.0444665503740747,-0.2199006970376065,11.105270872305455,-0.2375553524358609,0.0249674531032347
