gene_name,gene_length.meta,18mo.9mo.activity.log_ratio.min.5kb-20kb.enhancer_DMR,18mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.count.0-5kb.enhancer_peak,9mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.count.0-5kb.enhancer_peak,18mo.2mo.log_ratio.DMR,9mo.2mo.log_ratio.DMR,18mo.9mo.Q.median.loops,18mo.9mo.Q.mean.loops,18mo.2mo.T.mean.loops,18mo.9mo.Q.std.loops,18mo.2mo.T.median.loops,loop_size.log.mean.loops,18mo.2mo.log_ratio.mcg_genebody,9mo.2mo.log_ratio.mcg_genebody,18mo.9mo.log_ratio.mcg_genebody,9mo.2mo.log_ratio.mch_genebody,18mo.9mo.log_ratio.mch_genebody,18mo.2mo.log_ratio.mch_genebody,18mo.9mo.log_ratio.mean.atac,9mo.2mo.log_ratio.max.atac,18mo.2mo.log_ratio.max.atac,18mo.2mo.log_ratio.min.atac,18mo.2mo.log_ratio.mean.atac,9mo.2mo.log_ratio.min.atac,9mo.2mo.log_ratio.mean.atac,DEG,pred
Oprl1,0.09641266021877527,0.04545138377929106,-0.15044696286553516,0.0,-0.05430180724710226,-0.02422503902344033,0.004387809932231903,-0.008817148893140257,0.015682120297569782,0.002172052962705493,0.02005042221280746,0.03962743414565921,0.012257272773422302,0.06865525558590889,-0.0009502409910783172,-0.03239597667008638,0.015193283567205071,-0.005248037573182956,0.03284211847116239,0.03270349976373836,0.0051364298583939675,0.0324241746077314,0.005311620805878192,-0.009177419072948396,-0.02856061699800193,0.0,-0.03558074702508748,0.050078005692921576,0.01544065322726965,1.0,1.0
Fads6,0.02156206079875119,-0.13561575461179018,0.16509069324936718,0.0,0.04365146395750344,0.04403925284743309,0.00015437155961990358,0.028393976539373398,0.015399385592900217,0.0033793018478900194,-0.1698404277022928,-0.053395091351121665,-0.018442340954206885,0.09906783597543836,0.006295866598375142,-0.04539154196158052,0.02115195064805448,0.025284696030430497,0.05231517779408023,0.0117434904538095,0.0005904115829616785,0.029520584144629537,0.018109301701188088,-0.04809723642654717,-0.027058140886947513,0.0,-0.028110789128113538,-0.003396592289209366,0.013218935541808606,1.0,1.0
Wdsub1,0.10150450217537582,0.0680343140894547,-0.03793225956149399,0.0,0.02374452894553542,0.06698065212927759,0.0009855406731367111,-0.025537397135049104,0.012044538166373969,0.0015744077786803245,0.06491524973651394,-0.012669325917959212,0.03141422664280981,0.01332116117933765,0.027607423607259988,0.05629726184532046,-0.01959412331227213,0.017836806545965374,-0.09924031618982554,-0.011659618108533323,0.041165681621059776,-0.11478915995918214,0.02887481658253819,0.03153423979878425,0.017572992034256458,0.0,-0.06973429061705247,-0.026583849508315324,-0.0068708211742341515,1.0,1.0
Gm21781,0.12045512073673308,-0.0988970692199655,0.02696606840007007,0.0,0.004411716992035508,0.04301055278396234,0.0013852819055318833,0.03990659609436989,0.021228297618217765,0.002193184643983841,0.040632640577387066,0.0022050641849637033,-0.0047709245537407696,0.049147715852595864,0.0007875696709379554,0.05031940110959113,0.024882141253910958,0.022624372090213,-0.08003196977078915,0.0702670715842396,-0.06423308924771845,0.016514216661453248,-0.06314740418922156,0.01619473284110427,0.024280415987595914,0.0,0.07695305043365806,-0.010583139434456825,-0.010666987113654613,1.0,1.0
Dhx33,0.054894046299159525,0.08294171879300848,-0.000970296822488308,0.0,-0.054849024843424556,-0.14734143131412566,-0.09215659327805042,0.036672677882015704,0.0014513550559058785,-0.029988307296298443,0.040856720439624045,0.07740115450695156,0.017374126021750272,0.010942245060577989,0.02120119584724307,0.11397924114018679,-0.02346069097518921,-0.011363372337073088,0.03441861039027572,0.026170403347350657,0.004972965158522129,0.008899020794779063,0.006328790951520205,0.04181790449190885,0.03924793532118201,0.0,0.041555156144313515,-0.035617437530308965,-0.028167766155675053,1.0,2.0
Ttc8,0.04454064464836847,0.05956611338537186,0.06167001689318567,0.0,0.026018294654786587,0.07460600788937882,-4.021793603897095e-05,-0.014521550219506026,-0.02467984315007925,0.0022762664407491684,0.04791336521273479,-0.02244899615412578,-0.08377729393076151,-0.009285718277096748,-0.0007730675395578146,-0.0036545945703983307,0.04364190557040274,-0.18226288334699348,0.0517182491463609,0.07737982999999077,0.01657465722411871,0.07031714841723442,0.003925416953861714,-0.005771997235715389,0.05978680856525898,0.0,0.014063160456717015,-0.024044287456199527,0.007808883246034384,1.0,1.0
Drg1,0.01975003792613279,0.045337508632801476,-0.020987660801038147,0.0,0.012264419980347156,-0.07552424047375098,0.004223688542842865,-0.0002047183271497488,0.009871489298529924,0.002886214735917747,0.036057993492577226,0.08932675888761878,0.043131299833767116,0.05022159390617162,-0.009566844892688095,-0.015791710908524693,0.06603438288904727,-0.001795308960136026,0.09398241975344718,-0.0038865449116565285,-0.0011419663857668639,-0.10777386857196689,-0.004181621773168445,-0.05684326713904739,-0.03658084308728576,0.0,0.03498157855588943,-0.033634146261028945,0.023662218870595098,1.0,2.0
Slc7a5,0.05650474599271547,0.049224186581850515,-0.11560681618517264,0.0,-0.05116050446406007,-0.08952832256443799,-0.01140887340530753,-0.004553855862468481,0.015910644144751133,0.0026501746801659465,0.017233442603610455,0.03496942093130201,0.01701573011931032,0.064814927468542,0.005605854607601941,-0.008997130189090968,0.0064831175282597546,0.009350988930091262,0.1016397290606983,0.04898470588261262,-0.0340242057479918,0.033943209666758775,-0.004434266423340887,-0.008289844812825322,0.01428438987582922,0.0,-0.029633396361023186,-0.0472379920212552,0.07972687926143408,1.0,2.0
Ranbp1,0.10797738240566104,0.0936288381833583,0.036118926324415955,0.0,0.007934242151677609,-0.09392155388602987,0.002339135929942131,0.010495792608708143,0.007815831853076816,0.007032005786895752,-0.061281918024178594,0.07087253831326962,0.023718399023637177,-0.07872614104300737,0.027241990704278577,0.024389234418049455,0.018458207100629807,0.013862311895936728,0.006492303949780762,0.03740439246059395,0.027863192884251476,0.007040758132934571,-0.0027403988689184188,0.0497875946201384,-0.00831367366015911,0.0,0.02918009111657739,0.05066505685448647,0.010623118551447987,1.0,2.0
Rbck1,-0.005101718446239829,-0.09222378922626376,-0.007669556210748852,0.0,0.015818823799490928,0.0451260672416538,0.0009855406731367111,0.0006401865882799029,0.00684723089216277,-0.010434958338737487,0.05168640832183882,0.07594251494854688,0.02172786610201001,0.028001267628278582,0.02257684336975217,-0.026256683534011244,0.023943522991612554,0.02297346282750368,-0.06977580323815345,0.0010338947316631674,0.0003743895702064037,0.05948829235509038,0.01813540857285261,-0.0064384259469807146,-0.029101345343515276,0.0,0.043275223248638216,0.008084008763544261,0.009185130661353468,1.0,2.0
