gene_name,gene_length.meta,18mo.9mo.contact.log_ratio.count.0-5kb.enhancer_DMR,9mo.2mo.activity.log_ratio.median.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.mean.5kb-20kb.enhancer_DMR,18mo.2mo.contact.log_ratio.min.20kb-5Mb.enhancer_DMR,9mo.2mo.activity.log_ratio.max.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.count.0-5kb.enhancer_DMR,9mo.2mo.contact.log_ratio.count.0-5kb.enhancer_DMR,18mo.9mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.median.20kb-5Mb.enhancer_peak,count.enhancer_peak,18mo.9mo.contact.log_ratio.count.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.count.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.count.0-5kb.enhancer_peak,18mo.2mo.log_ratio.DAR,9mo.2mo.log_ratio.DAR,rel_pos.DAR,count.DAR,18mo.9mo.log_ratio.DAR,count.DMR,size.log2.DMR,18mo.2mo.log_ratio.DMR,18mo.9mo.log_ratio.DMR,distance.log2.DMR,9mo.2mo.log_ratio.DMR,rel_pos.DMR,18mo.2mo.Q.min.loops,9mo.2mo.T.mean.loops,18mo.9mo.Q.min.loops,loop_size.log.median.loops,9mo.2mo.T.max.loops,18mo.2mo.T.min.loops,18mo.9mo.T.mean.loops,9mo.2mo.Q.min.loops,Tanova.median.loops,18mo.2mo.T.std.loops,Tanova.mean.loops,loop_size.log.max.loops,18mo.2mo.T.max.loops,18mo.2mo.Q.max.loops,18mo.9mo.Q.median.loops,9mo.2mo.T.std.loops,18mo.9mo.Q.max.loops,Tanova.std.loops,Qanova.max.loops,loop_size.log.std.loops,Tanova.min.loops,18mo.9mo.T.std.loops,9mo.2mo.Q.max.loops,18mo.9mo.T.min.loops,9mo.2mo.log_ratio.mcg_genebody,18mo.9mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mcg_genebody,9mo.2mo.log_ratio.mch_genebody,18mo.9mo.log_ratio.mch_genebody,18mo.2mo.log_ratio.mch_genebody,9mo.2mo.log_ratio.max.atac,18mo.2mo.log_ratio.max.atac,count.atac,18mo.9mo.log_ratio.std.atac,log2_distance.mean.atac,9mo.2mo.log_ratio.std.atac,9mo.2mo.log_ratio.mean.atac,log2_distance.std.atac,18mo.2mo.log_ratio.mean.atac,9mo.2mo.log_ratio.min.atac,18mo.9mo.log_ratio.min.atac,18mo.9mo.log_ratio.mean.atac,log2_distance.min.atac,18mo.2mo.log_ratio.min.atac,18mo.2mo.log_ratio.std.atac
Dis3l,34532.0,0.0,0.0,0.0,-0.5849625007151449,0.0,0.0,0.0,0.2643856189688162,0.3216666487548969,0.7369655941469699,0.5849625006971113,21,5,0.5523049182820641,-0.0154393483277113,-0.9999999999759548,1.5849625006249766,8,0.4747382640304343,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005942942994675,-0.0024200827224544,-0.0018257884229868,-0.1139923986287178,0.0281038218223493,-0.0858885768063685,0.1592868148227992,0.5192877340189856,1,0.0,13.015763487369895,0.0,0.1592868148227992,0.0,0.5192877340189856,0.1592868148227992,0.3600009191961864,0.3600009191961864,13.015763487369895,0.5192877340189856,0.0
Orai1,15382.0,1.0,-0.2132696439939281,-0.2132696439939281,-0.4474589769677237,-0.0787128749725805,1.0,1.0,0.0723766543020251,0.2515882130232039,0.6520766965721987,0.1111962106665065,16,4,0.5644465953302095,0.1004756614178581,-1.0995356735399224,0.4854268271619979,4,0.220851709622166,2.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014110934,0.0320293913,-0.0017461599999999,16.426083531986286,0.15438231,-0.191264153,-0.03852509765,-0.0025207799999999,0.5971455649999999,0.073964055095724,0.96571975655,18.827181414299336,0.12513176,0.004436946,0.0017773536,0.1019135049970954,0.0050240769999999,0.9852756221559206,2.6396785,0.7261201416430422,0.014642335,0.0845031620347108,0.004485395,-0.196291286,0.0080483501591444,0.0307223465566904,0.0387706967158349,-0.0570464815773698,-0.0783580945503049,-0.1354045761276747,0.3979087028885304,0.4501257095473152,2,0.1029893711398699,10.88633891238576,0.2089434327521314,0.2501633847051029,0.2937869906121099,0.2295559086407476,0.1024180665216754,-0.0934319587874954,-0.0206074760643553,10.678600139099547,0.0089861077341799,0.3119328038920013
Aplp1,10553.0,4.0,-0.0273347085127153,-0.0273347085127153,-0.9328858041352172,0.0207223520778575,1.0,1.0,-0.6638379571424615,0.5612464450663448,0.0,-0.7427134135737856,22,4,0.5296666813762262,0.2493513628846422,-0.7776075786549645,0.3219280948801484,4,0.3600001636040786,1.0,0.5168164336868656,0.3455029910137241,0.788051046731959,3,0.1713134426731414,1,4.700439718146641,-1.0641303370775743,-0.3985493763319854,10.171176797651896,-0.6655809607455891,0.0789671940278063,-0.005100033,0.0109457176222222,-0.005057631,16.68934455373762,0.2378681939999999,-0.33804983,-0.0425960195555555,-0.003977294,1.05375325,0.1312704034180612,2.0293629293333333,17.747143998186747,0.182507594,0.004033942,0.0005684653999999,0.1016752195877848,0.007485264,2.274598000151544,4.7542086,0.5331360676441351,0.048394576,0.1380401141095743,0.0031231795,-0.33755152,0.0277597652464142,0.0515236694969923,0.0792834347434066,0.0767045293101299,0.2350281053652013,0.3117326346753313,0.7679067356205271,0.6711921243199837,3,0.2637217609211834,11.559871059525484,0.3955323142840594,0.3455029910137241,0.3973117866972657,0.5168164336868656,-0.0161220146486025,-0.0967146113005434,0.1713134426731414,11.142107057302614,0.414384881818183,0.1360556324241258
Tbk1,40332.0,1.0,-0.0200454543034762,-0.0200454543034762,0.0,-0.0200454543034762,0.0,0.0,0.0890359525328752,-0.0163802074286296,1.999999999891798,-0.160964047458108,18,4,1.679610884691787,-0.3792555188250772,-1.5849625006249766,-0.5849625006971113,5,0.4128040833491071,2.0,0.0,0.0,0.0,0,0.0,1,2.000000000036068,0.3904594765119505,0.7670228279180131,14.044137936273197,-0.3765633514060626,0.6190035860078035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0024105691330266,-0.0010682937248185,-0.0034788628578451,-0.0120229102274774,0.0293611196837023,0.0173382094562248,0.1896604638778207,-0.0170118188859542,2,0.37928591359502,11.280751192552504,0.2301327854724771,0.0269320106968832,0.2087506216587913,-0.1224790072165903,-0.1357964424840543,-0.4176066594250471,-0.1494110179134735,11.133142212400664,-0.2279461955472264,0.1491531281225429
Rasgef1c,79159.0,0.0,-0.0517521615658635,-0.0517521615658635,-0.5849625007171486,-0.0517521615658635,0.0,0.0,0.1564011213028794,0.2779599896227318,0.9999999999759548,0.3128022426057588,16,4,0.918319705353686,-0.117720632998751,-1.3625700793721132,0.2630344058289848,5,0.2582720890948455,0.0,0.7864882127407326,0.6564895328310731,0.5822099832850323,2,0.1299986799096593,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006865789999999,-0.0587040633333333,-0.001945844,15.221361095289032,0.1068532,-0.17076087,0.0278009692142857,-0.0050236837,0.46240945,0.0669796676624161,0.6835853101190476,17.489440326458134,0.14500709,0.004194316,0.0015851145,0.0834977459918259,0.007929099,0.7072249924999056,4.3805046,1.3869697268150851,0.005682879,0.0724375700542525,0.004740337,-0.110034363,-0.0110781252234455,-0.027962191987187,-0.0390403172106326,0.1307652665110263,0.0198790031460593,0.1506442696570857,0.9901935185751848,0.8006229565684724,10,0.378456235549639,13.38539334139055,0.3509773837364745,0.2130103135183635,2.1531670158955127,0.0315625304294804,-0.1938692341337038,-0.8851115785226342,-0.1814477830888831,10.518653155673489,-0.6228058128286914,0.4527058396050217
Rhbdd1,128914.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1313415046702348,0.9999999999278651,0.0,20,2,1.4142135622710812,-0.2630425703284458,0.0,0.9999999999278651,4,0.1240739644890558,1.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0034583955,-0.039714072642771,-0.0026376406,19.33661795853031,0.232770557,-0.3534504945,0.0055139880855421,-0.0042542401,1.5526109,0.1323443244525609,1.8859366757710845,21.0291793659506,0.25986652,0.0036375679,0.000425659,0.113557669263589,0.0035914145999999,1.5386679082683536,6.7074475,2.6338422455155546,0.08026609,0.123123402594082,0.0026540191,-0.2648692645,0.0111100152365858,0.007534168797166,0.0186441840337518,-0.027138009723868,0.0308669797531707,0.0037289700293027,-0.2074668375374555,-0.0974441713193261,1,0.0,10.847840355630792,0.0,-0.2074668375374555,0.0,-0.0974441713193261,-0.2074668375374555,0.1100226662181294,0.1100226662181294,10.847840355630792,-0.0974441713193261,0.0
Shoc2,88827.0,0.0,-0.0986479783739141,-0.0986479783739141,0.0,-0.0986479783739141,0.0,0.0,0.9999999999278651,0.2203842506565729,0.9999999999278651,0.9999999999278651,22,2,0.0,-0.0224078799282461,-1.5849625006249766,0.7369655941469699,5,0.3895841676208631,2.0,0.0,0.0,0.0,0,0.0,1,5.75488750216614,-0.1768777620599541,-0.535331732931739,14.236985829576064,0.3584539708717849,0.7922914739355866,-0.0012357395,0.01450803462,-0.0029804025,19.98740836319065,0.2124564199999999,-0.15955861,0.0103561626345454,-0.00347402,0.9273307,0.0801623378607387,1.311528099090909,20.27915032579226,0.21086314,0.0019026275999999,0.0002091178,0.1217645596708144,0.0033803165,1.1738344399740437,6.638303,0.5988384160074606,0.12227533,0.1074091201170485,0.0038050799999999,-0.22041927,-0.0046025098195153,0.0032845475201774,-0.0013179622993378,0.0502243338907846,-0.0855299947026726,-0.0353056608118879,0.2497814562906486,0.0350882102789822,5,0.7915528175785123,12.803931319897108,0.2372047740706534,-0.0762848455358593,2.44078023663621,-0.2840917989415438,-0.3144960929925444,-1.572884884605741,-0.2078069534056844,10.646558710154638,-1.3231034283150924,0.5841286610639295
Zfp1,27610.0,3.0,-0.0140769343174123,-0.0140769343174123,-0.415037499274836,-0.0140769343174123,3.0,3.0,-0.1783982213098515,0.0585936352344838,0.7369655941469699,0.0,22,6,0.850728458305808,-0.244791866990484,-0.5849625006971113,0.5849625006971113,9,0.2971448491832476,2.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016669629999999,-0.06553075468,-0.0009042015,16.90696103798254,0.1843054,-0.18209703,0.1411796888355555,-0.0044391299999999,1.9333318,0.1139238619930669,2.122799114133333,17.535639892993036,0.29651875,0.0066859899999999,0.002533107,0.1081617576158747,0.006406266,1.1830808741550216,5.950916,0.5863996453026014,0.037395496,0.0753597758936127,0.004168095,-0.0439499,-0.0070950271153785,0.0597380806168482,0.0526430535014697,0.0574081055439826,0.0151982398475086,0.0726063453914913,0.5544971502129777,0.4364507726401442,3,0.1480091858631103,11.12867198747864,0.3183884713554723,0.1983641949970756,0.3356328378623073,0.2487905159602817,-0.0587478855813481,-0.1180463775728335,0.050426320963206,10.782998208920496,0.1008031651887813,0.1713046517008991
Robo2,519986.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3999999999711461,-0.1113073658331202,0.9999999999278651,0.0,16,5,0.5477225574656562,-0.2961644244016739,-0.9999999999759548,0.9999999999278651,4,0.002883858788663,0.0,-0.016001463351071,0.3446318879352561,0.6645241146930675,1,-0.3606333512863271,6,5.969891805571337,-5.4511548949189255,-6.035485186340089,16.77372221537253,0.5843302914211629,0.3265990982816924,-0.00337986585,-0.0830667621611682,-0.0033455746,19.25691123039825,0.22056248,-0.28612188,0.0416123674293925,-0.0036829710999999,1.5560368,0.1456605511852216,1.9084998270654203,19.77391348140525,0.253974945,0.0025858876,0.0001119507999999,0.1022175788001369,0.00347236023,1.229800489888921,6.7437425,0.7698751123294748,0.018226666,0.1163393938556232,0.0028799221,-0.2500081132,0.0159230504161394,-0.0165391886144959,-0.0006161381983564,-0.0165395582249579,-0.0388267750431162,-0.0553663332680741,0.5984660093476817,0.2026881587510728,12,0.2909633500668804,16.449821558862013,0.2962329479761358,-0.0951352743040312,1.4277993422197277,-0.0539590092878183,-0.4139177149686642,-0.5144681986038797,0.0411762650162128,14.583670447270276,-0.3084361133981238,0.1511192902331886
Ncl,14681.0,0.0,-0.061023212530836,-0.061023212530836,0.1699250014416442,-0.061023212530836,0.0,0.0,-0.2500000000135253,0.270580459263452,0.9999999999278651,-1.8033796678196268e-11,22,4,1.4999999999328746,0.0762455350352087,-1.999999999891798,0.9999999999278651,6,0.3554849441891354,2.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007130354999999,0.0022620170434782,-0.001052383,17.207233621838085,0.15808681,-0.09398671,0.1252718919130434,-0.0025578744999999,1.6926439,0.1024908159309648,1.8966921252173912,17.535639892993036,0.28317614,0.008719147,0.0032416585,0.096829561968235,0.010907488,1.3890691472878438,9.669256,0.4842451891964401,0.13261591,0.0824376904594562,0.004844889,-0.0108347699999999,-0.0080021445115363,0.1656785180898076,0.1576763735782713,0.0940538920731326,0.149900309259891,0.2439542013330237,0.1876686162071603,0.2513254881850981,3,0.0643520599430391,11.03791439610712,0.210756697000844,-0.0138191965374393,0.422202070205356,0.1187904980077183,-0.2327594705242028,0.0636568719779377,0.1326096945451576,10.608254821978,-0.0416875602702626,0.1484916594709347
