gene_name,gene_length.meta,9mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.min.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.std.20kb-5Mb.enhancer_peak,rel_pos.DAR,9mo.2mo.log_ratio.DAR,18mo.2mo.log_ratio.DMR,18mo.9mo.Q.mean.loops,9mo.2mo.Q.mean.loops,loop_size.log.mean.loops,18mo.2mo.Q.std.loops,18mo.2mo.log_ratio.mcg_genebody,9mo.2mo.log_ratio.mcg_genebody,18mo.9mo.log_ratio.mcg_genebody,9mo.2mo.log_ratio.mch_genebody,18mo.2mo.log_ratio.mch_genebody,18mo.9mo.log_ratio.mean.atac,18mo.2mo.log_ratio.max.atac,18mo.2mo.log_ratio.mean.atac,9mo.2mo.log_ratio.min.atac,18mo.9mo.log_ratio.min.atac,9mo.2mo.log_ratio.mean.atac,DEG,pred
Ell2,-0.020661038383841514,0.10071281981188804,-0.05174344576895237,-0.0608725911937654,-0.00873285970184952,0.000755838118493557,-0.007437912300229072,0.016531296418979765,0.031218321807682515,-0.010451300907880068,0.01942420404404402,0.013272089005913585,-0.07465978662483394,0.04633355244994163,-0.23902896279701963,-0.09779976927908138,-0.03302545678801835,0.017948621683754027,-0.08828892332036048,-0.05676614301279187,-0.07358516564127057,-0.08635225990787149,1.0,0.0
Cwc22,0.08763981140218675,0.0823138333298266,-0.05145041367970407,-0.02623537300620228,0.00792415344156325,0.000755838118493557,-0.0002293569315224886,-0.03295408251695335,-0.10131265777163208,-0.0047450007218867545,-0.06921678596176208,0.003987954016774892,0.09142169799655676,0.07980664855684154,0.19835708287311718,0.01105782754952088,0.009665902368724347,0.0360863850498572,0.02126546115614474,0.01561962079256773,-0.09712498740758747,0.02476639430038631,1.0,2.0
Aagab,0.15155711520463228,-0.01149338420946151,-0.014145561610348523,-0.031329132644459606,0.01392736190930009,0.000755838118493557,-0.0012146825063973664,-0.022777373346034437,0.0965119961462915,-0.010812700181268155,0.03140692067798227,0.04770202638581395,0.08663178848102689,0.005787564283236861,0.07588786869775505,0.04806089058984071,-0.005213372027501464,0.010630168560892344,0.0022302185371518134,-0.012678771484643222,0.0995120420632884,0.03176901806145906,1.0,1.0
Kdm4d,0.2335747961141169,0.15736018904019147,0.005335004525259137,-0.04298320811241865,0.006503345454111695,0.0008519130572676659,-0.0006687805894762277,0.07282518329331651,0.06463087459094823,-0.02140828694216907,0.03111118750181049,-0.07510763903148472,0.0973396765626967,0.013229249028954655,0.10465755617246032,0.016133830642793327,0.018111710157245397,0.025763702969998123,0.014246612088754773,-0.004819455873221159,0.07506386285182089,-0.0246980853471905,1.0,1.0
Atat1,0.229061379727209,-0.05641764002852142,0.005964547973126173,-0.04013225412927568,-0.001989466673694551,-0.0003970609977841377,-0.01802376631181687,-0.04157434722641483,-0.20090567503124476,-0.020713428845629097,-0.05934436355251819,0.01695494746789336,0.052415053797885774,-0.07444696542574093,0.10330449988716282,0.07068858301034198,-0.025884587904438375,0.004820976573973894,0.0608352012000978,-0.0003423095913603902,-0.015243732846574858,0.030910971015691756,1.0,2.0
D330041H03Rik,0.2520191128971055,-0.05031250193715096,0.03127328600268811,0.0280019780958537,0.0017931074602529407,0.000755838118493557,9.638019371777774e-05,-0.012703886411618442,0.08193964496254921,-0.0016544350702315568,0.019037765683606267,0.015946444235742093,0.10739813853055238,-0.0150238432304468,0.12269425934413448,0.10610815410735086,0.006705256905406714,0.00898572606034577,0.0413018318451941,0.03215441907756031,0.09158482111990451,0.03982994152233005,1.0,1.0
Nrg3,-0.4629826266644523,0.004170071883127093,-0.023694712929427625,-0.04628860796801746,-0.14713312312029303,0.000755838118493557,0.0035017820028588175,-0.027977624526247382,0.0365839541144669,0.023854490537196398,0.02452213055687025,-0.0248868390545249,0.05622549905441701,-0.047652822252130134,0.03447267735144124,-0.016436669833492488,-0.001332616014406085,-0.04615614386275411,0.03470315411686897,0.007645967928692698,-0.0978795895120129,0.036425005029886964,1.0,2.0
Ndel1,0.08928781469352544,-0.04047534784767777,-0.003413644703105092,-0.05005465012975037,0.002514626234769821,0.00046761334873735906,-0.00012792305555194616,-0.029089038409292698,-0.10641248161904514,-0.020878498423844576,0.04645093280822039,0.029549640589393675,0.05840811336413026,-0.051575416194973515,0.062110188980586824,0.00615893239621073,0.03516619382426143,0.01745784539729357,0.005312992101535201,-0.008363601472228765,-0.03643965014722198,0.026535227447748184,1.0,2.0
Akap9,-0.34647099901922046,0.04206684252712876,-0.019490319825708865,-0.07695328324101865,0.001281902026385069,0.0005636882781982422,0.0035017820028588175,-0.060374964171787726,-0.047873350717127325,-0.004039910980500281,-0.021107057784684004,0.031550377551466224,0.08455559918656945,0.06076758996816352,0.10338515462819486,0.011614376869983971,-0.008849718272686005,0.02498880511149764,0.020554383909329774,0.009812407242134214,-0.04520547584164888,-0.055057084383443,1.0,2.0
Pfdn6,-0.1785533056827262,-0.012396327641326935,-0.04121676680631935,-0.04336896662600338,-0.0008806328615173697,0.000755838118493557,-6.752140820026397e-05,-0.02433260003803298,0.0204961253143847,-0.023177330126054586,-0.020373836201615633,-0.0875055155158043,0.01183608551044017,-0.031545782106695695,-0.011111348106060176,0.03320964297978207,0.005839151674881578,0.006782976519316435,0.04988626797799953,0.05148899618070572,-0.05640695427544415,0.017855140240862967,1.0,0.0
Mars2,0.26023101990111175,0.1068019592622295,0.01031417473219335,0.05794442318729125,-0.0037671412783674895,0.000755838118493557,0.00022055955138057472,0.030712086409330368,0.07639339320361614,0.10405483807902784,0.030465958141721785,0.027549657840281724,-0.07799736827611924,0.007927211980568245,0.01246446415549144,0.017202219392638652,5.336827598512173e-05,0.019007795359939336,0.03659209659323096,0.014678705716505647,0.07191120004281401,-0.03667291804216802,1.0,1.0
Tbl1x,-0.21492129972204566,-0.00398860520683229,-0.01577353434637189,-0.05632598591968417,0.0015873767249286175,0.000755838118493557,-0.0041356798587366935,0.24171619330765678,0.03325743698980659,-0.021807926073670388,0.024706084411591292,0.006373674366623163,-0.07153965581557714,-0.043269125833176075,-0.1599582599196583,-0.027225414905697107,-0.005527528468519449,0.00578659450635314,0.03679514667019248,-0.0018203653628006578,-0.037747082749847324,0.0016754995938390493,1.0,2.0
