gene_name,gene_length.meta,18mo.9mo.activity.log_ratio.min.5kb-20kb.enhancer_DMR,18mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.count.0-5kb.enhancer_peak,9mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.count.0-5kb.enhancer_peak,18mo.2mo.log_ratio.DMR,9mo.2mo.log_ratio.DMR,18mo.9mo.Q.median.loops,18mo.9mo.Q.mean.loops,18mo.2mo.T.mean.loops,18mo.9mo.Q.std.loops,18mo.2mo.T.median.loops,loop_size.log.mean.loops,18mo.2mo.log_ratio.mcg_genebody,9mo.2mo.log_ratio.mcg_genebody,18mo.9mo.log_ratio.mcg_genebody,9mo.2mo.log_ratio.mch_genebody,18mo.9mo.log_ratio.mch_genebody,18mo.2mo.log_ratio.mch_genebody,18mo.9mo.log_ratio.mean.atac,9mo.2mo.log_ratio.max.atac,18mo.2mo.log_ratio.max.atac,18mo.2mo.log_ratio.min.atac,18mo.2mo.log_ratio.mean.atac,9mo.2mo.log_ratio.min.atac,9mo.2mo.log_ratio.mean.atac,DEG,pred
Ndufb3,-0.2334637996274978,-0.029953124318271875,-0.05143641652073711,-0.017629533214494585,-0.002687512654811144,0.07617798820137978,0.06669222380965949,-0.11075183754786849,-0.01727157474961132,-0.04103497399948537,-0.16336580279283225,-0.01810064962133765,-0.022018230161629616,0.09028682286851109,-0.01157948593609035,0.01623333304654807,0.010724540394730865,-0.10090746509376913,0.020859874137677252,-0.1362203971296549,-0.04681040110532195,-0.08205888988450169,0.011209556870162486,-0.02996412955224514,-0.02499238573014736,-0.03317288329359144,0.06207005776464939,0.06818350289016963,0.12748378973454236,1.0,1.0
Nipa1,-0.15630382106639445,-0.013361839964054524,-0.07358993919566274,-0.03237006827723235,-0.041184138017706574,-0.04251758955419063,0.08156944724381901,-0.07712640113197267,-0.023738005212508143,-0.04463907484896481,-0.1325157479289919,-0.019631221508607268,-0.022018230161629616,0.16036403004080058,-0.017009321828372777,0.021010381621308624,0.006888422835618258,-0.0865423077903688,-0.05780301062855869,-0.09864962798310443,-0.044060709356563164,-0.05925140127539635,0.013841664716601372,-0.012384535213932395,-0.011371471076272429,-0.03300872693769634,-0.005801576529629529,-0.05931804984807968,-0.3425005184300244,1.0,2.0
Cnrip1,-0.15010634132020642,0.1200740225892514,0.02849769444903359,-0.07777182928752154,0.13592748588416725,-0.051604376607574526,-0.04344944192096591,-0.16781239213421942,-0.010614796984009444,-0.032657689927145836,0.20972185561957304,0.01808378190966323,0.05711753124371171,0.04217318413779139,-0.00893026735400781,-0.03455636060331017,-0.08923647113144398,-0.06150718220043928,-0.017776345079764725,0.006627646440174431,-0.019391089680138977,0.4538180294539779,0.00250075938180089,-0.009263871773146092,-0.07019792299484834,0.10653149519115686,0.004003678262233734,0.09497408053837716,0.21495139053091405,1.0,1.0
Tomm6,-0.03266072533209808,-0.01454278666060418,-0.01833484333474189,-0.09052408985211514,-0.04278749149292707,-0.01011017058044672,-0.02828495468944311,-0.09312586529646069,-0.025733189899474384,-0.01575074250344187,0.10651771721662953,-0.010112432611640543,-0.04565986103378236,-0.09261651391629129,-0.00750904131680727,-0.04486723470501602,-0.1732919745752588,0.9821010054438375,0.25500047695357353,0.05046315847896039,0.06451459475327283,-0.03821937959641218,0.004573766840621829,0.05881649877876043,0.030809281999245285,-0.03359355617314577,-0.014565374776721,-0.15407940700650216,0.21766544270562008,1.0,1.0
Hmgb1,0.21012131376308388,-0.013050392884761095,0.03918093378655613,0.06169982315972447,0.020719400751404465,-0.02734482243657112,-0.04312762781977653,0.06788368243243895,-0.021555032934993505,-0.0487697979924269,-0.019890846210182646,-0.01371527840383351,-0.029302085377275945,0.002634088434278965,-0.01930006466805935,-0.05075497432611883,-0.21118796003051102,-0.10531265374273062,0.015281364610418678,-0.06731980559416115,-0.002832748363725841,-0.16067608257755636,0.002223267089575529,-0.01731108614243567,0.07562774253543467,-0.01619875810109079,-0.01378264743834734,0.12090369837358594,0.14274346279446035,1.0,1.0
Rhoq,-0.08596405061893166,-0.020059261532733217,0.17551774634979667,0.08912504841573536,0.04204313320107758,0.12278955150395632,0.09339990018983371,0.06910474516451359,-0.021439445540308952,-0.052027955709490925,-0.1104224579501897,0.04074120474047959,-0.0339470911026001,-0.05486699578352273,-0.008022043514065444,-0.06353817294351756,-0.07588470613583922,-0.06828338285442442,-0.02261768071213737,-0.155705372907687,-0.028108542198315264,-0.11438500825315714,0.00214708536863327,-0.02473069748375565,-0.03191486003808677,-0.039025836857035756,0.014634727910161018,-0.05773966434411704,0.01153579315636307,1.0,1.0
Ring1,0.003180900947190821,-0.04080501649994403,-0.0626613367954269,0.08101674357661977,-0.03370039430446923,-0.01641305861994624,-0.03932024034671486,0.09342086918652058,-0.019081166507676245,-0.05570371878799051,-0.00956330936285667,-0.014841608840506525,-0.0339470911026001,-0.0926656762510538,-0.016294060684740545,-0.05049371972680092,0.09637041052803397,0.03690749338362366,0.006501209172420204,-0.005823509232141077,-0.018433520547114314,-0.08711582917720079,0.0030157789774239063,-0.013194103706628085,-0.024985366808250545,-0.017558325650170445,-0.016862903656437993,-0.16501643478870393,-0.4855389127647504,1.0,2.0
Rpl35a,0.02846943755343091,-0.012343124249018728,-0.07570848828181624,-0.00669189166277647,-0.04539205900393426,-0.017192368996329605,-0.07452545723412186,-0.11011452341452241,-0.02192032812628895,-0.05573234874755144,-0.02053018249454908,-0.013204650534316898,-0.0339470911026001,0.0397658752463758,-0.017847841568291188,-0.04631711959838867,-0.00046973529271781444,0.013528779582120478,-0.11548029357101769,-0.10969179936219006,-0.050360249711666256,-0.0712964658997953,0.00296868983656168,-0.012760219238698483,-0.018496323311701417,-0.0205280127748847,-0.02882874899543822,-0.08798685939051211,-0.067576833833009,1.0,1.0
Stard13,0.6688926171790809,0.011243196252034977,-0.03813553476706147,0.07241902807727456,0.0362348245549947,-0.03857435186044313,0.01068332766299136,0.08964775655869744,0.19031972380937076,0.3505521942861378,-0.046301434393972156,-0.0354633856844157,-0.005647768387570977,-0.011024566376581788,-0.006698763258755207,-0.01654892835766077,-0.03823671682737768,-0.07420409598387778,0.02444628411438316,0.15794981954153628,-0.015922492091776805,0.3198201704211533,-0.004292132575064897,-0.01635779076255858,0.035574671872891483,0.011450774539262056,0.0059215760417282584,0.12383599251508713,0.34861230235546825,1.0,0.0
Ptchd1,-0.03638309572823346,-0.021597552010789514,0.07771699753589928,0.046367753371596335,0.021328533904161305,-0.06951968720182776,0.0504646018287167,0.1022583051584661,-0.02634604357648641,-0.035358361564576626,-0.18892181121744214,-0.06832029307261109,-0.022018230161629616,0.16052241290220992,-0.018932701498270036,0.023798080123960973,-0.10432755899615585,-0.14426602136722066,-0.04811223140801303,-0.2368309486284852,-0.05187972800107673,-0.09480214467272162,0.013812648095190526,0.033326876424252985,0.04033125393092632,-0.02537183037493378,-0.04143632223829627,-0.030763275660574435,0.09309384015388787,1.0,1.0
