gene_name,gene_length.meta,18mo.2mo.activity.log_ratio.min.5kb-20kb.enhancer_DMR,18mo.2mo.activity.log_ratio.mean.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.count.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.mean.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.std.20kb-5Mb.enhancer_peak,rel_pos.DAR,count.DAR,18mo.2mo.log_ratio.DAR,9mo.2mo.log_ratio.DAR,18mo.2mo.log_ratio.DMR,18mo.9mo.log_ratio.DMR,18mo.2mo.T.min.loops,18mo.9mo.Q.median.loops,18mo.9mo.Q.max.loops,Qanova.max.loops,9mo.2mo.Q.mean.loops,loop_size.log.mean.loops,min_distance.log.max.loops,18mo.2mo.T.std.loops,loop_size.log.median.loops,9mo.2mo.Q.median.loops,18mo.2mo.T.max.loops,18mo.2mo.log_ratio.mcg_genebody,9mo.2mo.log_ratio.mcg_genebody,18mo.9mo.log_ratio.mcg_genebody,9mo.2mo.log_ratio.mch_genebody,18mo.9mo.log_ratio.mch_genebody,18mo.2mo.log_ratio.mch_genebody,18mo.9mo.log_ratio.mean.atac,log2_distance.min.atac,9mo.2mo.log_ratio.max.atac,18mo.2mo.log_ratio.max.atac,18mo.2mo.log_ratio.min.atac,18mo.9mo.log_ratio.std.atac,count.atac,log2_distance.std.atac,18mo.2mo.log_ratio.mean.atac,18mo.2mo.log_ratio.std.atac,9mo.2mo.log_ratio.mean.atac,log2_distance.mean.atac,9mo.2mo.log_ratio.min.atac,9mo.2mo.log_ratio.std.atac,DEG,pred
Nrg1,0.5957604053989053,0.0,0.0,0.0,0.0,-0.011700832769274711,0.22173659788444638,0.0,0.0,-0.01833877131342888,0.025650646425783633,0.0,0.0,0.0,-0.013917541801929475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.016384197026491167,0.0,0.09209109911695122,0.09042897373437882,0.0,0.0,0.018169274218380452,-0.012720979219302535,-0.19061332874000073,0.0,-0.04937524102628231,-0.21187468238174914,-0.18810670241713523,-0.008600489869713783,0.0,0.0,-0.06369900465011596,-0.01126131385564804,-0.08418340802192688,0.0,-0.21962699229596183,-0.1325301582366228,0.0,1.0
Utrn,0.9915998800471425,0.0,0.0,0.0,0.0,-0.011700832769274711,-0.10770709251984954,0.0,0.0,-0.0011831465363502502,0.03567659318447113,0.0,0.0,0.0,0.017973947823047638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008757070153951645,0.0,0.3530125516653061,0.23677836537361144,0.0,0.0,0.054244337268173695,-0.037790446858853105,0.09151228208094836,0.0,0.1076379482448101,0.12028233379125595,0.08844055481255055,-0.0023557863757014273,0.0,0.0,0.06319596469402314,-0.005299441814422608,0.02970037281513214,0.0,0.10018601462244987,-0.00804375994950533,2.0,2.0
Dbi,-0.8556012230738997,0.0,0.0,0.0,0.0,-0.0406879948079586,-0.1965871674567461,0.0,0.0,-0.0008873599022626876,0.010955277625471353,0.0,0.0,0.0,0.009618144072592259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016949167847633362,0.0,-0.0999649963248521,-0.07784644581377506,0.0,0.0,0.016315239556133745,-0.02038341037929058,0.022280238475650548,0.0,-0.09102131590247155,-0.1007858418673277,0.028373580668121578,-0.0007478687167167664,0.0,0.0,-0.034134315811097625,-0.01126131385564804,0.009460523873567581,0.0,0.016138458813074977,0.01136684514582157,0.0,0.0
Mfge8,-0.7938675187528134,0.0,0.0,0.0,0.0,-0.0406879948079586,-0.15913718428462745,0.0,0.0,-0.0011831465363502502,-0.04532858518883586,0.0,0.0,0.0,-0.0006179708242416382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016949167847633362,0.0,-0.12451855785213412,-0.07784644581377506,0.0,0.0,-0.06301057307049632,-0.03030305731110275,0.049747351380065086,0.0,-0.09102131590247155,-0.07033155485987663,0.02728134673088789,-0.0004487212002277374,0.0,0.0,0.03242455366998911,-0.01126131385564804,0.006898358352482319,0.0,0.01162863842677325,0.01136684514582157,0.0,0.0
Prnp,-0.6914494923874736,0.0,0.0,0.0,0.0,1.0280361477285624,0.15285495528951287,0.0,0.0,-0.0011831465363502502,0.020191628634929657,0.0,0.0,0.0,-0.0006179708242416382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016949167847633362,0.0,0.08385143836960196,0.09042897373437882,0.0,0.0,0.016315239556133745,-0.007886805878952146,0.047135430444031956,0.0,-0.09102131590247155,-0.1074815058335662,0.04016603078693151,-0.0014957373589277268,0.0,0.0,0.03242455366998911,-0.01126131385564804,0.010256087705492974,0.0,0.026468368005007504,0.01319917567074299,0.0,1.0
Gfra1,0.8343819526582956,0.0,0.0,0.0,0.0,-0.011700832769274711,0.03815508453175426,0.0,0.0,-0.01833877131342888,0.0366641540825367,0.0,0.0,0.0,-0.013917541801929475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031073475629091263,0.0,0.19811537969857454,0.14343969002366067,0.0,0.0,0.054244337268173695,-0.012720979219302535,-0.21524162169545888,0.0,0.06703756589442492,0.0599688308686018,-0.25636180862784386,-0.0023557863757014273,0.0,0.0,0.06319596469402314,-0.005299441814422608,0.02970037281513214,0.0,0.10018601462244987,0.0088908177241683,2.0,2.0
Scel,0.6818534888699651,0.0,0.0,0.0,0.0,-0.011700832769274711,0.33859195865690705,0.0,0.0,-0.0017747198045253753,0.021281316205859185,0.0,0.0,0.0,-0.0015449269860982895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02824861340224743,0.0,-0.23220374707132577,-0.026426389291882516,0.0,0.0,0.04502054300159216,-0.16340855460613965,0.13433940956369042,0.0,-0.05740546554327011,-0.07303365804255009,0.0459256237372756,-0.00186967171728611,0.0,0.0,-0.06369900465011596,-0.01126131385564804,-0.08418340802192688,0.0,0.0945064901560545,0.026223008930683137,0.0,1.0
Pdzd2,0.9627034216374158,0.0,0.0,0.0,0.0,-0.011700832769274711,0.22173659788444638,0.0,0.0,0.01715562477707863,0.04614047110080719,0.0,0.0,0.0,-0.0009533537924289703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008757070153951645,0.0,0.30975916408002374,0.09042897373437882,0.0,0.0,0.054244337268173695,-0.016196600114926695,0.11723872464150191,0.0,0.1076379482448101,0.11043032340705394,0.06186282820999622,-0.0023557863757014273,0.0,0.0,0.06319596469402314,-0.005299441814422608,0.02970037281513214,0.0,0.10185586661100388,0.018968635611236094,2.0,2.0
Mt1,-0.7910246772691607,0.0,0.0,0.0,0.0,-0.0406879948079586,-0.15913718428462745,0.0,0.0,-0.0008873599022626876,-0.04265282031148672,0.0,0.0,0.0,0.009618144072592259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016949167847633362,0.0,-0.12157972143962979,-0.07784644581377506,0.0,0.0,0.014265507496893405,-0.016089405976235868,0.022280238475650548,0.0,-0.09102131590247155,-0.09306008785963059,0.028373580668121578,-0.0005609015002846718,0.0,0.0,-0.034134315811097625,-0.01126131385564804,-0.027500171735882758,0.0,0.016138458813074977,0.01136684514582157,0.0,0.0
Ilk,-1.0184449970722198,0.0,0.0,0.0,0.0,-0.0406879948079586,-0.16590598184615374,0.0,0.0,-0.0011831465363502502,0.013667914047837258,0.0,0.0,0.0,-0.0006179708242416382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016949167847633362,0.0,-0.11005659692920744,-0.07784644581377506,0.0,0.0,0.016315239556133745,0.02964774701744318,0.05105771173723042,0.0,-0.09102131590247155,-0.06812600918114185,0.0327676547691226,-0.0005609015002846718,0.0,0.0,0.03242455366998911,-0.01126131385564804,0.009460523873567581,0.0,0.018787645436823368,0.01136684514582157,0.0,0.0
Rplp1,-0.6103846405632793,0.0,0.0,0.0,0.0,-0.0406879948079586,-0.16590598184615374,0.0,0.0,-0.006063625998795032,0.010364662073552609,0.0,0.0,0.0,-0.0020150044932961465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03389833651483059,0.0,-0.11639300974085927,-0.07784644581377506,0.0,0.0,-0.05354685937985778,-0.040818698853254315,-0.10053798239678144,0.0,0.05630309004336596,-0.07560265265405178,0.021093848049640655,-0.0005609015002846718,0.0,0.0,0.03242455366998911,-0.005299441814422608,0.006898358352482319,0.0,0.11144036480225622,-0.047373026125133035,0.0,1.0
Csmd2,0.40484046753495934,0.0,0.0,0.0,0.0,-0.011700832769274711,0.2950008951872587,0.0,0.0,-0.01833877131342888,-0.14641796668991447,0.0,0.0,0.0,-0.013917541801929475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011299446225166321,0.0,0.07295006714761257,-0.026426389291882516,0.0,0.0,0.018169274218380452,-0.009569876501336694,-0.19937039952725172,0.0,-0.058132313936948773,-0.12918020572513342,-0.18810670241713523,-0.0027297207340598105,0.0,0.0,-0.06369900465011596,-0.01126131385564804,-0.08418340802192688,0.0,-0.3460810150206089,-0.1325301582366228,0.0,0.0
Tmed3,-0.7769217991828918,0.0,0.0,0.0,0.0,-0.0406879948079586,-0.0849919000454247,0.0,0.0,-0.0011831465363502502,0.010813383273780347,0.0,0.0,0.0,-0.0006179708242416382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016949167847633362,0.0,-0.1582737048715353,0.23677836537361144,0.0,0.0,-0.06301057307049632,-0.040818698853254315,0.02623582866974175,0.0,-0.09102131590247155,-0.06935999259352683,0.02728134673088789,0.0026923272013664244,0.0,0.0,0.03242455366998911,-0.01126131385564804,0.006898358352482319,0.0,0.008979451803024858,0.01136684514582157,0.0,0.0
Unc5c,0.8456176093965769,0.0,0.0,0.0,0.0,-0.011700832769274711,-0.10770709251984954,0.0,0.0,0.01715562477707863,0.0366641540825367,0.0,0.0,0.0,-0.0009533537924289703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008757070153951645,0.0,0.07198456171900033,0.23677836537361144,0.0,0.0,0.04502054300159216,-0.012720979219302535,0.0915319665055722,0.0,0.1076379482448101,-0.01211621068418026,-0.25386254049837587,-0.0023557863757014273,0.0,0.0,-0.06369900465011596,-0.005299441814422608,-0.08418340802192688,0.0,0.10068273693323135,0.024085289984941482,2.0,2.0
Bmp6,0.6398308916762471,0.0,0.0,0.0,0.0,-0.009622776508331298,-0.18791729763150214,0.0,0.0,0.01715562477707863,0.038217555657029154,0.0,0.0,0.0,-0.0009533537924289703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008757070153951645,0.0,0.042718774899840356,-0.07784644581377506,0.0,0.0,0.054244337268173695,0.004929662961512804,0.0915319665055722,0.0,0.1076379482448101,0.31273280270397663,0.024079920165240763,-0.0023557863757014273,0.0,0.0,0.06319596469402314,-0.005299441814422608,0.02970037281513214,0.0,0.20816282950341702,-0.2102108945325017,2.0,2.0
