gene_name,gene_length.meta,18mo.9mo.activity.log_ratio.min.5kb-20kb.enhancer_DMR,18mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.count.0-5kb.enhancer_peak,9mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.count.0-5kb.enhancer_peak,18mo.2mo.log_ratio.DMR,9mo.2mo.log_ratio.DMR,18mo.9mo.Q.median.loops,18mo.9mo.Q.mean.loops,18mo.2mo.T.mean.loops,18mo.9mo.Q.std.loops,18mo.2mo.T.median.loops,loop_size.log.mean.loops,18mo.2mo.log_ratio.mcg_genebody,9mo.2mo.log_ratio.mcg_genebody,18mo.9mo.log_ratio.mcg_genebody,9mo.2mo.log_ratio.mch_genebody,18mo.9mo.log_ratio.mch_genebody,18mo.2mo.log_ratio.mch_genebody,18mo.9mo.log_ratio.mean.atac,9mo.2mo.log_ratio.max.atac,18mo.2mo.log_ratio.max.atac,18mo.2mo.log_ratio.min.atac,18mo.2mo.log_ratio.mean.atac,9mo.2mo.log_ratio.min.atac,9mo.2mo.log_ratio.mean.atac
Rit1,14211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009356249920715,0.0024674286236033,-0.0015318036315317,-0.0315642674019354,0.0869101517680741,0.0553458843661387,0.0508464389023477,0.1582113656582433,0.2090578045605911,0.2090578045605911,0.2090578045605911,0.1582113656582433,0.1582113656582433
Umps,12256.0,-0.1579143217056826,-0.0073706906825568,2.0,0.0,0.0382400986620745,0.0382400986620745,2.0,0.0,0.0,0.0001603617999999,0.000156462670909,0.1142577746727272,0.0010804300183939,0.11020668,18.518028835635207,0.0507928173466021,0.0627583328337273,-0.0119655154871252,0.1328005263680267,-0.0369266544099552,0.0958738719580715,-0.0267366612383765,0.3350461305546113,0.3468614208756324,0.1135081934294979,0.2084860187121342,0.0351414626129986,0.2352226799505107
Zrsr2,23218.0,0.0,-0.4124809564169407,0.0,-0.5504717899152556,-0.0089314221836707,0.0294728658475624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006669821996301,0.0049014835759493,0.0017683384203517,0.0720696631469235,-0.1653397961590962,-0.0932701330121726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Klhl26,26749.0,-0.0222599846672285,0.1801392823642795,1.0,-0.1741744898954413,-0.1150726633816132,-0.0491581345739728,1.0,0.0,0.0,0.001819656,0.0018646855,-0.1269999886666666,0.0019839800423676,-0.1383359299999999,14.914318056372233,-0.0234326550278169,-0.0081261496255762,-0.0153065054022407,-0.0551197882980798,0.0458127595085048,-0.009307028789575,0.0072636070452112,0.729258334251719,0.4958207420394021,-0.2553279490281284,0.2590419345996964,-0.1898833912062518,0.2517783275544851
Mfap3,15151.0,0.0,0.0,1.0,-0.4503020570607292,0.0,0.0,1.0,0.0,0.0,0.0001831561999999,0.0004620486797777,0.0356682218666666,0.0011232139284267,0.0601996699999999,18.700298756788303,-0.0096960190332212,0.0294683392780869,-0.0391643583113081,0.0566054517527463,-0.0616987712493819,-0.0050933194966356,-0.0813906010753283,0.4257759066615082,0.1121292733304495,-0.153747995429601,0.0293880645125937,-0.2662120071979303,0.1107786655879221
Junb,4234.0,-0.0226039298152187,0.0015427034494122,5.0,0.1232082959897857,-0.1358796614918929,-0.1274659155162538,5.0,0.0,0.0,0.001448981,0.0016333813833333,-0.0579550314166666,0.0011699183239973,-0.06596806,16.334831229633398,0.2578115405098629,0.1774257925040625,0.0803857480058003,0.1021478802417901,-0.0530609434595217,0.0490869367822683,0.0077473713135405,0.2465442051453972,0.1331987943477273,-0.180956258451058,0.0132158111042842,-0.1305720018579985,0.0054684397907437
Popdc3,140354.0,0.0,0.0,0.0,-0.3957467124110385,0.0,0.0,0.0,0.4964258260444942,-0.7198920806405669,-0.0003601779999999,0.00010267416,0.029916994936,0.0014809003266268,0.0163672,15.14985395150527,-0.000957795067568,-0.0121993746756771,0.011241579608109,0.0796130060971003,-0.0078779501102198,0.0717350559868804,-0.0397416868151835,0.3626084358208336,0.1811242163674524,-0.653997581780993,-0.2142450791157218,-0.5282378879536123,-0.1745033923005382
Rasl10b,11902.0,0.0739143280537651,-0.0719401003868811,1.0,-0.2884147307616946,-0.0508292632687701,0.0917225918805921,1.0,0.0,-1.1520030930042269,0.002914677,0.0030543952,0.1068644788235294,0.0024897528889586,0.0650069199999999,16.363511071203778,0.009650209160936,0.0470481946615869,-0.0373979855006508,0.0734891662375044,-0.0733423387678973,0.0001468274696071,-0.0527328124240293,0.6077034319594469,0.3550950640422293,-0.1313435492282848,0.133085252224626,-0.1281102634705786,0.1858180646486554
Clcn1,29071.0,0.0123627627114969,-0.5566142363170661,0.0,-0.5653258019029312,-0.0985966358343879,-0.0125489302974111,0.0,-0.3081222953182936,0.1239887172602212,-7.749939999999989e-05,-2.0931072972973e-05,0.0340240952432432,0.000826180568416,0.01889952,18.79617663374844,-0.0178173162967678,-0.0157683019774003,-0.0020490143193674,-0.2257990440280355,0.0894142523584134,-0.1363847916696221,-0.0203394374040697,0.92689501673866,0.3867442119965868,-0.1250038932531854,0.1990214143435291,-0.319651266143201,0.2193608517475989
Synrg,80150.0,0.0,0.0,1.0,0.0,-0.1525207364991834,-0.0675478660779007,1.0,-0.4595400022194489,0.0301863089779439,0.0007603890999999,0.0007783583116279,0.0585464211418604,0.0014421630483659,0.059687945,16.344803923614705,0.004189717416171,0.0251672060582556,-0.0209774886420845,0.2405667608857376,-0.1076151514086781,0.1329516094770595,-0.0794185245161862,0.7006973791484138,0.4976141130116518,-0.2271874196585346,0.0645124755523836,-0.5454184142315595,0.1439310000685698
Ssh3,7512.0,-0.0186185422645293,0.3090798764456197,1.0,0.231521732708781,-0.1221029412749921,-0.0852876228048484,1.0,0.0,0.0,-0.001084388,-0.0002154976933333,0.0134037805333333,0.0025377592205489,0.0332148569999999,16.87731635243693,0.0365983713055142,0.0244397322140174,0.0121586390914967,0.0604108671487244,-0.0433758701952489,0.0170349969534755,-0.1998639019787337,0.544771188254003,0.2854608762095935,0.0676931551736688,0.2128716358619619,0.1821057619293848,0.4127355378406956
Zc3h15,20187.0,0.0938449509479697,-0.19788788786756,1.0,-0.2915629845721151,-0.3097511665081645,-0.0104586748479598,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0222370922060831,0.0046184715243177,0.0176186206817653,0.0243492616445987,0.0985087966644467,0.1228580583090455,-0.1064276230266506,-0.319651266129144,-0.2673894393346501,-0.9433578140897798,-0.5658863388810569,-0.7199779820676504,-0.4594587158544062
Uri1,63559.0,0.0,-0.0493642126785545,0.0,0.1859277042226901,-0.0560364596745461,-0.0560364596745461,0.0,0.0,0.0,0.0003190045999999,0.0003219625219999,0.0885050734,0.0005582997682638,0.0996871,19.96618682857574,-0.0039251014350309,0.000679941505662,-0.0046050429406929,0.228040672230334,-0.0910554511393143,0.1369852210910197,0.0538047831098142,1.0802793405650877,1.033273852482652,0.0136562607600698,0.2747415924867669,-0.1497262647156959,0.2209368093769527
Mroh8,70999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016322003,0.0016912886173333,0.07979320476,0.0014260130137035,0.08440455,16.026230385462313,-0.0061366659283977,-0.0056895229792704,-0.0004471429491272,0.0193579262989637,-0.0383443198050165,-0.0189863935060527,-0.0117030534487487,0.6151183619741241,0.628348589713992,-0.1619981007351157,0.1567337877791809,-0.0972588448342076,0.1684368412279297
Ttc1,18496.0,-0.2354371901583015,-0.6040070508450608,0.0,-0.5000630786753542,-0.1039439721697066,-0.1039439721697066,0.0,-0.5219527030830582,0.3625700793274582,0.0,0.0,0.0,0.0,0.0,0.0,-0.0064146754001147,0.0255846953556118,-0.0319993707557265,0.0175608130173681,-0.0736528792428394,-0.0560920662254713,-0.1587937921505261,-0.0095486066874366,-0.2371455471431007,-0.7178442684787127,-0.3990987918758864,-0.4508957994441065,-0.2403049997253602
