gene_name,gene_length.meta,18mo.9mo.contact.log_ratio.count.0-5kb.enhancer_DMR,9mo.2mo.activity.log_ratio.median.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.mean.5kb-20kb.enhancer_DMR,18mo.2mo.contact.log_ratio.min.20kb-5Mb.enhancer_DMR,9mo.2mo.activity.log_ratio.max.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.count.0-5kb.enhancer_DMR,9mo.2mo.contact.log_ratio.count.0-5kb.enhancer_DMR,18mo.9mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.median.20kb-5Mb.enhancer_peak,count.enhancer_peak,18mo.9mo.contact.log_ratio.count.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.count.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.count.0-5kb.enhancer_peak,18mo.2mo.log_ratio.DAR,9mo.2mo.log_ratio.DAR,rel_pos.DAR,count.DAR,18mo.9mo.log_ratio.DAR,count.DMR,size.log2.DMR,18mo.2mo.log_ratio.DMR,18mo.9mo.log_ratio.DMR,distance.log2.DMR,9mo.2mo.log_ratio.DMR,rel_pos.DMR,18mo.2mo.Q.min.loops,9mo.2mo.T.mean.loops,18mo.9mo.Q.min.loops,loop_size.log.median.loops,9mo.2mo.T.max.loops,18mo.2mo.T.min.loops,18mo.9mo.T.mean.loops,9mo.2mo.Q.min.loops,Tanova.median.loops,18mo.2mo.T.std.loops,Tanova.mean.loops,loop_size.log.max.loops,18mo.2mo.T.max.loops,18mo.2mo.Q.max.loops,18mo.9mo.Q.median.loops,9mo.2mo.T.std.loops,18mo.9mo.Q.max.loops,Tanova.std.loops,Qanova.max.loops,loop_size.log.std.loops,Tanova.min.loops,18mo.9mo.T.std.loops,9mo.2mo.Q.max.loops,18mo.9mo.T.min.loops,9mo.2mo.log_ratio.mcg_genebody,18mo.9mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mcg_genebody,9mo.2mo.log_ratio.mch_genebody,18mo.9mo.log_ratio.mch_genebody,18mo.2mo.log_ratio.mch_genebody,9mo.2mo.log_ratio.max.atac,18mo.2mo.log_ratio.max.atac,count.atac,18mo.9mo.log_ratio.std.atac,log2_distance.mean.atac,9mo.2mo.log_ratio.std.atac,9mo.2mo.log_ratio.mean.atac,log2_distance.std.atac,18mo.2mo.log_ratio.mean.atac,9mo.2mo.log_ratio.min.atac,18mo.9mo.log_ratio.min.atac,18mo.9mo.log_ratio.mean.atac,log2_distance.min.atac,18mo.2mo.log_ratio.min.atac,18mo.2mo.log_ratio.std.atac,DEG,pred
Matk,-0.19902423980645836,0.0,0.004723816439509392,0.0,-0.10479837618768215,0.003482757583260536,-0.02505358647555113,0.0,0.0,-0.00907130129635334,-0.0013092945516109467,0.0,0.0,0.0,0.0,-0.023429413698613642,-0.015025327652692795,-0.04629666559398174,0.0,0.0,0.060245579853653905,0.0,0.0,0.0,0.0092312952876091,0.0,0.0,0.0,0.244973454028368,0.0,0.0,0.004646158739924431,-0.017911112792789938,0.0,0.0,0.08115111607126892,-0.009145849868655204,0.0,0.0,0.0,0.02635204590857029,0.0,0.0,0.0,-0.013316568918526173,0.0,0.08143427670001983,-0.004549735803157091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005175896286964417,0.0,-0.04291956638917327,-0.012411569952964783,-0.0066453714668750765,-0.0017365625500679017,-0.021202092757448554,-0.01930543016642332,0.0,0.0,-0.010900829546153545,0.0,0.14713162118569018,0.0,-0.014386128187179565,-0.002824707180261612,0.08664702154695987,-0.00305873217061162,0.0,-0.019375770092010497,0.0,0.0,0.0
Syt11,-0.09674598172307014,0.0,0.13062587983906268,0.0,0.055912216156721116,0.046257574632763865,0.004346859380602836,0.0,0.0,0.018336531464010476,-0.0013092945516109467,0.0,0.0,0.0,0.0,-0.05764988102018833,-0.0014561238884925843,-0.04629666559398174,0.0,0.0,0.08653956070542336,0.0,0.0,0.0,-0.0058744606375694276,0.0,0.0,0.0,-0.0005449910461902619,0.0,0.0,0.004646158739924431,0.007606089171022176,0.0,0.0,0.08115111607126892,-0.009145849868655204,0.0,0.0,0.0,0.02512959197163582,0.0,0.0,0.0,-0.03243743851780891,0.0,0.11810524128377438,-0.035544811077415944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014788275957107544,0.0,0.0354098686017096,0.03579450234770775,0.05528355523943901,-0.0017365625500679017,0.3942262399196625,0.11625456601381302,0.0,0.0,-0.020384419970214368,0.0,0.1968618868291378,0.0,-0.006254654601216316,-0.002824707180261612,0.08664702154695987,-0.00305873217061162,0.0,-0.011822892129421234,0.0,0.0,2.0
Ksr2,1.535809090770781,0.0,0.13597943156957626,0.0,0.026882584020495415,0.0030806344375014305,0.00193684920668602,0.0,0.0,0.004211105164140463,-0.0017457260936498643,0.0,0.0,0.0,0.0,-0.013451994955539703,-0.0007648354023694992,-0.006559075154364109,0.0,0.0,0.08653956070542336,0.0,0.0,0.0,0.00965089961886406,0.0,0.0,0.0,0.0,0.0,0.0,0.016726171374320985,-0.008538448493927717,0.0,0.0,-0.026613940503448247,-0.07509541027247905,0.0,0.0,0.0,-0.06618635982275009,0.0,0.0,0.0,-0.05045069925487042,0.0,-0.053444386860355735,0.006255887113511562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014788275957107544,0.0,0.027451813742518424,0.07252703055739403,0.003075369521975517,0.06684354186058045,-0.04380355440080166,-0.016394777111709117,0.0,0.0,0.006587604265660047,0.0,-0.061457752883434295,0.0,0.0019924847781658175,-0.0489615885913372,-0.012057268563657998,0.04375172529369593,0.0,-0.020015686750411987,0.0,0.0,0.0
Tial1,-0.25062979202717545,0.0,-0.2309250219166279,0.0,0.011010483875870704,-0.01851069360971451,0.007855727300047875,0.0,0.0,-0.00907130129635334,-0.00392788365483284,0.0,0.0,0.0,0.0,0.04182839581742883,-0.008388663604855538,0.04126830723136663,0.0,0.0,-0.07623608320951462,0.0,0.0,0.0,-0.00881169095635414,0.0,0.0,0.0,-0.0021799641847610476,0.0,0.0,0.004646158739924431,0.002944292575120926,0.0,0.0,-0.054387649474665525,0.017172527611255647,0.0,0.0,0.0,-0.008029942251741886,0.0,0.0,0.0,-0.0952614825963974,0.0,-0.16034600064158439,0.009952547065913676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0022182412445545196,0.0,-0.006028366591781378,-0.002495911419391632,-0.00563311979174614,-0.015757436007261275,-0.05775295179337263,-0.014355208687484265,0.0,0.0,-0.010254484191536904,0.0,-0.05793883292004466,0.0,-0.011600015312433242,-0.004237060546875,-0.01184569887816906,-0.004817443080246449,0.0,-0.021369490772485733,0.0,2.0,1.0
Ncor2,0.04845484368503094,0.0,0.07177519038319588,0.0,0.027940839976072312,0.004456617459654808,0.0025824656337499617,0.0,0.0,-0.004211105164140463,-0.00392788365483284,0.0,0.0,0.0,0.0,-0.023564474508166313,-0.0125081979483366,-0.010147076547145844,0.0,0.0,-0.14875258654356002,0.0,0.0,0.0,0.00965089961886406,0.0,0.0,0.0,-0.0021799641847610476,0.0,0.0,0.00650462232530117,-0.01545753564685583,0.0,0.0,-0.054387649474665525,-0.07509541027247905,0.0,0.0,0.0,-0.0677304009348154,0.0,0.0,0.0,-0.05352841220796108,0.0,-0.12726274747401475,-0.002843585051596165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0022182412445545196,0.0,-0.09457377202808857,0.007795255482196808,0.007487535998225212,-0.010146832950413227,-0.08072539031505585,-0.03240426123142243,0.0,0.0,0.008877877034246922,0.0,-0.06217855006456375,0.0,-0.006998216658830643,-0.004237060546875,-0.012712809201329946,-0.004817443080246449,0.0,-0.020015686750411987,0.0,0.0,0.0
Rasgef1c,-0.058989460170269015,0.0,0.0,0.0,-0.06933855332434177,-0.0379790485277772,0.0,0.0,0.0019826768338680268,-0.008171071503311396,0.0,-0.003867069259285927,0.0,0.0,-0.018730050474405287,-0.0037869217991828917,0.0,0.00014882713556289674,0.0,-0.015016112923622132,0.0047033833712339405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004402774423360825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010216316673904657,-0.039363420009613036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.020523716881871223,0.0,0.0029223237186670305,0.0,0.0,-0.029574465826153754,-0.01292864516377449,0.0,-0.04180685505270958,-0.03060433201491833,0.0,-0.014402629807591438,0.0,0.0,-0.0950677379220724,0.0,-0.016308740377426148,-0.08148129478096962,0.0,0.0,-0.009187017381191254,-0.037825164273381236,-0.011877613067626953,1.0,0.0
Robo2,0.7534926218539476,0.0,0.0,0.0,0.036322485581040384,0.060841729938983916,0.0,0.0,0.0011896060407161713,0.09410127423703671,0.0,0.0044471296481788155,0.0,0.0,0.02692783385515213,0.05349443793296814,0.0,0.014891864657402039,0.0,0.012826763838529587,0.06745161592960358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01734138324856758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005446593686938286,-0.018314924631267784,0.0,0.0007212848030030728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009584731347858906,0.0,0.017290414944291115,0.0,0.0,0.06354918532073497,0.020442138463258742,0.0,-0.04569766024127603,-0.042460298985242846,0.0,-0.02793288106098771,0.0,0.0,0.15669893249869346,0.0,-0.008154370188713074,0.35097816556692124,0.0,0.0,0.03112427458167076,-0.017301068790256977,-0.01932942233979702,1.0,2.0
Dync1i2,-0.06088177129626274,0.0,0.0,0.0,0.06129413858056068,0.060841729938983916,0.0,0.0,-0.11321084506809712,0.0,0.0,-0.014308156073093414,0.0,0.0,0.07897799864411353,0.055410044193267824,0.0,0.0006390906870365143,0.0,0.013485122397542,0.06745161592960358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002642613276839256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002789876088500023,-0.01667478209361434,0.0,0.0002576017193496227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02080343049019575,0.0,0.017290414944291115,0.0,0.0,-0.021139443665742875,0.006425187923014164,0.0,0.09334690794348717,0.13902377285063267,0.0,-0.03833821538835764,0.0,0.0,0.2236813286691904,0.0,-0.008154370188713074,-0.09083983846008778,0.0,0.0,-0.05117951408028602,-0.021928783655166626,0.11403322897851467,1.0,2.0
Puf60,-0.05664837636053562,0.0,0.0,0.0,-0.06933855332434177,-0.02318828471004963,0.0,0.0,0.004461022801697254,0.0,0.0,-0.01082779373973608,0.0,0.0,0.0008115595206618309,-0.032637864612042905,0.0,0.0002827791310846806,0.0,-0.02187170445919037,0.0047033833712339405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004402774423360825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010082364678382874,0.09758847877383232,0.0,0.0002576017193496227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008535421006381511,0.0,0.002191742733120918,0.0,0.0,-0.03379395354539156,0.009058530796319247,0.0,-0.0747641060501337,-0.010102550759911537,0.0,-0.02125822179019451,0.0,0.0,-0.08027697421610355,0.0,-0.016308740377426148,-0.08045017346739769,0.0,0.0,-0.007767249345779419,-0.037825164273381236,-0.03402321387082338,1.0,0.0
4930545L23Rik,-0.06212982140481472,0.0,0.0,0.0,0.06592722319066524,0.060841729938983916,0.0,0.0,0.009318581037223338,0.0,0.0,0.00580060388892889,0.0,0.0,-0.019502881467342376,0.055410044193267824,0.0,0.0006390906870365143,0.0,0.024373589381575585,0.03115911953151226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008867098242044449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002789876088500023,0.04045684838667512,0.0,0.0009788865223526954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02207537608221173,0.0,0.017290414944291115,0.0,0.0,-0.014931147024035453,-0.0317882290109992,0.0,0.07031079258769751,0.20303274258971216,0.0,0.03752066258341074,0.0,0.0,0.2391557940095663,0.0,-0.008154370188713074,0.1587104244157672,0.0,0.0,0.009960137186571955,-0.008959511108696461,0.048439887054264545,1.0,2.0
