gene_name,gene_length.meta,18mo.9mo.activity.log_ratio.mean.5kb-20kb.enhancer_DMR,18mo.2mo.activity.log_ratio.min.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.mean.5kb-20kb.enhancer_DMR,18mo.2mo.activity.log_ratio.max.5kb-20kb.enhancer_DMR,18mo.2mo.activity.log_ratio.median.5kb-20kb.enhancer_DMR,18mo.2mo.contact.log_ratio.count.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.min.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.log_ratio.DAR,18mo.9mo.log_ratio.DAR,rel_pos.DMR,count.DMR,size.log2.DMR,18mo.2mo.log_ratio.DMR,18mo.9mo.log_ratio.DMR,9mo.2mo.log_ratio.DMR,distance.log2.DMR,min_distance.log.mean.loops,Tanova.median.loops,loop_size.log.mean.loops,min_distance.log.max.loops,18mo.2mo.T.std.loops,loop_size.log.median.loops,Tanova.mean.loops,loop_size.log.max.loops,9mo.2mo.Q.median.loops,18mo.2mo.T.max.loops,18mo.2mo.Q.max.loops,18mo.2mo.log_ratio.mcg_genebody,9mo.2mo.log_ratio.mcg_genebody,18mo.9mo.log_ratio.mcg_genebody,9mo.2mo.log_ratio.mch_genebody,18mo.9mo.log_ratio.mch_genebody,18mo.2mo.log_ratio.mch_genebody,18mo.9mo.log_ratio.mean.atac,log2_distance.min.atac,9mo.2mo.log_ratio.max.atac,18mo.2mo.log_ratio.max.atac,18mo.9mo.log_ratio.max.atac,count.atac,log2_distance.max.atac,log2_distance.std.atac,18mo.2mo.log_ratio.mean.atac,18mo.2mo.log_ratio.std.atac,DEG,pred
Cuedc2,-0.20683296751230956,0.0,0.0,0.0,-0.0580714987963438,0.0,0.0,0.0,-0.017576488852500915,0.0,0.0,-0.002989118993282318,0.0,0.0,0.0,0.0,0.0,0.0,-0.044976016879081725,0.0,-0.012696192413568497,0.0,0.17960161477327347,-0.008134726583957672,0.0,-0.007413742020726204,0.0,0.0,0.0,0.0,0.02521835945546627,-0.11285287007689476,0.0,-0.1456632134690881,-0.07275754828006029,0.0,0.0,-0.05124267570674419,0.0,0.0,0.0,-0.0920624940097332,0.0,-0.0194367341324687,-0.02709585566073656,1.0,0.0
Ythdf2,-0.20657757129520177,0.0,0.0,0.0,0.19040013678371906,0.0,0.0,0.0,-0.017576488852500915,0.0,0.0,-0.002989118993282318,0.0,0.0,0.0,0.0,0.0,0.0,-0.03717749305069447,0.0,0.013264275342226028,0.0,-0.007035733759403228,0.005084204114973545,0.0,0.01641614403575659,0.0,0.0,0.0,0.0,-0.017785725221037864,-0.22775238014757634,0.0,-0.18362666621804238,0.02754498891532421,0.0,0.0,0.2694687433168292,0.0,0.0,0.0,-0.1805376325920224,0.0,0.037606389597058296,0.0779152155853808,1.0,1.0
A230077H06Rik,-0.25184127397835254,0.0,0.0,0.0,-0.04885574251413345,0.0,0.0,0.0,0.016990605890750885,0.0,0.0,-0.002989118993282318,0.0,0.0,0.0,0.0,0.0,0.0,-0.0917670600116253,0.0,0.013264275342226028,0.0,-0.007035733759403228,0.008643146716058253,0.0,0.028860638588666915,0.0,0.0,0.0,0.0,0.08945523373782635,-0.2256458991765976,0.0,-0.034878741279244424,0.08858191300183535,0.0,0.0,-0.05124267570674419,0.0,0.0,0.0,-0.09540997132658958,0.0,-0.01414120402187109,-0.02709585566073656,1.0,1.0
Dync1li1,-0.1595404682122171,0.0,0.0,0.0,0.2442903086543083,0.0,0.0,0.0,0.047456519901752474,0.0,0.0,-0.002989118993282318,0.0,0.0,0.0,0.0,0.0,0.0,-0.009327653534710408,0.0,-0.011911053583025933,0.0,-0.004507732018828392,-0.008134726583957672,0.0,-0.018799131512641908,0.0,0.0,0.0,0.0,0.026022723019123076,0.13155648220330476,0.0,-0.15863701436668634,-0.01276849739253521,0.0,0.0,0.40191295217722656,0.0,0.0,0.0,-0.05885435864329338,0.0,-0.05017449777573347,0.0779152155853808,0.0,1.0
Kpnb1,-0.3040321345254779,0.0,0.0,0.0,0.03739612013101578,0.0,0.0,0.0,-0.017576488852500915,0.0,0.0,-0.002989118993282318,0.0,0.0,0.0,0.0,0.0,0.0,-0.0917670600116253,0.0,-0.012696192413568497,0.0,-0.007035733759403228,0.008643146716058253,0.0,-0.007413742020726204,0.0,0.0,0.0,0.0,0.026022723019123076,-0.16358863346278668,0.0,-0.03063838504254818,-0.06793321035802365,0.0,0.0,-0.03944831121712923,0.0,0.0,0.0,-0.1786859278380871,0.0,-0.0194367341324687,-0.02709585566073656,0.0,0.0
Stx1a,-0.30481842558830974,0.0,0.0,0.0,0.046636877357959745,0.0,0.0,0.0,-0.04569887101650238,0.0,0.0,-0.002989118993282318,0.0,0.0,0.0,0.0,0.0,0.0,-0.06583762079477311,0.0,-0.011911053583025933,0.0,-0.004507732018828392,-0.014235771074891091,0.0,-0.018799131512641908,0.0,0.0,0.0,0.0,0.017845026729628444,0.10753528077155351,0.0,-0.020715106278657913,-0.0683353920839727,0.0,0.0,-0.05124267570674419,0.0,0.0,0.0,-0.22197917029261588,0.0,-0.05017449777573347,-0.02709585566073656,0.0,0.0
Ptprs,-0.2953566420823336,0.0,0.0,0.0,-0.059095553606748584,0.0,0.0,0.0,-0.04569887101650238,0.0,0.0,0.009714636728167534,0.0,0.0,0.0,0.0,0.0,0.0,-0.06583762079477311,0.0,-0.011911053583025933,0.0,-0.004507732018828392,-0.014235771074891091,0.0,-0.018799131512641908,0.0,0.0,0.0,0.0,-0.056794725134968756,0.09985542301088572,0.0,0.3894998670369387,0.02645388662815094,0.0,0.0,-0.08112173259258271,0.0,0.0,0.0,-0.07019020523875952,0.0,-0.09807438284158707,-0.03979961175471544,0.0,0.0
Grid1,1.5868595806509256,0.0,0.0,0.0,0.03816356156021357,0.0,0.0,0.0,-0.04569887101650238,0.0,0.0,0.0064764244854450224,0.0,0.0,0.0,0.0,0.0,0.0,0.3508495003730059,0.0,0.0526192519813776,0.0,-0.004507732018828392,0.0777883206680417,0.0,0.03150840375572443,0.0,0.0,0.0,0.0,-0.051480315700173376,0.14722091156989336,0.0,0.31369784198701384,0.06321032486855983,0.0,0.0,-0.029017915930598975,0.0,0.0,0.0,-0.016067744940519334,0.0,0.05848239596933127,-0.006268593594431877,2.0,2.0
Lmo4,-0.29313209572806953,0.0,0.0,0.0,0.03511708982288837,0.0,0.0,0.0,0.016990605890750885,0.0,0.0,-0.002989118993282318,0.0,0.0,0.0,0.0,0.0,0.0,-0.07735907092690468,0.0,0.013264275342226028,0.0,-0.007035733759403228,0.008643146716058253,0.0,0.01641614403575659,0.0,0.0,0.0,0.0,0.017845026729628444,-0.26231947489082813,0.0,-0.0490185721963644,-0.0683353920839727,0.0,0.0,0.31045591160655023,0.0,0.0,0.0,-0.16727004431188106,0.0,0.037606389597058296,-0.05043205842375755,0.0,0.0
Dmd,0.8678752366825938,0.0,0.0,0.0,0.16130512896925212,0.0,0.0,0.03478619620203972,0.047456519901752474,0.0,0.0,0.019429273456335067,0.0,0.0,0.0,0.0,0.0,0.0,-0.03018925689160824,0.0,-0.04751398079097271,0.0,-0.004507732018828392,-0.014235771074891091,0.0,-0.006619412470608949,0.0,0.0,0.0,0.0,0.09181470020674169,0.2050523889437318,0.0,0.25823138780891897,0.054728478267788885,0.0,0.0,0.1902558070421219,0.0,0.0,0.0,0.43913429777137936,0.0,0.1015312759578228,0.06843728959560394,2.0,2.0
