,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,DEG
Endod1,0.141219799359292,0.633161588978488,0.019,0.013,1.0,0
Crkl,0.141500150837706,0.290028644273368,0.129,0.103,1.0,0
Hist3h2ba,0.141693138351626,-0.168292731639431,0.035,0.037,1.0,0
Lamc1,0.141905393083201,-0.209057596434644,0.093,0.101,1.0,0
Glis2,0.142011680786447,0.569967762491294,0.048,0.032,1.0,0
Mrpl19,0.142025510317412,0.614860772235544,0.034,0.022,1.0,0
Kdm1b,0.142142520084096,0.414838831951087,0.051,0.038,1.0,0
Ppt2,0.142267878591968,0.723595055422151,0.055,0.033,1.0,0
Zfp791,0.142393852171252,1.02220387972439,0.024,0.011,1.0,0
Gm3696,0.142479322249411,1.23519760305859,0.012,0.005,1.0,0
Aldoc,0.142554255584031,0.732697262529403,0.015,0.009,1.0,0
Ofd1,0.142625604808718,-0.161593296299482,0.065,0.069,1.0,0
Fbxw8,0.14286907644473,0.154307415731733,0.148,0.129,1.0,0
Dph1,0.142913691280014,0.806697843973179,0.021,0.012,1.0,0
Ptger3,0.143256659097667,0.430134492508972,0.031,0.022,1.0,0
Cnot8,0.143631535481722,0.422357141917252,0.055,0.04,1.0,0
Arhgef33,0.143785903890147,0.62772770292786,0.037,0.025,1.0,0
Gm2694,0.143809521437683,-0.19175170446342,0.033,0.039,1.0,0
Ift122,0.143891993508705,0.397454814361159,0.107,0.081,1.0,0
Camk1g,0.143930351009228,1.14773476180825,0.024,0.011,1.0,0
Det1,0.143980527160388,0.351268155893378,0.027,0.02,1.0,0
Ppat,0.144010457567374,0.440185655618775,0.078,0.057,1.0,0
Dcps,0.144020908709489,0.623072771354904,0.039,0.025,1.0,0
Abhd3,0.144107178272964,0.302457356606888,0.043,0.033,1.0,0
Commd1,0.144123132417273,0.257359252982745,0.057,0.045,1.0,0
Churc1,0.1441726532264,0.785164682423538,0.03,0.017,1.0,0
Mrps16,0.144735479461718,0.480310100895117,0.024,0.017,1.0,0
Gm29587,0.144887268948861,-0.629872816855306,0.025,0.039,1.0,0
Lnx2,0.145292347701145,0.286897509479871,0.062,0.049,1.0,0
Slbp,0.145334567111071,0.674981764673116,0.035,0.021,1.0,0
Gnpnat1,0.145344948891609,-0.486137339393856,0.041,0.058,1.0,0
Epdr1,0.145764489859533,-0.114040198252948,0.133,0.133,1.0,0
Tle2,0.145819846736216,0.751806085477107,0.027,0.016,1.0,0
Ppa2,0.145966631506892,0.224356043411159,0.122,0.102,1.0,0
Bod1,0.145982824967661,0.477883363500577,0.032,0.022,1.0,0
Gpt2,0.146119682887265,0.420753256214662,0.081,0.059,1.0,0
Necab2,0.146211662583734,1.14773476180825,0.013,0.005,1.0,0
Noa1,0.146248769984672,0.791590951582971,0.036,0.021,1.0,0
Ano10,0.146720049778379,0.329938093028995,0.041,0.032,1.0,0
Gm13830,0.146724596526701,0.50528676642633,0.029,0.019,1.0,0
Tmem165,0.146767086536518,0.187627488931759,0.143,0.127,1.0,0
0610040B10Rik,0.146843336354614,0.867626842615511,0.02,0.011,1.0,0
Colgalt2,0.146958734175875,-0.576630795578326,0.016,0.021,1.0,0
Sept2,0.14706145177811,0.628360602714666,0.042,0.027,1.0,0
Elp3,0.14745307542349,0.310006190707123,0.129,0.102,1.0,0
Snhg4,0.148223564034222,0.290339157251047,0.061,0.048,1.0,0
Dcaf4,0.148229097373932,0.690261996209006,0.047,0.029,1.0,0
Emc7,0.148452518231166,0.202596696842765,0.092,0.078,1.0,0
Smim12,0.149082852629012,0.662307934638005,0.021,0.013,1.0,0
Zfp202,0.149252920104904,0.506188732720723,0.035,0.025,1.0,0
Mb21d2,0.149383349709302,0.101041526360205,0.103,0.093,1.0,0
Pqlc1,0.149391088902678,0.591341413283861,0.024,0.015,1.0,0
Dolk,0.149757215133273,0.540052184587006,0.014,0.01,1.0,0
Mynn,0.149954402504674,0.55491014331412,0.083,0.059,1.0,0
Clmn,0.150170995450083,-0.510159261366761,0.032,0.043,1.0,0
Nfkbil1,0.150189683704419,0.611681861568036,0.029,0.019,1.0,0
Grip1os2,0.15026155871525,-1.08492599498203,0.014,0.031,1.0,0
Gprin1,0.150308325303375,0.440516511036092,0.035,0.025,1.0,0
Kin,0.150344823653751,0.343654971783503,0.046,0.035,1.0,0
Bzw1,0.150444975111044,0.218618247964756,0.103,0.083,1.0,0
Golm1,0.150890056302954,0.936230656614534,0.013,0.007,1.0,0
Coq2,0.150970264197785,0.113586539396401,0.111,0.101,1.0,0
Btg2,0.150971579407096,0.443190645334417,0.052,0.04,1.0,0
