,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,DEG
Nipa1,5.00340080984329e-07,-0.153946898528757,0.124,0.141,0.012995833263487,0
Bbip1,5.09261987937565e-07,-0.183884600532824,0.064,0.076,0.0132275708746903,0
Irak2,5.14562663812857e-07,-0.59112235043907,0.013,0.02,0.0133652506298752,0
Mtpn,5.15434783273055e-07,-0.300853642391467,0.036,0.047,0.0133879030607343,0
Gbf1,5.18183739165341e-07,-0.161136184584407,0.144,0.163,0.0134593044410806,0
Adrm1,5.22718094549653e-07,0.71014914382094,0.011,0.007,0.0135770797878327,0
Dpm1,5.26733376007841e-07,0.230363659798773,0.079,0.072,0.0136813727084277,0
Sesn1,5.2760499665358e-07,-0.183846116431171,0.116,0.134,0.0137040121830801,0
Zfp652,5.28792466609145e-07,-0.15618796019593,0.062,0.073,0.0137348555277059,0
Psmd13,5.31597791966974e-07,0.204929168276973,0.034,0.032,0.0138077210485502,0
Lims1,5.32034992879121e-07,-0.112428797322214,0.124,0.138,0.0138190769050423,0
Abtb2,5.52576179369169e-07,0.231982358387577,0.111,0.097,0.0143526136829348,0
Ermard,5.59097926267531e-07,-0.371052370753413,0.038,0.048,0.0145220095368728,0
Cep290,5.61251375785311e-07,-0.297003226160067,0.038,0.048,0.0145779432346477,0
Stx17,5.68969045265345e-07,-0.271743884289637,0.032,0.041,0.0147784019817221,0
Thap2,5.70215758535332e-07,0.119016019998166,0.074,0.073,0.0148107841121967,0
Zfp414,5.72355279907618e-07,0.757416043607007,0.01,0.006,0.0148663560403205,0
Cyb5b,5.7327864002541e-07,-0.197197294707917,0.062,0.073,0.01489033939602,0
Eef2k,5.77961194510532e-07,-0.5502577919939,0.013,0.02,0.0150119640662166,0
Uck2,5.81173418132898e-07,0.58759823571634,0.019,0.013,0.0150953983625839,0
Mtif2,5.87102315010349e-07,0.167449568504707,0.054,0.052,0.0152493955300788,0
Copa,5.90592332238966e-07,-0.145578359401073,0.075,0.087,0.0153400452375749,0
Hipk3,5.93548967082814e-07,-0.163455152680448,0.081,0.094,0.015416840871009,0
Gprasp1,6.02616378267926e-07,-0.181335026992601,0.123,0.14,0.0156523578091311,0
