,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,DEG
Apoo,0.604597228377598,0.149260165940255,0.042,0.039,1.0,0
Pdk2,0.604996106355698,-0.357621770493492,0.009,0.011,1.0,0
Chst12,0.605202792131717,0.266002350596769,0.019,0.016,1.0,0
Adcy10,0.605458858137645,-0.185154574488727,0.014,0.017,1.0,0
Tmem128,0.605908801256028,-0.230160861311234,0.024,0.028,1.0,0
Taf13,0.606065426993732,-0.342281224359006,0.013,0.016,1.0,0
Ptpn11,0.606292083181764,0.171874453370267,0.056,0.053,1.0,0
Scrib,0.606539607356848,0.149533930773782,0.019,0.018,1.0,0
Aimp1,0.607249458664796,0.131879380379433,0.032,0.029,1.0,0
St3gal2,0.607603283375777,-0.120582573192642,0.039,0.041,1.0,0
Rbm22,0.608181462984698,0.239254051771164,0.027,0.023,1.0,0
Isoc1,0.60842763066535,0.305914041461264,0.016,0.013,1.0,0
Atg101,0.609047439456903,0.308954495781316,0.01,0.008,1.0,0
Timm23,0.60909670242458,-0.232539976363731,0.041,0.047,1.0,0
Rnf168,0.609306060340918,-0.13583034689158,0.03,0.032,1.0,0
Rsf1os1,0.60969452186923,0.196818785450768,0.025,0.023,1.0,0
Cdc16,0.609864404504172,0.120777789782781,0.047,0.041,1.0,0
Plk5,0.610358921543533,0.170626339233342,0.01,0.009,1.0,0
Keap1,0.611638111761074,0.178977708666265,0.02,0.017,1.0,0
Mrps24,0.611954475312631,0.160264136377102,0.021,0.019,1.0,0
Ttll3,0.612118991655836,-0.105034152094815,0.018,0.019,1.0,0
Msantd4,0.612137437818722,-0.164976692551097,0.012,0.013,1.0,0
Enoph1,0.612397313648446,0.149131897876966,0.014,0.013,1.0,0
Fam104a,0.61384271197092,0.121074366007669,0.027,0.026,1.0,0
Ikbkg,0.613961180667803,-0.268406282206502,0.014,0.018,1.0,0
Zfp931,0.615298567022234,-0.31384007846558,0.009,0.012,1.0,0
Prpf31,0.615327313254387,-0.178782492076127,0.01,0.011,1.0,0
Uqcrfs1,0.615364043627206,-0.109020286577081,0.018,0.02,1.0,0
Ano2,0.615657145774568,-0.297426988574746,0.01,0.013,1.0,0
Bnip3,0.615768729067321,0.22091446106823,0.01,0.008,1.0,0
Kcnab2,0.615920226108039,0.250060806727747,0.01,0.008,1.0,0
Supv3l1,0.616146330248454,-0.116996663649275,0.021,0.023,1.0,0
Lmnb2,0.616546336862475,-0.115223657353997,0.012,0.013,1.0,0
Glb1l,0.616643838867176,-0.209370811909549,0.01,0.011,1.0,0
Mro,0.616786664792145,0.162401077719902,0.09,0.08,1.0,0
Plekhb1,0.61680667304575,0.239568432910105,0.028,0.024,1.0,0
Zfp1,0.617112340672317,0.138232204989677,0.048,0.044,1.0,0
Lsm1,0.617145513674763,-0.141818971563844,0.032,0.034,1.0,0
Trpv2,0.617610709112901,-0.387369113887544,0.009,0.012,1.0,0
Ablim2,0.617613964427664,-0.185154574488727,0.011,0.012,1.0,0
Lingo3,0.617741407343609,0.393018760569791,0.011,0.008,1.0,0
D730003I15Rik,0.617997096426946,-0.387369113887544,0.007,0.01,1.0,0
Tmem144,0.619724962905849,-0.240264819855334,0.017,0.019,1.0,0
Rab3a,0.620060013878189,0.10804180185532,0.017,0.016,1.0,0
Pter,0.620073583814102,0.148522780265686,0.039,0.036,1.0,0
Prpf3,0.620256608113932,0.109316830697381,0.039,0.037,1.0,0
Zer1,0.620342103231752,-0.247785279696562,0.049,0.055,1.0,0
Hccs,0.620346848155198,0.234630766158141,0.019,0.016,1.0,0
4930419G24Rik,0.620601333814642,-0.34054825713455,0.011,0.015,1.0,0
Pml,0.620733763851505,-0.149546651981491,0.019,0.02,1.0,0
Itfg2,0.621042615982028,0.156951402336266,0.021,0.018,1.0,0
Zfp598,0.62123849800834,-0.202451397969759,0.019,0.022,1.0,0
Vat1,0.62143637732985,0.405339032205658,0.01,0.007,1.0,0
Gtf2ird2,0.622307398003494,0.150525133176833,0.026,0.025,1.0,0
Il17d,0.622419606782174,0.141748995692596,0.057,0.051,1.0,0
Snx11,0.623197100625314,0.290702791225094,0.015,0.012,1.0,0
Trappc11,0.623298907717832,-0.12147505391451,0.046,0.049,1.0,0
Mtmr14,0.623452351338876,-0.145347885802164,0.023,0.025,1.0,0
Gm17494,0.62361658587504,0.124529924643889,0.011,0.011,1.0,0
