cell_type,gene,DEG,pred,dmr,mcg_genebody,mch_genebody
L6_CT_CTX_Glut,Tub,-1,-1,0.55566907,0.1667008,0.27763012
L6_CT_CTX_Glut,Wwc1,-1,0,0.24268861,0.08655594,0.67075545
L6_CT_CTX_Glut,Psmb1,-1,-1,0.28951037,0.34855422,0.36193538
L6_CT_CTX_Glut,Per3,-1,0,0.26840335,0.1985397,0.533057
L6_CT_CTX_Glut,Xndc1,-1,-1,0.26620638,0.34731874,0.3864749
L6_CT_CTX_Glut,Adar,-1,-1,0.34145913,0.2608611,0.39767978
L6_CT_CTX_Glut,Cacnb2,1,1,0.1354851,0.10435134,0.76016355
L6_CT_CTX_Glut,Baz2a,-1,-1,0.26304987,0.32163936,0.4153107
L6_CT_CTX_Glut,Med23,-1,-1,0.20621555,0.3343264,0.45945805
L6_CT_CTX_Glut,Vps9d1,-1,-1,0.4740417,0.27994654,0.24601167
L6_CT_CTX_Glut,Chdh,1,0,0.15328376,0.23373674,0.61297953
L6_CT_CTX_Glut,Rai14,-1,-1,0.30247116,0.18491358,0.5126153
L6_CT_CTX_Glut,U2af1,-1,-1,0.2931828,0.40050307,0.30631417
L6_CT_CTX_Glut,Iqgap1,-1,0,0.11423733,0.1755531,0.7102096
L6_CT_CTX_Glut,Ahdc1,-1,-1,0.7538762,0.1084066,0.13771717
L6_CT_CTX_Glut,Slc17a5,-1,0,0.08830898,0.13359004,0.7781009
L6_CT_CTX_Glut,Srebf2,-1,-1,0.46323687,0.19694273,0.33982036
L6_CT_CTX_Glut,Tnpo2,-1,-1,0.27567405,0.39317328,0.3311527
L6_CT_CTX_Glut,Atp6v0a1,-1,-1,0.8320122,0.090205476,0.07778238
L6_CT_CTX_Glut,Fam171a2,-1,-1,0.50868124,0.24136859,0.24995019
L6_CT_CTX_Glut,Kif3c,-1,-1,0.23156269,0.32981092,0.4386264
L6_CT_CTX_Glut,Iars,-1,-1,0.24619603,0.38839528,0.3654087
L6_CT_CTX_Glut,Stat3,-1,0,0.20530775,0.14402498,0.65066725
L6_CT_CTX_Glut,Hdgf,-1,-1,0.3188557,0.36375707,0.31738713
L6_CT_CTX_Glut,Sppl2b,-1,-1,0.4508771,0.32312226,0.22600071
L6_CT_CTX_Glut,Prkcz,-1,-1,0.63246626,0.12691563,0.24061812
L6_CT_CTX_Glut,Csnk1g2,-1,-1,0.26156723,0.3682466,0.37018624
L6_CT_CTX_Glut,Kcnt1,-1,-1,0.64834523,0.10229966,0.24935518
L6_CT_CTX_Glut,Ring1,-1,-1,0.30198437,0.42473492,0.2732807
L6_CT_CTX_Glut,Clpb,-1,1,0.40838358,0.08189175,0.5097247
L6_CT_CTX_Glut,Zdhhc18,-1,0,0.2658789,0.13852477,0.5955963
L6_CT_CTX_Glut,Fus,-1,-1,0.29105812,0.40249765,0.3064442
L6_CT_CTX_Glut,St8sia5,-1,-1,0.27610984,0.24624091,0.47764924
L6_CT_CTX_Glut,Hps4,-1,-1,0.76770616,0.096444525,0.13584927
L6_CT_CTX_Glut,AY036118,1,-1,0.42299587,0.38681966,0.19018452
L6_CT_CTX_Glut,Sirpa,-1,-1,0.611733,0.1631104,0.22515655
L6_CT_CTX_Glut,Arih2,-1,-1,0.22480357,0.3289064,0.44629005
L6_CT_CTX_Glut,Actn4,-1,-1,0.4518974,0.17433508,0.37376755
L6_CT_CTX_Glut,Uqcr11,-1,-1,0.30642182,0.43638772,0.2571904
L6_CT_CTX_Glut,Fau,-1,-1,0.3494647,0.35072565,0.2998096
L6_CT_CTX_Glut,Fhod3,-1,0,0.3291775,0.100611515,0.57021093
L6_CT_CTX_Glut,Fam76a,-1,-1,0.44537225,0.3064668,0.24816094
L6_CT_CTX_Glut,Sla,-1,-1,0.31440538,0.37276578,0.31282878
